,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,start_time,end_time,label
0,37.152252,0.10477235,35.076965,36.97693,39.298035,4.2210693,180.65059,243.85541,91.67095,120.061935,0.22413324,1.2105156,0.017015545,0.1372811,0.36083633,0.34382078,5.1398087,4.1646833,4.0184426,4.2897854,0.10409829,1.3746581,17.099535,0.9626911,14.475206,0.73757166,4.5404615,2.452277,-10.861579,-1.2235936,0.028179744,1.4935313,1.616986,0.6436839,7.9141016,0.38152376,11.326384,1.1078557,31.471722,0.3919397,702.2526,0.280815,1448.2324,0.16055685,-140.80794,-0.6029793,1804.9397,0.13575889,1194.5266,0.34019724,-138.9585,-0.57212496,2852.6082,0.08824322,1040.1144,0.3121065,-140.32532,-0.55352426,-18.966757,-0.40611374,30.575163,0.30867824,0.050743137,0.37186724,-0.02174415,-0.6361573,0.20404606,0.80158234,27.788961,0.3575448,10.131391,1.13522,4.4383035,3.557982,-20.849894,-0.7033422,-11.010933,19.048962,0.034155592,0.0073904363,0.04894479,1.8252934,2.5855315,0.12767676,0.10991112,0.27022988,0.36983055,-30.368793,0.0,38.366667,disengaged
1,39.142193,0.05654013,37.658436,38.874924,39.789204,2.1307678,50.156788,53.96289,159.23149,164.39767,0.38890404,1.2696729,0.016412947,0.08787726,0.7559747,0.73956174,10.421049,5.1924815,10.312554,4.8419333,0.17630681,1.3148868,16.020323,0.75539845,8.817922,1.5023925,3.5903637,3.30923,-15.042351,-0.92589754,0.027334977,1.810385,1.4022007,0.6025596,7.8595815,0.38501003,10.892497,1.0846589,20.838982,0.55284154,693.7316,0.24975185,1438.2207,0.16087463,-131.80632,-0.6916202,1769.2596,0.121287026,1095.8419,0.3914174,-122.050995,-0.7239151,2799.5835,0.07095268,967.5783,0.37149844,-122.81239,-0.7132861,-11.534363,-0.6695902,21.855865,0.36950627,0.050233006,0.38554916,-0.02333084,-0.6328235,0.37342647,0.6233279,22.805128,0.3551204,-1.9913942,-6.2179103,4.835172,3.5610301,-27.430958,-0.42697468,-10.110488,17.288334,0.032272696,0.010034734,0.03083295,3.0805688,1.678657,0.24714284,0.18398091,0.3257143,0.41164675,-26.467625,38.4,42.633333,engaged
2,33.779636,0.06405211,32.649883,33.29559,35.732162,3.0822792,38.79363,27.44174,44.92932,16.250885,0.23203918,0.9670154,0.060591932,0.15521544,0.37793136,0.31733942,5.121032,3.3523493,2.424352,1.3834002,0.11540999,1.1754426,22.876562,0.5269759,18.149055,0.49932113,6.1841636,1.3870361,-6.877724,-1.371714,0.030028263,1.0352334,1.6900535,0.5868634,6.3505993,0.35067105,5.814223,1.335794,32.207123,0.19632968,660.1942,0.28549844,1476.4248,0.13104601,-153.96957,-0.5151637,1737.9706,0.13490857,1222.128,0.25766534,-155.52338,-0.47405657,2783.7146,0.082637586,1035.6595,0.20813388,-156.73238,-0.4567926,-17.791744,-0.42447904,29.124762,0.3203337,0.037134353,0.4135669,-0.024307458,-0.61222166,0.22511826,0.6083943,28.916569,0.46119478,11.7875595,0.8652562,4.6201773,2.5575986,-14.136092,-0.9074592,-17.08854,26.02622,0.025059924,-0.005568831,0.07832492,2.4390244,2.0661159,0.114999995,0.09891916,0.31636363,0.5743656,-31.83447,42.666667,47.6,disengaged
3,37.029514,0.055282865,36.01554,37.13461,38.046715,2.0311737,49.83627,48.212715,24.553026,21.272144,0.34554768,1.1165015,0.038973037,0.18473755,0.60162544,0.5626524,7.455233,4.5259643,6.9893274,4.697584,0.15842992,1.2153349,19.527113,0.75023854,11.950248,1.0974168,3.8036835,3.8926682,-12.582087,-1.2194891,0.02154185,1.5986263,1.5731192,0.69192845,8.319791,0.31940466,5.023923,2.474262,26.444063,0.3123125,679.9754,0.2895461,1427.967,0.14624193,-133.0459,-0.67206633,1744.5778,0.14848572,1240.5516,0.2935519,-129.4271,-0.6559917,2781.0862,0.08347947,1036.9178,0.30663753,-131.82564,-0.62049264,-14.73228,-0.5099901,27.588802,0.28710192,0.044297405,0.45215365,-0.021532923,-0.5730656,0.2987211,0.7295071,27.97667,0.27103063,3.1794114,3.9427924,0.0172297,1109.4879,-25.031229,-0.6018725,-11.848871,20.066658,0.024311658,0.0021987073,0.06625286,3.3269963,2.1012418,0.17999999,0.13823563,0.28761905,0.5061799,-27.044825,47.633333,58.166667,engaged
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019843843,0.6276897,0.011100961,0.01398091,0.02715313,0.01605217,0.45549017,0.37679842,0.71760094,0.28370655,0.003934332,1.4101784,4.9439716,1.9602396,13.968991,0.29388696,4.8481603,0.65393114,-5.929863,-0.5022924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.467981,12.903906,0.030079136,0.019084409,0.0044508404,8.163265,0.0,0.0,0.0,0.42999998,0.0,-63.848896,58.2,58.7,disengaged
5,36.560925,0.08979811,34.825108,36.137413,37.805836,2.9807281,118.71027,182.32703,53.965508,67.95014,0.37734106,0.8762293,0.0954687,0.2860509,0.6359559,0.54048723,7.5792465,5.7551985,5.6314263,3.8683987,0.19333428,0.96063274,25.309185,0.5803169,10.367158,1.298623,2.9289975,5.0788736,-13.126609,-0.9943232,0.02518809,1.002705,1.4573137,0.6083978,7.8277726,0.39505136,3.9785223,3.381434,28.361073,0.39435214,700.60376,0.2709844,1445.1869,0.1642479,-101.31239,-0.8993443,1780.2936,0.12937748,1173.9469,0.2717934,-103.194435,-0.8125925,2865.3855,0.08509764,1096.4327,0.35985306,-106.79768,-0.7516862,-17.705544,-0.50507665,31.254553,0.3066297,0.043209013,0.42367342,-0.02200503,-0.5644186,0.28259483,0.6724275,30.946604,0.3255342,4.8687625,2.8494403,0.98715836,18.160973,-19.091991,-0.6743364,-14.272685,23.51668,0.027411098,-0.0037122553,0.08390236,3.2800674,3.465765,0.14902438,0.10653765,0.13189189,0.1633242,-26.278553,58.733333,70.633333,engaged
6,34.6689,0.10033573,33.80129,34.188457,37.7814,3.9801102,288.2854,0.0,35.485367,27.75497,0.23481391,0.793503,0.061118796,0.20085467,0.3515757,0.2904569,2.8699787,1.8066475,2.372434,1.0578252,0.11977248,0.8389218,25.505413,0.5736311,14.225166,0.87863266,1.6464528,9.5849695,-5.78957,-1.4656957,0.04244923,1.3268065,1.2964376,0.4556499,7.292325,0.37211025,13.701034,0.74407965,35.35691,0.24303432,669.71985,0.34864137,1596.114,0.15382895,-129.193,-0.6625705,1757.8091,0.1523287,1500.56,0.25176996,-129.32628,-0.6267669,2938.904,0.10219446,1422.1116,0.32383496,-133.68416,-0.56245214,-20.077213,-0.55564207,37.896908,0.06000225,0.038477786,0.4080142,-0.01638415,-0.6636783,0.22070895,0.36595064,35.31604,0.078761175,10.2977,1.509695,-1.1530248,-16.702242,-12.242269,-0.7608156,-14.962107,26.830315,0.022967508,0.00027211348,0.06928588,4.494382,4.7619047,0.074999996,0.020615527,0.14999999,0.14165686,-31.869993,70.666667,71.566667,disengaged
7,37.194595,0.02676863,36.423412,36.741035,38.156143,1.7327309,32.429615,17.4968,8.441371,5.945403,0.3080633,1.1992068,0.012675155,0.19444375,0.56780326,0.5551281,6.3046045,4.814933,2.375865,3.662723,0.13871095,1.0125313,21.941086,0.69102836,12.29607,0.70455176,2.5507278,4.5784607,-15.876993,-1.0066904,0.016543,0.77890295,1.4516768,0.8648853,9.863994,0.19089295,4.350003,3.414772,30.383121,0.26832134,736.7772,0.28519863,1453.4426,0.12672962,-121.347885,-0.73115903,1877.0731,0.15150575,1182.3461,0.21574928,-122.755295,-0.65953964,2928.2456,0.095584646,1132.287,0.2653246,-124.99016,-0.63040525,-22.552849,-0.31041434,35.36762,0.26251793,0.042273995,0.5528958,-0.025963858,-0.4056792,0.22978716,0.4880907,32.17092,0.24324363,12.963093,0.7424926,4.9058423,3.1248205,-23.35839,-0.7810042,-10.299837,18.434092,0.03188423,0.00745099,0.040390708,2.857143,2.95858,0.146,0.043174066,0.21249999,0.20178887,-27.391153,71.6,73.366667,engaged
8,35.030678,0.06853297,34.77943,35.44886,36.17972,1.4002914,80.633545,4.5010567,41.115788,42.65314,0.50900775,0.46195394,0.3027811,0.48326963,0.684514,0.38173288,7.438463,2.556475,9.215529,5.3517303,0.24645549,0.4244003,30.177471,0.19751015,3.476129,3.515289,8.045729,2.5676963,-22.900057,-0.5773939,0.053764068,1.151168,1.4298156,0.5507429,6.5620065,0.50287807,5.4734745,2.12691,29.272219,0.2528847,661.02124,0.20491277,1411.1836,0.11356784,-62.21068,-1.1207023,1742.8258,0.13855258,1109.5387,0.35667908,-70.23177,-0.9399805,2833.622,0.06586634,845.59595,0.16578779,-74.52211,-0.84611064,-16.981462,-0.32772928,29.217237,0.17577486,0.050079815,0.4808814,-0.024435252,-0.25307786,0.23832954,0.36431643,30.84132,0.16055618,4.2793174,2.7953348,6.305572,3.211434,-24.301403,-0.57519156,-12.289286,21.640823,0.031426255,-0.026319241,0.29208258,8.064516,10.714286,0.056666665,0.02924988,0.04,0.02,-26.917576,73.4,74.033333,disengaged
9,40.746616,0.076302476,38.373734,41.220253,44.04758,5.673847,127.247055,109.39663,50.58358,65.81911,0.31490624,0.9283505,0.05953239,0.21185172,0.53854394,0.47901154,8.173237,4.0230074,4.322148,3.0684626,0.1291491,0.8784086,22.412817,0.5729606,11.383904,1.2364348,5.851666,1.8041112,-13.276009,-1.2102941,0.027327336,1.2110487,1.4341167,0.7108781,8.1115675,0.27204075,10.311372,1.029051,24.826143,0.47266516,772.22534,0.2164182,1363.1936,0.16094014,-119.986046,-0.7585168,1889.3224,0.12725101,1054.2494,0.27296922,-117.71555,-0.71101385,2899.3489,0.07516938,1065.2427,0.31493706,-118.705246,-0.6970875,-15.169857,-0.6640564,26.592278,0.42056835,0.03499799,0.39279404,-0.01748328,-0.85996014,0.21285437,0.46937937,26.498783,0.33185145,3.5332963,4.0528893,4.2254515,3.0311136,-22.731764,-0.71178657,-15.361252,24.303804,0.021080313,-0.001791135,0.051647805,2.9239767,2.6785715,0.16777778,0.12576678,0.18555555,0.21746576,-30.953896,74.066667,77.5,engaged
