F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,participant,session,clip_id,speaker,start_time,end_time,label,speech_duration
42.022205,0.08894832,37.49479,42.78422,44.988857,7.494068,152.4989,223.99924,37.850464,20.21929,0.43436152,0.98037106,0.028162207,0.2803155,0.8428674,0.8147052,7.590757,6.0907288,5.320654,6.31309,0.18657944,1.3283514,9.373094,1.6542397,6.245527,1.6228184,-5.58149,-2.2490513,-23.302923,-0.96060324,0.01742295,1.9800491,0.93071365,1.0817636,11.313803,0.40263397,15.332787,0.7631717,24.95473,0.3766702,828.57025,0.17456383,1236.2424,0.15900755,-113.060875,-0.81057996,1979.6292,0.11274639,960.38007,0.36943322,-116.57392,-0.7101625,2951.5178,0.07033292,915.4395,0.4791322,-116.176575,-0.716416,-16.310957,-0.48374635,23.95126,0.40297008,0.0724923,0.33760875,-0.026365945,-0.69082713,0.31610078,0.79592067,17.607477,0.7085048,4.522645,2.3599155,-6.536389,-2.2838967,-39.670456,-0.47126713,-4.7508264,12.544995,0.047156636,0.011256259,0.056269143,2.8119507,2.1276596,0.22083333,0.18200083,0.25,0.1717821,-23.475643,9,3-2,0,speaker_1,0.0,60.333333,disengaged,5.705
36.247543,0.09642558,34.435665,36.211304,38.10629,3.6706238,324.04184,690.079,69.66322,132.15697,0.8234091,0.80310833,0.24817249,0.6699149,1.3857856,1.137613,14.500433,7.4018927,9.610227,6.2925224,0.60240525,0.9424065,23.292513,0.81251925,12.217586,1.3021379,-2.5238752,-6.3633084,-9.067122,-1.7175593,0.020612035,1.4034046,1.2604747,0.752503,8.720395,0.44630653,7.5137405,1.5257303,32.080177,0.37708563,751.91235,0.25918669,1387.1296,0.170528,-74.93264,-1.1363512,1821.951,0.13184668,1190.5713,0.24913855,-81.42847,-0.9271493,2917.4585,0.08204644,1057.4896,0.30361682,-86.74388,-0.8243171,-18.964045,-0.60119295,33.221134,0.31531104,0.058898002,0.38193917,-0.020627817,-0.87360394,0.79248077,0.6959743,30.760563,0.41849682,11.195802,1.4156835,-3.511389,-4.871444,-14.014054,-1.022913,-6.930145,15.759491,0.03594511,0.010237165,0.17144895,3.442736,2.689037,0.24923076,0.21108654,0.12081632,0.14011417,-15.079438,9,3-2,0,speaker_0,0.0,60.333333,disengaged,43.5883125
36.054905,0.044076968,34.799675,36.186573,37.789345,2.9896698,54.264362,45.578373,5.01595,5.9002347,0.9694949,0.7215748,0.35346434,0.85760015,1.3584156,1.0049512,13.495451,8.183939,7.814741,2.3012848,0.72261494,0.7622454,24.673092,0.7041866,10.246775,2.0213559,-7.8585954,-2.4371655,-9.809993,-1.5067103,0.017230127,0.92030656,1.0821724,0.82642114,8.767617,0.44671148,11.236065,1.0767517,33.856384,0.32678488,742.3405,0.25489402,1428.1401,0.1768103,-67.805115,-1.1913159,1846.0449,0.12760647,1225.8672,0.19073437,-77.08457,-0.9440908,2955.3616,0.08775347,1095.6248,0.29596075,-82.15646,-0.8379432,-20.72944,-0.67520094,35.956795,0.23933654,0.06359091,0.3676202,-0.02065033,-0.9018931,0.897144,0.5778574,30.372734,0.30966562,13.596799,1.501584,-4.734721,-4.1352797,-15.025889,-0.84281045,-4.638248,20.856081,0.056158334,0.011315164,0.33264104,3.7974684,3.448276,0.19999999,0.103198834,0.089999996,0.10519822,-13.72725,9,3-2,1,speaker_0,60.366667,99.333333,engaged,2.383375
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058583103,1.3868848,0.011996623,0.025755405,0.085338205,0.07334158,3.770326,4.2043343,1.3162285,0.6009965,0.025578557,2.6939795,5.34391,2.8945093,11.044391,0.82876897,3.0777943,3.738099,7.4733896,1.4933097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.34797,17.539734,-0.0011715938,0.024232011,0.0261861,2.5974026,0.0,0.0,0.0,1.48,0.0,-42.63237,9,3-2,3,speaker_2,100.966667,115.7,engaged,1.558375
36.476387,0.11448197,34.244396,38.056168,39.777954,5.533558,133.38446,70.45752,16.446398,14.870753,0.94605696,0.8242774,0.13593635,0.94927394,1.4600861,1.3241497,14.367552,9.518518,14.403908,8.294524,0.8964644,0.8886424,25.839407,0.37876713,4.1789756,3.5117462,-2.976145,-4.394128,-12.000365,-1.2937329,0.0512874,1.5054072,1.4737498,0.57037586,6.7560005,0.5265826,1.0031654,12.157648,23.671265,0.5011755,819.4668,0.21998404,1277.231,0.16496138,-72.34779,-1.154207,1910.0756,0.13998297,1030.7693,0.19636096,-77.185486,-1.000283,3005.5264,0.09180226,885.1029,0.22156301,-81.50912,-0.9077473,-15.43967,-0.782149,30.1196,0.2965599,0.04944397,0.5145553,-0.023423044,-0.83501166,1.135156,0.6634516,28.944868,0.26794168,3.0511847,5.344266,-4.3727813,-3.1326852,-15.378329,-0.9256754,-12.741565,25.288557,0.025629196,0.008223047,0.39672443,3.6585367,3.1446543,0.212,0.16761862,0.07,0.051961523,-13.817737,9,3-2,3,speaker_0,100.966667,115.7,engaged,1.65
36.61187,0.064566806,34.877792,36.715637,38.737423,3.8596306,81.161,84.72371,49.503803,60.964355,0.91837287,0.76708597,0.13275985,0.84738827,1.585597,1.4528372,17.395964,11.717112,9.906069,5.6547823,0.6615553,1.0103784,26.342506,0.52756727,7.8229365,1.7032328,-3.571105,-4.216326,-11.495972,-1.0434877,0.023100505,1.7355397,1.1972182,0.6988374,8.767055,0.4448456,10.1601305,1.2231929,31.050713,0.36413035,790.7502,0.21247919,1358.4706,0.16804847,-65.79674,-1.2894315,1859.2826,0.124539435,1178.5837,0.29506522,-73.3882,-1.0337774,2952.446,0.089565165,999.8588,0.26161107,-78.829285,-0.9162279,-18.033974,-0.6150595,32.493317,0.241054,0.06518644,0.2988823,-0.022876963,-0.78339773,0.86453515,0.7523821,31.388231,0.2981126,6.9774013,2.1300247,-6.0130534,-2.6085794,-15.123009,-0.7078591,-9.39758,18.606537,0.047024027,0.016594913,0.095704645,3.106796,1.3752457,0.5242857,0.31322548,0.21499999,0.1972097,-13.213104,9,3-2,4,speaker_0,115.733333,121.333333,disengaged,5.1633125
36.505062,0.084671155,34.34718,36.23917,38.75571,4.408531,103.39279,128.8128,29.489977,20.51962,0.91064894,0.7482825,0.3229931,0.700649,1.6181545,1.2951615,15.425236,8.232593,9.70827,7.894913,0.67476326,0.8366054,27.583096,0.58121914,9.280881,1.77869,-7.770085,-2.1705027,-8.87846,-1.8161067,0.025065757,1.2421498,1.3442954,0.7128398,8.276142,0.43478775,7.888756,1.4399467,33.809227,0.34514904,754.55536,0.28001732,1375.3878,0.1559802,-64.68099,-1.2561442,1816.923,0.13553995,1219.7659,0.20508973,-72.67509,-0.9795612,2939.596,0.086833365,1093.6302,0.25895545,-79.80208,-0.8358555,-17.716984,-0.6722459,34.999935,0.25703084,0.061475094,0.37101966,-0.020270223,-0.86377424,0.81864417,0.65772724,32.32334,0.3598024,8.845257,1.7664441,-9.050936,-1.8490591,-12.312625,-1.2550141,-8.417279,20.394829,0.046228558,0.0012925843,0.27478394,3.6363637,3.0627873,0.23299998,0.18003055,0.08529411,0.090301305,-14.572719,9,3-2,5,speaker_0,121.366667,128.333333,engaged,6.6166875
36.758385,0.08236536,35.522503,36.5959,38.792507,3.2700043,281.55615,215.9274,12.204131,15.800338,0.7973991,0.7328501,0.26401484,0.74025726,1.2874794,1.0234646,12.377905,5.537477,9.319986,4.8411045,0.61738265,0.9144735,24.235832,0.67470074,10.792215,1.4550736,-2.2440183,-6.9883223,-6.3232293,-2.1405122,0.02294837,1.8098212,1.2435485,0.6474845,8.938709,0.5086909,9.333212,1.0139279,31.206894,0.38158077,758.81726,0.26071107,1390.8217,0.15010157,-72.8929,-1.145267,1832.5669,0.1353215,1245.494,0.28729585,-78.50382,-0.9538897,2927.4006,0.08910806,1118.7684,0.29301405,-84.38292,-0.8366228,-18.927275,-0.6577897,34.996815,0.26280808,0.056633506,0.40310553,-0.018842565,-1.006435,0.8060988,0.67549133,31.41196,0.3464023,10.2374,1.4939562,-3.4785342,-4.5558066,-11.074474,-1.075476,-6.636377,15.414149,0.03466564,0.012733758,0.16908897,4.6040516,2.2304833,0.31083333,0.20422447,0.1175,0.12214233,-15.033014,9,3-2,6,speaker_0,128.366667,134.166667,disengaged,5.4499375
36.326546,0.054545976,34.49113,36.69047,38.285122,3.793991,70.91053,64.92187,27.682947,21.209803,1.022524,0.5341798,0.5837991,0.8894803,1.4773817,0.8935826,13.735631,5.737761,12.462506,7.449366,0.742231,0.7628382,31.494404,0.40625772,6.628461,2.3532238,-6.7451057,-2.3347173,-9.644386,-1.2698897,0.016899219,0.9670424,1.2545344,0.77255476,8.465277,0.47926915,10.908743,1.0536767,33.464584,0.38025573,763.59436,0.23779352,1426.8612,0.18033357,-39.16086,-1.5854477,1764.7557,0.13341735,1237.7313,0.24209918,-49.799343,-1.1036553,2896.4785,0.077127956,1042.2556,0.26942748,-60.087723,-0.8409642,-17.718834,-0.7223739,34.857018,0.20954981,0.057573013,0.33512884,-0.016688192,-1.1621431,0.8431336,0.6758256,34.69664,0.24337158,7.3907332,2.0404735,-6.566856,-2.4449592,-12.261567,-0.86194617,-6.2712746,20.756222,0.042059958,0.0088267885,0.19233976,5.142857,2.9411767,0.28399998,0.30097175,0.056666665,0.03858612,-14.889744,9,3-2,7,speaker_0,134.2,135.966667,engaged,1.766625
36.233562,0.054294046,34.94242,36.516468,37.457508,2.5150871,77.61124,68.88869,54.773087,81.98028,0.883937,0.7771164,0.29939348,0.6769547,1.4841874,1.184794,14.038031,5.540455,9.534519,5.3655524,0.66946316,0.9246732,27.706953,0.5192766,8.167226,1.9375612,-4.5577164,-3.9161866,-9.383295,-1.7197412,0.019889858,1.4289536,1.2912998,0.6235841,8.622237,0.38471738,8.69306,1.35899,34.27108,0.35712817,743.65765,0.2670028,1432.9861,0.14868258,-67.18023,-1.2740787,1802.5275,0.13502774,1238.2063,0.1997326,-72.98095,-1.0349834,2920.1455,0.08203128,1130.24,0.31383157,-80.3288,-0.88098675,-17.830532,-0.64839876,33.83842,0.24115904,0.06928928,0.3025937,-0.02153243,-0.8110562,0.8422888,0.7449721,31.812008,0.32374322,7.5783324,2.0655391,-8.693266,-1.9403538,-14.00321,-1.040889,-10.715531,19.252747,0.048522912,-0.00020749471,0.22007486,4.109589,2.0689654,0.34266666,0.45890403,0.1376923,0.122797765,-15.062773,9,3-2,9,speaker_0,137.1,164.366667,engaged,7.316625
