F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,participant,session,clip_id,speaker,start_time,end_time,label,speech_duration
38.11635,0.061737467,36.102074,38.714783,40.005005,3.9029312,18.825493,10.548936,20.699663,7.0311155,0.46086717,0.68668705,0.15344854,0.40675402,0.7368669,0.58341837,8.724813,4.449299,6.1029353,2.4674544,0.20198806,0.71541834,24.963755,0.45063874,3.7943869,3.5264163,-0.66368455,-25.665356,-17.688698,-1.1707617,0.01945697,1.0151569,1.4212962,0.7635187,9.13459,0.39676437,12.903715,0.90383273,29.907658,0.28949824,741.0071,0.29311198,1358.3882,0.14329202,-61.407536,-1.3311467,1797.444,0.13992605,1201.7782,0.36122978,-62.470417,-1.1344125,2809.7634,0.09166212,1093.957,0.42902398,-67.56029,-1.0066785,-14.9842,-0.5189156,26.996399,0.30545372,0.05647007,0.35271108,-0.023464186,-0.7792509,0.22895162,0.614083,26.290308,0.3177355,0.52486455,25.419422,-1.648568,-11.392771,-22.76252,-0.91555434,-12.728674,24.072107,0.03360533,-0.0046078735,0.13082635,5.527638,3.1088083,0.23833333,0.19945063,0.06333333,0.044221662,-26.10104,9,9,0,speaker_4,0.0,90.5,disengaged,2.0
37.086124,0.08637923,35.09964,36.891514,38.803055,3.703415,330.58286,711.7891,142.8025,288.8688,0.49155733,1.0245088,0.087957636,0.3472117,0.77795625,0.6899986,9.470904,6.4651713,7.0667605,4.812206,0.3205955,1.2675813,22.420534,0.72574836,11.076463,1.2899503,-2.33722,-7.797149,-13.858791,-1.0806065,0.025676774,1.2031881,1.3908762,0.6480712,8.365015,0.4736213,6.635677,2.0815966,29.3833,0.43751284,772.65063,0.23226374,1401.8204,0.1605757,-90.05755,-0.9839779,1853.2655,0.12385569,1166.4982,0.26697183,-93.42074,-0.8509294,2905.634,0.080187194,1047.5345,0.30945343,-96.91307,-0.7891689,-18.719637,-0.5911062,31.881828,0.37148374,0.055190455,0.36846584,-0.022901885,-0.7406419,0.45805508,0.97029305,28.973576,0.3929783,8.607432,1.7699395,-2.5210595,-7.7716455,-18.756008,-0.74317855,-10.431586,19.499784,0.03742242,0.0004026575,0.09525654,3.2800674,2.9560812,0.202,0.16995463,0.13399999,0.07662027,-20.527802,9,9,0,speaker_0,0.0,90.5,disengaged,11.9
42.01023,0.1247961,36.140118,43.642174,46.620605,10.480488,58.216717,34.802277,21.164309,18.594841,0.3895308,0.84587353,0.10915176,0.33157146,0.6075569,0.49840513,6.98079,3.2088141,5.551452,3.5697875,0.18340255,1.0448532,24.55355,0.41874912,3.1895208,3.868746,-3.4969673,-5.4906864,-22.021105,-0.8036572,0.0362308,1.3933014,1.043998,0.67422885,9.465617,0.39695993,13.238344,0.690352,29.645767,0.33142227,780.22784,0.22951941,1325.0833,0.20602007,-71.404945,-1.1871027,1794.4601,0.12796192,1114.6573,0.31487828,-74.01755,-1.0063009,2885.2776,0.07176807,848.92725,0.32003832,-79.43783,-0.89451975,-16.598396,-0.47447333,29.60815,0.31668577,0.065751426,0.3161131,-0.020072673,-0.8569119,0.23882227,0.8096268,25.956097,0.37594953,0.6121383,20.452936,-6.9706964,-2.9598823,-29.029081,-0.49314108,-15.954332,25.19669,0.037520505,-0.0026750914,0.049679343,2.846975,1.8115942,0.394,0.3331426,0.22333333,0.15520595,-27.011063,9,9,0,speaker_1,0.0,90.5,disengaged,2.82
34.45074,0.09704231,31.191841,34.12941,34.97962,3.7877808,244.50212,0.0,-145.29178,0.0,0.06834465,1.8631271,0.009464798,0.0153038995,0.084418364,0.07495356,4.1133776,6.1220417,0.93307626,0.5401383,0.028083742,2.459761,9.452408,1.0691671,8.571331,0.9152786,5.9261665,1.4741433,-1.8273766,-5.737284,0.06929612,0.810579,1.9892845,0.33866513,6.342341,0.46928993,6.1692963,1.4745448,23.08406,0.29102498,840.92395,0.15676388,1253.4891,0.19633037,-184.37704,-0.26514575,1899.6757,0.100937605,1108.7954,0.33685943,-185.4651,-0.2477199,2903.325,0.086043864,1084.0193,0.3005532,-185.57658,-0.24468006,-19.034153,-0.60756844,29.52418,0.3764321,0.025107045,0.5510857,-0.0030753522,-7.446516,0.1380934,1.0975587,24.119707,0.52240837,13.340031,0.9314237,8.650033,0.81646925,-3.177839,-2.0875106,-9.403892,17.470362,0.01669091,0.017571462,0.019548818,2.877698,1.4925374,0.049999997,0.0,0.39666668,0.17556258,-39.055527,9,9,0,speaker_5,0.0,90.5,disengaged,1.405
36.886314,0.09620964,34.922874,36.787205,38.815483,3.8926086,201.62173,291.5533,114.0496,209.67401,0.7239161,0.7841888,0.19678943,0.6142466,1.2187457,1.0219563,12.692404,7.5397253,9.036628,5.230484,0.43879694,1.0272306,21.941608,0.7619535,6.0133038,2.4607291,-6.603901,-2.35239,-14.716298,-0.93235344,0.024093393,1.732931,1.2114029,0.71669126,8.438574,0.4998338,2.941172,3.9942634,26.751064,0.4425828,792.9528,0.21912287,1313.1158,0.17981945,-79.63424,-1.1087866,1861.0469,0.13450523,1093.9559,0.31334254,-83.5669,-0.9558769,2953.799,0.09217488,1002.8394,0.284093,-89.01492,-0.84833926,-14.17098,-0.7586031,27.110477,0.42533642,0.057199165,0.34808576,-0.023064777,-0.78262836,0.5791572,0.7882196,27.714182,0.44474748,4.638629,3.3325827,-8.868614,-1.8728613,-18.868895,-0.6664194,-7.7079344,16.755537,0.03259144,0.0031017824,0.16436338,3.3179338,2.8169014,0.22567163,0.19782564,0.12041666,0.1167147,-17.931444,9,9,0,speaker_3,0.0,90.5,disengaged,47.6350625
36.56664,0.09934455,34.608963,35.633533,37.56426,2.9552956,164.66942,422.2574,54.08648,89.45289,0.37310106,0.7225466,0.1124131,0.32253787,0.5982594,0.48584628,5.359157,2.508978,4.644079,2.942069,0.174138,0.8689819,24.869118,0.7457558,9.728442,1.5994384,-7.3684998,-2.2688801,-15.630224,-0.9328695,0.020294162,1.213014,1.1555771,0.7338731,8.604574,0.37074625,9.244415,1.1897168,34.550373,0.3589847,760.8045,0.24579081,1404.6587,0.17532332,-74.51149,-1.1803949,1833.5322,0.13378672,1206.1406,0.24899332,-83.111244,-0.93922734,2944.3525,0.08022395,1064.2418,0.27087894,-88.437744,-0.83886313,-17.140633,-0.6289645,33.234936,0.30553696,0.068556,0.29126644,-0.019847209,-0.7845119,0.2271243,0.6302142,32.233414,0.35691378,8.18046,2.00213,-8.492712,-2.021913,-19.998503,-0.66147465,-7.0438757,17.75978,0.04154276,0.0075026955,0.062477507,3.6051502,2.3275864,0.2822222,0.2610851,0.13115385,0.15000837,-27.579172,9,9,2,speaker_0,97.6,110.366667,disengaged,11.666625
36.46926,0.07432009,34.855667,36.246597,38.67214,3.816471,132.29099,165.73222,58.939503,110.05231,0.37887943,0.79063016,0.1007355,0.32232833,0.64527047,0.544535,6.60225,4.591068,4.612636,2.4792085,0.22662848,1.1604748,25.340849,0.6925889,11.558063,1.2617992,-5.3037214,-3.2111666,-11.167394,-1.262944,0.023067644,1.4735734,1.2853608,0.7079269,8.299161,0.44523516,7.984682,1.2486289,33.00957,0.31173518,812.487,0.2177899,1370.1952,0.17463273,-82.789505,-1.0653743,1884.8818,0.12923996,1198.5864,0.23553912,-90.24342,-0.87480587,3007.9268,0.08109323,1043.806,0.29154953,-95.59277,-0.7795433,-18.508083,-0.6602993,34.862885,0.2694338,0.06304607,0.2902685,-0.019767776,-0.8623441,0.30765542,0.9003603,33.296494,0.27294642,10.111145,1.5157202,-6.8821535,-2.632746,-16.87035,-0.6537748,-9.8465605,20.09924,0.03612362,0.008475885,0.08132721,3.3274958,2.4004683,0.2604878,0.22442286,0.13925,0.13379812,-23.087324,9,9,3,speaker_0,110.4,180.766667,engaged,17.14
39.14065,0.100792594,35.985863,36.488796,44.40062,8.414757,4.96343,0.0,39.40911,0.0,0.07073317,2.313358,0.006458211,0.014919722,0.0719001,0.06544189,4.8246875,5.309915,3.6712065,0.7624116,0.05330279,2.845484,12.938947,1.0075262,13.660423,0.7716605,7.199386,1.7122419,2.2518263,4.6338043,0.029350815,0.63988954,2.3173728,0.47202334,9.098889,0.30823994,12.74122,0.30885798,29.910442,0.3124686,906.67084,0.23437606,1422.8209,0.08069252,-178.18904,-0.309815,1958.1091,0.13303037,1327.5615,0.12779899,-174.25615,-0.32550928,2987.0486,0.11440961,1232.6044,0.1109252,-175.1977,-0.311836,-20.586521,-0.58470255,33.621243,0.39624804,0.02493101,1.0838143,0.007965471,2.5298502,0.21420346,1.6113919,22.016918,0.5097315,13.518308,1.1549357,3.6192975,5.8129754,-0.61750674,-31.632322,-13.086168,22.136654,0.016107231,0.02230326,0.024886347,1.2658229,1.9607843,0.07333333,0.032998316,0.41,0.1651262,-34.212273,9,9,3,speaker_5,110.4,180.766667,engaged,1.59
47.110023,0.11115629,42.176727,46.029106,51.356857,9.18013,41.777496,14.323197,162.70224,77.82202,0.76065844,0.90972954,0.14264724,0.5174107,1.3207707,1.1781235,9.841897,5.4379315,11.000803,11.953587,0.4542253,1.200404,3.0100098,6.393579,-0.6072677,-27.854109,-12.552939,-1.1447363,-32.509968,-0.74512756,0.05269618,3.0671427,1.0866604,1.0571284,9.03249,0.50713575,12.269951,0.72656715,19.029335,0.5019572,903.05536,0.16601093,1219.5852,0.18200462,-89.12573,-1.0414996,1974.2386,0.12130474,955.28534,0.42497241,-86.833,-0.9421292,2969.8726,0.057175066,836.12225,0.2704795,-86.72826,-0.93531036,-10.118052,-0.7702939,20.586288,0.46804562,0.071920104,0.36649495,-0.01732258,-1.2690558,0.65288085,0.871825,8.484074,1.0335295,-4.3661113,-4.535564,-15.952978,-0.92295617,-44.539143,-0.4733044,1.3423554,9.732932,0.049823508,0.004974515,0.14081527,3.5874438,2.347418,0.266,0.06529931,0.22333333,0.1990533,-19.42449,9,9,3,speaker_2,110.4,180.766667,engaged,2.2499375
43.529373,0.09434836,40.777122,43.08332,45.19324,4.4161186,22.432493,9.631635,704.4516,972.0804,0.5274128,0.87422794,0.09896143,0.40316564,0.94548404,0.8465226,6.263983,1.7596028,8.77036,5.087339,0.20508644,1.0264,8.427049,2.229381,5.867681,2.7731993,4.787093,3.4970253,-20.685316,-1.0944346,0.015588337,1.3733702,0.89264125,0.86610675,10.394708,0.48795506,19.178663,0.53868294,14.806974,1.0117861,744.99994,0.2728724,1321.7548,0.17360973,-96.13685,-0.91117585,1876.4269,0.10151836,880.5713,0.5557281,-87.32156,-0.9121765,2836.4456,0.07420088,1101.392,0.4300845,-83.42649,-0.9835414,-9.59885,-1.1412483,15.772914,0.940432,0.06309493,0.30573425,-0.020431742,-0.9572135,0.27886143,0.7603169,13.376189,1.2510728,-0.34694514,-45.23085,7.700414,2.4037278,-30.813684,-0.6605239,-3.031395,7.9139676,0.045168355,0.0017182935,0.083039336,3.125,3.196347,0.19285715,0.11695106,0.08625,0.09150649,-25.004097,9,9,4,speaker_4,180.8,190.033333,disengaged,2.25
