,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,start_time,end_time,label
0,37.019592,0.16144106,32.53276,36.319878,42.076942,9.544182,210.5288,410.94424,126.34388,237.94676,0.22206537,1.3373734,0.00621464,0.10538954,0.41810966,0.411895,4.8900237,4.4315567,2.8346424,2.9226978,0.089856185,2.1025262,14.870247,1.1630238,8.094272,1.3931901,-4.9162455,-3.0731196,-8.490435,-2.154818,0.02456676,2.027837,1.0648769,0.9518499,9.511277,0.47692525,9.015314,1.2746482,32.347843,0.3892576,773.3785,0.23872423,1341.7462,0.18147422,-121.64764,-0.7642599,1829.9825,0.13144608,1111.822,0.28449887,-123.90743,-0.6858724,2947.2773,0.081969514,942.90643,0.3548005,-127.17511,-0.6374814,-18.17397,-0.4950897,31.314142,0.3030467,0.07702214,0.2778017,-0.019895246,-0.8812402,0.17692512,1.3856,29.024773,0.3549601,7.0626874,1.9353095,-9.905399,-1.8298154,-20.906353,-0.7988772,-9.032987,19.173063,0.02230666,0.022852067,0.022023024,1.068827,1.7028813,0.24728,0.25078878,0.33170834,0.5656617,-28.276482,0.0,146.9,engaged
1,36.68072,0.12286397,34.524097,35.898636,38.337257,3.81316,222.63918,490.5653,61.13275,46.876102,0.31645417,0.75124943,0.124050885,0.29189655,0.4666382,0.34258732,4.9290295,2.6672335,3.4725392,1.8385155,0.1358332,1.2184148,20.097809,0.860273,15.386139,0.7390887,-1.3899721,-10.161481,-10.043397,-1.2520982,0.026879357,1.5946165,1.4183586,0.7284128,8.4749,0.44055465,12.827769,0.8698098,32.73091,0.38109088,742.58655,0.26887223,1405.5359,0.16918238,-70.84938,-1.1585783,1812.0868,0.13004772,1174.7749,0.23463391,-77.66068,-0.9335547,2892.166,0.08513793,991.73816,0.3024781,-81.27589,-0.8569484,-19.38323,-0.5638588,31.066462,0.37715626,0.0634014,0.37443978,-0.015893914,-0.82252765,0.16726856,1.0764834,26.425535,0.49572825,15.495298,0.75206625,-1.7631016,-8.509698,-13.055983,-0.8994163,-5.94643,12.803886,0.043132845,0.009747637,0.05530171,3.2950194,3.2307692,0.21285714,0.15109578,0.082051285,0.115162745,-27.657003,146.933333,160.0,disengaged
2,35.665417,0.06512835,35.210873,36.611225,37.111008,1.900135,101.7224,63.90645,48.686893,37.913548,0.22663938,0.73779684,0.06647559,0.17231815,0.34388545,0.27740985,4.614085,2.5310247,2.872274,0.7825863,0.085961774,0.6463762,28.857166,0.55747366,11.734462,1.1622217,-7.2565227,-2.1598375,-7.7621593,-1.7843379,0.025676433,0.8934694,1.3196731,0.9159588,7.7401676,0.35834873,2.6384618,5.4875956,32.897015,0.4201722,700.30707,0.22641684,1472.8303,0.13006233,-60.245876,-1.1766025,1727.1954,0.1390679,1224.2682,0.12098518,-64.57503,-0.96725285,2856.565,0.069772765,1124.7454,0.18462926,-73.2388,-0.7929365,-19.642313,-0.45429218,33.356224,0.31783864,0.069168255,0.29689342,-0.013908225,-0.921636,0.11039259,0.43591303,35.036312,0.32078153,8.690099,1.5449541,-8.479281,-1.6616274,-11.762207,-0.9983162,-16.566458,23.07208,0.051728133,-0.0033942224,0.027843934,4.83871,3.508772,0.22,0.14999999,0.04,0.02,-34.67159,160.033333,160.666667,engaged
3,37.212124,0.06381986,35.303062,37.344215,39.873066,4.5700035,33.107006,21.922651,25.60572,10.903736,0.18336873,1.2321879,0.0049452623,0.05652544,0.45140827,0.44646302,2.0523105,0.68186355,2.0986502,1.1456313,0.06710647,1.3803731,13.729609,1.3325723,9.477882,1.1798558,-5.1458573,-3.4527795,-4.980903,-3.7187674,0.022881407,1.4357728,0.96415824,0.8431384,8.032008,0.53674483,5.872927,2.5085857,35.99702,0.2750881,756.3152,0.2109351,1421.8933,0.1914089,-128.8281,-0.70157534,1773.1606,0.13913928,1217.6997,0.26529074,-130.77641,-0.64778316,2923.2368,0.06736997,974.8615,0.27679923,-136.18756,-0.56854475,-18.999224,-0.6090115,36.504826,0.1994194,0.059668813,0.36083835,-0.01777272,-0.81759447,0.1561727,0.5600258,33.0626,0.19035107,9.060418,1.6686108,-14.910572,-1.5631537,-21.749743,-0.5792461,-8.010981,17.25099,0.019417146,0.029886313,0.0105141,2.1538463,1.2500001,0.305,0.2573422,0.374,0.56588334,-32.84031,160.7,163.966667,disengaged
4,38.116066,0.14248656,34.13654,37.252598,42.513496,8.376957,146.74539,179.29512,81.099594,112.302574,0.20671478,1.2553325,0.0060468256,0.10672865,0.3859217,0.37987486,4.3438663,3.1089053,2.7790358,1.7118739,0.08052287,2.3091912,15.260659,1.1149446,8.314449,1.4002554,-3.3085299,-4.7048965,-5.9103537,-3.1751418,0.02393494,2.2589595,1.0088912,0.9252968,10.228987,0.41782716,11.514653,1.0044467,31.774044,0.34181154,789.2617,0.2307783,1332.0221,0.18791448,-120.27344,-0.76083565,1834.046,0.12629938,1122.2472,0.29241496,-121.99947,-0.6900336,2944.3179,0.07760713,933.8462,0.3664298,-125.345215,-0.64073014,-18.10618,-0.58822995,31.627186,0.31029302,0.07391819,0.29324734,-0.015723573,-1.1576955,0.1544571,1.6099747,28.329859,0.38765073,7.536348,1.9133744,-8.28259,-2.1591325,-18.51435,-0.88185465,-9.427867,19.975306,0.015601088,0.026994247,0.018617151,1.3740458,1.7252676,0.25455695,0.25204876,0.33374998,0.868335,-29.259163,164.0,209.866667,engaged
5,36.253967,0.06515354,35.298893,36.029926,37.702698,2.4038048,585.90533,526.48035,15.91236,6.4610863,0.23467763,0.80741954,0.010708047,0.23392391,0.38973325,0.37902522,3.5430887,1.368455,2.5503595,1.5373405,0.103007294,0.95390123,24.388535,0.7791557,13.933525,0.9464978,-3.9105766,-3.444526,-5.394797,-2.521296,0.01573718,1.1940652,1.030297,0.730449,10.209985,0.32411787,10.83155,1.0712062,40.146282,0.24574581,725.36,0.28941333,1434.0151,0.16053946,-88.608055,-1.0066218,1794.8055,0.11625706,1302.7524,0.23573942,-98.05496,-0.79269665,2950.632,0.07196618,1109.5162,0.20492017,-103.69472,-0.70329016,-24.647692,-0.46290886,39.551888,0.21732734,0.078934826,0.2510093,-0.015726807,-0.82368326,0.15418622,0.5884338,36.807972,0.24421844,17.554493,0.7416416,-3.7210207,-4.0918274,-12.402789,-0.927517,-6.2422,15.16369,0.041804463,0.02388454,0.018332226,3.9426525,1.8382353,0.32999998,0.18622565,0.16,0.2433105,-29.177197,209.9,212.7,disengaged
6,35.804184,0.11141462,33.93957,36.48737,38.74674,4.807167,118.538826,103.26369,179.06137,370.4706,0.18704519,1.146535,0.0066979267,0.09249922,0.37902868,0.37233075,5.0439153,2.7637749,3.524298,2.173762,0.07189398,1.3330201,17.908373,0.9834949,10.394049,1.197144,-2.6062505,-5.309259,-2.7075427,-4.6930766,0.026035385,2.0141313,1.2054924,0.847777,8.741086,0.4474771,8.554908,1.4709166,34.079353,0.30638137,746.8046,0.23956622,1371.5618,0.16742145,-123.78726,-0.7328497,1785.3268,0.1259418,1179.1292,0.3253459,-126.1218,-0.66534466,2928.7034,0.0749245,991.0234,0.34150758,-130.72195,-0.5997532,-18.246126,-0.62216216,32.632053,0.33430728,0.07316201,0.28376144,-0.014653787,-1.2036368,0.14571665,0.6947512,31.497032,0.35151237,9.643337,1.5610018,-7.6712565,-2.1263485,-11.587222,-1.043983,-11.786313,22.674246,0.017548887,0.02214626,0.017813653,2.8664143,2.2234273,0.18121952,0.17462428,0.25349998,0.649856,-32.43225,212.733333,231.233333,engaged
7,39.31385,0.109610036,35.75396,39.736126,42.590256,6.836296,219.50218,334.67828,88.00503,133.21626,0.16974083,1.5250275,0.005784695,0.014810507,0.3134688,0.30768412,5.602851,3.756325,3.6460412,2.5325973,0.0627211,1.747512,11.856796,1.251649,8.042143,1.255652,-2.2805922,-5.228824,-4.345215,-3.2817674,0.022386726,1.5936487,1.2387737,0.8865172,9.966457,0.40611288,10.969189,0.8337509,28.968603,0.38671622,786.27496,0.22666557,1365.2598,0.1804553,-144.60432,-0.5796992,1802.3428,0.11519781,1066.4885,0.27831957,-142.6177,-0.5614754,2910.6143,0.07920681,917.156,0.40972424,-145.30228,-0.52478427,-16.389492,-0.5102838,28.069052,0.35104766,0.06973099,0.28819528,-0.014124182,-1.0579175,0.15566686,0.835823,26.26848,0.39056006,3.3072555,3.9075959,-7.3201733,-2.154577,-17.734406,-0.734132,-10.376333,20.88994,0.01667946,0.026115533,0.01651799,1.8281536,1.832173,0.1716,0.12912565,0.38413042,0.5840844,-32.160587,231.266667,258.633333,disengaged
8,35.109478,0.057686828,33.21187,35.583664,36.958733,3.7468643,82.492386,86.09921,18.209688,13.297817,0.2843857,0.67309374,0.087480135,0.26682794,0.4274887,0.3400086,3.2133164,1.5202111,3.7214973,1.7754568,0.09968058,0.9884978,27.70842,0.49290153,8.294551,1.6270689,-7.2078605,-2.3603916,-8.27469,-1.6509769,0.01330239,1.4644712,1.0172644,0.976378,9.300688,0.3376271,8.307291,1.4244143,35.381763,0.34343603,698.90247,0.2934298,1410.4857,0.12861395,-65.22228,-1.3103925,1772.0762,0.15234493,1165.667,0.34749186,-70.55842,-1.0852815,2888.284,0.10675133,1153.3848,0.42692882,-77.535645,-0.9306029,-17.213797,-0.66354436,32.076687,0.33277723,0.076778494,0.20487633,-0.016069105,-0.9519913,0.119068556,0.7586791,32.400337,0.3091552,8.33107,1.7686281,-5.2781205,-3.433413,-11.941515,-1.0931911,-9.945406,21.642864,0.037049584,0.010552715,0.02788974,4.366812,2.232143,0.318,0.1705755,0.14,0.15116216,-31.79235,258.666667,260.966667,engaged
9,37.00034,0.11699954,34.653034,36.21998,39.377415,4.7243805,185.87367,240.57562,49.748165,44.387825,0.22788961,1.0805959,0.0060383608,0.14547959,0.43404213,0.42800376,4.9189477,3.240035,3.5075421,2.1963668,0.09138428,1.2578055,18.030823,0.99976397,9.542607,1.2650578,-3.4979963,-3.7983177,-6.048596,-2.6870155,0.026042527,2.232802,1.1715991,0.87557876,9.249689,0.40052265,9.875275,1.1754483,34.74273,0.33399382,756.8574,0.23866162,1378.3455,0.16770501,-109.853226,-0.8458221,1829.3159,0.12555028,1147.1509,0.2816637,-113.08483,-0.742011,2938.151,0.07935669,1004.2741,0.30782798,-117.12944,-0.6812618,-19.890875,-0.52713317,33.24634,0.31413686,0.07566093,0.27258253,-0.019807,-0.88832444,0.16266687,0.70614535,31.1417,0.37588546,10.366374,1.349155,-6.7247434,-2.3829544,-16.817139,-0.8110927,-7.5781527,17.043964,0.026703728,0.026208218,0.017672706,2.5883613,1.7866715,0.2751,0.3038864,0.2984091,0.6275527,-30.176435,261.0,317.033333,disengaged
