,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,start_time,end_time,label
0,36.75581,0.106137164,34.48574,36.453743,38.483837,3.9980965,301.2521,741.3488,60.551464,100.49016,0.6419385,1.0222864,0.017682608,0.46655148,1.1437062,1.1260237,13.542994,8.022395,9.127166,6.2291083,0.46122843,1.2056986,17.561125,1.119072,10.763664,1.3368951,-1.919073,-7.629337,-8.50758,-1.9575936,0.02254995,1.79812,1.239038,0.7879254,8.874292,0.45503128,8.120561,1.4255663,31.470165,0.37885916,763.8803,0.25118238,1366.2919,0.17088223,-101.22014,-0.90633506,1837.9064,0.13246074,1187.7931,0.27563065,-105.29218,-0.7855895,2926.4653,0.083080195,1041.5868,0.29882845,-109.072395,-0.7250923,-18.641333,-0.6009792,32.384262,0.3332861,0.059730813,0.3901282,-0.021038035,-0.8572192,0.75549656,0.7431561,29.631315,0.4509107,10.443372,1.4984218,-3.9276977,-4.307426,-16.321884,-1.0020541,-5.0901527,12.9109125,0.033125177,0.019397283,0.09193077,2.7519894,2.1075342,0.25440943,0.21679723,0.23773584,0.39025718,-16.401463,0.0,60.333333,disengaged
1,24.949738,0.43211076,14.096304,25.994646,36.3036,22.207296,183.8545,147.80077,175.45758,177.23105,0.07236433,3.9617925,0.0062575834,0.008212505,0.02389658,0.017638996,13.640965,8.158481,7.4555674,2.936235,0.047659997,4.600264,9.478371,1.294473,13.7050495,0.6078156,12.381641,0.8168743,10.583685,0.9118861,0.046004996,1.9003999,1.4743303,0.6983569,4.172738,1.2034706,38.07977,1.170998,38.268703,0.32789707,887.4258,0.24206804,1378.7607,0.16427833,-183.67958,-0.27149484,1926.3011,0.10734509,1244.3096,0.205861,-183.84554,-0.26021522,3001.7114,0.07079146,1033.0397,0.25429642,-184.32564,-0.2515334,-26.230358,-0.40334377,39.679024,0.18752056,-0.0073230816,-8.56545,0.00093876524,23.724953,0.3750799,1.460276,27.934631,0.25586933,19.208006,0.741888,12.150242,1.5746052,5.3835535,3.5896108,-11.462718,18.958702,-0.006036426,0.03327676,0.009464737,0.23106547,1.0542556,0.08829268,0.07502527,0.85800004,2.7415042,-25.8823,60.366667,99.333333,engaged
2,33.483944,0.006806108,33.25987,33.61424,33.685825,0.42595673,0.0,0.0,-0.08293915,0.0,0.04869831,2.3102684,0.010439212,0.015457101,0.042566385,0.03212717,3.2746458,3.8953695,2.772666,0.59098065,0.034109157,3.3500016,17.782837,0.4123882,15.616119,0.31305158,14.155587,0.472688,14.788813,0.59758455,0.02045095,0.1873154,2.3208547,0.45404088,6.8828063,0.14156161,14.950066,0.18414184,44.33125,0.06264137,865.1269,0.108002245,1377.6926,0.07906457,-192.63956,-0.18302569,1884.3042,0.027801897,1184.8658,0.10211473,-193.34256,-0.16634211,3040.8662,0.009737137,879.9342,0.22897755,-193.81866,-0.15568332,-22.981575,-0.22065778,35.9202,0.16608751,0.024830213,0.86849564,-0.023834128,-0.7163163,0.3815896,0.5596508,37.5679,0.17204306,17.057272,0.27468213,4.4029484,1.014529,-9.850754,-0.754705,-18.56623,29.28905,-0.026907582,0.02520311,0.017943544,1.2903227,0.6666667,0.06,0.0,0.705,0.355,-35.56465,99.366667,100.933333,disengaged
3,23.649345,0.48292443,14.022373,14.289429,38.234207,24.211834,643.47687,1084.7262,115.085266,147.50368,0.15721451,2.646167,0.009044357,0.024941213,0.049486637,0.04044228,10.760194,10.753571,7.9736986,8.633585,0.14040741,3.1899524,16.745478,0.6918782,15.038935,0.65009624,12.970366,0.9852286,10.245378,1.2146555,0.0335175,1.6237822,1.364574,0.5779718,2.7311027,1.786388,43.306606,1.2607827,35.54527,0.35884655,931.49335,0.19799364,1394.1572,0.22441795,-161.5484,-0.4301923,1938.4452,0.11135493,1233.8187,0.2751802,-161.20354,-0.42133933,3021.786,0.07204599,984.7442,0.23830323,-162.22507,-0.40733323,-24.589088,-0.41249007,37.39358,0.21289822,-0.018277658,-3.0230393,0.001032911,21.312603,0.39784926,1.7716284,26.862417,0.19790028,16.213808,0.85465455,14.635131,1.1357621,6.726987,2.7488618,-16.422394,26.471233,-0.02106667,0.026316378,0.049890626,0.7472826,1.9808744,0.10862069,0.092725925,0.362,1.0748345,-22.625486,100.966667,115.7,engaged
4,36.54397,0.0662959,34.858734,36.729927,38.713585,3.8548508,81.49341,84.76962,53.738247,59.064148,0.8868101,0.8005361,0.058989488,0.84020764,1.5511634,1.4921739,18.040602,14.065709,9.26735,6.310244,0.6531002,1.0215805,25.131765,0.58886945,7.6310163,1.6797276,-3.5115013,-4.2057724,-11.286062,-1.1071506,0.021834293,1.2986742,1.1514918,0.6873639,8.83245,0.42587605,9.682049,1.2851295,30.578463,0.37417072,783.5827,0.24538189,1335.322,0.1496431,-73.6564,-1.195756,1876.4705,0.1371666,1124.7148,0.23064649,-78.42076,-0.9975241,2964.8018,0.09289911,1024.1802,0.26546124,-83.22445,-0.89809346,-18.028439,-0.60434604,32.394184,0.23826681,0.06631976,0.29803053,-0.02304393,-0.7874373,0.8712718,0.72228074,31.37599,0.29806975,6.978023,2.0965176,-6.160829,-2.536282,-15.680449,-0.70423526,-7.8518276,16.751373,0.048415016,0.019731605,0.12339369,2.6833632,1.4440433,0.47875,0.3273926,0.22285715,0.2353547,-13.458881,115.733333,121.333333,disengaged
5,36.505062,0.084671155,34.34718,36.23917,38.75571,4.408531,103.39279,128.8128,29.489977,20.51962,0.8652343,0.80060256,0.27599707,0.65459067,1.5217774,1.2457803,14.778332,8.060939,9.6786,7.923771,0.64079654,0.888806,26.350105,0.626915,9.22723,1.7440183,-7.117939,-2.3455908,-8.068801,-1.997068,0.025065757,1.2421498,1.3442954,0.7128398,8.276142,0.43478775,7.888756,1.4399467,33.809227,0.34514904,754.55536,0.28001732,1375.3878,0.1559802,-72.2303,-1.1753968,1816.923,0.13553995,1219.7659,0.20508973,-79.20324,-0.94526815,2939.596,0.086833365,1093.6302,0.25895545,-85.96767,-0.8169297,-17.716984,-0.6722459,34.999935,0.25703084,0.061475094,0.37101966,-0.020270223,-0.86377424,0.81864417,0.65772724,32.32334,0.3598024,8.845257,1.7664441,-9.050936,-1.8490591,-12.312625,-1.2550141,-7.6738276,19.023245,0.045795944,0.006262187,0.22768779,3.4532375,2.906977,0.23299998,0.18003055,0.10588235,0.17067543,-14.797127,121.366667,128.333333,engaged
6,36.75834,0.08235773,35.522972,36.595642,38.791134,3.2681618,281.71313,215.91667,12.201035,15.809233,0.74812114,0.7983068,0.18195124,0.6810817,1.2668412,1.0848899,12.37878,5.5558662,9.243634,4.941074,0.57919353,0.978292,22.322014,0.78403264,10.491167,1.4543456,-1.7781777,-8.594142,-5.7184567,-2.3435476,0.020061597,1.2590731,1.2575737,0.6555681,8.939908,0.50817555,9.421379,1.0014335,31.550817,0.3636046,769.6802,0.28503108,1381.1974,0.14921564,-81.29131,-1.0668274,1844.3174,0.13739529,1250.5284,0.24603277,-86.18691,-0.90897137,2937.7222,0.087277986,1099.0083,0.2270116,-91.92983,-0.8026843,-18.923534,-0.6578767,35.042107,0.26313412,0.056681808,0.4061808,-0.018812144,-1.0100381,0.80634063,0.6749104,31.41304,0.34678394,10.2316675,1.4950563,-3.467458,-4.5664487,-11.102739,-1.0751399,-4.976236,13.305054,0.034719422,0.018153777,0.13701296,4.3177896,2.0905924,0.31083333,0.20422447,0.1475,0.20417006,-15.311801,128.366667,134.166667,disengaged
7,36.326546,0.054545976,34.49113,36.69047,38.285122,3.793991,70.91053,64.92187,27.682947,21.209803,1.022524,0.5341798,0.5837991,0.8894803,1.4773817,0.8935826,13.735631,5.737761,12.462506,7.449366,0.742231,0.7628382,31.494404,0.40625772,6.628461,2.3532238,-6.7451057,-2.3347173,-9.644386,-1.2698897,0.016899219,0.9670424,1.2545344,0.77255476,8.465277,0.47926915,10.908743,1.0536767,33.464584,0.38025573,763.59436,0.23779352,1426.8612,0.18033357,-39.16086,-1.5854477,1764.7557,0.13341735,1237.7313,0.24209918,-49.799343,-1.1036553,2896.4785,0.077127956,1042.2556,0.26942748,-60.087723,-0.8409642,-17.718834,-0.7223739,34.857018,0.20954981,0.057573013,0.33512884,-0.016688192,-1.1621431,0.8431336,0.6758256,34.69664,0.24337158,7.3907332,2.0404735,-6.566856,-2.4449592,-12.261567,-0.86194617,-6.2712746,20.756222,0.042059958,0.0088267885,0.19233976,5.142857,2.9411767,0.28399998,0.30097175,0.056666665,0.03858612,-14.889744,134.2,135.966667,engaged
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051522095,1.9347456,0.006221788,0.007859012,0.07369237,0.06747058,3.9027956,2.7542727,0.81014127,0.0,0.013086815,3.2245734,-3.52795,-3.3088946,4.9653955,1.5997086,-0.91457486,-14.958706,6.098771,1.1717904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8173161,10.690689,0.027423408,0.037025608,0.013814101,0.952381,0.0,0.0,0.0,0.98999995,0.0,-47.213646,136.0,137.066667,disengaged
9,38.84433,0.11207825,35.555733,37.029366,44.52683,8.971096,82.17741,74.09512,75.11718,95.05474,0.3352144,1.7503681,0.00606001,0.00881106,0.6811662,0.67510617,12.468418,6.638782,9.218606,5.9586935,0.20783897,2.110931,7.7652297,1.9563223,7.3969502,1.5071102,2.0894825,6.786231,-1.1479132,-13.374815,0.017313585,1.4742781,1.2346958,0.7115125,8.888443,0.3888251,8.47858,1.4710089,29.180277,0.45913202,757.1202,0.27510697,1385.0012,0.16217896,-154.13905,-0.5340844,1812.7673,0.1351462,1185.5187,0.22305807,-149.7959,-0.5380555,2873.2734,0.08721556,1082.656,0.30886164,-152.07213,-0.50644475,-14.237783,-0.84230614,28.251991,0.40373823,0.06632813,0.33111036,-0.015488156,-1.2776902,0.67376536,0.87318087,22.809862,0.723099,1.9236861,8.775633,-12.781689,-1.2901946,-17.858318,-0.88151276,-5.0568624,11.28388,0.01769116,0.033082746,0.023274094,1.2477064,0.6985294,0.39684212,0.44617736,1.0694444,2.3210232,-20.516132,137.1,164.366667,engaged
