,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,start_time,end_time,label
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071203597,0.838123,0.0043850266,0.0050270413,0.007388924,0.0030038971,0.12257212,0.09764004,0.1905929,0.22590597,0.00042424485,3.0307982,-6.1016283,-0.7836914,4.7491317,0.64569503,1.0159934,4.333931,0.08367557,55.57216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1387095,3.3753104,0.049225096,0.036988452,0.000450243,3.2967033,0.0,0.0,0.0,0.84999996,0.0,-80.26095,54.382,55.31,disengaged
1,36.128376,0.1587481,29.773342,37.297928,40.258335,10.484993,219.00755,412.4041,121.09267,261.3295,0.23681748,1.4435184,0.008368724,0.09532211,0.42766953,0.4193008,4.496807,4.0463843,2.8391376,2.4858003,0.0857448,1.9020481,11.782338,1.5578336,8.256376,1.2148947,-0.31945285,-37.87111,-13.805421,-1.4785435,0.021418188,2.1793396,1.0761904,0.91249573,9.1014385,0.48508656,6.7865076,1.6995326,29.762444,0.3902151,737.37976,0.24000098,1325.4297,0.17576239,-126.240685,-0.73705477,1876.3269,0.13262302,1075.829,0.32894203,-130.07465,-0.64512587,2904.3816,0.08143865,960.8055,0.33178768,-130.70015,-0.63479966,-19.337194,-0.47011924,28.87796,0.3736934,0.0657831,0.32489702,-0.032239262,-0.5549927,0.18036233,1.1005707,26.982386,0.46588212,9.607935,1.2758534,-1.8805813,-8.253728,-30.61862,-0.5888797,-4.132968,12.014011,0.036041383,0.0183548,0.021362485,1.1733301,1.5277606,0.25512195,0.20607582,0.39092436,0.5806126,-27.821667,55.31,216.403,engaged
2,36.26285,0.13780686,34.089516,36.27861,38.85556,4.7660446,289.2969,531.4586,170.0063,303.5298,0.14900108,1.7364738,0.007330393,0.037743982,0.2661611,0.25883073,4.285059,3.1239898,2.748983,2.355881,0.05597277,2.2760916,11.960261,1.3959739,7.0437593,1.5562363,0.46902615,26.590616,0.057370845,297.46524,0.023526117,1.8594011,1.2056667,0.82914454,8.685242,0.5139517,7.283334,1.8765424,29.807583,0.44610438,751.89703,0.24362694,1350.9275,0.1757671,-152.94954,-0.52947867,1845.0701,0.1333187,1109.2861,0.28285992,-152.79797,-0.5002366,2932.8516,0.085510895,1023.321,0.31090996,-154.41006,-0.47650754,-19.009666,-0.5835638,31.031548,0.36935025,0.057152543,0.36182806,-0.021541124,-0.9187785,0.16686189,1.144307,29.344868,0.42941913,9.865928,1.621943,-2.5423672,-7.5782003,-18.537718,-0.9020647,-5.1756563,14.18612,0.020574696,0.023684379,0.013561499,0.8407457,1.1338699,0.23462366,0.20303904,0.7187654,2.1655638,-29.252995,216.46,298.54,engaged
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03570048,0.72767913,0.025348999,0.029121105,0.034720425,0.009371426,0.68573666,0.67302555,-0.468888,0.6352608,0.007060056,1.3365307,13.801723,0.21803156,10.569816,0.6611506,6.8659596,0.581737,18.652319,0.19667307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.782709,23.908863,-0.017537577,0.017792387,0.0071689985,1.5873016,0.0,0.0,0.0,1.1999999,0.0,-60.681393,298.54,299.813,disengaged
4,37.04259,0.13317059,34.63036,36.298485,40.760303,6.129944,432.71747,730.4689,164.15776,592.82153,0.18154237,1.1296055,0.0116431825,0.115376,0.3090052,0.29736203,3.5166004,2.7730324,2.8949933,2.46902,0.056281004,1.4488598,14.939276,1.2153547,10.36909,1.1145635,2.6712365,5.163033,-8.766727,-2.2302756,0.018093154,1.7213763,1.0322932,0.9077058,9.989609,0.42116916,9.919271,1.0818808,30.414145,0.3731138,750.65656,0.23032127,1331.0555,0.19451424,-119.95882,-0.76165473,1876.797,0.1189964,1069.0565,0.32324895,-123.72696,-0.6670974,2922.248,0.074147865,945.06274,0.34284022,-124.9256,-0.6476522,-19.610752,-0.5161428,29.882694,0.39191148,0.056529604,0.36017862,-0.022303611,-0.7467126,0.10383736,0.8930363,27.45588,0.47619373,11.670839,1.1681592,1.5841721,11.086674,-22.594128,-0.7524814,-5.7537265,14.581401,0.026482908,0.018320153,0.016787626,2.170786,1.9107448,0.22726026,0.21417736,0.29123187,0.6423942,-32.755497,299.815,376.303,engaged
5,37.32827,0.0585309,35.607803,37.33652,39.59544,3.9876366,63.421013,78.03875,115.950356,225.57939,0.26972672,0.8479286,0.080008,0.21765897,0.40032217,0.32031417,4.308369,3.2543976,2.7501085,1.7640507,0.107202694,1.0333644,19.959734,1.0097394,13.035975,1.1858872,1.5043126,9.508044,-12.522664,-1.4967542,0.0166713,0.842453,1.0522887,0.82634443,9.221398,0.45416823,10.257956,0.99268925,31.403645,0.31426942,774.1924,0.25838622,1358.2144,0.15410097,-88.48976,-0.9748495,1903.9464,0.12777774,1113.49,0.21045686,-94.13025,-0.80091524,2977.8975,0.07995662,1000.32135,0.29290393,-95.89935,-0.77002865,-21.745775,-0.4810329,32.339863,0.37910253,0.050271384,0.39106324,-0.021167936,-0.7871209,0.1487635,0.77878237,29.326242,0.42074627,14.247624,1.2118207,2.4968328,5.9083495,-16.947681,-1.0493014,-3.9975622,10.545312,0.028346129,0.0055143167,0.03511074,3.0219781,3.3519554,0.18166666,0.14281884,0.12777777,0.16564874,-29.44355,376.502,380.153,disengaged
6,36.84875,0.14028099,34.710705,36.798122,39.09123,4.3805237,220.87732,373.66824,108.45719,188.99132,0.22927436,1.137887,0.008974969,0.1495929,0.41446137,0.4054864,4.619823,4.0049076,2.8259642,2.335521,0.07978173,1.52339,14.447857,1.3677608,10.40828,1.2151968,0.9013149,15.281794,-10.507574,-1.8601267,0.017944086,1.6625191,1.0142322,0.85192066,9.675545,0.42497152,9.840022,1.1552085,29.761368,0.41057408,763.6533,0.23119722,1324.5061,0.17792964,-106.395325,-0.8715746,1874.6724,0.12741578,1067.9598,0.32391798,-110.98814,-0.75528836,2937.3167,0.08267308,961.4804,0.33295915,-112.713936,-0.7262364,-19.313334,-0.53440315,29.61421,0.4116244,0.061345737,0.36352995,-0.022968555,-0.769384,0.13838501,0.99106735,27.399769,0.49619392,11.944082,1.2544258,-0.09426481,-177.07683,-21.600996,-0.8918745,-4.177431,12.144708,0.028562486,0.023275232,0.015388544,1.6358464,1.7262858,0.29443297,0.25926927,0.29413792,0.4179466,-29.942589,380.153,436.407,engaged
7,36.198795,0.11641376,34.254005,36.19072,38.647415,4.3934097,140.1494,182.31212,100.4144,169.44875,0.1536278,1.2568752,0.00889226,0.067463994,0.28429282,0.27540055,3.5862148,3.0496218,2.4470735,1.9822669,0.04876093,2.2947466,11.6106825,1.5899292,9.884955,1.0642859,-0.6540078,-20.004818,-13.382855,-1.1354258,0.020353585,2.094093,1.0469128,0.9079986,9.445607,0.4460975,7.1750274,1.5503033,29.82416,0.3628483,747.7931,0.23439784,1336.0961,0.168209,-130.77492,-0.68798316,1865.8704,0.13530272,1083.0403,0.31172848,-132.64009,-0.62308985,2923.061,0.083308764,957.9785,0.32796022,-134.03815,-0.6018287,-18.799534,-0.5337058,29.15521,0.40200242,0.05842075,0.3281488,-0.024411732,-0.7023082,0.10476624,1.3536751,28.326597,0.44892973,12.027921,1.078847,-0.06443864,-267.5919,-24.939997,-0.6195018,-3.671396,11.222354,0.030914424,0.020282736,0.012420943,1.4212089,1.4535793,0.26301074,0.20800526,0.44726187,0.9931004,-33.32252,436.56,500.6,engaged
8,31.344534,0.094842345,27.634596,32.580605,34.03099,6.3963947,103.19888,49.951813,129.4338,116.26773,0.086681254,1.0060445,0.037177444,0.045752905,0.16901813,0.13184069,2.3967369,1.7283347,1.3176773,1.1308285,0.02949639,1.6759659,12.505301,0.72357506,5.039579,1.6213565,-5.664738,-1.4740542,-9.2144375,-1.6147411,0.03871187,1.3380998,1.8754389,0.43454003,4.7242737,0.6483732,0.21662584,45.200058,29.718304,0.26958963,772.626,0.18662813,1366.4508,0.13949984,-159.23253,-0.5040728,1920.0449,0.107237235,1078.6377,0.31637624,-159.9739,-0.47050092,2950.8604,0.083990745,1277.3121,0.3587001,-160.8283,-0.4583914,-19.315506,-0.25419948,28.650522,0.25940096,0.076539524,0.3129093,-0.030992303,-0.3729707,0.10304458,0.5494875,25.299593,0.27470535,8.02446,1.157043,-7.004547,-1.348032,-31.97606,-0.27175826,-7.5271707,18.646845,0.0055349027,0.0150691895,0.008414132,2.314815,1.904762,0.1025,0.07885905,0.5333333,0.72596294,-41.78049,500.601,502.78,disengaged
9,34.330975,0.14859273,29.456131,34.784496,38.52249,9.06636,125.870575,104.93148,65.010506,58.796234,0.116190486,1.5241925,0.011683252,0.024141956,0.19661881,0.18493555,3.4390352,2.5450854,2.7260196,1.7418033,0.040678725,1.9565926,10.702751,1.3453487,8.275229,1.2468303,-5.1683445,-2.2840664,-7.5576987,-1.4933298,0.02440348,1.7374641,1.3276364,0.7767131,7.518846,0.57738256,4.319968,2.830721,29.645525,0.37443447,734.0544,0.26734623,1383.6174,0.15724945,-160.07594,-0.48238868,1796.3295,0.13709243,1161.0869,0.2811376,-160.09537,-0.45692667,2893.9375,0.08527931,1047.6151,0.37143832,-161.55359,-0.43525365,-17.804865,-0.60344267,30.866093,0.34039646,0.060722835,0.3235109,-0.021398371,-0.81662863,0.1475258,0.6830453,29.434978,0.39930493,9.312726,1.6807643,-6.345325,-2.97681,-18.33757,-0.7872409,-6.572564,15.59642,0.023122814,0.01754466,0.009101445,1.3940032,1.1851462,0.18311112,0.15898038,0.6690697,1.8811436,-34.22437,502.783,540.82,engaged
