,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,start_time,end_time,label
0,37.643353,0.073294684,35.58689,37.41604,38.888615,3.3017235,133.35359,147.73412,26.006714,3.217682,0.082666226,1.4306091,0.0053319335,0.012805452,0.16758218,0.16225025,2.8220985,1.1443774,2.5928102,1.9249963,0.03522084,1.5404847,14.2432785,0.9711348,10.964475,0.7439959,6.063201,1.8813459,-1.2032449,-8.59941,0.032087438,1.1721538,1.4625881,0.6134331,9.583832,0.2568852,11.234089,0.78441846,25.63366,0.5025778,882.63385,0.18898575,1330.7583,0.16894269,-142.6957,-0.57098746,2002.3689,0.10224028,1099.9221,0.30933332,-143.86263,-0.5398607,3034.144,0.069187865,1014.9209,0.26382405,-145.08098,-0.5238791,-22.584572,-0.28893784,33.639107,0.2025974,0.05892427,0.4466918,-0.012563762,-1.0803119,0.09830397,0.52864295,30.198643,0.23137102,14.066185,0.7781225,5.817485,2.9325027,-7.3088627,-1.6616359,-6.82354,14.702321,0.024376154,0.027852718,0.0022640117,2.366864,1.2195122,0.26999998,0.0,0.35,0.41044688,-38.543953,0.0,1.7,disengaged
1,36.609333,0.11308188,34.845665,36.333466,38.135975,3.29031,153.09361,109.58909,71.110405,68.37042,0.25159416,0.82749826,0.08353673,0.1778177,0.41977245,0.3362357,3.8969553,1.6276357,3.9708297,2.2140625,0.10350874,1.0669079,18.240683,0.90911865,11.782039,1.0463922,3.316209,4.644719,-14.768858,-1.0722853,0.03102972,1.1490641,1.5971348,0.66040665,7.886954,0.43293524,9.245635,1.344043,26.701035,0.49299717,778.3871,0.24329989,1363.4261,0.186876,-78.46967,-1.0793582,1869.1361,0.10963025,1058.7617,0.29310998,-83.05896,-0.9156479,2889.6587,0.08181633,889.31055,0.3423866,-84.00872,-0.8942284,-17.992506,-0.5090063,26.18631,0.41061902,0.07556483,0.31901735,-0.018854633,-0.7800686,0.14032528,0.83966225,23.820158,0.5377355,11.47425,1.0932652,4.459711,3.58427,-17.79798,-0.8542424,-8.31968,15.537666,0.053576954,0.0027440875,0.036593813,4.297994,3.812317,0.16769229,0.097677164,0.08,0.078421935,-31.409864,1.733333,5.233333,engaged
2,35.0345,0.09371567,34.303104,35.32189,37.027042,2.723938,294.0424,374.5389,7.9859543,28.677492,0.36555085,0.5389209,0.18045782,0.35248902,0.5498593,0.36940145,4.7611547,2.27598,3.912168,2.0181766,0.13036466,0.71638256,27.860119,0.61181706,11.90713,1.353906,-6.651437,-2.6148474,-15.818116,-0.8610879,0.027729634,1.8709471,1.1330223,0.8640222,8.402703,0.49729973,10.669329,1.0844738,35.52656,0.27806368,746.6693,0.29236966,1374.6017,0.1482669,-38.490494,-1.7900183,1834.6237,0.14754455,1202.0092,0.21811996,-52.35941,-1.1034513,2945.6511,0.093976386,1012.7175,0.2784556,-57.54899,-0.94427264,-18.28502,-0.58581746,32.60274,0.29827434,0.073794916,0.2527408,-0.01669114,-0.86582285,0.14367981,0.65000963,32.262897,0.31965846,11.074629,1.4801179,-5.966847,-2.9810894,-18.377804,-0.65804654,-5.792674,13.146604,0.05034637,0.0022694801,0.056659784,3.9344263,2.006689,0.42166668,0.24969424,0.07,0.070710674,-28.878536,5.266667,8.333333,disengaged
3,37.492924,0.03823376,36.156727,36.297527,38.97313,2.8164024,46.12594,0.0,-25.550398,0.0,0.1299517,1.5330509,0.005690919,0.017248997,0.201466,0.19577508,3.5613282,3.0576975,-0.51435333,1.2521465,0.06661509,1.8489836,9.527207,2.069935,14.36785,0.70414364,-1.2728027,-7.9962354,-1.9831308,-7.5939894,0.019480564,0.21586233,1.9820006,0.56805575,10.317709,0.20966971,8.123946,0.7985632,37.88317,0.14654875,861.7091,0.11848504,1244.9536,0.13071077,-170.21284,-0.35587856,1977.955,0.061762683,1091.1085,0.2312519,-171.82468,-0.3202853,3112.7302,0.054337904,1001.36127,0.22959201,-172.94844,-0.30511674,-21.91422,-0.58168197,34.602673,0.51039463,0.060549907,0.28002113,-0.022682754,-0.78158855,0.22256264,0.8328138,26.58412,0.80075717,21.373184,0.34714857,-2.529302,-4.9383354,-6.745015,-2.479756,-7.2870235,15.522266,0.027561208,0.023652025,0.01993338,2.3529413,2.5316458,0.06,0.0,0.315,0.21499999,-31.513298,8.366667,9.233333,engaged
4,35.7744,0.03547419,34.591938,35.626564,36.789192,2.1972542,126.65473,166.219,13.12676,8.662177,0.3531524,0.59158117,0.14035368,0.32388917,0.57298434,0.43263066,4.12639,1.6649187,3.37865,1.2865965,0.1494683,0.7419243,27.125507,0.7026075,19.602278,0.65674543,-0.50555694,-29.066225,-15.726772,-0.82397336,0.013375417,0.86954176,1.0125383,0.6562576,10.493805,0.20199479,16.19283,0.65899086,39.98181,0.23570256,691.6487,0.25467795,1458.844,0.18837143,-49.69255,-1.470773,1828.4286,0.13797966,1202.5762,0.25393718,-64.4777,-0.95404816,2933.9768,0.09036693,1118.4186,0.25312388,-69.158264,-0.84544665,-23.619335,-0.45186618,33.98956,0.34086812,0.081736736,0.19253659,-0.022320606,-0.60724837,0.17301907,0.6236127,32.44547,0.38409978,20.896248,0.6191553,1.5358204,9.0726,-17.957127,-0.63090664,-7.077999,13.482359,0.060969114,0.0060610482,0.050691612,3.517588,2.5906737,0.306,0.044988886,0.0775,0.037666295,-27.226118,9.266667,11.266667,disengaged
5,31.417728,0.0008505475,31.394144,31.408922,31.437794,0.043649673,0.0,0.0,-0.016255856,0.0,0.14674915,1.1623685,0.007778378,0.048096545,0.40517417,0.3973958,0.96719134,0.30945578,-0.007239282,1.2008682,0.050144702,1.3438697,19.798275,0.713841,3.343247,1.94022,-9.7067375,-1.4621843,-8.302732,-0.994483,0.010872581,0.41116163,0.73294455,0.28321818,6.2942724,0.12332964,17.400656,0.014847599,40.200348,0.0076712486,1099.1115,0.057276174,1266.9075,0.083495624,-177.12602,-0.36227638,1983.6582,0.025164481,1683.8033,0.14126866,-179.89746,-0.31577876,2963.313,0.034639195,1264.2068,0.05321387,-180.77127,-0.3008671,-4.7278495,-0.27669433,29.193062,0.062202055,0.08999316,0.05595897,0.0027800174,1.8078319,0.10653024,0.10827413,31.60896,0.02954748,-9.122536,-0.05246407,-29.16132,-0.023389647,-14.615389,-0.087135434,-7.1687384,21.695126,0.03867981,0.010113681,0.053428162,4.7619047,2.7027028,0.03,0.0,0.32,0.0,-38.086803,11.3,11.733333,engaged
6,35.166454,0.018265676,34.513145,35.347534,35.63792,1.1247749,13.448493,2.2042274,1.0878296,6.9516225,0.06266462,2.2110283,0.0051748166,0.005831562,0.026756762,0.021581944,1.6442444,1.4080471,2.9511008,1.6730193,0.024719207,2.6134675,3.1039753,5.009255,8.669412,1.0828761,0.7218961,11.097208,-0.83789676,-14.023631,0.02253823,1.2829181,1.1841532,0.8692506,9.051771,0.29879004,8.082492,1.657865,40.06499,0.24771354,753.2005,0.2571764,1404.4054,0.16595934,-177.69374,-0.34761855,1906.1775,0.11875,1355.8735,0.24312672,-179.33707,-0.3061726,3018.7405,0.07246174,1166.0278,0.26804286,-180.08669,-0.29370102,-18.893936,-0.5837579,37.182472,0.13991946,0.076002575,0.20355621,-0.022758968,-0.67755467,0.14156397,0.4879453,36.455936,0.2522756,16.936577,0.8085935,-11.295367,-1.1588273,-20.718885,-0.63495684,-5.1923122,15.044161,0.017744927,0.035039596,0.0032805174,1.4084507,0.5730659,0.21499999,0.195,1.0033333,0.65657365,-37.598503,11.766667,15.333333,disengaged
7,35.038887,0.13625509,33.587677,35.486553,37.83163,4.2439537,62.17343,41.180088,125.2355,145.31244,0.32846725,0.70714,0.07278974,0.32401693,0.53977907,0.46698934,4.462691,1.7547259,3.8520696,1.8111739,0.14965713,0.8629656,24.996225,0.7171213,15.72791,0.8577364,-2.356157,-7.032741,-15.653422,-1.1212722,0.029724479,2.2282593,1.1045057,0.77742344,8.807635,0.45284516,9.991623,1.0701858,35.50085,0.3116365,747.71954,0.2740516,1370.8812,0.15217866,-58.121517,-1.3961432,1848.7722,0.15648489,1194.2465,0.29558414,-69.03169,-1.0202923,2941.0745,0.0949209,993.08575,0.26945904,-72.77292,-0.9310947,-19.801102,-0.5433895,33.56331,0.312412,0.07994164,0.22010069,-0.021296693,-0.804028,0.18652213,0.6577247,31.65509,0.36231846,14.851499,0.949556,-4.0884666,-4.312251,-21.070797,-0.7122495,-10.380479,18.819283,0.039118353,0.022783915,0.026629578,4.044944,2.050114,0.3644444,0.33290344,0.15333332,0.16888525,-27.57498,15.366667,19.833333,engaged
8,35.98378,0.08830601,35.3371,36.31508,37.72714,2.3900375,147.0613,227.04343,38.992393,39.915962,0.22265427,1.1103051,0.0057092407,0.11990182,0.4265197,0.42081046,5.532513,2.7067032,3.4725833,1.3856926,0.11186419,1.1824943,19.075817,1.0857826,11.088281,1.0319316,0.9091367,14.620811,-7.9511337,-1.9542203,0.01975202,1.4809234,1.2387122,0.7721486,9.527224,0.3406338,10.806448,1.3299034,36.423107,0.3765563,769.45935,0.2499486,1376.0988,0.15248995,-106.81837,-0.8337912,1883.1262,0.13987364,1197.7397,0.22365806,-112.48847,-0.7091514,2982.6143,0.08418288,1155.2662,0.25626776,-116.14937,-0.65406454,-22.57285,-0.37939692,35.97448,0.22322914,0.07431475,0.28180996,-0.019727184,-0.7393368,0.20032644,0.62329286,35.390255,0.20838478,12.954083,0.9798879,-0.9453209,-17.27025,-17.6978,-0.79306793,-6.2329674,15.175003,0.029350186,0.028518355,0.015681291,2.9209623,2.253033,0.22384614,0.1370872,0.20916666,0.4109229,-28.535593,19.866667,25.7,disengaged
9,35.334183,0.1433114,33.548805,36.625336,39.519733,5.970928,139.68343,35.70614,101.39886,96.03818,0.13978924,1.7326459,0.004810869,0.005760733,0.3081392,0.30332834,6.001712,3.9161086,4.8823767,2.3260624,0.084808305,2.0458136,11.073904,1.4239622,9.043166,1.0796775,2.7501307,4.480776,-1.7817972,-7.9801826,0.050178345,1.6139128,1.4165019,0.6306067,7.3786416,0.46868566,7.1358924,1.3901311,31.409937,0.3651347,813.5871,0.22027905,1371.3103,0.19970727,-154.87154,-0.5137525,1880.9042,0.13102633,1147.3987,0.26561224,-155.41066,-0.4794151,3001.4417,0.0763481,1035.7893,0.4378156,-156.88715,-0.45732364,-17.681026,-0.67717075,31.639044,0.37153086,0.06952227,0.3067886,-0.015786974,-1.2406995,0.26860258,0.8488587,32.519505,0.2316683,8.9881735,1.7936499,-4.546085,-3.7086327,-15.788035,-0.83467954,-9.087398,18.717628,0.016595688,0.032724276,0.019069498,1.6842105,1.4893618,0.16714284,0.1343465,0.48142856,0.8830374,-29.911802,25.733333,30.5,engaged
