,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,start_time,end_time,label
0,48.92172,0.11845691,41.136223,50.09415,54.329468,13.193245,23.140356,0.0,-118.4378,0.0,0.20659474,1.5992268,0.0145401135,0.043466453,0.16125445,0.14671433,1.0198011,1.1603676,3.9512548,4.1176295,0.09912896,2.2363477,7.6670384,1.2744998,-0.9345566,-13.289005,-2.3419583,-4.542692,-3.3674464,-5.3663573,0.03337542,1.5290879,0.8904328,0.85621065,12.834731,0.27432913,7.608505,0.8770823,23.772774,0.4428838,899.4858,0.21086918,1138.1262,0.114098914,-178.47284,-0.33196202,1880.9823,0.09345199,1024.4379,0.24299365,-171.31575,-0.37831804,2915.0974,0.060681626,967.14954,0.3544188,-172.8871,-0.3546027,-13.14609,-0.39632204,25.93262,0.37128454,0.07054202,0.37046885,-0.01955079,-0.898613,0.46300885,0.6191204,16.826527,0.48122662,-12.741525,-1.0131612,-17.83477,-0.756785,-32.165924,-0.36352962,-5.6679873,15.545287,0.0038295342,0.02328676,0.024787027,1.8604653,0.95693785,0.16499999,0.085,0.85999995,0.83,-27.904434,0.0,2.166667,disengaged
1,40.88941,0.20439062,34.991276,35.725533,53.05834,18.067062,25.597828,0.0,215.24799,0.0,0.059532046,2.5733392,0.008018275,0.011054392,0.04216699,0.034148715,4.7537756,4.8766656,3.030242,1.6190581,0.025730744,4.0084043,1.0250151,10.532506,8.042396,0.82954866,4.8323584,1.2422167,3.031799,4.4696007,0.03299722,0.86263573,1.4836243,0.67054623,5.5091267,0.4749994,-1.3539456,-5.406515,15.876749,0.2723387,701.6296,0.32063362,1145.1051,0.114005156,-195.21661,-0.16782509,1854.2968,0.18470867,706.97485,0.42288357,-193.55278,-0.17788434,2788.4192,0.10407767,1019.95703,0.29596958,-193.78157,-0.17287156,-14.332961,-0.25262007,20.039524,0.2177682,0.05682062,0.3904303,-0.040411238,-0.59415597,0.37630114,0.7924814,19.587791,0.30995858,0.026299004,181.29626,-5.153614,-1.097831,-36.174057,-0.37017095,-6.800286,15.093026,0.0069859778,0.027358197,0.011140687,0.9876544,0.5,0.07,0.03,1.27,1.2206829,-38.05272,2.2,6.266667,engaged
2,45.408558,0.03251445,44.91803,45.985336,46.478226,1.5601959,45.587963,0.0,3.7283897,0.0,0.14003563,2.3197236,0.009219427,0.016187374,0.12135236,0.11213294,2.0322733,1.0898148,3.603767,3.2619605,0.056279913,2.4446871,5.4321985,1.3792292,3.9454827,3.5901868,2.9226775,3.737935,5.498395,1.7175599,0.017637486,0.55588055,2.119808,0.66988325,6.3844457,0.53847516,2.5642557,1.9476516,19.746935,0.22727843,763.6764,0.4155762,1183.1624,0.2199607,-182.95975,-0.28870127,1839.5508,0.16266611,1090.1434,0.08576165,-175.1655,-0.3514306,2833.4253,0.07981757,1011.44,0.26146597,-176.95761,-0.32302818,-2.0833778,-3.148558,18.902658,0.30934694,0.050246548,0.6612509,0.009806556,0.69239736,0.30259785,0.6926908,14.489326,0.6313228,-19.767307,-0.86554605,-13.754494,-1.171636,-4.1751194,-2.5362759,-8.182245,18.574362,0.0023329519,0.023823045,0.022107506,1.6806724,0.877193,0.12,0.0,0.48,0.26999998,-33.4888,6.3,7.5,disengaged
3,36.32148,0.037629362,34.816055,36.422478,37.303616,2.4875603,29.608051,6.9491887,12.530023,5.888429,0.18968505,1.0681062,0.010798467,0.116168655,0.33639896,0.3256005,3.0485113,1.5451376,4.2507815,1.8478779,0.0764469,1.2809576,19.349028,0.7547506,5.6417565,2.181855,2.8086243,5.0773163,-1.945963,-6.642306,0.020437287,1.3680062,1.045814,0.6632154,10.117029,0.20107502,11.839039,0.91568404,34.036617,0.37547916,701.6096,0.29397622,1413.5504,0.14500056,-121.57996,-0.75551516,1810.4594,0.12130525,1190.2811,0.1971262,-126.20338,-0.65406185,2853.712,0.09424686,1182.1519,0.25187257,-128.95862,-0.61753494,-21.380648,-0.42945024,30.855669,0.37679082,0.068260945,0.33961135,-0.016747976,-0.706889,0.15564942,0.69251055,32.865276,0.22343503,8.401605,1.8676665,1.6790574,8.82524,-9.888793,-1.3747429,-10.517043,20.484278,0.014794011,0.02050012,0.017040275,2.9629629,2.3076923,0.17666666,0.01885618,0.175,0.13124405,-32.37154,7.533333,8.9,engaged
4,36.569992,0.041758735,35.552193,36.713196,38.27695,2.7247581,13.882709,14.026207,11.698301,2.7885838,0.5011903,0.7427252,0.115920916,0.5031719,0.7947012,0.6787803,4.5257616,2.6918612,6.160655,2.7059746,0.24643168,0.95108587,30.020065,0.41320124,7.43078,2.0607927,-0.9279011,-18.600443,-12.2487135,-0.99542516,0.011647706,0.7877798,0.8044306,0.7740575,11.231792,0.26455525,9.499317,1.1870873,33.49568,0.23953477,814.51746,0.21755834,1362.2699,0.17374356,-68.60566,-1.1957057,1914.1099,0.12370727,1198.3356,0.203396,-80.633026,-0.88175595,2981.7954,0.06963104,1025.766,0.23921864,-84.62837,-0.8114047,-22.209133,-0.38561216,36.807774,0.21232566,0.056190867,0.47211638,-0.02120343,-0.57244927,0.32663608,0.7143035,35.103107,0.1417188,10.780395,1.1776263,-0.7979979,-24.2519,-15.658233,-0.7843595,-3.5861754,19.60724,0.029207835,0.006424456,0.060146093,3.5714285,2.8301888,0.24666665,0.23697165,0.13499999,0.095,-21.04331,8.933333,10.066667,disengaged
5,35.372105,0.06557358,34.117393,35.436016,36.98827,2.8708763,187.94896,145.95047,36.253395,57.74698,0.43149382,0.8878377,0.024749674,0.37344697,0.77913535,0.75438565,8.318338,6.561026,4.863736,4.337194,0.2508536,1.3344446,27.046017,0.68958867,11.638742,1.0213976,-2.9035077,-4.5221524,-6.287045,-2.488352,0.027318206,3.432594,1.0743787,0.877149,9.66544,0.2932457,9.338568,0.9387906,40.20303,0.20209275,783.8726,0.23878893,1391.8711,0.13529511,-90.98114,-0.99415815,1853.2229,0.12765339,1229.772,0.18766753,-97.36844,-0.81931263,3010.9202,0.07961896,1068.7361,0.25359598,-103.570045,-0.7223125,-20.115295,-0.4397284,36.306206,0.24275698,0.06363621,0.30894315,-0.02177537,-0.7061804,0.37446535,0.9938667,37.62858,0.2571978,11.026364,1.1904382,-6.2830815,-2.3828669,-13.86494,-0.9703342,-8.988232,18.487938,0.02113815,0.012444438,0.058257274,2.857143,2.0044544,0.29666665,0.18773504,0.23142856,0.19104439,-22.420052,10.1,14.666667,engaged
6,37.73248,0.111822166,35.4959,36.47921,41.345314,5.849415,33.815533,22.03178,36.497643,0.0,0.3613372,1.1043454,0.009393293,0.20664686,0.6594615,0.6500682,12.370769,10.148932,4.5806117,4.3219724,0.20172617,1.2596159,17.08753,0.99822384,12.672832,0.9765348,-7.278807,-2.344609,-6.7432575,-2.5517063,0.019945422,1.1059276,1.5464952,0.89944786,8.707527,0.32658693,5.7858295,1.6962095,36.899868,0.26506555,818.1268,0.21317941,1451.3567,0.21631621,-134.13051,-0.66023314,1781.115,0.14011605,1181.1201,0.21619418,-132.75342,-0.6267293,3001.073,0.085673675,1001.4854,0.20523842,-138.41467,-0.54959863,-14.853808,-0.6714521,33.90154,0.31841314,0.068624474,0.3440178,-0.018401999,-1.0786995,0.41988656,0.6701297,30.724604,0.40927792,6.9523864,1.773684,-19.511835,-0.77718085,-19.364172,-0.88157064,-10.626648,18.217718,0.026756277,0.013216532,0.06201749,3.3519554,1.7441862,0.21333334,0.040276818,0.2525,0.24641174,-24.963089,14.7,16.5,disengaged
7,37.628456,0.08187943,35.96396,37.99179,40.234535,4.2705765,270.7433,202.37044,67.66888,65.313675,0.51915693,0.4590665,0.3081419,0.51583034,0.77460223,0.46646035,8.761385,1.6517433,5.5905604,2.6278908,0.5193521,0.6345512,35.07617,0.2577385,16.479153,0.39482716,3.1171944,3.4609523,-12.289657,-0.83735734,0.060022417,2.203012,1.7064408,0.5706366,9.385845,0.2574462,10.354183,0.5670014,34.10793,0.36442712,895.07135,0.15773106,1391.7498,0.09971397,-36.095524,-0.8669599,1976.4465,0.078694314,1200.4551,0.14761424,-49.425156,-0.5156169,3093.1216,0.049669627,1021.69385,0.21736461,-55.176567,-0.4185878,-27.502468,-0.18799953,39.758804,0.16070704,0.05244173,0.49925905,-0.021842869,-0.6410848,0.5476428,0.6216963,34.417778,0.2593107,17.425894,0.31042418,4.210447,2.3230205,-13.014683,-0.8215457,-24.785099,36.504074,0.033988923,-0.0093082255,0.3561788,5.0632915,2.7027028,0.35,0.11,0.0,0.0,-19.19248,16.533333,17.333333,engaged
8,34.420452,0.06469966,32.717705,34.094627,36.011684,3.2939796,153.23575,94.966255,26.76351,8.358145,0.2118094,1.0272634,0.0345448,0.15720533,0.30962023,0.27507544,7.550196,1.644606,-2.128531,3.4556704,0.11655442,1.3602132,14.84736,1.6028718,21.669394,0.47653997,3.2751772,3.5760298,-1.962912,-7.878575,0.027291285,0.8973104,1.8292226,0.7195396,8.226777,0.32030308,14.944802,0.41845557,41.561737,0.27779683,693.0657,0.25610632,1497.649,0.1183699,-135.28934,-0.6175558,1824.5704,0.12725705,1384.5106,0.31339723,-137.23099,-0.54048544,2902.0574,0.0790097,1230.4586,0.27279633,-139.31042,-0.51492,-27.325212,-0.2778276,38.92988,0.23861109,0.047765944,0.56321067,-0.023124885,-0.7019635,0.2227933,0.74932975,35.892414,0.25459668,21.928856,0.41475645,6.0887094,1.7801527,-11.779826,-1.4746203,-4.1460505,10.120827,0.019813769,0.014947056,0.028730964,2.1164021,3.8251367,0.09285714,0.056496337,0.175,0.11715375,-29.115866,17.366667,19.266667,disengaged
9,36.016155,0.11344597,34.507244,36.468777,37.93126,3.424015,263.81223,292.315,31.773413,15.166964,0.33562967,1.1338061,0.012355309,0.19200045,0.64175856,0.62940323,8.317433,4.7663903,4.991904,2.9324126,0.21626906,1.45494,16.370584,1.2202122,10.84766,1.2025834,0.005772397,2668.275,-2.2704358,-7.1987133,0.026603365,1.715897,1.4087734,0.7400705,7.86901,0.4548172,9.8573,1.1109482,33.749775,0.31261158,717.52747,0.2718385,1423.425,0.1590297,-127.65758,-0.7011394,1774.4655,0.14138073,1167.9761,0.23786642,-126.37235,-0.65867126,2894.6921,0.08692344,1044.3118,0.2775191,-130.0395,-0.6052397,-18.510567,-0.57345647,33.12837,0.29245105,0.063026614,0.3940001,-0.015470397,-1.2457477,0.43909767,0.8038538,32.10476,0.36414957,9.590464,1.5643307,-3.0303624,-6.237849,-14.133836,-1.0860795,-8.204835,17.845528,0.006230261,0.022755546,0.05024611,2.2393281,2.1784961,0.18741935,0.17868638,0.26827586,0.6100258,-23.472479,19.3,33.6,engaged
