SlNo,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,start_time,end_time,label
0,41.845314,0.042590853,40.96855,42.07511,42.665207,1.6966553,8.748305,6.6931453,490.76218,489.91483,0.3196496,1.1023967,0.010635271,0.06975288,0.71382856,0.7031933,5.0368085,6.9138665,2.9474173,3.3643625,0.056233067,3.5956762,19.78663,0.43540475,8.025044,1.136238,-2.3203132,-7.0656824,-16.894884,-1.5463247,0.0057699066,1.592859,0.4618249,1.6515517,14.918925,0.21390633,16.465525,0.538153,33.73744,0.37160745,780.53754,0.17160721,1276.7162,0.18745276,-116.44143,-0.82856977,1935.2574,0.08869893,1005.9202,0.24098405,-120.02921,-0.7199974,3040.6333,0.051979426,830.28217,0.3803251,-121.81304,-0.6916888,-21.822153,-0.32023716,30.491209,0.24168156,0.056070592,0.258171,-0.0341914,-0.42208385,0.08422023,0.70918703,24.830227,0.23489743,2.950678,3.227853,-15.853655,-0.81676227,-41.86212,-0.31381875,-17.693676,26.740133,-0.019234968,0.018315006,0.034296323,1.1550152,0.42682928,1.0814285,1.1945642,1.0849999,2.4621434,-24.427216,0,16.466667,disengaged
1,34.409702,0.14913122,29.628353,35.50858,37.769146,8.140793,455.35123,493.11438,52.275795,49.033764,0.31926754,1.189574,0.008665048,0.17910178,0.6173564,0.6086914,6.920725,5.2314544,4.3975735,3.5505443,0.1610232,1.4617268,21.658916,0.81222063,11.14713,1.0173304,0.5835974,26.615782,-5.4788485,-3.4698055,0.016514895,1.1918532,1.1451195,0.7428368,8.35015,0.42098692,3.667362,4.2572784,33.48347,0.4959861,710.14716,0.278065,1355.1731,0.17082426,-112.49106,-0.84248847,1805.5981,0.15285315,1195.9452,0.24591407,-117.07426,-0.72544545,2926.2756,0.09997214,1084.7648,0.3211205,-121.04731,-0.66661745,-18.133123,-0.6154021,32.376434,0.33159092,0.07219361,0.28709733,-0.024406785,-0.78601927,0.30526367,0.8540777,34.20464,0.35501927,9.2494335,1.4789088,-6.0782332,-2.8032928,-17.492493,-0.9105144,-10.817438,20.41017,0.018452145,0.016935168,0.027046042,2.3616238,1.7049667,0.2726087,0.23976831,0.32095236,0.46362856,-24.37448,16.5,30.066667,engaged
2,35.24491,0.123849206,34.669514,35.96116,36.674446,2.0049324,261.05435,145.10628,42.417885,20.624113,0.15046304,1.5471313,0.0047216946,0.010642923,0.30029202,0.2955703,4.9337025,2.3706875,2.7597384,1.8628713,0.06877273,1.6572967,13.700666,1.3394761,9.778848,0.955897,-1.9762341,-6.458953,-6.307456,-2.401264,0.035593275,1.5525155,1.3375188,0.7580417,7.24967,0.45244676,-2.9645612,-5.7346396,30.258747,0.5589231,651.9368,0.29481384,1389.6047,0.12698208,-154.80968,-0.5207086,1725.4385,0.17438066,1167.0712,0.19504903,-153.02403,-0.4982459,2852.6558,0.102759786,964.99896,0.25287062,-155.5727,-0.4621577,-18.835548,-0.4159255,33.474133,0.2230728,0.08167707,0.17218287,-0.026295941,-0.43555003,0.21556419,0.5534757,35.425735,0.1978059,6.137985,2.1218681,-11.024751,-1.2671281,-26.329746,-0.30773425,-9.123962,18.617079,0.031993225,0.02611579,0.015552129,1.6701461,1.6877638,0.15124999,0.080690384,0.48,0.5833646,-32.028275,30.1,34.9,disengaged
3,37.83075,0.13239379,35.009323,36.90508,39.250954,4.2416306,188.0579,238.44232,262.3181,560.892,0.20789903,1.1583234,0.0063531357,0.11073745,0.39701894,0.3906658,5.352166,3.778147,3.4412696,2.2848988,0.096641414,1.5127392,14.847876,1.2197038,9.613871,1.295341,-3.2942235,-4.4731107,-9.833077,-1.9859174,0.0201871,1.4746293,1.1498618,0.86950177,9.540832,0.45433605,8.313974,1.3788317,33.00707,0.39891133,760.234,0.25281432,1369.5837,0.18874712,-132.1912,-0.6676615,1849.1437,0.13774508,1170.2386,0.24974066,-133.26143,-0.6015071,2956.9712,0.083550915,1005.14075,0.29929316,-135.57864,-0.5683203,-20.053375,-0.60603005,34.045277,0.31025082,0.07491291,0.26399663,-0.022135358,-0.92024416,0.19826989,0.85433954,29.914398,0.38694194,12.020633,1.2692168,-7.4883776,-2.379012,-22.846502,-0.7328379,-7.4426403,17.109764,0.035613123,0.018111864,0.029642463,2.5870647,2.0930233,0.17999999,0.19291416,0.28491804,0.46075353,-29.43464,34.933333,65.1,engaged
4,35.719933,0.09922154,32.876717,35.29092,39.39736,6.520645,117.68396,89.66742,109.93742,96.97332,0.2128894,1.0170671,0.019266695,0.13601282,0.45217332,0.43290663,4.275709,1.7174472,3.7157505,4.141717,0.10071974,1.247448,20.336273,0.81646776,12.50684,1.1113901,-0.25265324,-59.055256,-6.865783,-2.2666662,0.02700301,1.7681366,1.3355309,0.62256724,9.136717,0.33544984,8.746609,1.6486987,36.78058,0.32648388,693.80237,0.25653717,1516.7382,0.2107215,-109.20075,-0.8448801,1792.0206,0.13365182,1259.1283,0.24082345,-112.91808,-0.7348797,2924.58,0.08897251,1106.5514,0.23998642,-116.19531,-0.68561804,-25.784187,-0.33369407,37.135693,0.21069662,0.07067895,0.2526677,-0.024561437,-0.43995652,0.17991003,0.7509481,32.791363,0.17687573,15.929814,0.87379396,-2.1453598,-7.677379,-15.639817,-0.93714714,-8.929391,17.528612,0.047544457,0.008751708,0.02341786,3.0864198,1.9108281,0.26,0.014142135,0.23666665,0.15107025,-29.657701,65.133333,66.766667,disengaged
5,36.369278,0.018125298,35.8662,36.121952,36.983063,1.1168633,34.613228,0,-12.873375,0,0.14327365,1.6248624,0.004484202,0.0061087967,0.33488458,0.33040038,2.476799,1.9660832,0.6217052,2.176358,0.055108935,1.6888151,10.363625,1.6592413,9.290353,0.8412399,0.35294023,28.744171,-5.2201066,-2.1360888,0.010084485,0.91809857,0.96269846,0.76165545,10.323844,0.19500686,-4.6163564,-1.2807014,27.1605,0.33207926,576.5439,0.35515466,1429.7021,0.12389114,-174.14597,-0.36404428,1529.0615,0.19527124,1089.9666,0.2562074,-168.80762,-0.3967785,2701.336,0.10088766,942.7711,0.27382115,-171.2255,-0.36093256,-13.177983,-0.40973222,27.195202,0.2601387,0.07610411,0.11362237,-0.01822257,-0.47035277,0.20219119,0.3852979,33.666553,0.2950277,3.3352704,2.8052015,-12.477818,-1.0134246,-16.186924,-0.5138507,-6.11434,15.739916,0.03714886,0.029483093,0.015830815,1.3793104,1.438849,0.114999995,0.065,0.56,0.48,-32.42477,66.8,68.266667,engaged
6,35.26514,0.09969306,34.218327,35.732983,37.690815,3.4724884,351.2786,443.115,32.333717,35.46145,0.34403005,0.7467141,0.100596696,0.29132688,0.58239317,0.48179647,5.2746196,2.07798,4.3544064,2.7946858,0.14572173,0.8418458,27.866343,0.5273736,8.613628,1.8665662,-7.255265,-2.3956254,-7.014305,-2.1506119,0.019574674,1.4162121,1.1454263,0.8247323,8.727368,0.40044567,6.55813,1.8186482,35.985443,0.3344961,724.55084,0.28540716,1403.2181,0.19189768,-65.804,-1.2670279,1808.213,0.14786907,1199.8281,0.29319897,-74.18542,-1.0105375,2948.9805,0.097639486,1114.4414,0.27515617,-81.72365,-0.85714734,-18.448244,-0.68062526,32.661785,0.30975112,0.073840074,0.19551016,-0.015686978,-1.0853006,0.18833691,0.6213326,33.25905,0.29215914,8.559651,2.0151682,-8.577816,-2.1564643,-12.587671,-0.98926914,-11.3951435,22.092854,0.040525813,0.012806977,0.032711193,4.433498,2.9850748,0.23166665,0.14701663,0.105714284,0.09685884,-28.210209,68.3,74.4,disengaged
7,35.707527,0.09204976,34.754795,36.00981,37.853283,3.0984879,274.53638,340.27716,49.926147,81.386086,0.26573688,0.96931213,0.008292157,0.19853656,0.48030537,0.4720132,5.0141296,2.6966822,4.0809283,1.9649223,0.12544987,1.0989949,21.951488,0.84008837,12.118402,1.0294312,-0.98704153,-16.300503,-6.0680656,-2.811087,0.023876738,1.8264378,1.2141995,0.77969885,8.749938,0.40457293,7.616353,1.5533534,36.294945,0.28647947,729.3825,0.26747304,1403.4781,0.17400226,-101.96334,-0.89922494,1822.3265,0.14095864,1175.5597,0.2654333,-106.7513,-0.7728244,2958.8447,0.084251575,1052.5573,0.3159666,-111.40298,-0.6992555,-20.825043,-0.5236148,34.15888,0.27855903,0.07484641,0.21511588,-0.021924049,-0.7344544,0.2044215,0.656762,33.68697,0.28528696,12.339368,1.1509771,-4.6903415,-4.010955,-16.83126,-0.7257925,-11.648568,21.415516,0.022627655,0.018628001,0.031185191,3.3207548,2.2727273,0.23166665,0.15345104,0.19310345,0.42505252,-28.449373,74.433333,87.7,engaged
8,36.897327,0.04560692,35.59624,37.033295,38.445568,2.849327,109.17934,165.79718,12.433707,9.335405,0.3231043,0.7542225,0.007095751,0.2960465,0.5671559,0.56006014,4.3985376,4.7836094,3.1912963,1.1286091,0.14145385,0.8795297,23.295828,0.7687308,13.871255,1.04938,-1.207558,-13.583081,-9.2933655,-1.6590691,0.017991066,1.4880509,0.95789415,0.7864201,10.235859,0.4009831,12.076558,0.7213484,36.815178,0.23160961,797.81213,0.20772888,1382.6296,0.16071981,-72.88649,-1.1307257,1947.9528,0.10353171,1164.9669,0.25591668,-84.87291,-0.8498362,3031.357,0.07139843,1118.8954,0.32396573,-87.63868,-0.79912466,-23.25864,-0.5471578,34.734566,0.32689455,0.07166204,0.25141984,-0.023097962,-0.9104763,0.18774538,0.61846864,31.66606,0.34874868,16.473022,0.9232484,-0.5719352,-29.377007,-15.653269,-0.892609,-6.3833337,17.592648,0.024958191,0.029596519,0.033451576,3.125,1.6042781,0.4333333,0.37383896,0.125,0.11521719,-25.960041,87.733333,89.666667,disengaged
9,38.949123,0.07355273,36.55916,38.505894,39.534622,2.9754639,25.097988,0,303.72266,0,0.07568711,2.0244143,0.005162974,0.00889852,0.08265677,0.077493794,1.618947,0.503646,0.49727926,1.0633914,0.0283536,2.3430953,5.52767,2.9951186,7.4763794,1.8425989,4.2350106,1.8822958,5.8709264,2.1087139,0.014733562,0.77674735,0.7040117,0.8352776,11.32272,0.4251456,19.682543,0.4316676,36.892384,0.29640454,842.22003,0.13127474,1500.8232,0.1414575,-186.64505,-0.24551238,1933.4489,0.07479332,1335.8469,0.16533306,-185.72589,-0.23320144,3045.3271,0.054580245,1121.1168,0.22551936,-185.771,-0.23251244,-32.408012,-0.25717852,44.763275,0.20694013,0.060385797,0.17803772,-0.01578258,-1.1485865,0.18047225,0.6154357,36.26899,0.21814045,26.208912,0.2655585,9.532625,0.98253626,-8.781353,-1.5854142,-4.805221,14.818661,0.021587031,0.03413167,0.00653788,1.5625,1.0752689,0.085,0.065,0.825,0.044999998,-29.75945,89.7,91.633333,engaged
