,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,start_time,end_time,label
0,40.235565,0.12352962,36.920757,40.79723,43.731483,6.810726,480.39938,876.41534,88.13464,111.50188,0.11401312,1.7530764,0.0046803006,0.009390561,0.19767927,0.19299896,4.141503,3.259337,2.1107664,2.0430188,0.04732705,2.049018,6.987757,2.1730583,7.213127,1.3179218,-0.60314816,-19.96056,-6.8508205,-2.4678626,0.02606286,1.2935112,1.1179116,0.8913752,9.730708,0.3611318,5.341007,1.8303618,25.74362,0.39757144,816.231,0.20847213,1251.2004,0.18099555,-163.66203,-0.44433638,1903.0562,0.14689374,1110.2716,0.4040205,-161.84459,-0.4322219,2911.5322,0.081426576,1031.9016,0.41216177,-162.88194,-0.41735098,-15.273505,-0.67290103,28.963467,0.37451577,0.052649755,0.47421208,-0.014262872,-1.6118159,0.15815537,0.7986143,25.10053,0.4373401,3.0175576,4.327799,-5.665951,-3.223479,-26.166414,-0.8793162,-4.105952,13.054594,0.03245881,0.02890476,0.013277512,1.8771333,1.285347,0.16799998,0.15263027,0.63142854,0.7873723,-34.39693,0.0,11.733333,disengaged
1,36.285713,0.122361034,34.420254,36.891796,38.34423,3.923977,150.06253,87.45244,523.5167,817.1585,0.22764905,0.7878731,0.044292606,0.20461471,0.36791953,0.32362694,3.5387714,1.1529595,2.1424136,1.1289951,0.104816705,0.96920925,23.888964,0.7595627,13.914853,0.831817,-1.3725901,-11.326136,-11.501187,-1.6196918,0.030173507,1.7803816,1.268372,0.78053594,8.867742,0.45602196,4.373332,2.7675807,32.119747,0.36570677,837.55566,0.17935316,1360.6608,0.2010758,-87.09713,-1.0124958,1938.4735,0.09278349,1175.3154,0.2983654,-96.64859,-0.80403715,3016.6653,0.057849746,1044.649,0.29244936,-100.29038,-0.748327,-23.861189,-0.35623625,36.57176,0.25919545,0.06603698,0.30500403,-0.024569442,-0.6700058,0.1474709,0.6861406,32.505436,0.31813157,13.865098,0.9127431,-2.7116659,-6.2252545,-18.377193,-0.9015375,-10.468296,20.00819,0.04351318,0.012526766,0.036867272,3.2520325,3.1147542,0.18894736,0.16845724,0.12411765,0.13903274,-29.592833,11.766667,17.933333,engaged
2,37.346405,0.09904541,35.285683,37.534344,39.72093,4.4352455,358.0752,404.9479,58.06615,74.26317,0.21830948,0.96808046,0.015520135,0.16061999,0.39168042,0.3761603,4.1424327,2.4193585,3.1477597,1.9408436,0.10190132,1.1928799,18.673197,1.0265802,12.121537,1.170782,-1.832442,-8.418459,-10.335034,-1.6912109,0.022218604,1.7179633,1.2618706,0.79049855,9.49636,0.38901836,8.595342,1.5727233,33.850803,0.3555822,819.4294,0.21556523,1356.5731,0.18003063,-106.98109,-0.8401685,1909.4911,0.11683619,1187.7185,0.27323774,-112.58762,-0.7145569,2979.448,0.07642259,1027.1681,0.26205146,-115.35183,-0.67344105,-21.493912,-0.52918273,35.126186,0.30845636,0.06490496,0.30787736,-0.019585358,-1.0539339,0.17029618,0.7329253,31.441093,0.36834025,11.438417,1.3443894,-3.4718394,-5.2052317,-18.165043,-0.9837914,-6.8519077,15.411858,0.038843226,0.018257866,0.026569925,3.087167,2.4286582,0.20799999,0.17779483,0.22060606,0.23784305,-27.863829,17.966667,34.5,disengaged
3,37.129795,0.09576836,35.873947,37.16144,38.348774,2.4748268,373.23505,534.249,441.5037,902.3695,0.29654914,0.8151332,0.05544342,0.24058935,0.53243846,0.47699505,5.716794,3.3566346,3.67805,2.3653257,0.15656126,0.9163768,19.713493,1.0527526,12.387804,1.0412748,-0.9578528,-16.375244,-8.723484,-2.051299,0.022152929,1.4949833,1.2455282,0.821001,9.247849,0.4512526,7.0644903,1.7921455,30.059017,0.35955265,809.3959,0.22281455,1380.3838,0.19451393,-98.51251,-0.90318304,1890.715,0.1359575,1116.7844,0.27707985,-104.83593,-0.7585657,2981.3203,0.07951312,1017.7879,0.27601588,-107.37539,-0.71023214,-21.970976,-0.5197309,34.436337,0.34977835,0.05541886,0.35663158,-0.017621998,-1.0647662,0.2319597,0.5689278,29.94117,0.4115201,12.73782,1.0351301,-0.014801518,-1193.042,-16.568213,-0.9280528,-6.754889,16.991796,0.041623898,0.02085648,0.052783933,3.7848606,2.8225806,0.1942857,0.15225515,0.17545454,0.18307294,-26.357037,34.533333,39.566667,engaged
4,35.100166,0.09386601,32.7463,36.652225,37.57702,4.830719,119.67041,109.398544,48.555508,48.09191,0.16878341,0.95612717,0.016456187,0.11122852,0.2905954,0.27413923,2.8838894,1.4449826,1.6379027,0.3745672,0.117437884,1.3093101,16.406965,1.3213073,24.69348,0.39259213,7.740504,1.5300891,3.2762854,3.9844437,0.029836664,1.2985393,1.0075872,0.6110884,9.020748,0.39278832,19.46157,0.60020113,39.437588,0.262396,802.32544,0.275611,1612.2891,0.09130532,-117.9997,-0.7465436,1973.999,0.10115807,1323.423,0.10081316,-123.63496,-0.6263516,3074.8643,0.084109716,1314.5565,0.3722179,-124.02561,-0.62078595,-33.62822,-0.07821872,45.860706,0.07571203,0.054319777,0.47805077,-0.017449304,-0.4969616,0.23961788,0.6508646,36.17343,0.09197143,26.389704,0.24153477,14.237241,0.4595528,-7.318643,-1.1298292,-9.869523,16.798534,0.003168584,0.02410413,0.01982241,2.1052632,2.2222223,0.21,0.07,0.22,0.12,-27.734713,39.6,40.566667,disengaged
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045220815,0.17416412,0.0038970837,0.0044852295,0.0049515525,0.0010544688,0.04899176,0.032462183,0.03673574,0.021031065,0.00012027715,0.45536926,-5.8580966,-0.26982692,5.0033092,0.5248325,2.5213728,1.0649444,3.1287942,1.1807847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117075086,8.588198,0.030248191,0.043945182,0.00012152191,11.594203,0.0,0.0,0.0,0.63,0.0,-98.13294,40.6,41.3,engaged
6,39.933037,0.0554393,38.318016,39.64506,41.479767,3.1617508,18.17191,3.7426443,32.54849,13.165288,0.60355216,0.854267,0.19318254,0.3388946,1.0266622,0.8334797,6.5828543,6.595512,11.25093,2.695004,0.2833666,1.162749,19.662642,0.86322606,3.24485,4.2452083,-11.768109,-1.1793008,-26.844439,-0.6373863,0.018501474,0.9078566,1.1848878,0.8138877,9.256967,0.49363336,3.1429417,2.5524552,24.884123,0.48747277,772.5293,0.20637316,1298.1184,0.13426907,-36.07755,-1.8144084,1789.8547,0.13189143,1122.43,0.1772289,-47.223362,-1.2555538,2868.8271,0.07944534,793.209,0.3015172,-52.28899,-1.0742638,-13.364859,-0.7841559,27.693184,0.40770411,0.058945395,0.26257843,-0.019349385,-0.8159827,0.33407646,1.026168,23.776846,0.532106,1.2288694,11.278068,-14.291519,-0.9568172,-30.326824,-0.54601306,3.1337547,2.3710487,0.036290847,0.019616097,0.009613913,2.6086957,1.8348624,0.465,0.125,0.13,0.0,-23.51395,41.333333,42.5,disengaged
7,37.504265,0.08334223,35.326256,37.72058,39.526546,4.2002907,251.08452,721.537,113.137535,270.7969,0.20662592,1.1371622,0.005888433,0.12504144,0.37642917,0.37054074,5.0915236,3.2975082,3.4362452,2.4968154,0.07947799,1.5230472,12.902912,1.5401427,7.274579,1.8006601,-1.9879844,-7.5797987,-10.119398,-1.6890858,0.019949669,1.5631632,1.1881092,0.8354126,9.72154,0.3821845,5.730042,2.0366094,28.639145,0.31284764,740.92194,0.26356307,1396.4513,0.17090851,-113.43413,-0.80103004,1796.2505,0.14610554,1162.9308,0.2832538,-114.90977,-0.73168814,2889.8337,0.08263887,991.67365,0.34551373,-118.47441,-0.6769569,-18.27992,-0.54770285,32.057182,0.31032738,0.062280018,0.34046477,-0.01660146,-1.0969524,0.14466013,0.9460015,28.536863,0.37116802,8.909271,1.5554382,-3.2413387,-5.68689,-21.656006,-0.7064666,-1.6897093,12.341446,0.03155879,0.033853553,0.014964518,2.5441697,1.7692852,0.27306667,0.23772235,0.2952174,0.41339037,-30.970839,42.533333,85.0,engaged
8,37.189186,0.07413927,34.955322,37.54977,38.69526,3.7399368,190.41124,148.99063,102.36667,95.631676,0.30130792,0.65714496,0.084044546,0.29965413,0.48693612,0.40289158,4.024759,2.516002,2.865,1.2431949,0.14652105,0.9637607,22.71365,0.7486016,13.674864,0.9114442,3.976883,3.9912782,-13.052455,-1.097654,0.025060037,1.9509966,1.1208615,0.7831542,10.284155,0.35712793,8.804705,1.3488593,29.761208,0.3144653,795.65173,0.21316975,1334.4072,0.15748051,-70.30744,-1.140944,1914.646,0.10480887,1056.714,0.30593148,-77.915054,-0.9155593,3018.4426,0.066771336,1048.5845,0.31689084,-81.315254,-0.84707534,-23.259293,-0.38833883,34.419834,0.28609192,0.062531054,0.3923885,-0.022782126,-0.7585855,0.18866156,0.7369722,29.96733,0.33039442,15.532117,0.81985366,3.4384787,5.003142,-17.310448,-0.79151213,-5.4644537,12.252268,0.038620498,0.012485889,0.03735975,3.9513679,1.5432099,0.47,0.51776445,0.154,0.13514437,-26.020897,85.033333,88.333333,disengaged
9,37.535084,0.069326885,34.913406,37.97331,38.779846,3.8664398,96.50448,82.379585,-65.73287,56.502586,0.22485165,0.79023784,0.046914186,0.17016833,0.43466312,0.38774893,2.2113347,1.9921919,1.8631527,1.1890506,0.08695213,1.1006421,17.197144,1.0067929,2.5146344,7.5771694,-4.051101,-5.4218116,-10.543203,-1.0984867,0.026546927,1.6039412,0.9570899,0.5891618,11.309595,0.28758305,19.701712,0.49702328,34.16417,0.28196475,747.7759,0.23029225,1384.1233,0.15223268,-113.22973,-0.78023994,1919.4675,0.08520372,1215.416,0.32477456,-116.98571,-0.68554,2939.6658,0.06462247,1048.3898,0.35992408,-117.124565,-0.67762476,-27.161034,-0.31292656,37.980785,0.207417,0.06804911,0.29502973,-0.023776228,-0.3915492,0.1575352,0.589371,32.97008,0.14018393,16.149117,0.77561164,9.98227,1.2650918,-16.962132,-0.49168858,1.9654752,10.0807905,0.036789615,0.027433204,0.017383538,3.2,0.8333334,0.62,0.0,0.56,0.0,-27.16917,88.366667,89.633333,engaged
