,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,start_time,end_time,label
0,36.922947,0.13074188,34.672962,36.321228,39.08332,4.4103584,329.70993,421.20865,73.6022,73.53386,0.14268991,1.3867205,0.005383029,0.02169463,0.30266497,0.29728195,4.4317427,2.9436672,2.7816918,1.8682237,0.06367026,1.6736294,12.221397,1.5591195,11.87538,0.91787636,0.11350406,113.19931,-5.0926147,-3.4873261,0.026868595,2.0943186,1.1816397,0.8862629,9.181889,0.46185628,11.049671,1.2403384,37.50949,0.32078433,730.71814,0.24785653,1370.8408,0.17600213,-144.37683,-0.5844199,1829.4131,0.12838604,1167.8722,0.24736172,-146.60625,-0.5198252,2945.387,0.080255814,1001.2167,0.28586406,-148.57478,-0.49161986,-22.1391,-0.5206064,34.96086,0.3181845,0.07407893,0.2777623,-0.022555279,-0.86156803,0.16317554,0.75972396,32.262947,0.39689988,14.378222,0.98587984,-5.008187,-3.3568122,-20.606697,-0.82549345,-7.9810534,17.404613,0.022308279,0.026223933,0.015887149,2.0410657,1.69989,0.18129495,0.17106031,0.42872,1.1217655,-31.906805,0.0,81.833333,engaged
1,40.77183,0.24382514,36.072693,38.70222,45.58915,9.516457,359.935,269.32816,137.18105,21.963715,0.3199914,0.66236013,0.15584652,0.24407877,0.41281608,0.25696957,2.6129458,0.75740486,3.4304736,0.64945674,0.13729335,0.8074139,16.77646,1.5273077,16.034924,0.75160587,4.8338814,2.2233593,-11.596711,-1.3464265,0.0463617,1.2334666,1.3199111,0.6423624,5.6896987,1.2960079,9.729666,1.0343934,27.690275,0.71246123,781.9469,0.2153372,1150.1285,0.22184077,-38.86207,-1.5317826,1962.281,0.09117938,919.81104,0.26236844,-43.385433,-1.0252792,2995.815,0.07346484,942.4718,0.33662492,-44.998302,-0.95356506,-15.234795,-1.2755117,19.666903,1.0984172,0.06835607,0.24688843,-0.024802107,-0.8302177,0.16846183,0.6427967,19.172503,1.3373349,14.296819,0.80976486,5.365068,1.8315606,-16.636614,-0.7408129,-5.947898,13.220007,0.034715265,0.0035696723,0.030872535,1.8181818,6.1224494,0.13666667,0.080138765,0.02,0.0,-28.677528,81.866667,82.433333,disengaged
2,37.531586,0.123593114,35.377617,37.16655,40.034843,4.6572266,229.00581,260.6938,131.48778,254.18492,0.14914677,1.3492862,0.005766304,0.037248977,0.31186387,0.30609757,4.3991528,3.0620127,2.9189348,1.8905042,0.06312011,1.6291504,12.666009,1.4959724,9.189269,1.1509373,-0.55628747,-21.850647,-5.414629,-3.5475657,0.023771504,2.0246418,1.1742709,0.8991071,9.343808,0.4461241,9.924796,1.3807789,35.677998,0.36550722,743.08405,0.24589966,1365.5836,0.1802069,-144.31415,-0.58329785,1835.262,0.13714933,1165.289,0.25182116,-145.14056,-0.53023297,2950.2852,0.08276868,1007.98566,0.29220805,-147.0983,-0.5020345,-21.091475,-0.5336427,34.465267,0.32370007,0.07185785,0.28279436,-0.023552647,-0.85737836,0.15677676,0.7648266,31.733767,0.40205383,11.344789,1.1496205,-5.8319426,-2.6186519,-22.921978,-0.77703685,-7.4351325,17.344383,0.02434711,0.023232834,0.016661195,1.990963,1.7665347,0.17775999,0.16253427,0.3890678,1.246851,-32.28611,82.466667,153.3,engaged
3,36.177364,0.14145386,34.171036,35.77946,37.7035,3.532463,116.61746,32.182384,28.24089,14.001799,0.2805477,0.8382978,0.04450567,0.23153447,0.46582597,0.42132032,5.1599565,2.7069473,4.215165,2.150585,0.14440471,1.0803512,19.5311,1.1806793,9.3911705,1.4117695,-8.124419,-1.9777007,-5.5911756,-2.2466936,0.0332721,2.1407251,1.429118,0.7858296,7.887362,0.48203638,6.066009,2.0784657,30.402475,0.6118037,771.70245,0.2544877,1402.007,0.2032172,-100.68034,-0.9076878,1825.5929,0.1255347,1189.6549,0.23944604,-104.51092,-0.791947,2966.8577,0.079231694,1047.3837,0.27525622,-109.35986,-0.7014857,-18.0345,-0.7007735,35.254314,0.33124238,0.06244245,0.3151511,-0.016191406,-1.2137989,0.22886834,0.710106,32.128887,0.47351912,11.208831,1.3953544,-9.691481,-1.9548653,-12.741578,-0.8822643,-4.5075984,13.526183,0.044089213,0.020979118,0.041347258,4.347826,3.1645572,0.16499999,0.11482595,0.14222223,0.13774194,-28.44726,153.333333,156.566667,disengaged
4,37.486618,0.13168634,33.706276,38.55996,41.237343,7.531067,117.35279,222.62036,252.09708,528.4931,0.18429829,1.4483906,0.0057971026,0.019364098,0.39170685,0.38590977,5.706556,3.7799096,4.31273,3.089148,0.078528106,1.7755891,9.66271,1.597332,9.715694,1.1020888,-0.67469364,-16.944973,-12.924394,-1.7747893,0.022907924,1.8894728,1.1678824,0.8986715,9.435545,0.45629606,8.782702,1.3482798,29.737373,0.3717463,780.1459,0.21207523,1304.3307,0.17658061,-145.54301,-0.58258784,1911.6256,0.131085,1080.0892,0.30237213,-147.39761,-0.5273964,2947.684,0.07484901,858.7051,0.3836441,-147.69899,-0.52207416,-18.768747,-0.45227858,28.978287,0.3486747,0.07020149,0.2833996,-0.030789007,-0.58692575,0.2122763,0.7836701,26.226885,0.40190503,10.966821,1.2556366,-5.196749,-2.922941,-35.431374,-0.62914217,-6.0995607,15.147044,0.02897791,0.021783995,0.017683143,1.7956904,1.3783461,0.21637681,0.18243894,0.5429032,1.7981007,-30.169104,156.6,206.733333,engaged
5,37.207123,0.06297123,34.880783,36.278183,39.8566,4.9758186,279.8549,350.9645,7.369154,1.6252234,0.4178223,0.5412284,0.17692316,0.4473973,0.61901665,0.4420935,4.286115,3.0712297,4.128854,0.87424093,0.17831872,0.7320269,32.688213,0.23614916,19.259645,0.4924186,-0.47359,-25.408009,-20.093128,-0.79857916,0.009930648,0.7845522,0.862414,0.72743684,11.510378,0.27636433,12.986317,0.7774599,37.90909,0.24698226,783.07227,0.21285279,1489.5278,0.1667025,-29.095354,-1.4340373,1895.7472,0.104968295,1244.194,0.23840877,-47.64248,-0.73176444,2973.6436,0.07469664,1079.7821,0.40221125,-50.28556,-0.6623127,-27.038769,-0.22660676,37.619686,0.17712449,0.073431075,0.2772197,-0.030418955,-0.3919322,0.19870286,0.6337304,33.98622,0.20520766,19.22288,0.5183112,-0.61328375,-20.599087,-23.38372,-0.562828,-24.31509,34.56482,0.060494065,0.005276163,0.019122861,4.464286,1.869159,0.49499997,0.095,0.02,0.0,-24.418009,206.766667,207.9,disengaged
6,37.163002,0.09747299,35.292095,37.01319,39.693718,4.401623,145.6444,176.68393,57.797367,85.60479,0.22152314,1.1406453,0.0061679063,0.12817113,0.4321599,0.42599198,4.7465253,3.0070305,3.1308346,2.2449467,0.09328394,1.3373586,16.996866,1.0644317,10.912595,1.0621778,-1.0993662,-12.531463,-8.986874,-2.4371343,0.023281673,1.8850412,1.1681691,0.9260359,9.632592,0.4296595,10.124573,1.3323259,33.382347,0.4353316,760.9169,0.23977973,1353.3064,0.17212692,-118.1029,-0.7675181,1870.6722,0.13182104,1149.4523,0.27873987,-121.306404,-0.6714186,2958.5544,0.08173866,984.13666,0.3256593,-123.41829,-0.6403465,-22.105822,-0.44167647,34.07145,0.28565532,0.06715325,0.33556932,-0.02539559,-0.7383499,0.17746352,0.7400847,31.536308,0.3294463,12.56727,1.0498323,-3.9505906,-4.1428294,-23.942015,-0.80593437,-7.6784754,17.765558,0.025347916,0.024537284,0.017812328,2.2857144,2.0154269,0.22506171,0.20478307,0.28785715,0.62000656,-28.941889,207.933333,248.2,engaged
7,40.60645,0.11638268,39.38734,40.93848,43.268543,3.8812027,86.09709,82.25074,223.81296,540.84283,0.17427975,1.1523259,0.0060621044,0.076920204,0.36104608,0.354984,3.6970503,2.139244,2.8220525,1.685708,0.067137435,1.5556083,12.516286,1.3233984,6.9754024,1.3376719,-9.674477,-1.3605237,-20.996584,-1.0991267,0.021442465,1.6890054,1.0953077,0.8331199,10.375163,0.4087428,8.294798,1.0878092,32.069134,0.2528824,815.1491,0.18947324,1278.3091,0.15961646,-124.31332,-0.73483366,1916.2104,0.13265735,1193.7715,0.2994255,-126.69556,-0.6406896,2970.057,0.07719519,918.1046,0.34129006,-127.85904,-0.6219027,-16.356886,-0.58533585,30.465265,0.31116995,0.06890048,0.29242235,-0.02680245,-0.67011636,0.1273397,0.7915998,26.259525,0.37416497,5.6163263,2.0418475,-17.083153,-0.7528906,-40.030724,-0.41579047,-6.9831557,17.135159,0.028509833,0.02169376,0.019455321,2.4830701,2.1517553,0.19447368,0.13358808,0.25675675,0.41598502,-33.651134,248.233333,265.966667,disengaged
8,37.507523,0.10797031,35.228535,37.531517,40.3646,5.1360664,289.41357,482.6566,133.23543,294.40775,0.1939859,1.1810024,0.0063090636,0.10045422,0.36809087,0.3617818,4.2435055,2.7739482,2.9861608,2.0985773,0.07945404,1.4862436,15.126831,1.2700996,11.083793,1.0627017,-1.8196787,-7.558032,-10.041859,-1.9735748,0.023354225,2.0064073,1.1144383,0.9240622,9.963685,0.44289708,10.294807,1.1445994,35.034473,0.32304135,751.26245,0.22806825,1359.9056,0.17032325,-126.359604,-0.70859736,1854.4764,0.12776989,1153.357,0.24841443,-129.34308,-0.6241029,2947.207,0.07492262,972.1801,0.307685,-131.43677,-0.5937352,-22.043314,-0.4876362,34.49002,0.30692998,0.068272606,0.28627682,-0.024895068,-0.7596787,0.16028243,0.84419495,31.126947,0.36673993,12.190956,1.139892,-4.525613,-3.6426659,-24.051588,-0.75307316,-6.855177,16.2396,0.033331398,0.019242596,0.01957619,2.3255813,1.8890736,0.21528,0.20188539,0.30424997,0.5799291,-30.271458,266.0,332.233333,engaged
9,36.76079,0.118324496,34.68887,36.218616,38.832474,4.1436043,109.44239,102.6077,98.20689,113.08534,0.33337265,0.7352036,0.091114044,0.3090004,0.55509937,0.46398532,4.904961,3.0369368,4.0853753,2.398309,0.14328106,0.9176667,25.74297,0.6036975,9.43529,1.4820577,-8.747093,-1.8208464,-13.423725,-1.2476823,0.024447944,1.7926215,1.1415188,0.79017806,8.78444,0.40910164,5.6985087,2.2205565,32.55594,0.38673025,744.709,0.26884153,1369.7228,0.16653538,-68.241844,-1.253759,1821.5651,0.15832011,1174.1993,0.25299913,-75.137955,-1.0032685,2933.096,0.096409805,1043.4287,0.29343015,-81.166275,-0.8772931,-18.249636,-0.5801334,33.34845,0.27110505,0.07013288,0.24002275,-0.019262142,-0.8713459,0.18514368,0.6873285,32.21252,0.29679838,8.377764,1.747453,-10.665565,-1.5696788,-18.979202,-0.8050854,-9.438746,18.738548,0.04076728,0.013691007,0.03382282,3.6055923,2.0694752,0.34035712,0.28191286,0.14166667,0.2539302,-28.450068,332.266667,345.866667,disengaged
