F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,participant,session,clip_id,speaker,start_time,end_time,label,speech_duration
36.046444,0.1964003,28.771355,38.50063,41.71272,12.941364,135.6441,97.767204,33.89552,35.029415,0.34770367,1.2260722,0.07929125,0.23576646,0.48016924,0.40087798,8.230094,6.505444,5.590328,8.668111,0.1668406,1.5910826,19.019335,1.080058,18.03998,0.63249236,4.7710004,2.7593634,-14.397107,-1.5284892,0.01775527,1.1550612,1.1916983,1.0880504,10.250425,0.4875243,11.371435,1.0494788,32.93009,0.28088677,732.5302,0.24347618,1387.3462,0.16810533,-99.91047,-0.87315524,1864.9059,0.12953399,1192.9374,0.28958753,-105.26048,-0.73294115,2918.0317,0.07658769,933.63165,0.28551424,-106.53381,-0.71168244,-23.613272,-0.37775725,34.276325,0.2740954,0.05347171,0.5229299,-0.027909357,-0.5505224,0.25189763,1.2669127,29.51659,0.3522871,17.17214,0.7172252,3.8367264,4.0073123,-23.90533,-0.87135303,-8.702343,17.12621,0.011897263,0.0058537,0.051687032,2.4282563,2.9082775,0.19076923,0.16429155,0.13307692,0.14477487,-23.672045,18,18,1,speaker_1,0.966667,7.1,engaged,4.548375
35.613586,0.044270918,34.172943,35.22896,37.033875,2.8609314,36.17923,4.8626003,-13.713964,23.613241,0.14250122,1.2123027,0.0050243335,0.05545049,0.24649397,0.24146964,1.5705794,0.38698864,2.0922093,1.5464078,0.08366732,1.5425344,15.938684,1.4792552,19.31567,0.46365708,4.5693464,1.4285086,0.20682739,73.9865,0.015026405,1.0860206,0.70357054,0.56503814,9.933339,0.3022632,18.946913,0.27465135,47.70249,0.11563175,640.75464,0.2206021,1452.2133,0.11028103,-133.03789,-0.6608163,1842.9755,0.10567248,1304.557,0.16300458,-141.60715,-0.5209721,2968.9434,0.07206913,1203.2775,0.18316919,-143.30975,-0.50067866,-32.536045,-0.10811531,45.127346,0.06851726,0.07134511,0.310628,-0.02628153,-0.46523306,0.1639684,0.7205967,40.892086,0.11277255,26.226276,0.19527279,6.6536098,1.2611742,-12.971276,-1.0789154,-4.989629,12.810198,0.030998047,0.030588588,0.03125565,1.754386,1.8518519,0.195,0.015,0.325,0.295,-30.319786,18,18,1,speaker_0,0.966667,7.1,engaged,1.155
35.666096,0.055906877,33.788403,35.47862,37.537632,3.7492294,70.81942,81.24622,21.35257,4.595062,0.333484,0.79515666,0.08411004,0.27452677,0.5277116,0.44360155,5.3248973,3.737469,3.9834208,2.4199708,0.16738816,1.0181667,26.076834,0.6949473,12.8641615,0.9493417,-3.5507183,-4.7104115,-11.57225,-1.4451486,0.018164694,1.3983109,1.1128349,0.70494664,9.370614,0.27213743,9.829334,0.94418573,39.0084,0.23405729,791.6346,0.22469302,1386.4186,0.16836877,-69.67884,-1.2343755,1889.2297,0.1197882,1243.8337,0.24021374,-79.81645,-0.93281406,2970.8772,0.07793256,1070.8601,0.23262747,-84.30909,-0.84777814,-21.865889,-0.4937851,36.77862,0.23506258,0.07759187,0.22833496,-0.0239036,-0.7563682,0.222562,0.7610165,35.41435,0.222742,12.12979,1.0189168,-5.762757,-3.0383484,-17.289053,-0.90257937,-6.555879,13.438872,0.057018258,0.010425726,0.042069484,3.0864198,2.201258,0.3142857,0.19315846,0.14166667,0.11495168,-27.319748,18,18,2,speaker_6,7.133333,10.7,disengaged,3.25
34.98024,0.07686367,33.090096,34.881397,35.606155,2.5160599,225.29198,72.05998,120.26085,177.21524,0.32118103,0.7012233,0.075934775,0.3566137,0.46796295,0.39202818,3.3993928,3.0339367,2.6044633,1.1224173,0.12424502,0.9592674,22.187506,0.662225,5.471223,3.0224607,-7.9138017,-1.9424713,-17.469738,-0.8056851,0.040304497,1.9323121,0.96538526,0.91621214,6.3036585,0.6787523,9.878796,0.9582371,33.229393,0.26721773,813.52155,0.2110064,1298.9833,0.18241964,-99.961945,-0.9167182,1867.6262,0.12990892,1233.1294,0.3828637,-108.505974,-0.7533836,2938.2737,0.0808536,895.1703,0.24133012,-110.72652,-0.7190201,-15.926884,-0.7183952,29.035877,0.3178433,0.068505734,0.27055618,-0.01577965,-1.3959345,0.1696969,0.8041207,29.845966,0.31792894,10.172268,1.6730889,-4.637454,-2.9812777,-22.76884,-0.5655656,-6.227988,19.545479,0.054257814,0.0046241567,0.08165114,2.0833335,3.6231885,0.136,0.11271202,0.116000004,0.054258637,-31.034544,18,18,3,speaker_0,10.733333,14.2,engaged,1.4566875
38.46975,0.12331028,36.147762,37.797997,38.436203,2.2884407,286.83533,362.8062,88.562744,113.99341,0.4324218,0.6084181,0.19532418,0.39861554,0.6906322,0.49530804,3.9809787,2.3692741,3.6217523,1.538502,0.18735701,0.7925903,26.76985,0.83294994,15.180048,0.88188344,-11.065835,-1.5966797,-13.775743,-1.1681592,0.014000992,1.0209886,0.76018226,0.8132463,10.646675,0.39890268,5.3353004,1.9452215,35.860245,0.32618144,819.1555,0.22074711,1338.7567,0.19803078,-42.013233,-1.4958667,1912.7167,0.12054059,1309.527,0.286547,-58.952892,-0.8748956,3025.5117,0.0834148,1093.5356,0.301063,-64.31855,-0.7353714,-18.587927,-0.8453414,36.943817,0.38911095,0.065522455,0.30980328,-0.018167924,-1.1463299,0.20999135,0.71757805,30.84155,0.6057417,14.734848,0.9395861,-10.649441,-1.7579913,-17.256727,-0.8439328,-1.2824637,9.720223,0.03143518,0.01755346,0.030757902,3.125,2.1505377,0.39249998,0.25073642,0.06,0.029439203,-24.191889,18,18,5,speaker_6,15.333333,17.266667,engaged,1.9333125
38.414692,0.0754555,36.03939,38.383545,40.54145,4.50206,51.510002,19.329948,84.2172,80.74914,0.38941523,0.7356623,0.08478147,0.3942885,0.6762276,0.59144616,8.227587,5.8019156,3.8686404,2.975568,0.20034242,0.8971208,22.145966,0.70462084,8.696481,1.532266,-5.9704294,-3.186512,-12.938661,-1.3874768,0.031184914,2.02048,1.0788451,0.7916879,9.258891,0.48415983,8.737133,1.5636872,29.90687,0.43983883,769.6229,0.23994057,1398.0896,0.16131122,-68.5525,-1.1643041,1816.5161,0.12619099,1173.0315,0.19980532,-72.203896,-0.9660879,2893.5771,0.07832406,1026.0522,0.31559756,-77.975945,-0.8473155,-17.81267,-0.71851003,32.008785,0.34965676,0.06444658,0.36148268,-0.01677219,-1.2745136,0.2532726,0.68044144,27.538887,0.42492053,8.626002,1.7070539,-7.495204,-2.5856004,-17.311953,-0.9442606,-6.331355,14.757343,0.053118538,0.0122387465,0.032260112,3.49345,3.5714285,0.19999999,0.15362291,0.07,0.048989795,-24.242504,18,18,6,speaker_6,17.3,20.6,disengaged,2.3
32.936737,0.19683191,31.91394,35.51454,36.60287,4.6889305,154.59479,54.977337,30.6824,0.0,0.18163286,1.2703482,0.007018604,0.062935494,0.38351572,0.37649712,2.7865384,0.56821406,3.9004517,3.651659,0.104519606,1.8443778,13.855034,1.657511,14.262783,0.65685385,-3.2870193,-3.9472287,-2.6821344,-6.181704,0.027758567,1.95025,1.18425,0.3659051,7.79023,0.36486006,2.9961867,4.46005,34.497684,0.26214135,789.02057,0.33922073,1582.935,0.18297596,-152.07755,-0.52162606,1831.8408,0.17930968,1343.1799,0.15298834,-144.18811,-0.55227166,2984.2698,0.10422423,1144.7886,0.1766532,-147.3651,-0.50852644,-18.906164,-0.6060495,38.079613,0.16428505,0.06845112,0.20762886,-0.024707077,-0.6463165,0.22748864,0.96263576,36.091705,0.11081303,15.305188,0.75580275,-10.449028,-1.5689441,-19.42066,-0.7550211,-6.874439,15.768509,0.03231072,0.026271874,0.0340132,3.0303032,3.2258065,0.089999996,0.06377042,0.305,0.275,-30.298073,18,18,6,speaker_0,17.3,20.6,disengaged,1.0
35.977234,0.15420838,33.962543,35.124435,35.842247,1.8797035,722.5485,0.0,2.7826326,2.6798663,0.33239773,0.77864546,0.09887459,0.23302309,0.52787304,0.42899844,5.0808787,4.09579,4.19333,1.4709833,0.14479746,0.874392,16.830093,1.4231364,6.634558,2.4162652,-10.983457,-1.7162701,-4.810497,-3.3012006,0.012594187,0.8598459,1.4139582,0.659637,7.192034,0.55782676,11.679906,1.1032933,35.332233,0.3317785,727.08484,0.34756562,1413.7013,0.17950931,-85.89848,-1.0847347,1796.7407,0.13762888,1314.0723,0.2415069,-91.78288,-0.8762053,2919.7102,0.09076764,1165.6714,0.3883408,-96.1022,-0.779124,-13.072446,-1.1812233,31.828718,0.36713088,0.06829138,0.25501832,-0.0055392166,-3.140029,0.20452963,0.60866123,26.388128,0.62649226,9.456243,1.9131303,-12.501547,-1.7126608,-10.853456,-1.2630553,0.7601646,15.561078,0.03926073,0.021156492,0.0699666,3.6036036,4.7169814,0.121999994,0.10684567,0.07,0.029664794,-29.453896,18,18,7,speaker_0,20.633333,22.2,engaged,1.125
36.774227,0.031414244,35.850086,36.870872,37.669655,1.8195686,52.628464,36.12538,12.92314,9.816049,0.3367074,0.77750456,0.09802296,0.2758387,0.5603151,0.4622921,5.8819947,2.986798,5.012423,1.315688,0.18179263,0.8027508,26.4708,0.63349825,13.3614855,0.96189624,-4.226818,-4.250095,-15.600012,-0.8836551,0.024923956,1.231631,1.4346422,0.6781158,9.0687275,0.32635087,6.4089255,1.9631736,34.30641,0.26744822,732.6007,0.27333236,1389.041,0.16024257,-75.87467,-1.0990629,1793.9037,0.1499622,1261.016,0.30238783,-82.73106,-0.89137566,2905.452,0.08724378,998.25635,0.24096727,-88.33241,-0.78389996,-19.339857,-0.52660924,33.498333,0.2953556,0.07388881,0.29073253,-0.02165425,-0.69919443,0.23305987,0.59392303,31.535543,0.34669477,11.531178,1.1653731,-7.985409,-2.3192675,-21.16238,-0.5816189,-14.323517,24.329924,0.054161206,-0.00010977275,0.060341593,4.7393365,3.960396,0.16499999,0.07968688,0.065,0.021213202,-27.393646,18,18,8,speaker_6,22.233333,25.966667,disengaged,2.125
36.62661,0.055655286,34.475277,37.358303,38.123585,3.6483078,22.55737,8.567509,22.569252,8.976841,0.2079873,0.99892753,0.016454099,0.11776709,0.37153053,0.35507643,4.9195113,4.4505415,4.3806033,2.6900377,0.1314798,1.2703204,16.235813,1.4518845,17.733091,0.68038976,1.9189613,5.447277,-7.370183,-1.9116932,0.01821958,0.71893734,1.2546046,0.74613667,9.439194,0.35922346,16.904814,0.4594397,44.106274,0.16053626,711.3737,0.23202966,1383.4092,0.1689966,-106.9686,-0.82657117,1896.552,0.09335659,1205.333,0.21519324,-116.06685,-0.65643966,2993.541,0.08339765,1166.8447,0.2871764,-118.316505,-0.62485635,-27.397257,-0.37189153,38.25598,0.27332592,0.06760507,0.3184579,-0.026936738,-0.66027516,0.21359687,0.71183974,32.923805,0.34185115,22.862349,0.45546684,4.8628902,1.9554023,-18.297308,-0.47592863,-5.002238,12.62715,0.03170534,0.01871256,0.054779712,3.937008,2.4590163,0.20666665,0.09030812,0.17333333,0.12657891,-27.88442,18,18,8,speaker_0,22.233333,25.966667,disengaged,1.285
41.94835,0.078398,40.779266,42.02285,44.91975,4.140484,26.133705,19.684954,32.714,27.049109,0.19258055,0.6308185,0.064611524,0.20050992,0.3007376,0.23612607,4.223782,3.6679146,1.2317244,0.71216375,0.048651066,1.3293773,15.383361,1.094071,14.584012,0.5604986,9.604025,0.99864393,-28.451813,-0.5652031,0.01771174,2.3504853,0.5979004,1.2419477,14.312144,0.24714214,17.770737,0.335131,23.369377,0.47275499,849.71875,0.16387059,1312.7947,0.14705375,-84.26845,-0.9373903,1989.9525,0.074849166,1061.8287,0.30554685,-92.21761,-0.74300873,2987.6838,0.048308883,834.34753,0.30846903,-88.17532,-0.80832016,-26.602396,-0.35113096,34.271523,0.29689625,0.0732396,0.29115772,-0.018940356,-0.7421936,0.06566719,1.0929465,23.6717,0.44989917,17.381525,0.40381747,8.887197,1.0966828,-35.082172,-0.3160826,-1.6722378,8.763725,0.03814629,0.012773216,0.012820237,2.5974026,1.7699115,0.385,0.30663496,0.126,0.045431264,-32.00068,18,18,9,speaker_3,26.0,50.533333,engaged,2.32
47.15464,0.090874694,45.177727,45.52789,47.64083,2.4631042,110.593796,58.735714,16.370432,51.886513,0.31336436,1.2199754,0.016251825,0.13525753,0.66018504,0.64393324,4.197093,3.405894,6.9517922,5.9860635,0.12636365,1.5672339,9.386057,2.0011556,4.552545,2.2756612,-12.6328335,-1.1894517,-22.899054,-0.97588533,0.01191421,1.1734526,0.959684,1.3216745,13.691112,0.3542748,17.998215,0.35125145,31.614174,0.3585493,817.2326,0.17229782,1240.185,0.23290165,-114.793495,-0.8119685,1860.1266,0.11293906,1115.5289,0.24397533,-117.65856,-0.6632497,2955.9666,0.071121484,809.65283,0.39569023,-117.94826,-0.6416503,-17.908648,-0.748002,29.942936,0.44978037,0.0844977,0.30887708,-0.010710806,-1.8261966,0.1910495,0.7663884,17.354908,0.8999054,4.5002704,2.3701038,-18.05554,-0.8111085,-38.83287,-0.4519058,-2.473736,14.085357,0.052559655,0.019864606,0.06541204,2.347418,3.3653848,0.14285713,0.099672936,0.13142857,0.07845446,-23.728062,18,18,9,speaker_4,26.0,50.533333,engaged,2.14
40.001236,0.07334342,38.27833,39.703724,41.370033,3.0917015,39.571495,21.003557,16.536324,31.160887,0.36741903,0.7696245,0.08203089,0.343558,0.59719676,0.51516587,3.6809313,2.350007,3.179177,5.126231,0.10902144,1.422572,16.880638,1.1532406,12.704851,0.94768995,-6.656716,-2.1462655,-28.81227,-0.80576396,0.012134839,2.0325117,0.58977395,1.3765539,12.665855,0.28976065,10.764481,0.93807423,33.61233,0.27365547,790.4479,0.15181297,1256.7343,0.15256843,-70.176384,-1.2261581,1924.5835,0.10189146,1068.8806,0.26103574,-83.58622,-0.8865099,2987.4116,0.055416048,803.78595,0.40245813,-84.67727,-0.8643962,-21.034595,-0.44912785,31.423153,0.30042613,0.07234793,0.28679356,-0.03353113,-0.4625885,0.13671643,1.1964741,25.938038,0.4345612,12.559759,1.0591542,-9.27596,-1.6301129,-39.39623,-0.40367535,-1.211317,8.619402,0.036197152,0.009837373,0.03167209,2.1798365,1.7857144,0.38384616,0.25290734,0.17,0.14306176,-27.200804,18,18,9,speaker_1,26.0,50.533333,engaged,7.355
40.56895,0.17825858,36.436344,40.430634,43.152954,6.71661,174.13104,87.846214,84.82341,73.397156,0.16932747,1.1464522,0.008157996,0.09254667,0.35132766,0.34316966,5.1279473,1.9707034,2.8689985,2.630775,0.094635986,1.7871393,9.431943,2.0219538,11.818372,0.8399816,-2.1878152,-5.07584,-7.212703,-2.689132,0.04396548,1.9140394,1.4933028,0.7296366,9.14168,0.618903,11.139263,1.121368,25.163296,0.45279127,822.33856,0.16797058,1312.3679,0.2792682,-144.28752,-0.5572784,1913.039,0.11282765,1075.6864,0.25932905,-142.73729,-0.5177606,2958.8206,0.0779295,899.3686,0.44753242,-142.4145,-0.5153798,-20.795513,-0.6340601,29.206228,0.5050879,0.056111652,0.42753625,-0.017885491,-1.2965691,0.22808814,1.0067424,20.248074,0.899466,16.966047,0.59106237,0.36583447,30.82959,-20.915869,-1.1160581,-6.039618,13.569214,0.039545044,0.017803574,0.020555515,2.4390244,3.5,0.08857142,0.059624672,0.20166665,0.13043728,-27.59301,18,18,9,speaker_0,26.0,50.533333,engaged,2.0633125
