F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,participant,session,clip_id,speaker,start_time,end_time,label,speech_duration
36.18627,0.113502756,34.418613,36.171867,38.271927,3.8533134,319.98972,297.57306,74.18622,86.78792,0.27554673,0.8069352,0.058644023,0.23884596,0.464833,0.40618896,5.3736987,3.1488569,3.0431273,1.8753402,0.13553672,1.0359402,19.896826,1.1633226,15.360627,0.74097914,-1.559114,-8.685492,-12.028229,-1.6639694,0.023896726,1.5566376,1.2130717,0.81156033,9.223932,0.38764372,9.939101,1.1933718,38.027966,0.24688767,781.7716,0.20864837,1362.7336,0.15391022,-88.86553,-1.0031729,1899.5109,0.11132939,1146.429,0.25733027,-97.28193,-0.79699326,2996.1545,0.07270709,1029.4557,0.32387334,-100.09827,-0.7513341,-22.955559,-0.40174246,34.47022,0.26703125,0.07972481,0.22769842,-0.027312474,-0.59437585,0.19054425,0.63095963,33.368202,0.31001854,15.556518,0.74336874,-2.7556086,-5.5064282,-23.15908,-0.6524149,-3.4156559,10.088992,0.043057416,0.015452678,0.03555083,3.7037036,2.8,0.21,0.15519573,0.1535294,0.15684167,-28.221619,17,6,0,speaker_1,0.0,7.7,engaged,7.57
37.12744,0.098083444,34.757893,36.752274,38.40577,3.6478767,74.71746,38.756332,21.793625,11.984045,0.26872814,0.93597615,0.051113077,0.18782037,0.4802504,0.42913732,5.518921,2.2127242,3.561208,1.8455639,0.12914352,1.1311463,15.62787,1.2605877,11.204462,1.3459407,-10.089083,-1.6044632,-12.948235,-1.4814363,0.020890893,1.2934375,1.4191263,0.6442749,7.996211,0.5141337,8.313187,1.7000135,35.17312,0.32907814,773.5589,0.2392383,1368.2471,0.17100778,-112.98288,-0.8041114,1849.0089,0.15211917,1211.9641,0.28720245,-115.79827,-0.7018059,2967.0588,0.10181744,1046.7781,0.29959658,-119.36475,-0.64991987,-18.943512,-0.54117614,32.05829,0.31916726,0.07904199,0.25567865,-0.02098804,-0.95551646,0.2163017,0.72518575,28.030684,0.4275033,13.661492,1.0082918,-10.748644,-1.6186583,-23.841463,-0.7588798,-4.622572,13.506725,0.05247499,0.01750731,0.046824783,3.3492825,3.1476996,0.14846154,0.13922016,0.14923076,0.13123447,-29.724287,17,6,4,speaker_1,13.333333,17.8,engaged,4.1966875
36.00308,0.101316996,34.625534,36.800903,38.030304,3.40477,82.25392,75.82285,30.757294,16.455572,0.29452267,0.7595113,0.08587882,0.24685365,0.4808411,0.39496228,3.6853256,3.0921006,4.3527913,1.8476564,0.15468676,0.84190375,25.01623,0.7985023,17.206835,0.7259874,-0.04314494,-368.18607,-11.986886,-1.4230789,0.020147068,0.9704726,1.168214,0.8785127,9.229515,0.40394706,8.04465,1.5493939,36.069313,0.31492335,844.34045,0.19632652,1353.1215,0.16936508,-61.339752,-1.1684004,1971.9675,0.104532965,1187.7716,0.23729576,-73.92891,-0.8400862,3065.3916,0.06571038,1127.952,0.3323211,-77.27039,-0.7709323,-24.678192,-0.43643475,36.14689,0.28742447,0.06645495,0.2857665,-0.022474004,-0.6574498,0.19558448,0.6308818,32.87878,0.298629,17.530128,0.75111055,0.35598567,46.49766,-18.434786,-0.6850867,-5.703321,12.397282,0.040017743,0.018860813,0.033521008,4.1237116,2.6455026,0.28599998,0.20924626,0.0775,0.08317903,-27.226734,17,6,5,speaker_1,17.833333,20.9,disengaged,1.9566875
35.475376,0.14782633,32.78026,37.867523,38.39051,5.6102524,160.5431,0.9329071,197.96942,189.18141,0.27987993,0.9137463,0.006396288,0.24594842,0.5260042,0.5196079,5.261149,1.3531305,3.7784133,1.5711669,0.21335557,1.0916796,24.258757,0.61573577,17.310904,0.6978682,6.0927906,2.3049796,-8.901879,-2.2105742,0.060954873,1.228967,2.06196,0.66035646,8.343962,0.37491015,11.132726,0.6537243,36.75209,0.25179794,824.61536,0.24415553,1524.1609,0.32144606,-105.42128,-0.80734545,1894.0906,0.12268575,1303.8019,0.3427623,-109.53209,-0.69364357,3036.9858,0.069100186,1077.8419,0.36617798,-112.005264,-0.6521722,-25.03552,-0.47802675,37.9704,0.21488799,0.06255862,0.37406325,-0.016739905,-1.3300177,0.28888965,0.88595045,32.796837,0.24171394,20.438253,0.6502705,3.6836839,4.695705,-13.341459,-1.2625148,-15.419747,24.72239,0.039971918,0.014976741,0.107943244,4.1322317,5.2173915,0.09666667,0.09723967,0.107499994,0.08954747,-25.669643,17,6,6,speaker_1,20.933333,28.166667,engaged,1.226625
36.5651,0.10865029,34.79593,37.657215,39.293636,4.4977074,142.28242,125.27151,23.39795,25.940432,0.31045428,0.67492867,0.07153312,0.33180517,0.4837074,0.41217428,4.1283784,1.1749407,1.631684,1.8335038,0.12854722,0.8528924,23.373243,0.594747,15.3623295,0.7274733,-0.4748346,-23.93228,-12.551045,-1.1610339,0.027210642,1.290817,1.0231528,0.7248931,9.7954445,0.41260093,9.485223,0.93704027,32.101913,0.26694846,828.417,0.18324767,1344.7106,0.17367227,-77.24796,-1.0991566,1946.5975,0.104821615,1000.6011,0.22064409,-83.017265,-0.93004084,3037.1462,0.07009963,930.7349,0.26505265,-88.10805,-0.8352473,-20.740732,-0.45830154,31.211143,0.25715822,0.06803377,0.34261653,-0.021799639,-0.86644554,0.16930422,0.5730699,29.017422,0.328525,13.712427,0.9242031,-1.2871524,-9.695005,-18.213003,-0.7776283,-10.587171,18.137156,0.029092705,0.00990169,0.02802348,4.109589,2.142857,0.30666664,0.17987649,0.21499999,0.074999996,-27.17582,17,6,7,speaker_1,28.2,29.866667,disengaged,1.476625
35.65007,0.06965263,34.234035,35.582718,37.50756,3.2735252,117.57117,134.90353,50.134933,52.04957,0.31477985,0.7070709,0.09819438,0.28541428,0.52226955,0.42407516,4.8965416,3.0963461,2.63537,1.2959973,0.1301053,0.9182798,23.996515,0.7327683,11.312125,1.3345749,-6.280497,-2.5152652,-11.690658,-1.1376537,0.019070508,1.6568812,1.0262437,0.76871145,8.942884,0.38491556,9.426733,1.4157695,34.296707,0.3636998,739.8076,0.2538566,1404.6394,0.22447552,-72.451164,-1.1865847,1818.0696,0.14324802,1154.9757,0.24940489,-81.20822,-0.9390045,2952.949,0.09319407,1019.411,0.24721715,-86.3803,-0.8376662,-19.506033,-0.5804248,33.24306,0.26853237,0.07996749,0.21582067,-0.019342262,-0.8402924,0.17151581,0.69582665,32.027008,0.29117998,12.696873,1.2732207,-6.5932055,-2.4687042,-16.474049,-0.67835945,-5.9108,13.569614,0.056580663,0.009643815,0.038075563,4.100529,2.8,0.23761906,0.1859827,0.11555555,0.10991018,-28.550108,17,6,8,speaker_1,29.9,37.666667,engaged,7.576625
38.430004,0.097231716,35.90909,37.142197,39.50284,3.59375,132.11111,144.50243,31.910412,28.513294,0.42722705,0.6178204,0.12524495,0.42572594,0.68150866,0.5562637,5.793359,3.2172499,3.516989,2.3073318,0.19970334,0.8418467,27.12968,0.4880828,7.3200393,1.7839377,-8.313187,-2.1224313,-17.496698,-0.93696,0.0150243575,1.0276482,1.0941279,0.8187367,9.948387,0.33702976,4.2170196,3.2901037,29.861391,0.4031519,771.0416,0.21821558,1324.8018,0.16869622,-50.794186,-1.4492652,1837.3987,0.1396452,1105.7084,0.25631443,-59.487667,-1.0888786,2943.8687,0.08362399,959.37036,0.30314928,-66.1777,-0.9199095,-18.960772,-0.50881094,31.91986,0.28886724,0.06934194,0.30246407,-0.020971438,-0.8409725,0.23949014,0.6813565,30.476908,0.31280595,7.008117,1.8876264,-9.815555,-1.8609487,-21.045462,-0.7024495,-11.084705,20.60159,0.046717875,0.009926408,0.028680345,3.9215689,1.5486726,0.5214285,0.38155428,0.10428572,0.08764492,-25.318537,17,6,9,speaker_1,37.7,43.433333,disengaged,4.6033125
38.637066,0.123613484,34.029053,38.614582,43.163605,9.134552,114.24536,101.89687,45.022953,42.583397,0.14910689,0.9080857,0.021648057,0.11074609,0.27226692,0.25061888,3.9598715,2.2055068,2.2840292,1.4677191,0.045049284,1.1069654,17.137888,0.7976638,4.533946,2.5486114,-1.8568944,-7.1964307,-13.674488,-1.1790469,0.021142742,1.192586,1.47108,0.7389678,8.572311,0.38931727,12.568248,0.77596277,29.355173,0.3904349,734.4286,0.23190571,1362.5608,0.15467986,-104.167816,-0.8840566,1816.6523,0.099495776,970.18884,0.33116254,-103.11043,-0.82566386,2863.2632,0.077973194,953.4442,0.33499742,-105.66673,-0.7846755,-16.018976,-0.46203947,23.653013,0.44298336,0.07814608,0.22578278,-0.020209273,-0.937757,0.06912753,0.7322876,23.899384,0.41639447,2.2676892,5.811929,-3.5878766,-4.075934,-20.509756,-0.6764394,-7.8584814,15.273841,0.044004254,0.0128126405,0.015977075,3.7433155,3.2520328,0.1575,0.11336702,0.17222221,0.16143644,-39.85448,17,6,10,speaker_3,43.466667,66.9,engaged,3.75
31.56763,0.20991537,24.413832,31.400784,36.832897,12.419065,211.90045,254.1508,98.16507,67.66257,0.3598338,0.79749167,0.09232383,0.31124434,0.5939756,0.50165176,6.444388,3.689198,4.3064723,2.0377834,0.17041549,1.1229857,25.447865,0.51094705,5.131078,2.1685188,-3.7719846,-4.6150084,-12.51975,-1.2544421,0.04580689,1.6927557,1.5641043,0.56001437,4.9202747,0.6017129,1.2133623,7.713103,27.109112,0.29488018,688.0119,0.3219606,1434.5214,0.16280006,-64.71614,-1.3788823,1709.9385,0.14982243,1212.9524,0.34638348,-68.29072,-1.1865605,2791.9949,0.101189725,1029.7802,0.4458413,-74.10401,-1.0462632,-16.345123,-0.4269697,27.811428,0.30642897,0.0729121,0.2623558,-0.022978885,-0.75357735,0.20787722,0.92566574,30.667315,0.26470488,2.8527012,3.8374178,-4.803439,-3.8778658,-16.557426,-0.91589934,-10.603589,19.001415,0.054251906,0.0013755355,0.08593352,3.4979427,2.7027028,0.25230768,0.17646763,0.089999996,0.076157734,-28.15297,17,6,10,speaker_2,43.466667,66.9,engaged,4.875
36.298027,0.11088728,34.728706,36.141617,37.934654,3.2059479,312.7791,274.10052,40.337803,36.39503,0.30921575,0.7335935,0.08107452,0.28629455,0.51342976,0.43235523,4.4129815,2.4349897,3.2385147,1.5496132,0.13429742,0.86357474,23.925528,0.71571267,14.225208,1.0164151,-1.0901726,-16.121784,-10.416628,-1.591988,0.021534042,1.770464,1.1418192,0.857654,9.032802,0.4360298,9.264112,1.3905234,33.25805,0.39526498,738.75964,0.2509833,1380.2096,0.16016239,-73.37024,-1.1332297,1845.3206,0.13316776,1154.3159,0.27219146,-80.8886,-0.9012708,2936.9727,0.08749969,1018.7474,0.30795145,-84.01593,-0.836219,-20.401789,-0.5574402,32.146076,0.34999874,0.07452025,0.24774659,-0.020227553,-0.82901466,0.17749056,0.60591704,29.995195,0.42795658,14.570965,1.0249625,-1.4979656,-12.659812,-17.080828,-0.79005075,-9.635377,18.204731,0.043804742,0.013115381,0.031913128,3.8737447,2.5936599,0.2638889,0.22553985,0.121724136,0.14032152,-27.69052,17,6,11,speaker_1,66.933333,96.4,disengaged,13.9516875
