,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,start_time,end_time,label
0,39.651676,0.13308394,36.242813,38.99578,43.644405,7.4015923,188.47485,308.59387,182.51501,193.83931,0.07416108,2.0741358,0.0058587254,0.009288718,0.09422012,0.08836139,2.7470078,2.8061721,2.0662298,1.731,0.02666171,3.2863832,6.2652535,2.6041336,11.306458,0.77819675,4.2092323,2.6205049,-3.3084815,-4.361863,0.027005969,1.4148668,1.375075,0.76067364,9.254504,0.5025517,12.666699,0.8802169,31.811926,0.5007885,757.9766,0.25286937,1355.0143,0.18218341,-170.37148,-0.39983687,1842.8044,0.1260668,1158.9856,0.26214647,-169.36009,-0.38011774,2896.559,0.080136254,990.4374,0.29077405,-170.3226,-0.36611915,-18.506914,-0.5451331,31.43985,0.33762658,0.057450376,0.40617183,-0.017684242,-1.0880866,0.113120064,1.4999838,27.435602,0.45543665,6.745664,1.8999652,-3.4941342,-5.021518,-23.197588,-0.76922476,-7.060856,16.060333,0.019273283,0.028227454,0.0068956716,1.01029,1.0674158,0.16385965,0.1541218,0.77818185,1.5943276,-34.48403,0.0,53.466667,disengaged
1,38.30818,0.14436843,35.365707,37.102463,38.60625,3.2405434,48.628887,21.351988,68.87351,52.702667,0.15552042,1.5476086,0.0054824324,0.017897721,0.4201436,0.41466117,1.8376961,1.1285584,1.9138982,1.646065,0.10328375,2.0182114,7.6924834,2.6930697,9.722935,0.9893288,-0.79067445,-18.76304,-8.910383,-1.8125446,0.022158446,0.85020536,1.5088228,0.68961036,9.35908,0.3361304,6.158249,2.2247038,29.4618,0.6308322,877.9683,0.19121164,1362.9077,0.2060242,-138.09132,-0.63776094,1973.3274,0.09242625,1216.1621,0.1577484,-140.177,-0.55355394,3051.4363,0.06703257,1058.1965,0.28849664,-140.57349,-0.5490821,-23.28032,-0.522909,36.265106,0.3771411,0.058886874,0.3499112,-0.021199245,-1.1201912,0.24760832,1.099597,28.966164,0.49862176,13.832569,0.87236273,-2.9381063,-7.6190968,-19.15653,-1.0606664,-0.7781114,8.721456,0.03315592,0.033253096,0.00452445,2.1978023,2.2727273,0.14999999,0.07245688,0.26999998,0.24889757,-24.716272,53.5,55.333333,engaged
2,37.812485,0.058868524,36.48924,37.595924,39.05982,2.5705795,92.00647,83.11644,33.30983,59.56079,0.3266606,0.80049014,0.09258929,0.30524498,0.5169191,0.4243298,4.696932,2.6220136,3.3911834,3.630509,0.15249056,1.0034686,23.37097,0.7740807,12.236513,1.2420827,-2.1414049,-7.864393,-9.509849,-1.5854203,0.017182922,1.3187635,1.1571327,0.878708,10.485163,0.3168133,10.091392,1.1694943,32.638134,0.3597953,797.49646,0.2332866,1362.613,0.17190251,-81.56041,-1.019226,1891.9854,0.11576611,1189.1471,0.27231127,-88.8673,-0.82229674,2968.897,0.076300226,1069.903,0.23284493,-92.836395,-0.75313026,-21.00653,-0.60912675,36.012886,0.31115615,0.057333652,0.36709958,-0.017504241,-1.0287839,0.20202473,0.7755631,31.077244,0.38523504,11.429723,1.3463515,0.0074561406,2326.398,-14.084703,-0.9631955,-6.311145,16.726822,0.036854852,0.013352925,0.045902736,3.1791906,3.0612247,0.21238095,0.11827751,0.115294114,0.09953526,-25.598085,55.366667,62.3,disengaged
3,37.58751,0.093546465,35.166103,36.8984,40.378765,5.2126617,172.7959,158.3328,39.088676,27.24453,0.26316875,1.0309011,0.023346703,0.17007433,0.45842773,0.43508103,3.7507594,1.7163961,3.5809534,1.9294865,0.10963781,1.1404699,18.645687,0.9383883,9.564333,1.4597031,-1.6116462,-9.802166,-13.336101,-1.3800967,0.021588288,1.6849802,1.2061363,0.8193361,9.740826,0.37808415,11.62044,1.0131457,32.77711,0.33343098,804.29816,0.20508187,1340.7445,0.19586723,-92.28659,-0.9766732,1900.1318,0.11001973,1142.1993,0.2610003,-98.873985,-0.81319475,2960.4385,0.07223075,1009.533,0.29329413,-101.672966,-0.7672951,-19.724157,-0.5670037,32.534447,0.31854293,0.06291091,0.322901,-0.017727634,-1.0251548,0.17055103,0.7392469,27.921299,0.44291723,9.211227,1.7048337,-2.2432892,-8.085927,-20.478794,-0.9389788,-5.881442,15.134222,0.041048143,0.019445237,0.01984623,3.185438,2.402746,0.23952381,0.17258473,0.17210525,0.311897,-27.498756,62.333333,71.133333,engaged
4,37.056213,0.03954936,36.32824,36.723076,38.41005,2.08181,35.881866,33.935043,22.417074,24.637484,0.71500707,0.62297004,0.32973084,0.6190784,1.1993198,0.869589,8.6414385,6.824773,4.4900904,4.562291,0.34393936,0.63664514,24.793098,0.42221138,8.751123,1.7389008,-1.7388258,-10.222871,-26.598438,-0.67525333,0.018989826,1.3081144,1.0509394,0.7227586,9.1556,0.33717534,7.4859934,1.8082249,28.346174,0.33566993,785.2441,0.22324894,1343.4629,0.17026873,-31.67872,-1.9030412,1862.8838,0.11379946,1159.3733,0.29946187,-45.39548,-1.1572217,2929.9167,0.06948552,924.9675,0.5400224,-49.323864,-1.0384872,-15.38613,-0.70466423,31.305855,0.34119922,0.068083204,0.44195467,-0.020648519,-0.9547146,0.3753329,0.54151976,25.818895,0.4124879,8.436025,1.8797075,-2.170205,-8.491981,-28.268332,-0.6315247,-14.312646,22.689165,0.06647152,-0.008750836,0.04158144,3.7037036,1.923077,0.45666668,0.41201404,0.07,0.03,-20.124962,71.166667,72.8,disengaged
5,37.115944,0.0213951,36.42298,37.19836,37.742416,1.3194351,20.740446,5.2295055,8.231056,6.7151594,0.5130999,0.3061399,0.37909156,0.51611453,0.67523634,0.29614478,5.115448,1.9350423,1.7541986,2.4247148,0.2988962,0.63552004,29.080324,0.15882215,11.783317,1.267247,-1.6249342,-13.480933,-16.588264,-0.57783526,0.018624438,1.2885712,1.0554427,0.57280105,10.813147,0.2962434,5.720231,1.7467349,25.996521,0.19565853,823.16876,0.22056247,1338.4451,0.1444826,-23.085554,-0.7781122,1879.1873,0.13011159,1275.0762,0.18706606,-37.818913,-0.4986551,2929.5337,0.07455509,1029.3137,0.2742716,-41.946655,-0.26382756,-20.337484,-0.7017524,37.164658,0.2373076,0.041426435,0.3246862,-0.013890004,-0.7739943,0.31441438,0.6206151,29.523783,0.15744305,13.718701,1.0585145,1.5790687,13.177087,-15.175642,-0.5859188,0.0,0.0,0.0,0.0,0.0,5.084746,1.8867925,0.52,0.0,0.0,0.0,-19.535313,72.833333,73.433333,engaged
6,37.35907,0.07521327,35.688084,37.059227,38.46859,2.7805061,75.60228,52.3336,47.95715,69.99704,0.2833909,1.152159,0.0075835427,0.17652623,0.51299393,0.5054104,6.1508603,3.8142388,4.2829404,2.8723884,0.14845574,1.3383873,14.901966,1.4130814,9.1120405,1.38655,-0.42602563,-37.625027,-9.476658,-1.5788795,0.020441968,1.2701665,1.3760641,0.7352111,9.256813,0.385071,10.173416,1.2064047,30.579159,0.36245534,782.7284,0.23952864,1358.5658,0.19388142,-107.31573,-0.8343872,1854.02,0.12828533,1144.8561,0.22456335,-110.01745,-0.74295235,2938.5842,0.07539164,1012.624,0.37362713,-113.37961,-0.6901152,-17.961065,-0.7070855,33.296005,0.36051512,0.0596478,0.38260004,-0.012357505,-1.5638533,0.24142593,0.821279,28.186382,0.5049057,9.781885,1.5128447,-0.2679863,-69.930275,-15.828286,-0.8809315,-2.714365,12.283597,0.04108599,0.02551862,0.03552618,2.5445292,2.216539,0.23307692,0.14244483,0.22347826,0.3937844,-25.808783,73.466667,85.266667,disengaged
7,37.819298,0.12981804,35.297215,37.266964,39.486237,4.189022,228.99568,354.1077,127.80806,217.94366,0.3419518,1.2853249,0.005678194,0.1548358,0.65444267,0.6487645,8.141924,5.633125,4.800198,4.2738757,0.16948894,1.5772606,10.697556,1.547843,4.7528677,2.1397674,0.7384413,20.026926,-17.97442,-1.1866353,0.03339114,1.6351557,1.3794293,0.7079821,7.7978764,0.4619385,9.90787,1.3573353,24.038815,0.49649313,763.3251,0.2436828,1357.1693,0.19543606,-121.7414,-0.7698224,1858.7064,0.116627276,1035.0781,0.3795639,-121.86766,-0.7020531,2872.1406,0.08058599,901.9569,0.35765517,-121.68159,-0.7047155,-15.7135935,-0.5258305,24.581097,0.42933202,0.0755881,0.30915952,-0.024995564,-0.76200587,0.3161375,0.916111,21.78881,0.49132282,4.287656,2.8374798,2.1491804,8.7611685,-31.76189,-0.61089456,-3.779972,13.346241,0.04695378,0.021909524,0.045669723,1.9297037,1.7610497,0.24411763,0.23559831,0.31571427,0.48038676,-25.066044,85.3,114.333333,engaged
8,38.902187,0.07418129,36.86668,38.710606,40.42652,3.5598412,159.39735,80.572,30.63676,29.208084,0.68491805,1.4059836,0.039211433,0.32104504,0.8670304,0.82781893,7.085668,3.1569152,10.615684,10.10427,0.4147401,1.4947659,16.945143,0.9791971,5.7405167,3.1348567,-2.2463405,-6.014793,-3.3648362,-3.5959883,0.029710632,2.304424,1.2444682,0.6885059,9.335823,0.47126192,12.544515,0.8688781,27.976484,0.5046012,897.5812,0.19323725,1408.2009,0.15970744,-120.007515,-0.698089,1946.5491,0.098409474,1186.0479,0.18623915,-121.84045,-0.6546201,3030.1409,0.06752946,1081.7467,0.2594982,-124.64004,-0.6154585,-19.764286,-0.83798987,32.70915,0.4856371,0.046321373,0.39586693,-0.010898638,-1.5968293,0.6148389,1.073277,27.898897,0.4958905,6.6052294,3.2101896,2.3850062,6.663627,-5.7116942,-1.8461561,-4.7884254,14.166636,0.042226702,0.015448789,0.24980368,1.0638298,3.2727273,0.13333333,0.109949484,0.16749999,0.16633926,-18.984451,114.366667,117.2,disengaged
9,37.682564,0.043396536,36.16992,37.748703,38.67241,2.5024872,43.38887,22.572777,53.87246,37.507095,0.3329026,0.7079665,0.10360448,0.2519738,0.5718909,0.4682864,4.4539175,2.453004,2.7065156,1.3009108,0.15975086,0.78211594,31.283615,0.34340388,9.072411,1.6690809,-3.936389,-4.321199,-11.883495,-0.85386664,0.022618938,1.0347706,1.1966563,0.85073787,9.871382,0.39881963,12.310971,1.1152055,32.2837,0.42748624,828.8034,0.2305333,1325.7389,0.13601908,-77.59516,-1.070816,1950.7278,0.108351626,1208.0615,0.32690108,-84.71138,-0.8718348,3058.3147,0.080949955,1081.448,0.19779825,-91.0888,-0.76622957,-18.013317,-0.92828625,36.89734,0.17373256,0.053222228,0.35497487,-0.017001133,-1.0552925,0.19871177,0.6154755,34.38485,0.22528368,7.5237155,2.1206799,-2.4686403,-7.198699,-12.137128,-0.83602697,-19.794304,35.344776,0.061355036,-0.009673292,0.10604189,3.5714285,4.6728973,0.136,0.10983624,0.07,0.031622775,-25.285334,117.233333,118.366667,engaged
