Participant,Fold,Accuracy,Precision,Recall,F1 Score
p11,1,0.7014925373134329,0.7169811320754716,0.8837209302325582,0.7916666666666666
p11,2,0.6212121212121212,0.6730769230769231,0.813953488372093,0.7368421052631579
p11,3,0.696969696969697,0.72,0.8571428571428571,0.782608695652174
p11,4,0.6363636363636364,0.6956521739130435,0.7619047619047619,0.7272727272727273
p11,5,0.696969696969697,0.6964285714285714,0.9285714285714286,0.7959183673469388
p12,1,0.65,0.6417910447761194,0.9148936170212766,0.7543859649122807
p12,2,0.5625,0.5857142857142857,0.8723404255319149,0.7008547008547008
p12,3,0.6125,0.6290322580645161,0.8297872340425532,0.7155963302752294
p12,4,0.5625,0.5789473684210527,0.9361702127659575,0.7154471544715447
p12,5,0.5375,0.5714285714285714,0.851063829787234,0.6837606837606838
p17,1,0.6190476190476191,0.6190476190476191,1.0,0.7647058823529411
p17,2,0.5238095238095238,0.6,0.6923076923076923,0.6428571428571429
p17,3,0.6190476190476191,0.6190476190476191,1.0,0.7647058823529411
p17,4,0.65,0.65,1.0,0.7878787878787878
p17,5,0.65,0.631578947368421,1.0,0.7741935483870968
p18,1,0.7692307692307693,0.7631578947368421,1.0,0.8656716417910447
p18,2,0.7435897435897436,0.7435897435897436,1.0,0.8529411764705882
p18,3,0.7692307692307693,0.7631578947368421,1.0,0.8656716417910447
p18,4,0.6842105263157895,0.8148148148148148,0.7586206896551724,0.7857142857142857
p18,5,0.7105263157894737,0.7575757575757576,0.8928571428571429,0.819672131147541
p5,1,0.7241379310344828,0.7241379310344828,1.0,0.84
p5,2,0.7586206896551724,0.75,1.0,0.8571428571428571
p5,3,0.4482758620689655,1.0,0.23809523809523808,0.38461538461538464
p5,4,0.75,0.7407407407407407,1.0,0.851063829787234
p5,5,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333334
p7,1,0.7083333333333334,0.7741935483870968,0.7741935483870968,0.7741935483870968
p7,2,0.6458333333333334,0.6944444444444444,0.8064516129032258,0.746268656716418
p7,3,0.6875,0.6739130434782609,1.0,0.8051948051948052
p7,4,0.6458333333333334,0.6458333333333334,1.0,0.7848101265822784
p7,5,0.5833333333333334,0.6923076923076923,0.6,0.6428571428571429
p9,1,0.5434782608695652,0.5882352941176471,0.7407407407407407,0.6557377049180327
p9,2,0.6,0.7222222222222222,0.5,0.5909090909090909
p9,3,0.6888888888888889,0.6875,0.8461538461538461,0.7586206896551724
p9,4,0.6888888888888889,0.6764705882352942,0.8846153846153846,0.7666666666666667
p9,5,0.6666666666666666,0.6571428571428571,0.8846153846153846,0.7540983606557377
