F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,participant,session,clip_id,speaker,start_time,end_time,label,speech_duration
37.404667,0.049029563,35.37826,37.56073,39.047867,3.6696053,142.41988,129.34447,26.225023,11.383295,0.359165,0.7205067,0.1439641,0.29592574,0.54779094,0.40382683,6.7292295,2.9716237,5.193307,2.7513158,0.15791944,0.79521185,28.031048,0.33076403,6.4834933,1.6719384,1.3468503,9.457717,-15.274601,-0.82986146,0.023692694,1.0559736,1.6023625,0.74935627,8.470712,0.35040805,14.139198,0.7602442,31.315567,0.29945353,719.8087,0.25931147,1454.1478,0.18015616,-55.392113,-1.3323677,1830.2892,0.113625646,1171.8911,0.33191925,-63.20712,-1.0120016,2841.6917,0.081393525,1121.6951,0.2787223,-66.00894,-0.954969,-19.109215,-0.3641789,30.091366,0.3150961,0.06223547,0.33506587,-0.024291825,-0.55966014,0.1869767,0.6794127,30.151783,0.25293222,6.3538127,1.8182254,1.9687026,6.9784207,-17.804441,-0.7152123,-12.171325,22.689926,0.049472094,-0.005537899,0.06432966,4.3290043,3.539823,0.21499999,0.27133927,0.07,0.058651514,-29.058952,11,16-2,0,speaker_1,0.0,7.133333,disengaged,2.3233125
36.61271,0.0730007,34.307755,36.48358,39.09445,4.7866974,190.78043,274.98798,30.7953,45.827248,0.25002548,0.7672989,0.088603914,0.20447597,0.3952254,0.3066215,5.634255,2.4421926,3.325468,2.6436217,0.11636588,1.033791,27.680227,0.5237573,11.935364,0.95712584,-1.8612983,-6.599458,-11.745991,-1.048651,0.024266204,0.83424306,1.4661838,0.6837296,8.604381,0.3751174,12.634307,0.66818917,37.318054,0.20279245,757.5687,0.2511364,1363.6948,0.14065357,-88.51927,-0.9763207,1855.9231,0.1337577,1187.2653,0.23375888,-92.694954,-0.8264187,2928.5803,0.084661946,1102.211,0.31836784,-97.26528,-0.7517029,-19.877592,-0.4233253,35.280308,0.21810786,0.057707462,0.35374495,-0.020025594,-0.7624158,0.15138765,0.8524093,34.804897,0.22452709,11.39907,0.8624857,-2.572907,-5.469668,-15.596113,-0.7981214,-10.745139,21.550026,0.0491391,0.0015510317,0.051472686,4.008439,2.9914532,0.20571429,0.123445444,0.12666667,0.124119125,-30.604996,11,16-2,0,speaker_0,0.0,7.133333,disengaged,4.75
37.038906,0.08641839,34.97831,36.220554,38.45147,3.4731598,242.6404,571.31506,58.82637,61.112507,0.3160242,0.79402626,0.099432155,0.25773618,0.5028806,0.4034484,5.7793713,4.3351398,4.038121,2.7488115,0.13944769,1.053953,24.234371,0.71940756,13.732918,0.9974938,-4.0614414,-3.9408877,-17.68626,-0.93752897,0.02360491,1.081182,1.2322099,0.74784833,8.5458,0.4477762,8.512762,1.3892838,35.406944,0.28057143,735.0355,0.23132253,1372.575,0.13734175,-71.66747,-1.1907957,1857.2744,0.11702283,1141.4432,0.24564108,-81.63102,-0.9005805,2929.8027,0.07043528,973.6684,0.32260934,-85.419624,-0.8268778,-21.092207,-0.43657887,33.441498,0.28839067,0.06247267,0.27896672,-0.026918385,-0.5577666,0.17884268,0.8576894,30.947124,0.3498157,12.1570215,1.1257236,-3.0247912,-5.5826426,-22.679277,-0.6697355,-8.398974,16.752108,0.0460542,-1.5786516e-05,0.048105184,3.3381712,2.9883382,0.22585365,0.21282049,0.09972222,0.07861601,-28.20657,11,16-2,1,speaker_0,7.166667,23.2,engaged,13.79
36.97783,0.0747168,34.81576,37.030598,39.373753,4.557991,117.05491,75.09102,92.24286,116.76855,0.2932615,0.8447608,0.068786494,0.22771269,0.5098684,0.44108188,5.109465,3.6621652,2.9937303,1.7360653,0.12629665,0.9751623,22.77204,0.70753646,14.122954,1.0363204,-2.3330657,-6.631035,-15.667237,-1.0790352,0.03210728,1.790018,1.2585357,0.88686085,9.144375,0.41252318,9.572369,1.2593421,34.07784,0.2707096,770.11066,0.23299006,1375.3674,0.1632339,-84.48261,-1.0363557,1887.5043,0.12474909,1162.1971,0.20843941,-92.16981,-0.8397984,2957.493,0.07743559,1045.2684,0.30125663,-94.9946,-0.78851765,-20.666822,-0.51240116,32.89419,0.313665,0.059656683,0.32315966,-0.02399584,-0.7808424,0.17917003,0.6868551,29.238243,0.37469897,12.210935,1.2122021,-3.7394335,-4.543626,-22.843449,-0.6679779,-9.859181,19.019918,0.042841773,0.0054994435,0.03611053,3.4246578,3.4965036,0.173,0.13394402,0.11625,0.10699737,-27.740543,11,16-2,2,speaker_0,23.233333,28.666667,disengaged,2.9316875
42.883984,0.06361219,40.22687,42.496372,44.490273,4.263401,232.55066,208.95172,0.5795994,7.3009243,0.54679453,0.5348017,0.2443918,0.59776306,0.7307488,0.48635697,4.727975,3.5453763,3.0294478,0.84092176,0.14429605,0.6717081,20.918612,0.25838837,3.862381,4.78618,-16.033232,-1.1829201,-34.67271,-0.59324723,0.010489033,0.9569721,0.67311597,1.0773792,13.0124,0.18554571,10.872485,0.59772456,30.801657,0.25806782,799.1671,0.15469342,1301.9069,0.17706963,-38.57541,-1.6458687,1883.7731,0.11769959,1071.5157,0.2455239,-50.6395,-1.1040653,2896.4592,0.054014128,821.4659,0.33037722,-54.722523,-0.98142666,-14.82162,-0.53482234,26.32822,0.27448833,0.06661197,0.32371753,-0.023089593,-0.9546469,0.1503859,0.59136695,21.173397,0.22551607,2.5251484,6.6955256,-14.567545,-1.2896427,-40.297226,-0.41981986,-14.303782,30.075584,0.05177865,-0.0023171145,0.15112308,3.2258065,2.5210085,0.3333333,0.098432146,0.06,0.01,-26.682632,11,16-2,2,speaker_4,23.233333,28.666667,disengaged,1.25
37.346188,0.14142483,34.78471,35.173767,40.253548,5.4688377,614.15295,429.97607,145.18237,113.92655,0.07581127,1.6597023,0.006403188,0.023312986,0.09739627,0.090993084,2.3452265,2.186304,1.3026997,0.76736087,0.028696343,2.3442144,2.9341106,6.3605027,12.219187,0.8529577,-0.71882534,-22.820974,-2.1553748,-4.826171,0.056035254,1.4742314,2.2172623,0.5983002,7.608414,0.50448716,10.2714405,1.1318023,30.978931,0.1994011,793.8957,0.21171285,1429.7644,0.15112671,-171.18095,-0.36217046,1801.188,0.12955427,1180.1289,0.17246917,-170.88066,-0.3484416,2919.4111,0.072892375,1102.3088,0.5132466,-172.2547,-0.3285002,-19.41548,-0.61204404,35.400444,0.23611268,0.038105406,0.7690309,-0.0018158177,-9.06484,0.09999537,1.2592727,24.846895,0.36716202,16.51814,0.95860237,-2.0231893,-13.680012,-8.024923,-2.0277135,-4.4833884,14.989022,0.030120356,0.024565808,0.013296195,2.3569024,2.0547945,0.08,0.05066228,0.32999998,0.14540583,-41.885082,11,16-2,3,speaker_3,28.7,50.266667,engaged,2.986625
41.53037,0.09063198,38.340305,41.652306,43.695953,5.355648,245.88838,590.03625,72.814606,95.504196,0.44534168,1.0228856,0.03230712,0.25442347,0.88574183,0.8534347,7.179548,3.7546043,6.499457,4.2551455,0.18566024,1.1649486,13.399813,1.0429137,5.3467436,2.7589293,-8.16502,-1.745145,-23.802137,-0.88685495,0.02032665,1.6529592,0.9948274,0.9919254,10.522363,0.3740908,12.214358,0.7337704,29.04646,0.2938765,770.11646,0.22198732,1335.5983,0.15640634,-99.91184,-0.9309516,1820.2144,0.13271534,1105.8024,0.27783027,-98.439804,-0.84826136,2887.7415,0.07910414,835.0829,0.3626366,-101.0039,-0.80415505,-15.185019,-0.58036923,25.03513,0.4158512,0.06251436,0.336512,-0.02453027,-0.74993926,0.2877664,0.76482403,19.099958,0.5511923,1.5405467,10.731983,-13.4097395,-1.0712261,-35.435493,-0.5393015,-7.945349,16.336348,0.041016024,0.005498152,0.047298163,2.986858,2.6442308,0.21,0.22548936,0.14130434,0.12959146,-25.187777,11,16-2,3,speaker_4,28.7,50.266667,engaged,8.38
40.54044,0.09511922,37.958023,39.689766,43.90847,5.950447,27.640816,13.004942,26.842964,10.144654,0.40138492,0.8339342,0.06296491,0.33096945,0.71983325,0.65686834,6.4107866,3.3854406,4.4380007,2.7012155,0.14738683,1.0907794,16.95067,0.69978887,9.361344,1.4097173,-3.6334105,-3.3402126,-28.324032,-0.79485905,0.0175592,1.0931579,0.82568836,0.8264061,11.112706,0.32059455,12.753486,0.67415994,28.932455,0.30741403,823.0005,0.15704651,1304.604,0.15773478,-69.48385,-1.2264159,1940.5586,0.10551806,1009.792,0.27349055,-78.9236,-0.9574931,2977.848,0.054305546,842.0882,0.34902614,-80.58597,-0.9216111,-17.90358,-0.53550434,28.165897,0.38390926,0.06914157,0.34963906,-0.024057087,-0.6282882,0.19439857,0.82294923,21.668367,0.38505185,8.770939,1.7225049,-6.3460045,-1.8902975,-34.10453,-0.6325388,-6.902443,15.687667,0.044774007,0.009195314,0.039144058,3.6630037,1.119403,0.63,0.54018515,0.17999999,0.12980755,-27.078836,11,16-2,5,speaker_4,51.466667,61.933333,engaged,2.74
33.236126,0.09214244,32.471256,33.49633,34.26091,1.7896538,104.87006,61.458565,47.262573,56.539646,0.21839327,1.213132,0.007914763,0.09242013,0.38870016,0.3807854,2.8973236,1.9961597,3.3128695,1.8895408,0.06956059,1.1636939,16.044228,1.2487211,12.889517,0.73936373,7.108546,1.3972945,-6.9436946,-1.285173,0.020067858,1.7371172,1.4757925,0.99321187,8.956517,0.32338965,4.930997,1.2031815,35.496845,0.1981232,737.6569,0.15220235,1384.189,0.12675932,-120.59965,-0.75794995,1845.7826,0.07835914,1037.313,0.29394636,-126.67186,-0.65638113,2923.88,0.048646264,916.46924,0.36428303,-129.88492,-0.60949624,-19.684895,-0.43080518,29.2067,0.36332813,0.053179815,0.27557522,-0.028355746,-0.5805495,0.13658243,0.557942,33.064186,0.3557345,9.38614,1.1378272,6.5299077,1.6505501,-14.109693,-0.5049534,-8.088416,16.58083,0.027958622,0.016489806,0.022449557,3.301887,2.415459,0.166,0.098914094,0.18833333,0.1517033,-30.38854,11,16-2,5,speaker_1,51.466667,61.933333,engaged,2.13
37.341324,0.10917053,35.42864,37.13765,38.723595,3.2949562,928.60583,447.3751,18.466516,24.323645,0.28550446,0.76997,0.08921072,0.22435015,0.5013522,0.41214147,4.778797,1.7230622,2.6006517,0.8690146,0.12605369,0.9275604,20.485022,1.0609261,16.181051,0.8133451,-3.3638935,-4.3988543,-9.936554,-1.4188641,0.021948967,0.9624864,1.5744625,0.7207281,8.935102,0.40701804,9.672137,1.3175484,34.899265,0.260368,714.5265,0.21551356,1391.598,0.12351417,-88.38268,-0.9770314,1824.318,0.11576096,1188.1229,0.2532757,-94.33133,-0.79168576,2897.8816,0.08596373,1011.3666,0.20870431,-96.54403,-0.7459421,-21.364784,-0.5368576,33.13116,0.3504252,0.053937312,0.30642805,-0.023797326,-0.66454095,0.16488342,0.6600077,29.728535,0.5037013,13.851769,0.93767446,-1.0967479,-13.705622,-16.210167,-0.707817,-7.744656,15.940647,0.039635148,0.0052410476,0.042385273,3.3557048,3.7800689,0.16,0.1392186,0.07666666,0.03399346,-26.486769,11,16-2,5,speaker_0,51.466667,61.933333,engaged,2.9933125
