,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,start_time,end_time,label
0,39.296864,0.34544393,30.342163,31.953632,56.962036,26.619873,387.4868,0.0,359.56052,258.6066,0.020818036,2.9706705,0.007345576,0.010623341,0.016251303,0.008905727,12.826671,14.204897,4.483681,6.923409,0.027752602,8.423009,8.957708,0.86565876,11.17408,0.36386907,8.931694,0.5909758,13.291405,0.49119058,0.039049514,0.39136428,2.4801166,0.54894286,8.532442,0.25622037,11.873206,0.6643106,25.130629,0.5897943,806.0538,0.26521868,1388.4281,0.056256842,-199.1454,-0.08319297,1829.2384,0.13601196,1625.1136,0.5799249,-198.2946,-0.096102476,2854.6746,0.14415751,1206.387,0.4062082,-198.31021,-0.095523626,-25.92092,-0.28929967,38.03393,0.19979961,-0.0063181436,-1.309687,-0.0019528059,-7.8184285,0.0461347,1.3354664,28.271303,0.2621746,17.034063,0.7570473,9.154762,2.2418532,2.2429886,7.9389753,-17.977348,29.228182,-0.02678359,0.028087154,0.028831126,0.48661798,0.24479803,0.06,0.02,2.6666665,2.2368479,-29.8723,0.0,8.233333,engaged
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065557472,0.1979907,0.005596314,0.006333902,0.0073463432,0.0017500292,0.047679253,0.020505913,0.033925742,0.021184543,0.0006888672,0.99300736,4.0588107,0.88427055,10.285427,0.2652232,7.72672,0.36126915,12.436195,0.3242315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.308869,23.140675,-0.007850029,0.035941508,0.0006882374,6.5454545,0.0,0.0,0.0,2.69,0.0,-81.48685,8.266667,11.033333,disengaged
2,37.650326,0.08268821,34.935253,37.521008,40.187927,5.252674,144.76038,180.42021,23.56824,9.443356,0.19679117,1.2930288,0.0059701307,0.063638784,0.3834476,0.37747747,4.667378,4.8779993,1.7190566,1.6845049,0.09256871,1.6061678,9.894113,1.6843858,9.907042,1.253332,2.9116256,3.9705188,-2.21894,-7.3321424,0.020773511,0.8550286,1.1252674,0.8728242,9.831367,0.35279325,16.402185,0.7369627,33.783726,0.346066,730.841,0.23859917,1379.2144,0.1481082,-140.24373,-0.6000538,1833.9236,0.09947716,1105.4338,0.29085726,-141.12637,-0.5513921,2942.9956,0.06308309,877.86255,0.41373613,-142.59587,-0.53216237,-23.17059,-0.35975128,33.495663,0.28653848,0.06580239,0.31506068,-0.020967571,-0.83418304,0.21575136,0.73174614,27.831182,0.39174762,15.402987,0.84970427,6.0989714,2.2850642,-16.80833,-0.976029,-4.941203,15.010245,0.02382818,0.031256415,0.014931386,2.178218,1.4028057,0.24285714,0.17060515,0.4442857,0.5036682,-27.907162,11.066667,16.133333,engaged
3,34.67443,0.08452505,34.225437,34.954037,36.210056,1.9846191,709.491,701.02875,14.556127,17.952288,0.28401694,0.8117407,0.022374252,0.2651683,0.47590894,0.4535347,5.2519293,3.9856198,2.0897465,2.6344564,0.16143931,1.1628886,24.403843,0.7830262,18.206892,0.6409087,2.6416502,4.741475,-3.8564205,-3.17543,0.01628434,0.87408924,1.2417305,0.7780859,9.273243,0.3710448,13.943277,0.65948683,44.26021,0.1753377,741.9998,0.21457542,1341.7666,0.17563859,-100.636154,-0.8744508,1923.0093,0.108684234,1064.8519,0.2907046,-107.78112,-0.72115606,3057.0295,0.08007672,1111.7981,0.28876457,-113.63894,-0.639689,-23.832333,-0.348628,34.58056,0.31304112,0.06656684,0.270603,-0.028503507,-0.4685096,0.25137782,0.79508644,37.719437,0.32112625,21.902777,0.4349964,6.0902233,2.3783453,-11.359634,-0.9808574,-6.281341,13.712253,0.04735854,0.018132385,0.021492498,3.1446543,3.267974,0.162,0.121885195,0.19999999,0.23338094,-25.991125,16.166667,17.766667,disengaged
4,36.060604,0.119589545,33.051804,35.865273,38.147232,5.0954285,225.19185,529.30054,58.40149,111.74081,0.27700385,1.1857073,0.005578492,0.14976516,0.5460881,0.5405096,6.506221,4.2896757,4.2903786,2.9616852,0.12562703,1.5194378,12.929647,1.5445313,7.2110734,1.8694497,1.7360729,8.547908,-4.757067,-3.3373697,0.021693215,1.6614765,1.1771649,0.8068077,8.784266,0.4364987,9.471278,1.3627425,29.812298,0.46826538,722.2546,0.28377977,1393.213,0.17999344,-118.900604,-0.7679079,1782.1996,0.1245292,1117.4678,0.29005498,-119.37649,-0.7124292,2910.0442,0.08370709,1002.7607,0.35013524,-122.804855,-0.66114855,-17.518692,-0.66049343,29.63816,0.40952206,0.05810689,0.39478397,-0.017645562,-0.9772532,0.24181066,0.8883649,28.75377,0.4584107,9.358059,1.6986136,2.2504482,8.239305,-13.902286,-1.1853315,-2.381214,12.116122,0.029394522,0.030860666,0.023534823,2.0653148,1.5738049,0.28800946,0.27717057,0.34742424,1.017973,-25.91797,17.8,151.933333,engaged
5,37.145996,0.06126287,35.22566,36.183857,39.10492,3.879261,86.304634,90.2101,8.489006,5.190841,0.40782648,0.80332893,0.0960241,0.32619387,0.68739754,0.59137344,6.0487127,2.034529,3.5241814,1.52918,0.23735173,0.9083101,21.966,0.9462182,16.410349,0.99028385,1.6567025,8.562037,-1.6234425,-9.165522,0.015278187,1.027776,0.96575665,0.7046217,10.975299,0.26548856,15.997917,0.5544539,38.74165,0.22464532,792.94824,0.26350504,1384.7771,0.16959253,-80.65957,-1.0095232,1920.9302,0.10108763,1185.9524,0.20505244,-89.33089,-0.79109114,3032.7576,0.0740923,1133.5117,0.3191282,-94.10178,-0.7174345,-24.86264,-0.4063025,37.77152,0.24215876,0.058742907,0.34789672,-0.01753806,-0.7409481,0.33259663,0.61130786,32.9291,0.35257185,18.814894,0.70550734,3.9400134,3.964505,-6.1859484,-2.29024,-1.3818697,7.8133464,0.03311885,0.018642802,0.039587077,3.1746032,2.0242915,0.33599997,0.2826022,0.17,0.121449575,-21.650131,151.966667,154.5,disengaged
6,36.53018,0.03763398,35.310753,36.220978,37.71608,2.4053268,47.91229,40.136974,15.842619,5.9203873,0.48099086,0.78786844,0.053090528,0.45207235,0.80723095,0.75414044,5.2116246,1.715718,5.687429,2.5335062,0.24533513,0.8673763,23.713356,0.97518,13.594522,1.1234624,-1.9691262,-6.5653424,-5.071168,-3.505941,0.019779677,1.168968,1.0171734,0.89309627,10.6124735,0.28541467,16.292738,0.5407635,38.606663,0.32146767,633.3007,0.305372,1528.6448,0.23580714,-79.90134,-1.104073,1701.069,0.14230372,1308.4038,0.2431473,-80.693504,-0.93518007,2843.9531,0.078251585,1148.676,0.2620647,-87.344154,-0.81137943,-19.808973,-0.7168063,36.41351,0.30446255,0.06587419,0.2827004,-0.016309572,-1.1272732,0.3365699,0.56007445,34.059666,0.42549416,14.365391,1.1016396,-0.8810462,-16.053251,-10.024218,-1.6571606,-0.14577574,8.318873,0.026502496,0.02884201,0.01437552,3.448276,1.4285715,0.48999998,0.29,0.19,0.11,-20.650888,154.533333,156.0,engaged
7,35.20079,0.0941334,32.822765,35.36884,37.512867,4.6901016,85.708855,108.08298,25.695036,12.877422,0.35512736,0.9631749,0.0094151255,0.282151,0.662784,0.65336883,6.3009996,3.7364447,4.048607,1.9229828,0.17451406,1.0789529,19.634428,1.1721731,14.533777,0.7285983,1.6174703,8.481742,-6.222377,-2.4557674,0.020858197,1.4160794,0.99992204,0.8318679,9.363905,0.35189417,13.376158,0.66856366,40.762142,0.1832552,708.5764,0.25054348,1392.0027,0.15432815,-108.29768,-0.8394552,1812.6523,0.13164075,1145.6498,0.22036661,-111.616974,-0.73511267,2957.3037,0.08500083,1057.6545,0.25946873,-116.40943,-0.6645544,-19.315565,-0.45033494,32.229614,0.35569608,0.06780949,0.25026017,-0.024717297,-0.61705303,0.29347074,0.5981607,35.72428,0.34303766,14.039484,0.7198305,-1.5534098,-10.287476,-15.937587,-0.827811,-5.342619,13.760617,0.03435794,0.025001802,0.031804197,2.2222223,2.2875817,0.22,0.11661903,0.19714284,0.23285274,-23.61825,156.033333,159.2,disengaged
8,38.598774,0.118101396,36.1753,38.16252,41.646957,5.471657,238.86284,292.82593,63.04528,53.22815,0.47889328,1.0636739,0.0067099826,0.29047182,0.87761724,0.87090725,6.9080505,3.9178047,4.0713563,2.2818844,0.22380042,1.327672,13.428283,1.5506088,4.3093214,3.645068,-4.570715,-3.3698413,-7.0054436,-2.3256774,0.022633784,1.8586886,1.0275131,0.74179214,8.96847,0.48802832,7.0224705,2.0192893,28.961807,0.47921854,767.23303,0.21911909,1329.8378,0.17437744,-101.27124,-0.92435014,1800.3741,0.108178034,1072.0334,0.32302994,-103.53864,-0.83552206,2912.6372,0.0870766,995.9224,0.3822555,-108.43794,-0.7480234,-15.282039,-0.7418318,28.304623,0.43954086,0.057597563,0.35230154,-0.020435344,-0.84275925,0.381829,0.83853745,26.363426,0.5237818,1.5923295,11.527452,-8.238346,-2.1384559,-15.287999,-0.9683138,-2.150634,10.864266,0.0329811,0.026391309,0.03269254,1.9047619,1.7391304,0.3085,0.26258856,0.305625,0.41240105,-22.128395,159.233333,170.8,engaged
9,35.517338,0.06719889,35.085205,35.71855,36.912636,1.8274307,69.55273,99.579254,21.457712,18.586147,0.43902206,0.75790054,0.18790025,0.32104987,0.6796563,0.49175608,6.6871204,3.414847,3.356541,2.4928434,0.22860096,0.891546,26.694807,0.5814826,16.362516,0.98729914,4.1297994,4.4846635,-2.9795368,-5.054327,0.020181863,1.0303773,1.152003,0.82330406,9.736904,0.377368,16.822786,0.7224776,36.098812,0.3409828,698.55383,0.2670596,1477.2333,0.11711544,-57.823326,-1.2449111,1807.6602,0.11083819,1219.0443,0.25247914,-67.81239,-0.9527857,2945.1062,0.075642906,1080.5217,0.22027436,-72.967575,-0.83898664,-24.243042,-0.45433623,36.491722,0.23860486,0.057071898,0.41493967,-0.013975522,-1.2428244,0.2753581,0.7488309,32.54256,0.27819604,18.287523,0.8389596,7.367587,2.523938,-4.0640388,-3.854859,-3.4942372,14.577715,0.03843087,0.010715397,0.080819994,4.945055,2.259887,0.3425,0.28778246,0.103333324,0.012472192,-20.527504,170.833333,172.666667,disengaged
