Hidden1,Hidden2,Dropout,LearningRate,WeightDecay,Accuracy,Precision,Recall,F1
16,16,0.2,0.001,0.0,0.590379746835443,0.6173590485374477,0.7769082125603866,0.6819707916992673
16,16,0.2,0.001,0.0001,0.5702848101265823,0.6076280848872706,0.716135265700483,0.6572913602039816
16,16,0.2,0.0005,0.0,0.588006329113924,0.6077540860916861,0.8378743961352656,0.6984648528066654
16,16,0.2,0.0005,0.0001,0.6029113924050633,0.6256215062775923,0.7900483091787439,0.6891115420527185
16,16,0.3,0.001,0.0,0.6004746835443038,0.6120435993592769,0.8419323671497585,0.704660168336802
16,16,0.3,0.001,0.0001,0.6054113924050633,0.6137237798868646,0.8551690821256039,0.7109628068813219
16,16,0.3,0.0005,0.0,0.5529113924050633,0.5870697312902509,0.7637681159420289,0.6594990588240939
16,16,0.3,0.0005,0.0001,0.570253164556962,0.6051488333856041,0.7333333333333332,0.6593896558238621
16,16,0.4,0.001,0.0,0.5829113924050633,0.6069045887130994,0.8159420289855073,0.6881584312079203
16,16,0.4,0.001,0.0001,0.565379746835443,0.6116300805768792,0.72,0.6491632446555445
16,16,0.4,0.0005,0.0,0.5627848101265822,0.5829846424674011,0.8503381642512077,0.6848048367403206
16,16,0.4,0.0005,0.0001,0.5929430379746835,0.6068501701368211,0.8339130434782609,0.7017682933946862
16,16,0.5,0.001,0.0,0.5628164556962025,0.6045990938864059,0.711207729468599,0.6480028732771961
16,16,0.5,0.001,0.0001,0.5854113924050632,0.5996723646723646,0.8509178743961352,0.698841394945291
16,16,0.5,0.0005,0.0,0.5701582278481012,0.5925423890631925,0.7935265700483092,0.6718765334813692
16,16,0.5,0.0005,0.0001,0.5854430379746836,0.6068053241509851,0.828985507246377,0.6948424908424908
16,32,0.2,0.001,0.0,0.5905696202531645,0.6039524531049955,0.8598067632850241,0.7060707598186813
16,32,0.2,0.001,0.0001,0.575379746835443,0.5980102745429623,0.8159420289855073,0.6851559317693205
16,32,0.2,0.0005,0.0,0.6029430379746836,0.6252531858732857,0.7814492753623189,0.6898119874097729
16,32,0.2,0.0005,0.0001,0.5904430379746836,0.6177165208256146,0.7641545893719808,0.6802494211630645
16,32,0.3,0.001,0.0,0.5778164556962025,0.5991178855181042,0.7984541062801933,0.6822040951435192
16,32,0.3,0.001,0.0001,0.5904430379746836,0.609963137656699,0.8249275362318841,0.6957998351570903
16,32,0.3,0.0005,0.0,0.585379746835443,0.6099946873531779,0.8070531400966183,0.6866787836997617
16,32,0.3,0.0005,0.0001,0.5954113924050632,0.6096488219097057,0.8335265700483092,0.7012225950630515
16,32,0.4,0.001,0.0,0.5779430379746835,0.599010101010101,0.8375845410628019,0.6920917563122624
16,32,0.4,0.001,0.0001,0.5955696202531645,0.6279216282400018,0.7336231884057971,0.6741826265017137
16,32,0.4,0.0005,0.0,0.5930379746835442,0.6243017762660619,0.7769082125603864,0.6839466396487673
16,32,0.4,0.0005,0.0001,0.5904746835443038,0.613032409519529,0.7855072463768116,0.6852086530802793
16,32,0.5,0.001,0.0,0.600632911392405,0.628517454547852,0.7684057971014493,0.6886179399065997
16,32,0.5,0.001,0.0001,0.5551582278481013,0.5881244662751037,0.7544927536231885,0.6552473219558506
16,32,0.5,0.0005,0.0,0.5828481012658228,0.6051107193403135,0.8113043478260868,0.6867130511662938
