Participant,Fold,Training Samples,Training Engaged,Training Disengaged,Validation Samples,Validation Engaged,Validation Disengaged,Testing Samples,Testing Engaged,Testing Disengaged
p11,1,1220,716,504,306,180,126,382,224,158
p11,2,1220,716,504,306,180,126,382,224,158
p11,3,1220,716,504,306,180,126,382,224,158
p11,4,1221,716,505,306,180,126,381,224,157
p11,5,1221,716,505,306,180,126,381,224,157
p12,1,793,470,323,199,118,81,248,147,101
p12,2,793,470,323,199,118,81,248,147,101
p12,3,793,470,323,199,118,81,248,147,101
p12,4,793,470,323,199,118,81,248,147,101
p12,5,793,470,323,199,118,81,248,147,101
p17,1,412,239,173,104,60,44,129,75,54
p17,2,412,239,173,104,60,44,129,75,54
p17,3,412,239,173,104,60,44,129,75,54
p17,4,412,239,173,104,60,44,129,75,54
p17,5,412,240,172,104,60,44,129,74,55
p18,1,556,360,196,140,91,49,175,113,62
p18,2,557,360,197,140,91,49,174,113,61
p18,3,557,360,197,140,91,49,174,113,61
p18,4,557,360,197,140,91,49,174,113,61
p18,5,557,361,196,140,91,49,174,112,62
p5,1,562,464,98,141,117,24,176,146,30
p5,2,562,464,98,141,117,24,176,146,30
p5,3,562,465,97,141,117,24,176,145,31
p5,4,562,465,97,141,117,24,176,145,31
p5,5,563,465,98,141,117,24,175,145,30
p7,1,419,313,106,105,79,26,131,99,32
p7,2,419,314,105,105,79,26,131,98,33
p7,3,419,314,105,105,79,26,131,98,33
p7,4,419,314,105,105,79,26,131,98,33
p7,5,419,314,105,105,79,26,131,98,33
p9,1,513,201,312,129,50,79,161,63,98
p9,2,513,201,312,129,50,79,161,63,98
p9,3,513,201,312,129,50,79,161,63,98
p9,4,514,201,313,129,50,79,160,63,97
p9,5,514,201,313,129,51,78,160,62,98
