Hidden1,Hidden2,Dropout,LearningRate,WeightDecay,Accuracy,Precision,Recall,F1,AUROC
16,16,0.2,0.001,0.0,0.6195215126904948,0.6343362140043768,0.83125,0.7193272518201139,0.640192716911807
16,16,0.2,0.001,0.0001,0.6173970400296821,0.6277396344379234,0.8678571428571429,0.726600384015539,0.6394203663284228
16,16,0.2,0.0005,0.0,0.615324785972434,0.629515073652996,0.8383928571428572,0.7186725437917728,0.6371958541136361
16,16,0.2,0.0005,0.0001,0.6016874853994036,0.6224327621227128,0.81875,0.706895636124522,0.6286977300998606
16,16,0.3,0.001,0.0,0.615845597834302,0.6264036940668559,0.8660714285714285,0.7252495503157185,0.6277332097073289
16,16,0.3,0.001,0.0001,0.6106017506973933,0.6294111112190295,0.8223214285714286,0.7118309185847564,0.6372245770032595
16,16,0.3,0.0005,0.0,0.5990641876571712,0.610895582197477,0.8785714285714284,0.7192455377501616,0.6424805778555879
16,16,0.3,0.0005,0.0001,0.6111280592543734,0.6195672792981999,0.8767857142857143,0.7252830184874878,0.6303079396113844
16,16,0.4,0.001,0.0,0.6079784529551607,0.6173510252543607,0.8732142857142857,0.7230001016295982,0.6323845541401274
16,16,0.4,0.001,0.0001,0.6074590152670707,0.6189816180333868,0.8705357142857144,0.721960515489385,0.6325825909054262
16,16,0.4,0.0005,0.0,0.6147957290678979,0.628898288306831,0.8428571428571429,0.719566333228714,0.6295508503127125
16,16,0.4,0.0005,0.0001,0.6053620260818183,0.6145455249823992,0.8883928571428571,0.7252231785093828,0.6329994327409267
16,16,0.5,0.001,0.0,0.5948674609391104,0.6036100515043924,0.9035714285714285,0.723403475877954,0.6259323421176903
16,16,0.5,0.001,0.0001,0.609549133583433,0.6140984408354103,0.9044642857142856,0.730850847736621,0.6354038769422145
16,16,0.5,0.0005,0.0,0.6064118948482224,0.6185773324684829,0.8589285714285715,0.7185893317762441,0.6248432478893355
16,16,0.5,0.0005,0.0001,0.6106113699138394,0.6251415504481128,0.8446428571428571,0.7176290773306783,0.6321748194561224
