Participant,Best Hidden1,Best Hidden2,Best Dropout,Best LearningRate,Best WeightDecay,Accuracy Mean,Accuracy Std,95 CI,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std,95 CI,AUROC Mean,AUROC Std,95 CI
p11,32,16,0.4,0.001,0,0.604531786941581,0.028961774763886,0.008736058305155,0.600730690074952,0.02329815461864,0.853948287910552,0.107568259243433,0.70222211556191,0.033807825034749,0.010197825688581,0.622577537847393,0.063140659375487,0.019045810770479
p12,32,32,0.3,0.0005,0,0.521189336978811,0.023092687357632,0.006965700991175,0.531739717392295,0.013881031772247,0.855734406438632,0.13511002725062,0.652681527352994,0.045113508938912,0.013608083332377,0.498662147395212,0.082716971895145,0.024950828987281
p17,16,32,0.3,0.0005,0,0.594666666666667,0.088242091241463,0.026617431436402,0.603993014209732,0.084949047331409,0.786813186813187,0.102085487142801,0.676502956502956,0.052161913555963,0.015734171052997,0.638178488178488,0.054429589474223,0.01641819505362
p18,32,64,0.5,0.0005,0.0001,0.661635220125786,0.025317593954595,0.007636824011538,0.665988967691095,0.020332858965341,0.953613445378151,0.052328723643208,0.783474605861081,0.018605273594792,0.005612113077757,0.59125386996904,0.049281038418757,0.014865181035166
p5,32,32,0.5,0.0005,0,0.686088709677419,0.056034243399931,0.016902224446461,0.680319807134323,0.044316955814831,0.99047619047619,0.021295885499998,0.80569412831371,0.028552727611657,0.008612672918708,0.60995670995671,0.11953373791258,0.036056274601637
p7,32,16,0.4,0.001,0,0.673563218390805,0.145811744622523,0.043982798463966,0.687046866177301,0.087776376985605,0.803921568627451,0.198514281679574,0.736025082154114,0.131709558490608,0.039729001129964,0.705924250041897,0.169271984291525,0.051059368296864
p9,16,32,0.2,0.0005,0.0001,0.554666666666667,0.081933238405153,0.024714422844353,0.559446987032799,0.069444215843848,0.861538461538462,0.137604183230756,0.673675461175461,0.065684221439654,0.019813053340263,0.522727272727273,0.117809339782038,0.035536125448744
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,child denoised,,,,,,,,,,,,,,,,
