Participant,Fold,Training Samples,Training Engaged,Training Disengaged,Validation Samples,Validation Engaged,Validation Disengaged,Testing Samples,Testing Engaged,Testing Disengaged
p11,1,243,137,106,61,35,26,77,43,34
p11,2,244,138,106,61,34,27,76,43,33
p11,3,244,138,106,61,34,27,76,43,33
p11,4,244,138,106,61,34,27,76,43,33
p11,5,244,138,106,61,34,27,76,43,33
p12,1,228,128,100,57,32,25,72,40,32
p12,2,228,128,100,57,32,25,72,40,32
p12,3,228,128,100,58,32,26,71,40,31
p12,4,228,128,100,58,32,26,71,40,31
p12,5,228,128,100,58,32,26,71,40,31
p17,1,108,61,47,27,15,12,34,20,14
p17,2,108,62,46,27,15,12,34,19,15
p17,3,108,62,46,27,15,12,34,19,15
p17,4,108,62,46,27,15,12,34,19,15
p17,5,108,61,47,28,16,12,33,19,14
p18,1,134,93,41,34,23,11,43,30,13
p18,2,135,93,42,34,24,10,42,29,13
p18,3,135,93,42,34,24,10,42,29,13
p18,4,135,93,42,34,24,10,42,29,13
p18,5,135,93,42,34,24,10,42,29,13
p5,1,99,65,34,25,16,9,32,21,11
p5,2,100,65,35,25,16,9,31,21,10
p5,3,100,66,34,25,16,9,31,20,11
p5,4,100,66,34,25,16,9,31,20,11
p5,5,100,66,34,25,16,9,31,20,11
p7,1,104,63,41,27,16,11,33,20,13
p7,2,104,63,41,27,16,11,33,20,13
p7,3,104,63,41,27,16,11,33,20,13
p7,4,104,63,41,27,16,11,33,20,13
p7,5,105,64,41,27,16,11,32,19,13
p9,1,76,41,35,20,11,9,25,13,12
p9,2,77,41,36,20,11,9,24,13,11
p9,3,77,41,36,20,11,9,24,13,11
p9,4,77,41,36,20,11,9,24,13,11
p9,5,77,41,36,20,11,9,24,13,11
