Hidden1,Hidden2,Dropout,LearningRate,WeightDecay,Accuracy,Precision,Recall,F1,AUROC
16,16,0.2,0.001,0.0,0.5461658841940532,0.5681325163404127,0.7949999999999999,0.6615470978241592,0.5347278225806452
16,16,0.2,0.001,0.0001,0.5658059467918624,0.5703759698221463,0.9199999999999999,0.7028716351405426,0.5673487903225806
16,16,0.2,0.0005,0.0,0.5544992175273865,0.5687444324064043,0.85,0.6721641942694575,0.5577721774193548
16,16,0.2,0.0005,0.0001,0.5656885758998436,0.578759752516064,0.8549999999999999,0.686983970983971,0.5215625
16,16,0.3,0.001,0.0,0.5379499217527386,0.5610730192900192,0.7849999999999999,0.6488241710245319,0.5484375
16,16,0.3,0.001,0.0001,0.5740610328638498,0.5935016228909685,0.7550000000000001,0.6569867721187098,0.57890625
16,16,0.3,0.0005,0.0,0.5686228482003131,0.5733010359316142,0.9099999999999999,0.7024176352747781,0.5503679435483871
16,16,0.3,0.0005,0.0001,0.5825508607198748,0.580497124159096,0.915,0.709294885074139,0.523054435483871
16,16,0.4,0.001,0.0,0.5685446009389671,0.5814703145824427,0.8149999999999998,0.6767746115468484,0.533921370967742
16,16,0.4,0.001,0.0001,0.5714788732394366,0.5799440630561912,0.8550000000000001,0.6878698496420865,0.5369808467741936
16,16,0.4,0.0005,0.0,0.5714397496087636,0.5811659956667135,0.8400000000000001,0.6866434831045459,0.5422227822580645
16,16,0.4,0.0005,0.0001,0.5602503912363067,0.5722116326647677,0.845,0.6819198587462736,0.5567187499999999
16,16,0.5,0.001,0.0,0.5796948356807512,0.5877426920696058,0.85,0.6932291777179802,0.5530443548387096
16,16,0.5,0.001,0.0001,0.5855242566510173,0.5941133064948205,0.8149999999999998,0.6857640628587902,0.5684274193548388
16,16,0.5,0.0005,0.0,0.5742566510172145,0.5766398630355348,0.9099999999999999,0.7041156906178954,0.560866935483871
16,16,0.5,0.0005,0.0001,0.5798904538341159,0.5905085750775406,0.8150000000000001,0.683841918972618,0.5644506048387098
16,32,0.2,0.001,0.0,0.5461267605633803,0.5649955791335101,0.7950000000000002,0.6544257314576316,0.5362298387096773
16,32,0.2,0.001,0.0001,0.5769953051643192,0.5861406083361073,0.86,0.6946748120661164,0.5474092741935485
16,32,0.2,0.0005,0.0,0.5489827856025039,0.5748331613347093,0.74,0.6460467866090875,0.5562550403225807
16,32,0.2,0.0005,0.0001,0.5744131455399062,0.5832963875205255,0.8550000000000001,0.6911057513914656,0.5539969758064516
16,32,0.3,0.001,0.0,0.5322378716744914,0.557229376860462,0.7849999999999999,0.6476694858622412,0.528054435483871
16,32,0.3,0.001,0.0001,0.5797730829420971,0.5896493459482511,0.82,0.6809221118586959,0.5354788306451612
16,32,0.3,0.0005,0.0,0.5768779342723006,0.588224512337612,0.8300000000000001,0.6857092269487299,0.5534627016129032
16,32,0.3,0.0005,0.0001,0.5603286384976526,0.5698216915635747,0.875,0.6875769150051207,0.5482358870967741
16,32,0.4,0.001,0.0,0.5629499217527387,0.5725535754568012,0.865,0.6885431225121629,0.5568548387096774
16,32,0.4,0.001,0.0001,0.5769170579029734,0.5777653420523139,0.9099999999999999,0.7057723492723493,0.550015120967742
16,32,0.4,0.0005,0.0,0.5826291079812207,0.5840172524299024,0.89,0.7044167472738901,0.5663457661290322
16,32,0.4,0.0005,0.0001,0.599491392801252,0.5910504201680673,0.9349999999999999,0.7229888084624927,0.5634727822580644
16,32,0.5,0.001,0.0,0.5518388106416277,0.5666788176605702,0.86,0.6795180344785892,0.5111088709677418
16,32,0.5,0.001,0.0001,0.5658059467918624,0.5728529657477026,0.9,0.6982577989021289,0.5092691532258066
16,32,0.5,0.0005,0.0,0.5573552425665101,0.5636065869925083,0.9349999999999999,0.7028900402074602,0.5527368951612903
16,32,0.5,0.0005,0.0001,0.5571987480438185,0.5691612995186588,0.85,0.6803622069777722,0.5230292338709678
16,64,0.2,0.001,0.0,0.5937793427230048,0.6218497304582209,0.8300000000000001,0.6789984209339048,0.5851663306451613
16,64,0.2,0.001,0.0001,0.5573943661971831,0.5656317742391094,0.905,0.6958892331876924,0.5220917338709677
16,64,0.2,0.0005,0.0,0.5658450704225353,0.576012765450973,0.8699999999999999,0.6891062037343353,0.5377570564516129
16,64,0.2,0.0005,0.0001,0.5685054773082943,0.5756143360439573,0.875,0.6938478556873935,0.5211592741935483
16,64,0.3,0.001,0.0,0.5518779342723006,0.5697047397047397,0.82,0.6700132848309488,0.5452368951612903
16,64,0.3,0.001,0.0001,0.5601721439749608,0.574076372243615,0.835,0.6796056187020494,0.5741582661290323
16,64,0.3,0.0005,0.0,0.5714788732394366,0.5773788907307905,0.8800000000000001,0.6945726464594388,0.5237903225806451
16,64,0.3,0.0005,0.0001,0.5656885758998434,0.5707443437574035,0.925,0.7043697185693606,0.562998991935484
16,64,0.4,0.001,0.0,0.5742566510172145,0.5789793032663615,0.89,0.7007356899838768,0.5640171370967743
16,64,0.4,0.001,0.0001,0.574452269170579,0.5858018617423567,0.835,0.6853421852419783,0.5583719758064516
