Hidden1,Hidden2,Dropout,LearningRate,WeightDecay,Accuracy,Precision,Recall,F1
16,16,0.2,0.001,0.0,0.4803333333333333,0.4111111111111111,0.48681318681318675,0.4347465437788018
16,16,0.2,0.001,0.0001,0.5213333333333333,0.5475714285714285,0.7912087912087913,0.6333745322134348
16,16,0.2,0.0005,0.0,0.4803333333333334,0.49561156235069276,0.6659340659340659,0.5402963402963403
16,16,0.2,0.0005,0.0001,0.5853333333333334,0.6339349376114083,0.5978021978021978,0.5757944557133198
16,16,0.3,0.001,0.0,0.537,0.5774069891461197,0.6703296703296704,0.5916989247311827
16,16,0.3,0.001,0.0001,0.4796666666666666,0.5757282717282717,0.5483516483516484,0.4830590364800891
16,16,0.3,0.0005,0.0,0.5046666666666667,0.5232736572890025,0.6747252747252748,0.5525670498084291
16,16,0.3,0.0005,0.0001,0.45533333333333337,0.5606555183946489,0.5505494505494506,0.4658164642375168
16,16,0.4,0.001,0.0,0.4963333333333333,0.5108308358308358,0.6384615384615385,0.5453757053757053
16,16,0.4,0.001,0.0001,0.521,0.5368627450980392,0.4747252747252747,0.47022222222222226
16,16,0.4,0.0005,0.0,0.4876666666666666,0.44222222222222224,0.4560439560439561,0.4123851762000429
16,16,0.4,0.0005,0.0001,0.4463333333333333,0.3928030303030303,0.38461538461538464,0.38613793103448274
16,16,0.5,0.001,0.0,0.5606666666666668,0.5523636363636364,0.9538461538461538,0.6987868272078799
16,16,0.5,0.001,0.0001,0.45533333333333337,0.4825695006747638,0.5758241758241758,0.5002342686553213
16,16,0.5,0.0005,0.0,0.4966666666666667,0.3312252964426877,0.49340659340659343,0.3928156728156728
16,16,0.5,0.0005,0.0001,0.5206666666666667,0.5365,0.7747252747252746,0.6287705105619749
16,32,0.2,0.001,0.0,0.44766666666666666,0.486060606060606,0.4373626373626374,0.4587506246876562
16,32,0.2,0.001,0.0001,0.5036666666666667,0.5266007326007326,0.7472527472527473,0.6076653996158641
16,32,0.2,0.0005,0.0,0.5696666666666668,0.6879352531526444,0.5604395604395604,0.531968253968254
16,32,0.2,0.0005,0.0001,0.44799999999999995,0.375,0.45604395604395603,0.4011673211673211
16,32,0.3,0.001,0.0,0.4713333333333334,0.4665151515151515,0.5483516483516484,0.48064155064155073
16,32,0.3,0.001,0.0001,0.5376666666666667,0.5374033613445378,0.6747252747252748,0.5824980074707843
16,32,0.3,0.0005,0.0,0.5186666666666666,0.5248006379585327,0.6153846153846154,0.5509916094584286
16,32,0.3,0.0005,0.0001,0.521,0.4350434782608696,0.7076923076923076,0.5374965536255859
16,32,0.4,0.001,0.0,0.5446666666666666,0.5794761904761905,0.7571428571428572,0.6253129290280992
16,32,0.4,0.001,0.0001,0.5363333333333334,0.5503053830227743,0.7549450549450549,0.6330064924385412
16,32,0.4,0.0005,0.0,0.48933333333333334,0.4854029304029305,0.5835164835164834,0.5050517595678452
16,32,0.4,0.0005,0.0001,0.529,0.5257936507936508,0.7197802197802199,0.5949629118509574
16,32,0.5,0.001,0.0,0.4876666666666666,0.5155047247438552,0.7098901098901098,0.5928546699599504
16,32,0.5,0.001,0.0001,0.4803333333333334,0.4769298245614035,0.6274725274725275,0.5050709800709801
16,32,0.5,0.0005,0.0,0.425,0.35404761904761906,0.5043956043956044,0.4057910852028499
16,32,0.5,0.0005,0.0001,0.522,0.358974358974359,0.3626373626373627,0.3592337164750958
16,64,0.2,0.001,0.0,0.6106666666666667,0.700595238095238,0.6615384615384616,0.6063211669019292
16,64,0.2,0.001,0.0001,0.5206666666666667,0.5298823529411765,0.643956043956044,0.5560902255639097
16,64,0.2,0.0005,0.0,0.5126666666666667,0.5293002070393376,0.820879120879121,0.6381376234704408
16,64,0.2,0.0005,0.0001,0.5046666666666666,0.5338528138528138,0.6802197802197802,0.5878946241165132
16,64,0.3,0.001,0.0,0.512,0.5634803921568627,0.5043956043956044,0.4836002966258806
16,64,0.3,0.001,0.0001,0.46366666666666667,0.5270562770562771,0.4725274725274725,0.43643697478991594
16,64,0.3,0.0005,0.0,0.5683333333333332,0.6226811594202899,0.6725274725274726,0.6050043086564825
16,64,0.3,0.0005,0.0001,0.496,0.5215909090909091,0.7472527472527473,0.6045303314268831
16,64,0.4,0.001,0.0,0.472,0.5082857142857142,0.7747252747252746,0.6071017387106472
16,64,0.4,0.001,0.0001,0.45533333333333337,0.48308021390374334,0.7032967032967032,0.5595889724310777
16,64,0.4,0.0005,0.0,0.513,0.5314285714285714,0.7461538461538463,0.6148663101604278
16,64,0.4,0.0005,0.0001,0.5133333333333333,0.4974242424242424,0.6879120879120879,0.5461278421278422
16,64,0.5,0.001,0.0,0.529,0.6412698412698412,0.5032967032967033,0.4988288339490385
16,64,0.5,0.001,0.0001,0.5046666666666667,0.5187186147186147,0.7637362637362637,0.6072832817337461
16,64,0.5,0.0005,0.0,0.5213333333333334,0.5478288770053477,0.7076923076923076,0.6038754578754578
16,64,0.5,0.0005,0.0001,0.42366666666666675,0.45053846153846155,0.6406593406593407,0.5158441842652369
32,16,0.2,0.001,0.0,0.5036666666666667,0.5031176470588236,0.7538461538461538,0.5758621779674411
32,16,0.2,0.001,0.0001,0.529,0.5469443173150267,0.832967032967033,0.6543169330321033
32,16,0.2,0.0005,0.0,0.5206666666666666,0.5320714285714285,0.8923076923076924,0.6627573792514542
32,16,0.2,0.0005,0.0001,0.4796666666666667,0.5116190476190476,0.5956043956043955,0.5317916002126528
32,16,0.3,0.001,0.0,0.5303333333333333,0.5669186602870814,0.656043956043956,0.5900087719298245
32,16,0.3,0.001,0.0001,0.4966666666666667,0.4829254955570745,0.5989010989010989,0.5202325257588416
32,16,0.3,0.0005,0.0,0.5543333333333333,0.5722248803827752,0.6780219780219781,0.6062002833169882
32,16,0.3,0.0005,0.0001,0.5283333333333333,0.5033333333333333,0.7692307692307693,0.5836605087379081
32,16,0.4,0.001,0.0,0.504,0.4234444444444444,0.7087912087912087,0.5284307543051177
32,16,0.4,0.001,0.0001,0.5126666666666667,0.44126315789473686,0.6923076923076923,0.5340032774243301
32,16,0.4,0.0005,0.0,0.561,0.5686519036519037,0.7274725274725274,0.6334804850322092
32,16,0.4,0.0005,0.0001,0.512,0.5171259029927759,0.6747252747252747,0.5609791370317686
32,16,0.5,0.001,0.0,0.4630000000000001,0.4227564102564102,0.48681318681318686,0.4339906408871926
32,16,0.5,0.001,0.0001,0.506,0.4333666333666334,0.38241758241758245,0.4021978021978022
32,16,0.5,0.0005,0.0,0.505,0.5187878787878788,0.6285714285714286,0.5540668699153972
32,16,0.5,0.0005,0.0001,0.5046666666666667,0.6430476190476191,0.5010989010989012,0.4639097744360902
32,32,0.2,0.001,0.0,0.537,0.5549803921568628,0.665934065934066,0.5566102940636047
32,32,0.2,0.001,0.0001,0.488,0.6083365653953889,0.5769230769230769,0.5155397108338284
32,32,0.2,0.0005,0.0,0.48966666666666664,0.41350427350427355,0.46813186813186813,0.43689569607255924
32,32,0.2,0.0005,0.0001,0.4963333333333334,0.5609803921568627,0.45494505494505494,0.45558213716108453
32,32,0.3,0.001,0.0,0.544,0.5944444444444444,0.7043956043956043,0.5953826209666031
32,32,0.3,0.001,0.0001,0.5613333333333335,0.5734706331045004,0.7098901098901099,0.6256148228974315
32,32,0.3,0.0005,0.0,0.5046666666666667,0.5277846581336283,0.6813186813186813,0.5884191160053229
