Participant,Fold,Training Samples,Training Engaged,Training Disengaged,Validation Samples,Validation Engaged,Validation Disengaged,Testing Samples,Testing Engaged,Testing Disengaged
p11,1,1097,728,369,275,182,93,343,228,115
p11,2,1097,728,369,275,182,93,343,228,115
p11,3,1097,728,369,275,182,93,343,228,115
p11,4,1097,728,369,275,183,92,343,227,116
p11,5,1097,728,369,275,183,92,343,227,116
p12,1,1031,644,387,258,161,97,323,202,121
p12,2,1031,644,387,258,161,97,323,202,121
p12,3,1032,645,387,258,161,97,322,201,121
p12,4,1032,645,387,258,161,97,322,201,121
p12,5,1032,645,387,258,161,97,322,201,121
p17,1,763,495,268,191,124,67,239,155,84
p17,2,763,495,268,191,124,67,239,155,84
p17,3,763,495,268,191,124,67,239,155,84
p17,4,764,495,269,191,124,67,238,155,83
p17,5,764,496,268,191,124,67,238,154,84
p18,1,892,569,323,224,143,81,280,178,102
p18,2,893,569,324,224,143,81,279,178,101
p18,3,893,569,324,224,143,81,279,178,101
p18,4,893,569,324,224,143,81,279,178,101
p18,5,893,569,324,224,143,81,279,178,101
p5,1,892,733,159,224,184,40,280,230,50
p5,2,893,733,160,224,184,40,279,230,49
p5,3,893,734,159,224,184,40,279,229,50
p5,4,893,734,159,224,184,40,279,229,50
p5,5,893,734,159,224,184,40,279,229,50
p7,1,1127,833,294,282,208,74,353,261,92
p7,2,1127,833,294,282,208,74,353,261,92
p7,3,1128,834,294,282,208,74,352,260,92
p7,4,1128,834,294,282,208,74,352,260,92
p7,5,1128,834,294,282,208,74,352,260,92
p9,1,1196,600,596,299,150,149,374,188,186
p9,2,1196,600,596,299,150,149,374,188,186
p9,3,1196,600,596,299,150,149,374,188,186
p9,4,1196,601,595,299,150,149,374,187,187
p9,5,1196,600,596,300,151,149,373,187,186
