Participant,Fold,Training Samples,Training Engaged,Training Disengaged,Validation Samples,Validation Engaged,Validation Disengaged,Testing Samples,Testing Engaged,Testing Disengaged
p11,1,246,151,95,62,38,24,78,48,30
p11,2,247,151,96,62,38,24,77,48,29
p11,3,247,152,95,62,38,24,77,47,30
p11,4,247,152,95,62,38,24,77,47,30
p11,5,247,152,95,62,38,24,77,47,30
p12,1,293,168,125,74,43,31,92,53,39
p12,2,293,168,125,74,43,31,92,53,39
p12,3,293,168,125,74,43,31,92,53,39
p12,4,293,168,125,74,43,31,92,53,39
p12,5,294,169,125,74,43,31,91,52,39
p17,1,184,103,81,47,26,21,58,33,25
p17,2,184,103,81,47,26,21,58,33,25
p17,3,184,104,80,47,26,21,58,32,26
p17,4,184,104,80,47,26,21,58,32,26
p17,5,185,104,81,47,26,21,57,32,25
p18,1,204,130,74,52,33,19,65,41,24
p18,2,205,130,75,52,33,19,64,41,23
p18,3,205,130,75,52,33,19,64,41,23
p18,4,205,130,75,52,33,19,64,41,23
p18,5,205,131,74,52,33,19,64,40,24
p5,1,163,109,54,41,27,14,52,35,17
p5,2,164,110,54,41,27,14,51,34,17
p5,3,164,110,54,41,27,14,51,34,17
p5,4,164,110,54,41,27,14,51,34,17
p5,5,164,110,54,41,27,14,51,34,17
p7,1,223,131,92,56,33,23,70,41,29
p7,2,223,131,92,56,33,23,70,41,29
p7,3,223,131,92,56,33,23,70,41,29
p7,4,223,131,92,56,33,23,70,41,29
p7,5,224,131,93,56,33,23,69,41,28
p9,1,212,111,101,54,28,26,67,35,32
p9,2,212,111,101,54,28,26,67,35,32
p9,3,212,111,101,54,28,26,67,35,32
p9,4,213,111,102,54,28,26,66,35,31
p9,5,213,112,101,54,28,26,66,34,32
