Hidden1,Hidden2,Dropout,LearningRate,WeightDecay,Accuracy,Precision,Recall,F1,AUROC
16,16,0.2,0.001,0.0,0.613986013986014,0.6203981589187069,0.9575354609929076,0.7520036103825344,0.5975538028857912
16,16,0.2,0.001,0.0001,0.588011988011988,0.6073005941426993,0.8045212765957448,0.6452223285511824,0.5677295793592565
16,16,0.2,0.0005,0.0,0.521045621045621,0.6547267111972994,0.46507092198581557,0.4910231419003349,0.5730271256215864
16,16,0.2,0.0005,0.0001,0.5675657675657676,0.6026226344212615,0.8359042553191489,0.692609223304016,0.5235926673188229
16,16,0.3,0.001,0.0,0.5626706626706627,0.4935995872033024,0.7703014184397163,0.6013917163382427,0.5648607035134916
16,16,0.3,0.001,0.0001,0.6191808191808191,0.6200594980915346,0.9829787234042552,0.760150199150172,0.5906859867938372
16,16,0.3,0.0005,0.0,0.5288711288711289,0.4872879372879373,0.6170212765957447,0.5018840733996358,0.5045809896470205
16,16,0.3,0.0005,0.0001,0.578021978021978,0.6293353705118412,0.7897163120567376,0.6763380015735642,0.5637208567701965
16,16,0.4,0.001,0.0,0.5523143523143523,0.5918836129362445,0.676063829787234,0.5989843531532729,0.5281258661449417
16,16,0.4,0.001,0.0001,0.5881451881451881,0.6526593897396136,0.7904255319148936,0.687902388199502,0.5851100513573001
16,16,0.4,0.0005,0.0,0.5781218781218781,0.6088246329625641,0.8458333333333334,0.6961261680569976,0.5353836512594766
16,16,0.4,0.0005,0.0001,0.5984348984348984,0.6204802916381864,0.8979609929078013,0.7226524403521323,0.5877852164343359
16,16,0.5,0.001,0.0,0.614019314019314,0.6305508408846979,0.8984042553191489,0.7393654711800524,0.6227583149914404
16,16,0.5,0.001,0.0001,0.5802530802530802,0.6397253740411635,0.7502659574468085,0.6368793130366901,0.5373965721040189
16,16,0.5,0.0005,0.0,0.4951048951048951,0.4622794898270822,0.5332446808510638,0.45358389462356075,0.4604150362761882
16,16,0.5,0.0005,0.0001,0.5724275724275725,0.6241676057465531,0.7799645390070922,0.6509474340540155,0.584798442977093
16,32,0.2,0.001,0.0,0.6243423243423244,0.6224761904761905,0.9872340425531915,0.7633386143088945,0.5492035542512432
16,32,0.2,0.001,0.0001,0.5754911754911756,0.6169584975555125,0.812145390070922,0.6674363327674024,0.5480260047281323
16,32,0.2,0.0005,0.0,0.6165834165834165,0.6321855871043442,0.9070921985815602,0.7437154405457351,0.5676257438656558
