Hidden1,Hidden2,Dropout,LearningRate,WeightDecay,Accuracy,Precision,Recall,F1,AUROC
16,16,0.2,0.001,0.0,0.6152419719583899,0.6337130179877292,0.6494117647058824,0.6385829007530726,0.6607156410951477
16,16,0.2,0.001,0.0001,0.6063772048846675,0.621396234828803,0.6438655462184875,0.6310630903453746,0.6472268907563025
16,16,0.2,0.0005,0.0,0.6090456806874718,0.6298919549395956,0.6667226890756304,0.642419475580309,0.6498337964217946
16,16,0.2,0.0005,0.0001,0.6005427408412483,0.6171773450720819,0.6198319327731092,0.6165106242482785,0.641109548658173
16,16,0.3,0.001,0.0,0.6272727272727272,0.6483689839572193,0.6667226890756301,0.6540468227424749,0.6791738953645974
16,16,0.3,0.001,0.0001,0.6424242424242423,0.6463700918964076,0.7010084033613445,0.6719586967690382,0.668048929249119
16,16,0.3,0.0005,0.0,0.5943012211668928,0.6137977044476327,0.6321008403361346,0.6172479023646071,0.6595515383572785
16,16,0.3,0.0005,0.0001,0.6033469018543645,0.6154462069096216,0.6605042016806723,0.636104000654935,0.6423443006234753
16,16,0.4,0.001,0.0,0.6271822704658525,0.640173000324803,0.6961344537815126,0.6619254684374817,0.6558654106804012
16,16,0.4,0.001,0.0001,0.6243781094527363,0.6438588484801578,0.6610084033613445,0.6477461150443291,0.6607890010843047
16,16,0.4,0.0005,0.0,0.6181818181818182,0.6378378378378379,0.6433613445378151,0.638193122700165,0.6606060246679317
16,16,0.4,0.0005,0.0001,0.5943916779737675,0.6059087912746449,0.72,0.6456266306792623,0.6328735768500948
16,16,0.5,0.001,0.0,0.6303482587064677,0.638837288245183,0.6956302521008404,0.6639142992449065,0.6794204052588777
16,16,0.5,0.001,0.0001,0.6302125734961556,0.6454977788848757,0.6426890756302521,0.6424415584415584,0.6568965166711846
16,16,0.5,0.0005,0.0,0.6395296246042514,0.6465370084724924,0.6961344537815126,0.6675176156723669,0.6700193141772838
16,16,0.5,0.0005,0.0001,0.6153324287652645,0.6277033492822965,0.6836974789915966,0.6526307999507288,0.6494095622119815
16,32,0.2,0.001,0.0,0.6212573496155586,0.6323829323829323,0.6721008403361345,0.6502400190459892,0.6659924776362157
16,32,0.2,0.001,0.0001,0.6425599276345545,0.6711128775834659,0.655126050420168,0.6582908995952474,0.6721220181621035
16,32,0.2,0.0005,0.0,0.6335142469470827,0.646165842636431,0.6667226890756301,0.6557168382540628,0.6565564854974247
16,32,0.2,0.0005,0.0001,0.6394391677973768,0.6547085455574421,0.6957983193277311,0.6695839382802296,0.6738933315261588
16,32,0.3,0.001,0.0,0.642514699231117,0.6597491904346743,0.6611764705882354,0.6587536577088816,0.6766679655733261
16,32,0.3,0.001,0.0001,0.6062867480777928,0.6343616566499861,0.5909243697478991,0.6059433961431615,0.6443794049878016
16,32,0.3,0.0005,0.0,0.6303030303030303,0.6475991781254938,0.6665546218487395,0.6551076259179675,0.6654342301436704
16,32,0.3,0.0005,0.0001,0.6212573496155585,0.6463016370028566,0.6378151260504202,0.6390163268166211,0.6641195107075089
16,32,0.4,0.001,0.0,0.597105382180009,0.6092388542388542,0.6549579831932772,0.6308611428329738,0.6495686500406614
16,32,0.4,0.001,0.0001,0.6272727272727272,0.6513157894736842,0.6549579831932772,0.6499434397516589,0.6513140417457306
16,32,0.4,0.0005,0.0,0.6213930348258706,0.630606518282989,0.6848739495798319,0.6520472173295015,0.686750982651125
16,32,0.4,0.0005,0.0001,0.6213025780189959,0.6445062873634302,0.6615126050420168,0.6469526823116825,0.6499720452697207
16,32,0.5,0.001,0.0,0.6092265943012211,0.616486013986014,0.6667226890756304,0.6381151336152947,0.6616074817023584
16,32,0.5,0.001,0.0001,0.6213930348258707,0.635281348532622,0.6610084033613445,0.6463856420020803,0.6587508471130388
16,32,0.5,0.0005,0.0,0.5853459972862958,0.605253698514568,0.7294117647058823,0.6502051282051282,0.6194815668202764
16,32,0.5,0.0005,0.0001,0.5971958389868838,0.6122629004981947,0.6552941176470588,0.6305947922274784,0.6417008335592301
16,64,0.2,0.001,0.0,0.5971958389868838,0.6101610101610102,0.6608403361344537,0.6332422205487221,0.6296896177825968
16,64,0.2,0.001,0.0001,0.6033469018543645,0.6107507139942882,0.6783193277310925,0.6414552069578117,0.6616555977229601
