Participant,Fold,Train Total,Train Engaged,Train Disengaged,Validation Total,Validation Engaged,Validation Disengaged,Test Total,Test Engaged,Test Disengaged,Total engaged,Total disengaged
p11,1,254,146,108,64,37,27,80,46,34,229,169
p11,2,254,146,108,64,37,27,80,46,34,229,169
p11,3,254,146,108,64,37,27,80,46,34,229,169
p11,4,255,146,109,64,37,27,79,46,33,229,169
p11,5,255,147,108,64,37,27,79,45,34,229,169
p12,1,304,171,133,76,43,33,96,54,42,268,208
p12,2,304,172,132,77,43,34,95,53,42,268,208
p12,3,304,172,132,77,43,34,95,53,42,268,208
p12,4,304,171,133,77,43,34,95,54,41,268,208
p12,5,304,171,133,77,43,34,95,54,41,268,208
p17,1,60,32,28,15,8,7,19,10,9,50,44
p17,2,60,32,28,15,8,7,19,10,9,50,44
p17,3,60,32,28,15,8,7,19,10,9,50,44
p17,4,60,32,28,15,8,7,19,10,9,50,44
p17,5,60,32,28,16,8,8,18,10,8,50,44
p18,1,121,81,40,31,21,10,39,26,13,128,63
p18,2,122,81,41,31,21,10,38,26,12,128,63
p18,3,122,81,41,31,21,10,38,26,12,128,63
p18,4,122,82,40,31,21,10,38,25,13,128,63
p18,5,122,82,40,31,21,10,38,25,13,128,63
p5,1,76,54,22,19,14,5,24,17,7,85,34
p5,2,76,54,22,19,14,5,24,17,7,85,34
p5,3,76,54,22,19,14,5,24,17,7,85,34
p5,4,76,54,22,19,14,5,24,17,7,85,34
p5,5,76,54,22,20,14,6,23,17,6,85,34
p7,1,67,41,26,17,10,7,22,13,9,64,42
p7,2,68,41,27,17,10,7,21,13,8,64,42
p7,3,68,41,27,17,10,7,21,13,8,64,42
p7,4,68,41,27,17,10,7,21,13,8,64,42
p7,5,68,42,26,17,10,7,21,12,9,64,42
p9,1,55,31,24,14,8,6,18,10,8,49,38
p9,2,55,31,24,14,8,6,18,10,8,49,38
p9,3,56,31,25,14,8,6,17,10,7,49,38
p9,4,56,31,25,14,8,6,17,10,7,49,38
p9,5,56,32,24,14,8,6,17,9,8,49,38
