Participant,Fold,Train Total,Train Engaged,Train Disengaged,Validation Total,Validation Engaged,Validation Disengaged,Test Total,Test Engaged,Test Disengaged,Total engaged,Total Disengaged
p11,1,308,169,139,78,43,35,97,54,43,266,217
p11,2,308,170,138,78,43,35,97,53,44,266,217
p11,3,308,170,138,78,43,35,97,53,44,266,217
p11,4,309,170,139,78,43,35,96,53,43,266,217
p11,5,309,170,139,78,43,35,96,53,43,266,217
p12,1,420,223,197,106,56,50,132,70,62,349,309
p12,2,420,223,197,106,56,50,132,70,62,349,309
p12,3,420,223,197,106,56,50,132,70,62,349,309
p12,4,421,224,197,106,56,50,131,69,62,349,309
p12,5,421,223,198,106,56,50,131,70,61,349,309
p17,1,77,41,36,20,11,9,25,14,11,66,56
p17,2,77,42,35,20,11,9,25,13,12,66,56
p17,3,78,42,36,20,11,9,24,13,11,66,56
p17,4,78,42,36,20,11,9,24,13,11,66,56
p17,5,78,42,36,20,11,9,24,13,11,66,56
p18,1,170,109,61,43,28,15,54,35,19,172,95
p18,2,170,109,61,43,28,15,54,35,19,172,95
p18,3,171,110,61,43,28,15,53,34,19,172,95
p18,4,171,110,61,43,28,15,53,34,19,172,95
p18,5,171,110,61,43,28,15,53,34,19,172,95
p5,1,99,64,35,25,16,9,31,21,10,101,54
p5,2,99,65,34,25,16,9,31,20,11,101,54
p5,3,99,65,34,25,16,9,31,20,11,101,54
p5,4,99,65,34,25,16,9,31,20,11,101,54
p5,5,99,65,34,25,16,9,31,20,11,101,54
p7,1,93,54,39,24,14,10,30,18,12,86,61
p7,2,93,55,38,24,14,10,30,17,13,86,61
p7,3,94,55,39,24,14,10,29,17,12,86,61
p7,4,94,55,39,24,14,10,29,17,12,86,61
p7,5,94,55,39,24,14,10,29,17,12,86,61
p9,1,76,41,35,20,11,9,24,13,11,65,55
p9,2,76,41,35,20,11,9,24,13,11,65,55
p9,3,76,41,35,20,11,9,24,13,11,65,55
p9,4,76,41,35,20,11,9,24,13,11,65,55
p9,5,76,41,35,20,11,9,24,13,11,65,55
