Participant,Fold,Train Total,Train Engaged,Train Disengaged,Validation Total,Validation Engaged,Validation Disengaged,Test Total,Test Engaged,Test Disengaged
p5,1,51,33,18,13,8,5,17,11,6
p5,2,52,34,18,13,8,5,16,10,6
p5,3,52,34,18,13,8,5,16,10,6
p5,4,52,34,18,13,8,5,16,10,6
p5,5,52,33,19,13,8,5,16,11,5
p7,1,144,82,62,36,20,16,46,26,20
p7,2,144,81,63,37,21,16,45,26,19
p7,3,144,81,63,37,21,16,45,26,19
p7,4,144,82,62,37,21,16,45,25,20
p7,5,144,82,62,37,21,16,45,25,20
p9,1,94,48,46,24,12,12,30,15,15
p9,2,94,48,46,24,12,12,30,15,15
p9,3,94,48,46,24,12,12,30,15,15
p9,4,95,48,47,24,12,12,29,15,14
p9,5,95,48,47,24,12,12,29,15,14
