Hidden1,Hidden2,Dropout,LearningRate,WeightDecay,Accuracy,Precision,Recall,F1,AUROC
16,16,0.2,0.001,0.0,0.62,0.7065196078431373,0.7703296703296704,0.7298961809417872,0.6115384615384615
16,16,0.2,0.001,0.0001,0.6699999999999999,0.7444444444444445,0.8,0.7568328445747801,0.6727106227106228
16,16,0.2,0.0005,0.0,0.6300000000000001,0.7025283797729618,0.7989010989010988,0.7367622933401334,0.6230769230769232
16,16,0.2,0.0005,0.0001,0.61,0.6920098039215686,0.7846153846153845,0.7314677276746243,0.6016483516483517
16,16,0.3,0.001,0.0,0.61,0.6972549019607843,0.7703296703296703,0.7214779706920733,0.6331501831501832
16,16,0.3,0.001,0.0001,0.65,0.7256578947368422,0.8131868131868132,0.7500000000000001,0.6950549450549451
16,16,0.3,0.0005,0.0,0.6599999999999999,0.7046165092217724,0.8714285714285716,0.7746969696969697,0.6606227106227107
16,16,0.3,0.0005,0.0001,0.63,0.6981940144478844,0.8142857142857143,0.7392622933401334,0.6272893772893774
16,16,0.4,0.001,0.0,0.5900000000000001,0.6668386652906777,0.798901098901099,0.7221277915632754,0.6082417582417583
16,16,0.4,0.001,0.0001,0.62,0.69187478500172,0.8142857142857143,0.7387585532746824,0.6836996336996337
16,16,0.4,0.0005,0.0,0.63,0.6964801143129317,0.8274725274725275,0.7526332288401253,0.6084249084249084
16,16,0.4,0.0005,0.0001,0.5900000000000001,0.6612107921318447,0.7978021978021979,0.717799895506792,0.651831501831502
16,16,0.5,0.001,0.0,0.65,0.7158559577677225,0.8274725274725274,0.7648148148148148,0.6935897435897437
16,16,0.5,0.001,0.0001,0.65,0.7251614329942504,0.798901098901099,0.7517412324420111,0.6485347985347986
16,16,0.5,0.0005,0.0,0.6599999999999999,0.6891950464396285,0.9285714285714285,0.7895348168592952,0.6126373626373626
16,16,0.5,0.0005,0.0001,0.6700000000000002,0.7188888888888889,0.8714285714285716,0.7810372960372961,0.6902930402930403
16,32,0.2,0.001,0.0,0.67,0.7197875816993464,0.856043956043956,0.7812467556544309,0.6261904761904762
16,32,0.2,0.001,0.0001,0.6300000000000001,0.7103715170278637,0.8,0.7361070381231671,0.6600732600732601
16,32,0.2,0.0005,0.0,0.6599999999999999,0.7165196078431373,0.8417582417582417,0.7732295142751205,0.6232600732600733
16,32,0.2,0.0005,0.0001,0.62,0.691111111111111,0.8131868131868133,0.742139770685377,0.5996336996336996
16,32,0.3,0.001,0.0,0.6599999999999999,0.7189542483660131,0.8274725274725275,0.7655769230769232,0.6617216117216117
16,32,0.3,0.001,0.0001,0.65,0.7247619047619047,0.7846153846153846,0.7469458128078819,0.6119047619047618
16,32,0.3,0.0005,0.0,0.62,0.6965497737556562,0.7989010989010988,0.7422914349276974,0.6113553113553114
16,32,0.3,0.0005,0.0001,0.66,0.6999011007911936,0.8857142857142858,0.7808797653958944,0.5847985347985348
16,32,0.4,0.001,0.0,0.6300000000000001,0.7078431372549019,0.798901098901099,0.7463925729442971,0.6254578754578756
16,32,0.4,0.001,0.0001,0.61,0.6980128205128204,0.7703296703296704,0.7187072329321319,0.6371794871794872
16,32,0.4,0.0005,0.0,0.62,0.6836935381440025,0.8274725274725275,0.7453415879222332,0.6120879120879121
16,32,0.4,0.0005,0.0001,0.64,0.6896256684491979,0.856043956043956,0.7562504743833017,0.6538461538461539
16,32,0.5,0.001,0.0,0.62,0.6956862745098039,0.798901098901099,0.7396397706853769,0.6036630036630036
16,32,0.5,0.001,0.0001,0.5800000000000001,0.6611764705882353,0.7846153846153846,0.7096774193548387,0.6261904761904763
16,32,0.5,0.0005,0.0,0.65,0.6930185758513933,0.8846153846153847,0.7756149732620321,0.6249084249084249
