Participant,Fold,Training Samples,Training Engaged,Training Disengaged,Validation Samples,Validation Engaged,Validation Disengaged,Testing Samples,Testing Engaged,Testing Disengaged
p11,1,108,67,41,28,17,11,34,22,12
p11,2,108,68,40,28,17,11,34,21,13
p11,3,108,68,40,28,17,11,34,21,13
p11,4,108,68,40,28,17,11,34,21,13
p11,5,108,68,40,28,17,11,34,21,13
p12,1,252,141,111,63,35,28,79,44,35
p12,2,252,141,111,63,35,28,79,44,35
p12,3,252,141,111,63,35,28,79,44,35
p12,4,252,141,111,63,35,28,79,44,35
p12,5,252,140,112,64,36,28,78,44,34
p17,1,115,61,54,29,15,14,36,20,16
p17,2,115,61,54,29,16,13,36,19,17
p17,3,115,61,54,29,16,13,36,19,17
p17,4,115,61,54,29,16,13,36,19,17
p17,5,115,61,54,29,16,13,36,19,17
p18,1,120,74,46,30,18,12,38,24,14
p18,2,120,74,46,30,19,11,38,23,15
p18,3,120,74,46,30,19,11,38,23,15
p18,4,120,74,46,31,19,12,37,23,14
p18,5,120,74,46,31,19,12,37,23,14
p5,1,64,45,19,16,11,5,20,13,7
p5,2,64,44,20,16,11,5,20,14,6
p5,3,64,44,20,16,11,5,20,14,6
p5,4,64,44,20,16,11,5,20,14,6
p5,5,64,44,20,16,11,5,20,14,6
p7,1,148,84,64,37,21,16,47,27,20
p7,2,148,84,64,37,21,16,47,27,20
p7,3,148,84,64,38,22,16,46,26,20
p7,4,148,84,64,38,22,16,46,26,20
p7,5,148,84,64,38,22,16,46,26,20
p9,1,113,55,58,29,14,15,36,18,18
p9,2,113,55,58,29,14,15,36,18,18
p9,3,113,56,57,29,14,15,36,17,19
p9,4,114,56,58,29,14,15,35,17,18
p9,5,114,56,58,29,14,15,35,17,18
