Participant,Fold,Training Samples,Training Engaged,Training Disengaged,Validation Samples,Validation Engaged,Validation Disengaged,Testing Samples,Testing Engaged,Testing Disengaged
p11,1,435,339,96,109,85,24,137,107,30
p11,2,436,340,96,109,85,24,136,106,30
p11,3,436,340,96,109,85,24,136,106,30
p11,4,436,340,96,109,85,24,136,106,30
p11,5,436,340,96,109,85,24,136,106,30
p12,1,873,535,338,219,134,85,273,167,106
p12,2,873,535,338,219,134,85,273,167,106
p12,3,873,535,338,219,134,85,273,167,106
p12,4,873,535,338,219,134,85,273,167,106
p12,5,873,534,339,219,134,85,273,168,105
p17,1,532,337,195,134,85,49,167,106,61
p17,2,532,337,195,134,85,49,167,106,61
p17,3,532,337,195,134,85,49,167,106,61
p17,4,533,338,195,134,85,49,166,105,61
p17,5,533,338,195,134,85,49,166,105,61
p18,1,536,324,212,135,81,54,168,102,66
p18,2,536,324,212,135,81,54,168,102,66
p18,3,536,324,212,135,82,53,168,101,67
p18,4,536,324,212,135,82,53,168,101,67
p18,5,537,324,213,135,82,53,167,101,66
p5,1,330,268,62,83,68,15,104,84,20
p5,2,330,268,62,83,68,15,104,84,20
p5,3,331,269,62,83,67,16,103,84,19
p5,4,331,269,62,83,67,16,103,84,19
p5,5,331,269,62,83,67,16,103,84,19
p7,1,863,637,226,216,159,57,270,199,71
p7,2,863,637,226,216,159,57,270,199,71
p7,3,863,637,226,216,159,57,270,199,71
p7,4,863,637,226,216,159,57,270,199,71
p7,5,864,637,227,216,159,57,269,199,70
p9,1,469,296,173,118,74,44,147,93,54
p9,2,469,296,173,118,74,44,147,93,54
p9,3,469,296,173,118,74,44,147,93,54
p9,4,469,296,173,118,75,43,147,92,55
p9,5,470,297,173,118,74,44,146,92,54
