Participant,Fold,Accuracy,Precision,Recall,F1 Score
p11,1,0.5567010309278351,0.5846153846153846,0.7037037037037037,0.6386554621848739
p11,2,0.5979381443298969,0.6206896551724138,0.6792452830188679,0.6486486486486487
p11,3,0.5567010309278351,0.5833333333333334,0.660377358490566,0.6194690265486725
p11,4,0.6041666666666666,0.631578947368421,0.6792452830188679,0.6545454545454545
p11,5,0.5104166666666666,0.5483870967741935,0.6415094339622641,0.591304347826087
p12,1,0.5714285714285714,0.5945945945945946,0.6197183098591549,0.6068965517241379
p12,2,0.5488721804511278,0.5679012345679012,0.647887323943662,0.6052631578947368
p12,3,0.5378787878787878,0.5542168674698795,0.6571428571428571,0.6013071895424836
p12,4,0.6363636363636364,0.6447368421052632,0.7,0.6712328767123288
p12,5,0.5227272727272727,0.5588235294117647,0.5352112676056338,0.5467625899280576
p17,1,0.56,0.7142857142857143,0.35714285714285715,0.47619047619047616
p17,2,0.68,0.6666666666666666,0.7692307692307693,0.7142857142857143
p17,3,0.6,0.5882352941176471,0.7692307692307693,0.6666666666666666
p17,4,0.5,0.5454545454545454,0.46153846153846156,0.5
p17,5,0.5833333333333334,0.6,0.6923076923076923,0.6428571428571429
p18,1,0.6666666666666666,0.7073170731707317,0.8285714285714286,0.7631578947368421
p18,2,0.6481481481481481,0.6904761904761905,0.8285714285714286,0.7532467532467533
p18,3,0.7592592592592593,0.75,0.9428571428571428,0.8354430379746836
p18,4,0.6296296296296297,0.675,0.7941176470588235,0.7297297297297297
p18,5,0.6037735849056604,0.6511627906976745,0.8235294117647058,0.7272727272727273
p5,1,0.46875,0.5909090909090909,0.6190476190476191,0.6046511627906976
p5,2,0.7419354838709677,0.76,0.9047619047619048,0.8260869565217391
p5,3,0.6774193548387096,0.75,0.75,0.75
p5,4,0.7096774193548387,0.72,0.9,0.8
p5,5,0.6774193548387096,0.75,0.75,0.75
p7,1,0.5333333333333333,0.6111111111111112,0.6111111111111112,0.6111111111111112
p7,2,0.5666666666666667,0.6428571428571429,0.5294117647058824,0.5806451612903226
p7,3,0.5172413793103449,0.5652173913043478,0.7647058823529411,0.65
p7,4,0.7241379310344828,0.7142857142857143,0.8823529411764706,0.7894736842105263
p7,5,0.4827586206896552,0.5454545454545454,0.7058823529411765,0.6153846153846154
p9,1,0.52,0.5555555555555556,0.38461538461538464,0.45454545454545453
p9,2,0.5,0.5384615384615384,0.5384615384615384,0.5384615384615384
p9,3,0.5,0.5294117647058824,0.6923076923076923,0.6
p9,4,0.5,0.5333333333333333,0.6153846153846154,0.5714285714285714
p9,5,0.625,0.6428571428571429,0.6923076923076923,0.6666666666666666
