Participant,Fold,Accuracy,Precision,Recall,F1 Score,AUROC
p11,1,0.6103896103896104,0.6444444444444445,0.6744186046511628,0.6590909090909091,0.6518467852257182
p11,2,0.5789473684210527,0.627906976744186,0.627906976744186,0.627906976744186,0.5743481324876674
p11,3,0.6710526315789473,0.7142857142857143,0.6976744186046512,0.7058823529411765,0.6793516560958421
p11,4,0.5394736842105263,0.5740740740740741,0.7209302325581395,0.6391752577319587,0.5313601127554616
p11,5,0.5,0.5581395348837209,0.5581395348837209,0.5581395348837209,0.5348837209302325
p12,1,0.5833333333333334,0.6,0.75,0.6666666666666666,0.5679687499999999
p12,2,0.5833333333333334,0.6136363636363636,0.675,0.6428571428571429,0.5859375
p12,3,0.5352112676056338,0.5777777777777777,0.65,0.611764705882353,0.5564516129032258
p12,4,0.5070422535211268,0.5581395348837209,0.6,0.5783132530120482,0.5233870967741936
p12,5,0.4788732394366197,0.5384615384615384,0.525,0.5316455696202531,0.46612903225806457
p17,1,0.6764705882352942,0.7142857142857143,0.75,0.7317073170731707,0.7214285714285714
p17,2,0.5588235294117647,0.625,0.5263157894736842,0.5714285714285714,0.5789473684210527
p17,3,0.7058823529411765,0.7142857142857143,0.7894736842105263,0.75,0.6596491228070176
p17,4,0.5,0.55,0.5789473684210527,0.5641025641025641,0.6140350877192982
p17,5,0.7575757575757576,0.7619047619047619,0.8421052631578947,0.8,0.6992481203007519
p18,1,0.6744186046511628,0.7352941176470589,0.8333333333333334,0.78125,0.6666666666666667
p18,2,0.7142857142857143,0.7575757575757576,0.8620689655172413,0.8064516129032258,0.6074270557029178
p18,3,0.8333333333333334,0.8928571428571429,0.8620689655172413,0.8771929824561403,0.7771883289124669
p18,4,0.6904761904761905,0.7666666666666667,0.7931034482758621,0.7796610169491526,0.6472148541114058
p18,5,0.6428571428571429,0.7333333333333333,0.7586206896551724,0.7457627118644068,0.6419098143236075
p5,1,0.59375,0.6666666666666666,0.7619047619047619,0.7111111111111111,0.5541125541125541
p5,2,0.6774193548387096,0.8666666666666667,0.6190476190476191,0.7222222222222222,0.8380952380952381
p5,3,0.5483870967741935,0.6363636363636364,0.7,0.6666666666666666,0.44545454545454544
p5,4,0.7096774193548387,0.7619047619047619,0.8,0.7804878048780488,0.6727272727272727
p5,5,0.6774193548387096,0.6923076923076923,0.9,0.782608695652174,0.75
p7,1,0.6363636363636364,0.7,0.7,0.7,0.673076923076923
p7,2,0.5151515151515151,0.6,0.6,0.6,0.5384615384615384
p7,3,0.6060606060606061,0.6666666666666666,0.7,0.6829268292682927,0.6076923076923078
p7,4,0.5757575757575758,0.6666666666666666,0.6,0.631578947368421,0.6730769230769231
p7,5,0.53125,0.6111111111111112,0.5789473684210527,0.5945945945945946,0.6234817813765181
p9,1,0.6,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154
p9,2,0.625,0.625,0.7692307692307693,0.6896551724137931,0.7342657342657343
p9,3,0.5833333333333334,0.6,0.6923076923076923,0.6428571428571429,0.6433566433566434
p9,4,0.5,0.5294117647058824,0.6923076923076923,0.6,0.4755244755244755
p9,5,0.4583333333333333,0.5,0.46153846153846156,0.48,0.44755244755244755
