Participant,Fold,Accuracy,Precision,Recall,F1 Score,AUROC
p11,1,0.5714285714285714,0.5675675675675675,0.9767441860465116,0.717948717948718,0.6238030095759234
p11,2,0.5657894736842105,0.5657894736842105,1.0,0.7226890756302521,0.5253699788583509
p11,3,0.5657894736842105,0.5657894736842105,1.0,0.7226890756302521,0.40380549682875266
p11,4,0.5526315789473685,0.5633802816901409,0.9302325581395349,0.7017543859649122,0.5341789992952783
p11,5,0.6052631578947368,0.589041095890411,1.0,0.7413793103448276,0.686398872445384
p12,1,0.5555555555555556,0.5555555555555556,1.0,0.7142857142857143,0.5359375
p12,2,0.5555555555555556,0.5625,0.9,0.6923076923076923,0.37656249999999997
p12,3,0.5633802816901409,0.5633802816901409,1.0,0.7207207207207207,0.5137096774193548
p12,4,0.5633802816901409,0.5633802816901409,1.0,0.7207207207207207,0.4508064516129032
p12,5,0.5070422535211268,0.5396825396825397,0.85,0.6601941747572816,0.5620967741935484
p17,1,0.5588235294117647,0.5806451612903226,0.9,0.7058823529411765,0.6535714285714286
p17,2,0.5588235294117647,0.5625,0.9473684210526315,0.7058823529411765,0.4771929824561403
p17,3,0.5588235294117647,0.5666666666666667,0.8947368421052632,0.6938775510204082,0.6491228070175438
p17,4,0.5,0.53125,0.8947368421052632,0.6666666666666666,0.35789473684210527
p17,5,0.5757575757575758,0.5806451612903226,0.9473684210526315,0.72,0.6015037593984962
p18,1,0.6744186046511628,0.7,0.9333333333333333,0.8,0.6564102564102564
p18,2,0.6190476190476191,0.6666666666666666,0.896551724137931,0.7647058823529411,0.5543766578249336
p18,3,0.6904761904761905,0.6904761904761905,1.0,0.8169014084507042,0.689655172413793
p18,4,0.6904761904761905,0.6904761904761905,1.0,0.8169014084507042,0.7241379310344828
p18,5,0.7380952380952381,0.725,1.0,0.8405797101449275,0.8381962864721486
p5,1,0.5625,0.6296296296296297,0.8095238095238095,0.7083333333333334,0.4935064935064935
p5,2,0.7096774193548387,0.7,1.0,0.8235294117647058,0.7095238095238096
p5,3,0.6451612903225806,0.6451612903225806,1.0,0.7843137254901961,0.5045454545454545
p5,4,0.6451612903225806,0.6451612903225806,1.0,0.7843137254901961,0.6863636363636363
p5,5,0.6451612903225806,0.6451612903225806,1.0,0.7843137254901961,0.7454545454545455
p7,1,0.5757575757575758,0.59375,0.95,0.7307692307692307,0.6038461538461538
p7,2,0.42424242424242425,0.52,0.65,0.5777777777777777,0.4846153846153846
p7,3,0.6060606060606061,0.6060606060606061,1.0,0.7547169811320755,0.7384615384615384
p7,4,0.6060606060606061,0.6060606060606061,1.0,0.7547169811320755,0.6499999999999999
p7,5,0.5625,0.5806451612903226,0.9473684210526315,0.72,0.4858299595141701
p9,1,0.56,0.5416666666666666,1.0,0.7027027027027027,0.6217948717948718
p9,2,0.4166666666666667,0.0,0.0,0.0,0.3706293706293706
p9,3,0.5,0.6,0.23076923076923078,0.3333333333333333,0.5944055944055944
p9,4,0.5833333333333334,0.5652173913043478,1.0,0.7222222222222222,0.6153846153846154
p9,5,0.5416666666666666,0.5454545454545454,0.9230769230769231,0.6857142857142857,0.5664335664335665
