Participant,learning_rate,max_depth,min_samples_leaf,min_samples_split,n_estimators,subsample,mean_test_score,std_test_score,rank_test_score
p11,0.01,2,1,2,50,0.8,0.4336782171015078,0.025903128865736393,213
p11,0.01,2,1,2,50,1.0,0.49054603201322067,0.04469617449467657,201
p11,0.01,2,1,2,100,0.8,0.5389613776868527,0.057667197953635244,70
p11,0.01,2,1,2,100,1.0,0.5241829847151637,0.05494237020091653,140
p11,0.01,2,1,2,200,0.8,0.5573197133875016,0.04723815639534674,16
p11,0.01,2,1,2,200,1.0,0.5238491220301345,0.06641087130253667,147
p11,0.01,2,1,5,50,0.8,0.4336782171015078,0.025903128865736393,213
p11,0.01,2,1,5,50,1.0,0.49054603201322067,0.04469617449467657,201
p11,0.01,2,1,5,100,0.8,0.5389613776868527,0.057667197953635244,70
p11,0.01,2,1,5,100,1.0,0.5241829847151637,0.05494237020091653,140
p11,0.01,2,1,5,200,0.8,0.5573197133875016,0.04723815639534674,16
p11,0.01,2,1,5,200,1.0,0.5238491220301345,0.06641087130253667,147
p11,0.01,2,2,2,50,0.8,0.4336782171015078,0.025903128865736393,213
p11,0.01,2,2,2,50,1.0,0.49054603201322067,0.04469617449467657,201
p11,0.01,2,2,2,100,0.8,0.5389613776868527,0.057667197953635244,70
p11,0.01,2,2,2,100,1.0,0.5241829847151637,0.05494237020091653,140
p11,0.01,2,2,2,200,0.8,0.5586126654876655,0.04522460500712889,13
p11,0.01,2,2,2,200,1.0,0.5304370180156208,0.06586125908101594,115
p11,0.01,2,2,5,50,0.8,0.4336782171015078,0.025903128865736393,213
p11,0.01,2,2,5,50,1.0,0.49054603201322067,0.04469617449467657,201
p11,0.01,2,2,5,100,0.8,0.5389613776868527,0.057667197953635244,70
p11,0.01,2,2,5,100,1.0,0.5241829847151637,0.05494237020091653,140
p11,0.01,2,2,5,200,0.8,0.5586126654876655,0.04522460500712889,13
p11,0.01,2,2,5,200,1.0,0.5304370180156208,0.06586125908101594,115
p11,0.01,3,1,2,50,0.8,0.4571830231337989,0.046745504245555486,212
p11,0.01,3,1,2,50,1.0,0.5161859296149183,0.039944935241441326,179
p11,0.01,3,1,2,100,0.8,0.5204744226878508,0.06355045585449969,166
p11,0.01,3,1,2,100,1.0,0.5223709582410478,0.05635371697128823,156
p11,0.01,3,1,2,200,0.8,0.5515497532753585,0.042961890438681136,26
p11,0.01,3,1,2,200,1.0,0.5524805614740554,0.053650510413435486,25
p11,0.01,3,1,5,50,0.8,0.46904035847432574,0.04941553160872216,209
p11,0.01,3,1,5,50,1.0,0.5161859296149183,0.039944935241441326,179
p11,0.01,3,1,5,100,0.8,0.5160676965295579,0.06257843355288899,182
p11,0.01,3,1,5,100,1.0,0.5223709582410478,0.05635371697128823,156
p11,0.01,3,1,5,200,0.8,0.5466123524745244,0.04013014001842963,42
p11,0.01,3,1,5,200,1.0,0.5478217263065799,0.04471704817189916,40
p11,0.01,3,2,2,50,0.8,0.4646613281681572,0.04844658527817985,210
p11,0.01,3,2,2,50,1.0,0.5221099961540616,0.040427332304191876,159
p11,0.01,3,2,2,100,0.8,0.5264843729222316,0.05389887287864499,131
p11,0.01,3,2,2,100,1.0,0.5169745706003733,0.05294312841857808,176
p11,0.01,3,2,2,200,0.8,0.547931670124339,0.047516329509161244,39
p11,0.01,3,2,2,200,1.0,0.5458527150040943,0.051010929599887,44
p11,0.01,3,2,5,50,0.8,0.4646613281681572,0.04844658527817985,210
p11,0.01,3,2,5,50,1.0,0.5221099961540616,0.040427332304191876,159
p11,0.01,3,2,5,100,0.8,0.519408917674587,0.052035783462302664,169
p11,0.01,3,2,5,100,1.0,0.5169745706003733,0.05294312841857808,176
p11,0.01,3,2,5,200,0.8,0.5583435486499448,0.04308734907541835,15
p11,0.01,3,2,5,200,1.0,0.5449630117415096,0.05040394669324988,46
p11,0.01,4,1,2,50,0.8,0.4749550175454177,0.059903745344584196,208
p11,0.01,4,1,2,50,1.0,0.5129416661540691,0.06325075119433748,188
p11,0.01,4,1,2,100,0.8,0.5112637949965453,0.052461471997808276,194
p11,0.01,4,1,2,100,1.0,0.5285645207907355,0.06868293874158145,122
p11,0.01,4,1,2,200,0.8,0.5266762895945243,0.04070742788619212,130
p11,0.01,4,1,2,200,1.0,0.5491978788288849,0.04987026658870786,36
p11,0.01,4,1,5,50,0.8,0.4855025648084858,0.061082272192876465,206
p11,0.01,4,1,5,50,1.0,0.5122397048036771,0.07096252527547642,192
p11,0.01,4,1,5,100,0.8,0.5283844203543075,0.05621286034326865,123
p11,0.01,4,1,5,100,1.0,0.5286172233981838,0.052595489048610486,121
p11,0.01,4,1,5,200,0.8,0.528179391408403,0.05086209247441657,124
p11,0.01,4,1,5,200,1.0,0.5592149827900825,0.04255510332458202,12
p11,0.01,4,2,2,50,0.8,0.48482921498425036,0.051122553697347875,207
p11,0.01,4,2,2,50,1.0,0.5228217350579836,0.06043562443521189,151
p11,0.01,4,2,2,100,0.8,0.5256836090387236,0.05774849812649161,133
p11,0.01,4,2,2,100,1.0,0.5329131714639812,0.0644018414716515,98
p11,0.01,4,2,2,200,0.8,0.5382325471787605,0.03791460931086462,79
p11,0.01,4,2,2,200,1.0,0.5658808878901702,0.045860760297792826,3
p11,0.01,4,2,5,50,0.8,0.4868284028220905,0.05406142879249078,205
p11,0.01,4,2,5,50,1.0,0.5236037395578986,0.06276386396235976,149
p11,0.01,4,2,5,100,0.8,0.5087227504854571,0.053071833051774,196
p11,0.01,4,2,5,100,1.0,0.5419442756540538,0.061703655134635216,57
p11,0.01,4,2,5,200,0.8,0.5211542070258756,0.044915254922967905,164
p11,0.01,4,2,5,200,1.0,0.5547983896425953,0.04585743875284775,19
p11,0.05,2,1,2,50,0.8,0.5393378380134752,0.07260221723033584,67
p11,0.05,2,1,2,50,1.0,0.5322107126633615,0.07061706530730645,101
p11,0.05,2,1,2,100,0.8,0.5181921661463283,0.06502462938358845,173
p11,0.05,2,1,2,100,1.0,0.5416251751891789,0.07156928795896866,58
p11,0.05,2,1,2,200,0.8,0.5156733605411395,0.05054317056544098,183
p11,0.05,2,1,2,200,1.0,0.5225720984326344,0.022555832541972933,155
p11,0.05,2,1,5,50,0.8,0.5393378380134752,0.07260221723033584,67
p11,0.05,2,1,5,50,1.0,0.5322107126633615,0.07061706530730645,101
p11,0.05,2,1,5,100,0.8,0.5181921661463283,0.06502462938358845,173
p11,0.05,2,1,5,100,1.0,0.5514728454921811,0.052842186629675984,27
p11,0.05,2,1,5,200,0.8,0.5241514591427548,0.04992471867586329,144
p11,0.05,2,1,5,200,1.0,0.5396198380910542,0.021852638637532826,64
p11,0.05,2,2,2,50,0.8,0.5430315347252163,0.06755306231100426,53
p11,0.05,2,2,2,50,1.0,0.5321424818443525,0.07939964831442274,103
p11,0.05,2,2,2,100,0.8,0.5382055257632904,0.05667383149964033,80
p11,0.05,2,2,2,100,1.0,0.5503398410552872,0.059742623332587,31
p11,0.05,2,2,2,200,0.8,0.5361242990334961,0.04746645431323638,86
p11,0.05,2,2,2,200,1.0,0.5462246916443886,0.029777219962974166,43
p11,0.05,2,2,5,50,0.8,0.5430315347252163,0.06755306231100426,53
p11,0.05,2,2,5,50,1.0,0.5274907556178232,0.07343122307610907,126
p11,0.05,2,2,5,100,0.8,0.5382055257632904,0.05667383149964033,80
p11,0.05,2,2,5,100,1.0,0.552968595553428,0.043977820646353805,23
p11,0.05,2,2,5,200,0.8,0.5345865182380741,0.04004189156558896,90
p11,0.05,2,2,5,200,1.0,0.5334410424163656,0.02328336894480664,94
p11,0.05,3,1,2,50,0.8,0.5616386303001281,0.0659538397217063,6
p11,0.05,3,1,2,50,1.0,0.534368077104203,0.05799904328146551,91
p11,0.05,3,1,2,100,0.8,0.54048028216056,0.03393450941788765,61
p11,0.05,3,1,2,100,1.0,0.5312662145027365,0.034764911094601676,111
p11,0.05,3,1,2,200,0.8,0.5295520281489681,0.03342417416708826,119
p11,0.05,3,1,2,200,1.0,0.5119485539540254,0.028361362306370107,193
