Participant,Fold,Accuracy,Precision,Recall,F1 Score,AUROC
p11,1,0.6391752577319587,0.6091954022988506,0.9814814814814815,0.75177304964539,0.6352282515073213
p11,2,0.5463917525773195,0.5483870967741935,0.9622641509433962,0.6986301369863014,0.5077186963979416
p11,3,0.5463917525773195,0.5463917525773195,1.0,0.7066666666666667,0.6616638078902229
p11,4,0.5625,0.5797101449275363,0.7547169811320755,0.6557377049180327,0.594778411584028
p11,5,0.5416666666666666,0.5714285714285714,0.6792452830188679,0.6206896551724138,0.5366388767003072
p12,1,0.5488721804511278,0.5555555555555556,0.7746478873239436,0.6470588235294118,0.5447523852794184
p12,2,0.556390977443609,0.5681818181818182,0.704225352112676,0.6289308176100629,0.5290776919582009
p12,3,0.5681818181818182,0.5585585585585585,0.8857142857142857,0.6850828729281768,0.6563364055299539
p12,4,0.5757575757575758,0.574468085106383,0.7714285714285715,0.6585365853658537,0.5935483870967742
p12,5,0.5454545454545454,0.5433070866141733,0.971830985915493,0.696969696969697,0.4453936735165089
p17,1,0.56,0.5714285714285714,0.8571428571428571,0.6857142857142857,0.6623376623376623
p17,2,0.56,0.5454545454545454,0.9230769230769231,0.6857142857142857,0.5801282051282052
p17,3,0.48,0.5,0.9230769230769231,0.6486486486486487,0.6538461538461539
p17,4,0.6666666666666666,0.6470588235294118,0.8461538461538461,0.7333333333333333,0.5944055944055944
p17,5,0.5416666666666666,0.5555555555555556,0.7692307692307693,0.6451612903225806,0.6258741258741258
p18,1,0.7037037037037037,0.7317073170731707,0.8571428571428571,0.7894736842105263,0.8015037593984963
p18,2,0.6296296296296297,0.6829268292682927,0.8,0.7368421052631579,0.6571428571428573
p18,3,0.5185185185185185,0.5957446808510638,0.8,0.6829268292682927,0.6075187969924811
p18,4,0.6111111111111112,0.6274509803921569,0.9411764705882353,0.7529411764705882,0.5691176470588235
p18,5,0.6981132075471698,0.6875,0.9705882352941176,0.8048780487804879,0.7987616099071208
p5,1,0.59375,0.6428571428571429,0.8571428571428571,0.7346938775510204,0.5324675324675324
p5,2,0.7419354838709677,0.7241379310344828,1.0,0.84,0.7619047619047619
p5,3,0.6129032258064516,0.6666666666666666,0.8,0.7272727272727273,0.5
p5,4,0.7096774193548387,0.7391304347826086,0.85,0.7906976744186046,0.6545454545454545
p5,5,0.6451612903225806,0.6451612903225806,1.0,0.7843137254901961,0.7681818181818181
p7,1,0.6333333333333333,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.7037037037037037
p7,2,0.6666666666666666,0.6842105263157895,0.7647058823529411,0.7222222222222222,0.7330316742081449
p7,3,0.5862068965517241,0.6086956521739131,0.8235294117647058,0.7,0.676470588235294
p7,4,0.5862068965517241,0.631578947368421,0.7058823529411765,0.6666666666666666,0.5980392156862745
p7,5,0.5862068965517241,0.6,0.8823529411764706,0.7142857142857143,0.6715686274509804
p9,1,0.52,0.5217391304347826,0.9230769230769231,0.6666666666666666,0.6538461538461539
p9,2,0.5416666666666666,0.5416666666666666,1.0,0.7027027027027027,0.8041958041958042
p9,3,0.4583333333333333,0.5,0.7692307692307693,0.6060606060606061,0.4055944055944056
p9,4,0.5,0.5294117647058824,0.6923076923076923,0.6,0.5174825174825175
p9,5,0.4583333333333333,0.5,0.5384615384615384,0.5185185185185185,0.39860139860139865
