Participant,Fold,Accuracy,Precision,Recall,F1 Score,AUROC
p11,1,0.5064935064935064,0.5581395348837209,0.5581395348837209,0.5581395348837209,0.554719562243502
p11,2,0.5921052631578947,0.6153846153846154,0.7441860465116279,0.6736842105263158,0.634954193093728
p11,3,0.5657894736842105,0.625,0.5813953488372093,0.6024096385542169,0.5651867512332629
p11,4,0.6710526315789473,0.7368421052631579,0.6511627906976745,0.691358024691358,0.656800563777308
p11,5,0.631578947368421,0.6470588235294118,0.7674418604651163,0.7021276595744681,0.6201550387596899
p12,1,0.5694444444444444,0.6,0.675,0.6352941176470588,0.56171875
p12,2,0.5416666666666666,0.574468085106383,0.675,0.6206896551724138,0.55390625
p12,3,0.5352112676056338,0.5813953488372093,0.625,0.6024096385542169,0.525
p12,4,0.647887323943662,0.6530612244897959,0.8,0.7191011235955056,0.6798387096774193
p12,5,0.6056338028169014,0.6304347826086957,0.725,0.6744186046511628,0.6298387096774193
p17,1,0.6470588235294118,0.7222222222222222,0.65,0.6842105263157895,0.6035714285714286
p17,2,0.6470588235294118,0.6666666666666666,0.7368421052631579,0.7,0.6912280701754385
p17,3,0.5,0.5416666666666666,0.6842105263157895,0.6046511627906976,0.5017543859649123
p17,4,0.5588235294117647,0.5714285714285714,0.8421052631578947,0.6808510638297872,0.5894736842105264
p17,5,0.6060606060606061,0.65,0.6842105263157895,0.6666666666666666,0.5977443609022556
p18,1,0.7441860465116279,0.7714285714285715,0.9,0.8307692307692308,0.6692307692307693
p18,2,0.7142857142857143,0.717948717948718,0.9655172413793104,0.8235294117647058,0.7188328912466844
p18,3,0.7142857142857143,0.7428571428571429,0.896551724137931,0.8125,0.7188328912466844
p18,4,0.7142857142857143,0.7575757575757576,0.8620689655172413,0.8064516129032258,0.7984084880636605
p18,5,0.6666666666666666,0.7142857142857143,0.8620689655172413,0.78125,0.6763925729442971
p5,1,0.46875,0.5909090909090909,0.6190476190476191,0.6046511627906976,0.5151515151515151
p5,2,0.7419354838709677,0.76,0.9047619047619048,0.8260869565217391,0.719047619047619
p5,3,0.6774193548387096,0.75,0.75,0.75,0.6363636363636364
p5,4,0.7096774193548387,0.72,0.9,0.8,0.740909090909091
p5,5,0.6774193548387096,0.75,0.75,0.75,0.6818181818181819
p7,1,0.6060606060606061,0.64,0.8,0.7111111111111111,0.6269230769230769
p7,2,0.7575757575757576,0.7727272727272727,0.85,0.8095238095238095,0.75
p7,3,0.5454545454545454,0.5925925925925926,0.8,0.6808510638297872,0.673076923076923
p7,4,0.5757575757575758,0.6666666666666666,0.6,0.631578947368421,0.6423076923076922
p7,5,0.65625,0.7,0.7368421052631579,0.717948717948718,0.6680161943319837
p9,1,0.52,0.5555555555555556,0.38461538461538464,0.45454545454545453,0.5256410256410257
p9,2,0.5,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5174825174825175
p9,3,0.5,0.5294117647058824,0.6923076923076923,0.6,0.5664335664335665
p9,4,0.5,0.5333333333333333,0.6153846153846154,0.5714285714285714,0.6783216783216783
p9,5,0.625,0.6428571428571429,0.6923076923076923,0.6666666666666666,0.6573426573426573
