Participant,Fold,Accuracy,Precision,Recall,F1 Score,AUROC
p11,1,0.4935064935064935,0.5370370370370371,0.6744186046511628,0.5979381443298969,0.5218878248974008
p11,2,0.5657894736842105,0.5892857142857143,0.7674418604651163,0.6666666666666666,0.6212121212121212
p11,3,0.5657894736842105,0.5757575757575758,0.8837209302325582,0.6972477064220184,0.5609584214235377
p11,4,0.6052631578947368,0.5970149253731343,0.9302325581395349,0.7272727272727273,0.5250176180408739
p11,5,0.5921052631578947,0.5909090909090909,0.9069767441860465,0.7155963302752294,0.5412262156448202
p12,1,0.4861111111111111,0.5652173913043478,0.325,0.4126984126984127,0.501171875
p12,2,0.5138888888888888,0.6666666666666666,0.25,0.36363636363636365,0.5453125
p12,3,0.4225352112676056,0.4782608695652174,0.275,0.3492063492063492,0.4415322580645161
p12,4,0.4647887323943662,0.5714285714285714,0.2,0.2962962962962963,0.5362903225806451
p12,5,0.49295774647887325,0.6,0.3,0.4,0.5560483870967741
p17,1,0.5588235294117647,0.5757575757575758,0.95,0.7169811320754716,0.6392857142857142
p17,2,0.5294117647058824,0.5652173913043478,0.6842105263157895,0.6190476190476191,0.4473684210526316
p17,3,0.38235294117647056,0.4583333333333333,0.5789473684210527,0.5116279069767442,0.424561403508772
p17,4,0.5588235294117647,0.5666666666666667,0.8947368421052632,0.6938775510204082,0.3017543859649122
p17,5,0.42424242424242425,0.5,0.3684210526315789,0.42424242424242425,0.49248120300751874
p18,1,0.4883720930232558,0.75,0.4,0.5217391304347826,0.5717948717948718
p18,2,0.38095238095238093,0.6153846153846154,0.27586206896551724,0.38095238095238093,0.33156498673740054
p18,3,0.6428571428571429,0.8888888888888888,0.5517241379310345,0.6808510638297872,0.729442970822281
p18,4,0.6666666666666666,0.8260869565217391,0.6551724137931034,0.7307692307692307,0.6949602122015915
p18,5,0.42857142857142855,0.7272727272727273,0.27586206896551724,0.4,0.6087533156498673
p5,1,0.59375,0.6666666666666666,0.7619047619047619,0.7111111111111111,0.5930735930735931
p5,2,0.7419354838709677,0.8823529411764706,0.7142857142857143,0.7894736842105263,0.7404761904761905
p5,3,0.5161290322580645,0.7272727272727273,0.4,0.5161290322580645,0.5909090909090908
p5,4,0.6129032258064516,0.7222222222222222,0.65,0.6842105263157895,0.584090909090909
p5,5,0.7096774193548387,0.8235294117647058,0.7,0.7567567567567568,0.7954545454545455
p7,1,0.5757575757575758,0.6071428571428571,0.85,0.7083333333333334,0.5423076923076923
p7,2,0.5454545454545454,0.6086956521739131,0.7,0.6511627906976745,0.48846153846153845
p7,3,0.6363636363636364,0.6428571428571429,0.9,0.75,0.4980769230769231
p7,4,0.5454545454545454,0.6086956521739131,0.7,0.6511627906976745,0.6269230769230769
p7,5,0.5625,0.6086956521739131,0.7368421052631579,0.6666666666666666,0.534412955465587
p9,1,0.52,0.5333333333333333,0.6153846153846154,0.5714285714285714,0.5032051282051282
p9,2,0.5416666666666666,0.5555555555555556,0.7692307692307693,0.6451612903225806,0.6433566433566433
p9,3,0.375,0.4444444444444444,0.6153846153846154,0.5161290322580645,0.3146853146853147
p9,4,0.5416666666666666,0.5454545454545454,0.9230769230769231,0.6857142857142857,0.6433566433566433
p9,5,0.4583333333333333,0.5,0.6923076923076923,0.5806451612903226,0.44055944055944063
