Participant,Fold,Accuracy,Precision,Recall,F1 Score,AUROC
p11,1,0.5584415584415584,0.5918367346938775,0.6744186046511628,0.6304347826086957,0.5943912448700409
p11,2,0.5263157894736842,0.5853658536585366,0.5581395348837209,0.5714285714285714,0.6441155743481325
p11,3,0.631578947368421,0.6363636363636364,0.813953488372093,0.7142857142857143,0.6797040169133192
p11,4,0.4868421052631579,0.54,0.627906976744186,0.5806451612903226,0.5260747004933052
p11,5,0.5789473684210527,0.6170212765957447,0.6744186046511628,0.6444444444444445,0.6377730796335448
p12,1,0.5416666666666666,0.5714285714285714,0.7,0.6292134831460674,0.49882812499999996
p12,2,0.5972222222222222,0.6222222222222222,0.7,0.6588235294117647,0.6093750000000001
p12,3,0.6197183098591549,0.6274509803921569,0.8,0.7032967032967034,0.6915322580645161
p12,4,0.5774647887323944,0.6086956521739131,0.7,0.6511627906976745,0.6375
p12,5,0.5352112676056338,0.5813953488372093,0.625,0.6024096385542169,0.5661290322580645
p17,1,0.5882352941176471,0.625,0.75,0.6818181818181818,0.6392857142857143
p17,2,0.6176470588235294,0.6363636363636364,0.7368421052631579,0.6829268292682927,0.6543859649122806
p17,3,0.5882352941176471,0.631578947368421,0.631578947368421,0.631578947368421,0.6771929824561403
p17,4,0.5882352941176471,0.6,0.7894736842105263,0.6818181818181818,0.5456140350877192
p17,5,0.5757575757575758,0.5925925925925926,0.8421052631578947,0.6956521739130435,0.6879699248120301
p18,1,0.7441860465116279,0.7435897435897436,0.9666666666666667,0.8405797101449275,0.6717948717948717
p18,2,0.6428571428571429,0.675,0.9310344827586207,0.782608695652174,0.5915119363395225
p18,3,0.6904761904761905,0.7105263157894737,0.9310344827586207,0.8059701492537313,0.6896551724137931
p18,4,0.5952380952380952,0.6666666666666666,0.8275862068965517,0.7384615384615385,0.5238726790450928
p18,5,0.7619047619047619,0.7435897435897436,1.0,0.8529411764705882,0.8050397877984085
p5,1,0.5625,0.64,0.7619047619047619,0.6956521739130435,0.6991341991341992
p5,2,0.6774193548387096,0.7391304347826086,0.8095238095238095,0.7727272727272727,0.7714285714285714
p5,3,0.6129032258064516,0.6666666666666666,0.8,0.7272727272727273,0.5636363636363637
p5,4,0.7096774193548387,0.72,0.9,0.8,0.7522727272727272
p5,5,0.6451612903225806,0.68,0.85,0.7555555555555555,0.740909090909091
p7,1,0.6363636363636364,0.6666666666666666,0.8,0.7272727272727273,0.65
p7,2,0.5454545454545454,0.6190476190476191,0.65,0.6341463414634146,0.5576923076923077
p7,3,0.6060606060606061,0.6296296296296297,0.85,0.723404255319149,0.6076923076923078
p7,4,0.5757575757575758,0.6153846153846154,0.8,0.6956521739130435,0.6115384615384616
p7,5,0.6875,0.6666666666666666,0.9473684210526315,0.782608695652174,0.7165991902834008
p9,1,0.44,0.4444444444444444,0.3076923076923077,0.36363636363636365,0.6153846153846154
p9,2,0.5833333333333334,0.5882352941176471,0.7692307692307693,0.6666666666666666,0.7692307692307693
p9,3,0.375,0.4375,0.5384615384615384,0.4827586206896552,0.3706293706293706
p9,4,0.5,0.5294117647058824,0.6923076923076923,0.6,0.6258741258741258
p9,5,0.3333333333333333,0.36363636363636365,0.3076923076923077,0.3333333333333333,0.46153846153846156
