speaker,speech_start,speech_end
SPEAKER_01,0.03096875,2.17409375
SPEAKER_00,0.13221875,0.63846875
SPEAKER_01,2.4778437500000003,4.30034375
SPEAKER_01,4.620968749999999,6.03846875
SPEAKER_02,6.03846875,6.08909375
SPEAKER_01,6.08909375,6.17346875
SPEAKER_01,6.342218750000001,7.050968750000001
SPEAKER_02,7.050968750000001,7.08471875
SPEAKER_01,7.08471875,7.101593750000001
SPEAKER_01,8.265968750000003,10.442843750000002
SPEAKER_02,8.92409375,10.290968750000001
SPEAKER_01,10.61159375,17.20971875
SPEAKER_02,10.72971875,11.961593750000002
SPEAKER_01,17.64846875,23.554718750000003
SPEAKER_02,20.58471875,21.765968750000003
SPEAKER_01,24.297218750000003,29.42721875
SPEAKER_02,26.28846875,27.36846875
SPEAKER_01,33.08909375,35.282843750000005
SPEAKER_01,36.04221875,37.94909375
SPEAKER_01,38.96159375,40.69971875
SPEAKER_01,41.02034375,41.54346875
SPEAKER_01,46.82534375,47.70284375
SPEAKER_01,48.71534375,49.407218750000006
SPEAKER_01,51.837218750000005,52.461593750000006
SPEAKER_01,52.83284375,54.45284375000001
SPEAKER_02,56.52846875,57.59159375
SPEAKER_01,58.992218750000006,63.27846875
SPEAKER_01,64.02096875000001,68.52659375
SPEAKER_01,68.98221875,72.15471875
SPEAKER_01,74.51721875,75.73221875
SPEAKER_01,76.13721875,76.91346875
SPEAKER_01,77.52096875000001,78.38159375000001
SPEAKER_01,82.93784375,83.91659375
SPEAKER_01,84.91221875000001,85.46909375
SPEAKER_02,85.46909375,85.53659375000001
SPEAKER_02,87.69659375,89.56971875
SPEAKER_02,90.27846875,92.28659375000001
SPEAKER_02,93.83909375,94.24409375
SPEAKER_02,94.88534375,95.03721875000001
SPEAKER_01,95.03721875000001,95.71221875
SPEAKER_01,98.12534375,99.32346875
SPEAKER_01,99.91409375,99.93096875
SPEAKER_03,99.93096875,99.94784375
SPEAKER_01,99.94784375,100.26846875000001
SPEAKER_01,101.98971875000001,104.52096875000001
SPEAKER_01,105.01034375,105.51659375000001
SPEAKER_01,108.04784375000001,109.83659375
SPEAKER_02,115.27034375000001,117.09284375000001
SPEAKER_01,117.93659375000001,120.02909375
SPEAKER_01,122.27346875,124.31534375000001
SPEAKER_01,124.92284375000001,125.93534375
SPEAKER_01,127.18409375,128.14596875
SPEAKER_01,128.41596875000002,136.39784375000002
SPEAKER_02,133.39409375,134.55846875
SPEAKER_02,136.39784375000002,136.95471875
SPEAKER_01,136.95471875,137.03909375
SPEAKER_02,137.03909375,137.07284375
SPEAKER_01,137.07284375,137.10659375
SPEAKER_02,137.10659375,137.24159375000002
SPEAKER_01,137.24159375000002,137.30909375000002
SPEAKER_02,137.30909375000002,137.37659375
SPEAKER_01,137.37659375,137.42721875
SPEAKER_02,137.42721875,138.03471875
SPEAKER_01,138.03471875,139.01346875000002
SPEAKER_02,138.52409375000002,139.31721875
SPEAKER_02,139.53659375,140.56596875
SPEAKER_02,140.85284375,140.86971875
SPEAKER_01,140.86971875,141.57846875
SPEAKER_01,142.00034375,142.43909375
SPEAKER_01,142.62471875,142.84409375
SPEAKER_01,143.78909375,144.49784375000002
SPEAKER_01,145.13909375,146.11784375000002
SPEAKER_02,146.65784375,151.80471875
SPEAKER_02,155.83784375000002,159.93846875
SPEAKER_02,160.27596875,161.50784375
SPEAKER_03,165.35534375,166.04721875
SPEAKER_02,165.60846875000001,170.97471875000002
SPEAKER_02,173.05034375000002,177.82596875000002
SPEAKER_03,176.39159375,177.80909375000002
SPEAKER_03,177.82596875000002,178.01159375
SPEAKER_02,178.29846875,179.27721875
SPEAKER_01,178.68659375000001,179.19284375
SPEAKER_01,180.54284375,180.57659375
SPEAKER_01,180.64409375000002,180.67784375000002
SPEAKER_02,180.67784375000002,180.76221875000002
SPEAKER_01,180.76221875000002,181.92659375000002
SPEAKER_00,182.53409375,183.07409375
SPEAKER_01,183.07409375,183.15846875000003
SPEAKER_00,183.14159375,183.44534375
SPEAKER_01,183.44534375,185.87534375
SPEAKER_00,183.46221875,183.90096875
SPEAKER_03,185.09909375,185.13284375
SPEAKER_00,185.13284375,185.53784375
SPEAKER_03,185.53784375,185.57159375
SPEAKER_01,186.51659375,189.52034375000002
SPEAKER_01,190.56659375,190.92096875000001
SPEAKER_01,190.98846875,192.23721875
SPEAKER_01,193.11471875,196.15221875
SPEAKER_01,196.65846875000003,196.67534375000002
SPEAKER_02,196.67534375000002,197.56971875000002
SPEAKER_01,198.54846875,199.96596875
SPEAKER_01,200.37096875,201.55221875
SPEAKER_01,202.15971875000002,205.46721875
SPEAKER_01,205.48409375,212.97659375
SPEAKER_02,207.15471875,207.66096875000002
SPEAKER_02,210.32721875000001,210.47909375
SPEAKER_02,211.42409375000003,212.01471875000001
SPEAKER_02,212.97659375,213.06096875
SPEAKER_01,213.06096875,213.11159375000003
SPEAKER_02,213.11159375000003,213.17909375000002
SPEAKER_01,213.17909375000002,213.21284375000002
SPEAKER_01,213.26346875000002,213.34784375
SPEAKER_02,213.34784375,213.44909375
SPEAKER_01,213.44909375,213.87096875
SPEAKER_02,213.87096875,214.71471875
SPEAKER_02,214.90034375000002,215.59221875
SPEAKER_02,215.82846875,216.85784375
SPEAKER_01,218.41034375,218.86596875
SPEAKER_02,220.03034375000001,220.63784375
SPEAKER_02,221.39721875,223.03409375
SPEAKER_01,223.59096875,226.56096875
SPEAKER_02,226.44284375,226.49346875
SPEAKER_02,226.56096875,226.74659375000002
SPEAKER_01,226.81409375,227.99534375000002
SPEAKER_01,228.56909375,231.94409375
SPEAKER_01,232.11284375000002,232.77096875
SPEAKER_01,233.26034375,236.82096875000002
SPEAKER_01,237.19221875000002,237.20909375000002
SPEAKER_02,237.20909375000002,238.87971875000002
SPEAKER_01,241.69784375,245.05596875
SPEAKER_02,242.44034375,244.22909375
SPEAKER_01,245.25846875000002,245.81534375
SPEAKER_01,246.28784375,248.02596875
SPEAKER_01,248.21159375000002,250.60784375000003
SPEAKER_01,250.77659375000002,251.73846875
SPEAKER_01,252.51471875000001,253.08846875
SPEAKER_01,254.45534375000003,256.61534375
SPEAKER_02,257.47596875,258.08346875
SPEAKER_02,258.55596875000003,258.97784375000003
SPEAKER_01,259.31534375,259.60221875
SPEAKER_01,261.84659375,262.87596875
SPEAKER_01,262.92659375,263.56784375
SPEAKER_01,264.58034375,267.53346875
SPEAKER_03,266.52096875,266.53784375000004
SPEAKER_02,266.53784375000004,266.97659375
SPEAKER_03,266.97659375,267.41534375000003
SPEAKER_01,267.55034375,267.58409375
SPEAKER_01,267.61784375,268.98471875
SPEAKER_01,269.72721875,272.24159375
SPEAKER_01,272.69721875,275.70096875
SPEAKER_01,276.51096875,278.19846875
SPEAKER_02,277.11846875000003,278.36721875
SPEAKER_01,278.77221875000004,280.13909375000003
SPEAKER_02,279.64971875000003,279.83534375
SPEAKER_02,280.37534375,280.89846875
SPEAKER_01,280.89846875,282.50159375000004
SPEAKER_02,282.24846875000003,283.41284375000004
SPEAKER_02,283.53096875,283.95284375
SPEAKER_02,284.64471875000004,285.94409375000004
SPEAKER_02,286.55159375,286.56846875
SPEAKER_01,286.56846875,286.83846875
SPEAKER_02,286.83846875,287.44596875
SPEAKER_01,290.36534375,292.39034375
SPEAKER_02,291.63096875,292.76159375000003
SPEAKER_01,293.95971875000004,294.43221875
SPEAKER_01,295.12409375000004,295.42784375
SPEAKER_01,298.12784375,300.00096875
SPEAKER_01,301.28346875,303.17346875000004
SPEAKER_01,303.71346875,313.48409375
SPEAKER_02,309.77159375,310.96971875
SPEAKER_01,313.63596875,313.92284375
SPEAKER_01,315.82971875000004,316.43721875
SPEAKER_02,317.73659375,318.34409375
SPEAKER_01,319.33971875000003,320.13284375
SPEAKER_01,320.38596875,322.22534375000004
SPEAKER_01,322.74846875000003,325.29659375
SPEAKER_01,325.81971875,329.36346875000004
SPEAKER_01,329.68409375000005,332.95784375
SPEAKER_02,333.85221875,334.37534375
SPEAKER_01,336.87284375,337.54784375
SPEAKER_01,338.56034375,339.31971875000005
SPEAKER_01,339.72471875,342.69471875000005
SPEAKER_01,346.49159375000005,349.39409375
SPEAKER_01,350.08596875,355.67159375
SPEAKER_02,351.72284375000004,352.54971875
SPEAKER_01,356.07659375000003,357.98346875000004
SPEAKER_03,357.00471875,357.27471875000003
SPEAKER_01,358.16909375,361.51034375
SPEAKER_03,375.33096875,375.80346875000004
SPEAKER_01,380.15721875,381.72659375
SPEAKER_01,382.97534375000004,394.12971875000005
SPEAKER_00,393.52221875000004,394.01159375000003
SPEAKER_01,394.82159375000003,398.46659375
SPEAKER_01,400.33971875000003,401.55471875
SPEAKER_00,401.63909375000003,403.63034375
SPEAKER_01,404.11971875,404.81159375000004
SPEAKER_01,405.38534375,411.10596875000005
SPEAKER_01,411.51096875,413.50221875000005
SPEAKER_01,413.78909375,416.96159375
SPEAKER_01,417.58596875,417.97409375
SPEAKER_01,428.18346875000003,428.97659375
SPEAKER_01,429.39846875,431.05221875
SPEAKER_00,430.09034375000005,431.08596875
SPEAKER_01,431.08596875,431.38971875000004
SPEAKER_01,431.55846875000003,433.88721875000005
SPEAKER_00,433.95471875000004,435.52409375
SPEAKER_01,436.14846875,445.81784375
SPEAKER_00,442.94909375000003,444.46784375000004
SPEAKER_00,445.66596875000005,446.47596875000005
SPEAKER_01,446.15534375000004,449.31096875000003
SPEAKER_03,447.26909375,448.56846875
SPEAKER_00,450.00284375,452.78721875
SPEAKER_00,453.51284375,454.27221875000004
SPEAKER_01,454.79534375000003,456.01034375
SPEAKER_00,456.01034375,458.50784375
SPEAKER_01,456.02721875000003,456.16221875
SPEAKER_01,458.76096875,462.27096875
SPEAKER_01,462.45659375,463.97534375000004
SPEAKER_00,464.90346875,466.01721875000004
SPEAKER_00,466.48971875,467.23221875
SPEAKER_01,468.66659375,469.62846875
SPEAKER_00,469.98284375000003,470.03346875000005
SPEAKER_00,470.05034375,470.13471875000005
SPEAKER_01,474.48846875000004,474.97784375000003
SPEAKER_02,474.97784375000003,474.99471875
SPEAKER_03,475.41659375,475.70346875
SPEAKER_03,476.71596875000006,477.35721875
SPEAKER_03,478.08284375000005,478.72409375
SPEAKER_02,478.72409375,478.77471875000003
SPEAKER_03,478.77471875000003,478.97721875
SPEAKER_02,478.97721875,479.02784375000005
SPEAKER_03,479.02784375000005,479.48346875000004
SPEAKER_02,479.80409375000005,483.83721875000003
SPEAKER_01,479.97284375000004,479.98971875
SPEAKER_03,479.98971875,480.49596875000003
SPEAKER_01,483.83721875000003,484.14096875
SPEAKER_03,484.14096875,484.20846875
SPEAKER_01,484.20846875,484.41096875000005
SPEAKER_03,484.41096875000005,484.46159375
SPEAKER_01,484.46159375,484.47846875000005
SPEAKER_02,485.11971875,485.72721875
SPEAKER_01,485.72721875,485.76096875
SPEAKER_01,485.94659375000003,485.99721875000006
SPEAKER_02,485.99721875000006,486.03096875000006
SPEAKER_01,486.03096875000006,486.97596875000005
SPEAKER_02,486.97596875000005,490.01346875
SPEAKER_02,490.67159375000006,492.61221875
SPEAKER_01,494.55284375,495.09284375000004
SPEAKER_02,496.25721875000005,497.84346875000006
SPEAKER_02,499.32846875,500.13846875
SPEAKER_02,501.45471875000004,502.65284375000005
SPEAKER_02,504.42471875,504.89721875000004
SPEAKER_02,505.77471875000003,506.31471875000005
SPEAKER_02,506.68596875000003,507.04034375000003
SPEAKER_02,508.77846875000006,508.82909375
SPEAKER_01,509.68971875000005,510.85409375000006
SPEAKER_02,511.64721875000004,512.42346875
SPEAKER_01,514.0603437500001,515.64659375
SPEAKER_01,517.23284375,519.3759687500001
SPEAKER_01,519.71346875,526.5815937500001
SPEAKER_00,522.5990937500001,522.6328437500001
SPEAKER_03,522.6328437500001,523.4765937500001
SPEAKER_02,524.37096875,524.7590937500001
SPEAKER_02,525.26534375,526.4465937500001
SPEAKER_01,527.2903437500001,530.42909375
SPEAKER_02,533.0278437500001,533.7703437499999
SPEAKER_02,536.1497187500001,536.6897187500001
SPEAKER_02,539.96346875,541.29659375
SPEAKER_02,541.6003437500001,544.04721875
