F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,participant,session,engagement_id,speaker,engagement_start_time,engagement_end_time,speaker_start_time,speaker_end_time,num_segments,speech_duration,merged_duration,label
44.2733,0.00519861,44.04644,44.351135,44.47396,0.42752075,4.5954986,0.0,0.00011754036,3.7400258,0.42880127,0.12588239,0.3809268,0.39209384,0.49550134,0.11457455,0.47078025,0.08556555,1.0113432,0.46716267,0.072123036,0.24221791,35.66199,0.07338993,4.021481,0.76172745,-31.390238,-0.15429984,-37.583073,-0.102051966,0.019499984,0.43594843,0.7126093,0.48112616,11.946091,0.20190759,4.4395275,0.7885329,43.05727,0.0727633,928.39734,0.07801799,1264.6233,0.14033006,-11.37129,-0.31228727,1881.6296,0.09329178,1420.6708,0.2919814,-39.871815,-0.17840657,3095.8013,0.042305727,1018.0834,0.18071799,-50.45347,-0.03810426,-12.16555,-0.27766708,41.2377,0.050159235,0.065955184,0.17195413,-0.017017001,-0.3343523,0.07314414,0.17883578,35.60792,0.078897044,3.6925259,0.82330805,-32.076256,-0.14294365,-37.746983,-0.10195197,0.0,0.0,0.0,0.0,0.0,6.818182,2.631579,0.37,0.0,0.0,0.0,-28.905487,7,18,0,SPEAKER_03,0.0,29.6,2.27534375,2.73096875,1,0.45562499999999995,0.455625,disengaged
46.41932,0.15913427,41.15982,45.359543,56.076077,14.916256,30.168821,23.623938,118.367645,0.0,0.33122993,1.5278043,0.011074468,0.05059901,0.56975794,0.55868345,2.6193328,0.7115514,0.8546874,2.6118872,0.13143848,1.8912741,7.1406827,1.6695967,0.9292146,15.80196,-1.2871064,-8.648864,-7.3290896,-2.2460172,0.020006927,1.0791905,1.0253607,0.6754241,10.043618,0.5056586,10.898861,1.1418576,18.659582,0.67483157,877.9094,0.18417804,1341.8086,0.1869271,-154.14456,-0.51560307,1827.0015,0.094964184,983.9765,0.4446559,-144.55103,-0.55617774,2939.6602,0.06708933,800.41473,0.32361162,-146.47244,-0.5269188,-12.336919,-0.5232081,20.47998,0.5012212,0.061845254,0.46176195,-0.010594675,-1.2738583,0.34144127,0.9959115,12.779313,1.0216975,-6.790755,-2.1297696,-7.6832466,-1.7027974,-24.85781,-0.6116792,-3.2232106,10.422351,0.025800295,0.021273417,0.035722334,1.3274336,1.8181818,0.16499999,0.14239031,0.48333332,0.19737162,-23.571396,7,18,0,SPEAKER_02,0.0,29.6,5.414093750000001,14.813468750000002,5,2.27812500000001,2.278125,disengaged
37.209053,0.07678588,35.319653,36.32755,38.101864,2.7822113,38.833645,39.658134,171.59448,365.31393,0.43648407,0.7165117,0.07866391,0.42859197,0.75342333,0.67475945,6.7043343,4.661107,4.837226,3.486546,0.12862433,0.83394575,17.01153,0.7789704,8.130683,1.4474581,16.07531,1.1177061,-14.7984,-1.1107488,0.015945023,1.5886261,0.88551277,0.9551021,10.270262,0.25275686,8.661918,1.3483988,17.773382,0.5827086,648.62244,0.31742936,1311.8346,0.16171575,-77.55783,-1.1178986,1807.2976,0.118389994,918.9979,0.61271083,-82.59833,-0.94006866,2760.2085,0.0880415,978.103,0.42041042,-80.05958,-0.9942712,-13.705825,-0.5717345,19.892876,0.52889884,0.06378773,0.32069013,-0.021556957,-0.7122996,0.17232643,0.58317286,21.085531,0.5090484,7.3746896,1.634515,20.88976,0.8710878,-21.072702,-0.68697107,-6.612344,14.770497,0.038317442,0.0061968896,0.037519548,3.75,1.9855596,0.33545455,0.26126835,0.16399999,0.15900941,-28.162363,7,18,0,SPEAKER_01,0.0,29.6,14.813468750000002,22.30596875,5,5.619375000000003,5.619375,disengaged
35.56391,0.097499266,34.06659,35.287468,36.186783,2.1201935,29.364773,26.595083,103.60176,151.01888,0.30392438,0.78908706,0.07440207,0.27074897,0.48219216,0.4077901,5.6597047,2.85827,4.705353,2.7645555,0.14999643,0.99963576,19.68079,1.0540721,18.043037,0.7167809,9.085738,1.825975,-4.7079782,-2.5940297,0.019213054,0.95615095,1.1749948,0.78385776,8.88142,0.41417992,10.477984,1.1346622,33.912346,0.41091022,705.37067,0.29227683,1431.9948,0.19330361,-96.12302,-0.8999115,1813.4775,0.12369994,1176.739,0.24915628,-102.06934,-0.7522604,2917.2517,0.08565408,1122.0164,0.29805186,-104.19345,-0.7224096,-21.140604,-0.6542543,31.991474,0.46411866,0.045947053,0.47038314,-0.016067764,-1.084526,0.21341139,0.7168931,29.405746,0.5472,20.793726,0.6372152,12.207907,1.5119514,-7.3935313,-1.673094,-4.8385053,11.677517,0.02948871,0.011526734,0.053813696,4.8648653,2.3160763,0.25176468,0.1647185,0.16,0.17888543,-26.834715,7,18,0,SPEAKER_00,0.0,29.6,21.51284375,29.6,3,7.4121562500000024,7.4121875,disengaged
35.97217,0.0828224,34.23323,35.48124,37.265858,3.032627,214.30153,271.55804,95.30189,192.89859,0.35130286,0.8124094,0.09582164,0.31078956,0.54415554,0.4483339,6.3643517,3.9001634,4.373447,2.6498399,0.19751996,0.98906696,23.227186,0.8426472,16.663023,0.8735772,4.9179974,3.0290587,-3.0359337,-3.8938522,0.02540035,1.6313862,1.3091527,0.9029042,9.302624,0.3615561,13.709908,0.693644,37.17286,0.2850499,747.676,0.2509137,1412.5582,0.1706841,-89.41407,-0.9288652,1839.3984,0.10921186,1210.4908,0.26462293,-95.92524,-0.76947767,2956.8435,0.07109332,1040.6204,0.25757712,-100.3206,-0.6988412,-21.29777,-0.6424842,35.085415,0.3487708,0.052245345,0.39070225,-0.013844513,-1.292401,0.26046795,0.765666,31.768393,0.4296302,17.936625,0.84191054,4.702771,3.4944432,-6.341701,-1.8324709,-8.308688,16.458923,0.034683503,0.010851299,0.089153685,3.6565979,3.5115724,0.1725,0.12519303,0.1005,0.12654941,-23.859003,7,18,1,SPEAKER_00,29.633333,72.5,29.633333,72.5,7,12.592917000000007,12.5929375,engaged
34.596416,0.13180558,32.254852,33.411392,35.88325,3.628399,24.894056,24.58327,37.306866,33.895504,0.28952947,0.8261032,0.024708563,0.26201367,0.45819262,0.43348405,2.6433327,1.478428,2.1882353,1.4477775,0.066441506,1.0784005,24.239864,0.90532,5.937336,2.1454973,1.2823225,9.26116,-4.469962,-2.827455,0.013059342,1.8369414,0.7424912,1.1123707,9.957869,0.34237608,-0.104829036,-67.749756,27.726362,0.3841889,666.31134,0.29319096,1447.095,0.1787938,-71.35238,-1.2167252,1690.3696,0.14833234,1178.4305,0.2699731,-76.94433,-1.0390532,2811.2007,0.10868505,1078.6978,0.36880866,-84.241104,-0.88434446,-17.084599,-0.64223236,30.790073,0.3660638,0.03867526,0.45962888,-0.01797527,-0.8891393,0.08815768,0.8229793,34.97938,0.3906658,5.777562,2.4251618,0.55849856,23.865114,-8.279325,-1.5475025,-1.4613178,9.654731,0.029122632,0.02761255,0.016749663,1.878453,1.3333334,0.5175,0.38144737,0.252,0.2615263,-31.398027,7,18,1,SPEAKER_01,29.633333,72.5,41.15534375,59.97096875,7,9.061875,9.061875,engaged
39.572727,0.1097331,34.845802,39.925537,42.860367,8.0145645,63.238117,48.300148,84.174126,65.69233,0.6037711,1.2418184,0.07150298,0.29502714,1.0238355,0.95233256,10.189745,7.1834726,5.428833,2.813069,0.28157413,1.7282275,16.695026,0.9750782,-0.55450535,-24.34115,-3.1213894,-4.1541758,-17.167511,-1.0074852,0.031652786,1.9661665,1.1632544,0.87027764,9.4351,0.46006653,5.6333346,2.0171452,24.043724,0.50243485,785.73724,0.23191816,1302.0808,0.17376849,-76.76089,-1.1653898,1833.3868,0.11525941,985.7947,0.3428402,-78.83751,-1.0418111,2928.1157,0.07264543,894.8025,0.36940673,-83.22737,-0.9513528,-15.253793,-0.65246004,25.604883,0.4713162,0.046607923,0.45877552,-0.023846442,-0.80078954,0.40380388,1.3738116,22.072546,0.59397984,-1.471801,-9.948544,-4.663738,-3.0422847,-24.156538,-0.66922134,-2.975823,10.668298,0.034168508,0.011183745,0.036605563,2.2292995,2.247191,0.29071426,0.21275285,0.14307693,0.07257724,-19.89026,7,18,1,SPEAKER_02,29.633333,72.5,59.39721875,69.72471875000001,5,6.294374999999995,6.294375,engaged
36.24783,0.094439015,34.16002,35.57016,39.376938,5.216919,378.11255,349.9918,135.43953,214.24318,0.5183013,0.88364017,0.13721754,0.3986626,0.85026103,0.7130435,7.362792,2.9789343,7.3190756,7.6204815,0.2252017,1.0115745,22.465199,0.842579,7.459712,2.2236555,-5.8590817,-2.5718992,-6.032234,-2.0298793,0.030505996,2.794421,1.1603436,0.82140666,8.4595785,0.44647387,10.106333,0.9576838,31.134886,0.42320606,786.03094,0.25095427,1410.1846,0.18926816,-66.71597,-1.1627082,1798.7646,0.13044271,1224.8368,0.27274275,-72.26667,-0.97501904,2914.6172,0.08820319,1043.1526,0.26048332,-79.840355,-0.82568586,-13.124319,-1.0839548,28.27109,0.48719797,0.054854725,0.3173334,-0.008145602,-2.368457,0.26747298,0.77139485,28.795637,0.5262037,6.671142,2.639566,-4.9959884,-3.2222104,-8.096064,-1.3346452,-3.8491235,12.23327,0.03215707,0.012744261,0.09904422,3.558719,4.0,0.17454545,0.17254056,0.06555555,0.041126125,-23.929117,7,18,2,SPEAKER_00,72.533333,76.666667,72.533333,76.10346875,2,2.827635749999999,2.827625,disengaged
36.446438,0.14035974,34.61801,35.52495,36.697865,2.079853,259.2435,165.91405,69.28551,46.722523,0.38786897,0.70482546,0.1574417,0.3226176,0.5626379,0.40519622,7.000307,4.0055814,4.9280944,3.5108452,0.20298003,0.9446964,21.021082,1.1512657,14.926706,0.8389688,2.0373456,7.3112803,-1.062026,-11.04919,0.021370176,1.1348226,1.3211696,0.7150405,8.142631,0.4943174,9.017901,0.910053,32.903152,0.38383785,732.58167,0.22760189,1408.2424,0.19706456,-84.111404,-1.0053096,1795.9462,0.10743971,1114.121,0.22714493,-84.75978,-0.8944954,2926.9126,0.07319683,1047.6028,0.29406652,-90.62097,-0.78496,-16.3984,-0.9407084,28.852509,0.5517149,0.056117084,0.32487926,-0.012527241,-1.512939,0.2500568,0.7823848,28.422142,0.67439145,13.888954,0.95929843,2.5356476,6.6003222,-3.1407175,-3.5712597,-5.851957,13.601857,0.039450746,0.0061449576,0.10100743,4.2105265,2.9411764,0.22272727,0.13191532,0.09727273,0.06297054,-25.608936,7,18,3,SPEAKER_00,76.7,86.366667,77.89221875,86.366667,2,3.81694825000001,3.8169375,engaged
34.15901,0.12176748,33.573143,34.94249,36.17299,2.599846,315.94733,400.36325,62.550087,56.80741,0.35871613,0.65427494,0.14569335,0.33170295,0.5517361,0.40604275,5.381475,3.0784793,3.6071386,1.758581,0.17918153,0.9596619,28.258066,0.6500837,19.553768,0.6623542,7.994132,1.9878812,-3.6006925,-3.8299968,0.026398249,1.7173551,1.1840192,0.90156335,8.9533415,0.41502333,11.291428,0.85514325,38.28534,0.2607598,761.267,0.25771517,1437.188,0.17320544,-59.408604,-1.2264363,1877.2101,0.11597807,1203.4305,0.2508225,-71.65302,-0.8886611,2995.1697,0.07735665,1087.0714,0.26887405,-76.51827,-0.7971919,-23.602003,-0.4714607,36.53528,0.28327715,0.054172702,0.32392496,-0.017438913,-0.9254241,0.21593516,0.8199595,34.37537,0.36562005,20.628834,0.6321318,8.199899,2.0728645,-6.7017374,-1.9003959,-8.039802,15.729847,0.03272446,0.00945797,0.05478181,4.199067,2.507837,0.303125,0.2349659,0.08,0.048989795,-24.584455,7,18,4,SPEAKER_00,86.4,96.833333,86.4,94.04159375,3,6.443468749999994,6.4434375,disengaged
