F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,participant,session,engagement_id,speaker,engagement_start_time,engagement_end_time,speaker_start_time,speaker_end_time,num_segments,speech_duration,merged_duration,label
38.78745,8.224524e-05,38.78507,38.786953,38.78973,0.00466156,0.0015424093,0.0,0.0,0.0,0.05210507,1.0724269,0.008693434,0.03310937,0.07330349,0.06461006,2.1198804,1.4875213,1.5515813,0.013666491,0.018571025,1.6332582,6.877862,1.8384553,6.1106677,0.8109668,0.064199686,83.842964,-3.2219658,-2.2261393,0.032822438,0.0,5.368314,0.019720882,-0.43821338,-0.6103514,12.4379835,0.060195994,26.188671,0.009692612,573.23755,0.04921532,1827.4302,0.052390426,-191.5279,-0.13616641,1516.3213,0.06573546,1489.266,0.027840441,-185.09137,-0.2275631,2162.0186,0.02398885,2198.2917,0.3718732,-185.72945,-0.21725975,-15.747751,-0.055517785,28.827217,0.00822634,0.033069063,0.027941907,-0.019694304,-0.08653174,0.08087335,0.12012126,42.32231,0.050921585,0.03253982,56.81609,0.9865741,2.3718085,-12.0527315,-0.062078685,-4.0650997,10.362082,0.028986378,0.021008434,0.015260452,5.1282053,2.9411764,0.02,0.0,0.145,0.044999998,-49.456364,9,3-2,0,SPEAKER_03,0.0,60.333333,0.11534375,27.63846875,2,0.40500000000000086,0.405,disengaged
42.95236,0.07884519,40.425163,43.076447,45.434883,5.00972,337.5375,451.1294,36.63134,28.46172,0.5608459,0.7446455,0.09521573,0.58266276,0.9442218,0.84900606,5.3874154,1.9501747,4.4335475,1.9477762,0.2363413,1.0850173,10.860097,1.5368749,6.807634,1.551105,-4.7644916,-2.9940457,-29.08967,-0.8064075,0.013797867,1.1841061,0.77893883,1.1577344,11.991825,0.35819647,17.767282,0.584195,24.511288,0.40711272,791.8004,0.18772854,1244.3054,0.19638039,-89.91146,-0.9946666,1934.7479,0.12375336,937.6,0.37907568,-92.97777,-0.84472984,2897.0054,0.06665295,897.254,0.41948077,-92.60188,-0.85169643,-16.772522,-0.46910203,23.739979,0.4063084,0.07447749,0.30578357,-0.028896436,-0.58333707,0.3169805,0.7463272,17.23974,0.72458535,4.040157,2.6712036,-4.743995,-3.1516988,-42.03776,-0.43493646,-5.3981586,12.668325,0.040550414,0.006349044,0.097948946,2.6666667,2.4324327,0.25,0.20210008,0.1388889,0.09374249,-22.27372,9,3-2,0,SPEAKER_04,0.0,60.333333,0.21659375,10.122218750000002,5,3.7631250000000005,3.763125,disengaged
37.157146,0.0053549297,37.018646,37.06938,37.28542,0.26677322,1.9841194,0.0,15.448093,0.0,0.61824036,0.26917642,0.52623975,0.7077551,0.75021446,0.2239747,3.0258834,0.0,-7.7301154,0.0,0.15710877,0.3569806,17.224447,0.39633638,10.876554,0.44019958,-18.586557,-0.42767593,-40.174725,-0.313996,0.008114635,0.40921536,0.6019292,0.83934027,11.059907,0.06904698,1.3454376,1.8546429,22.803131,0.1750798,586.0956,0.25312874,1546.9827,0.1815826,3.38918,0.32815126,1518.8109,0.17014092,1150.9039,0.099679485,-13.271784,-0.67221606,2753.41,0.014040555,807.65936,0.427033,-18.511368,-0.23207326,-14.924021,-0.31263915,22.2235,0.18098833,0.07926814,0.10205023,-0.034470208,-0.31268924,0.20082499,0.3911167,20.780937,0.11837237,11.183672,0.50318956,-23.329927,-0.13221233,-48.488674,-0.065832704,0.0,0.0,0.0,0.0,0.0,6.666667,11.111112,0.08,0.0,0.0,0.0,-28.172941,9,3-2,0,SPEAKER_02,0.0,60.333333,1.80284375,1.9715937500000005,1,0.1687500000000004,0.16875,disengaged
36.264217,0.096051015,34.452194,36.22369,38.108917,3.656723,339.00256,708.1925,72.64197,139.2458,0.8695495,0.74612826,0.30145785,0.71875465,1.4219605,1.1205026,14.843717,7.583599,9.891263,6.4008784,0.6392938,0.8872419,24.563602,0.7479216,12.028232,1.3493578,-2.7796772,-5.8951464,-10.213249,-1.4948506,0.021675851,1.4215432,1.2887542,0.7667203,8.698888,0.44598687,7.3695827,1.5427766,31.99981,0.38108534,756.24634,0.25658137,1376.9357,0.16533338,-65.799194,-1.2347299,1823.5027,0.1321994,1205.2301,0.2524304,-74.19538,-0.96765655,2916.465,0.084442854,1044.2163,0.27986673,-79.74683,-0.85203904,-18.996824,-0.596635,33.214752,0.31157875,0.05881752,0.3817359,-0.020809984,-0.8569197,0.79436964,0.6978759,30.745594,0.41139993,11.057511,1.4246374,-3.5413027,-4.837353,-14.129865,-1.0018092,-7.1094966,16.324133,0.03797275,0.005977151,0.20742542,3.6573632,2.7951808,0.25431034,0.21940841,0.09783505,0.085352235,-14.855463,9,3-2,0,SPEAKER_00,0.0,60.333333,10.122218750000002,60.333333,12,41.57111425000001,41.571125,disengaged
36.054905,0.044076968,34.799675,36.186573,37.789345,2.9896698,54.264362,45.578373,5.01595,5.9002347,0.98835987,0.7031968,0.3765245,0.89782655,1.3909166,1.0143921,13.513608,8.18064,7.936236,2.1536465,0.7375821,0.74173796,25.108027,0.6894762,10.2128,2.0503628,-7.8049088,-2.4799397,-10.004168,-1.4879208,0.017230127,0.92030656,1.0821724,0.82642114,8.767617,0.44671148,11.236065,1.0767517,33.856384,0.32678488,742.3405,0.25489402,1428.1401,0.1768103,-64.66373,-1.2226423,1846.0449,0.12760647,1225.8672,0.19073437,-74.355156,-0.9573516,2955.3616,0.08775347,1095.6248,0.29596075,-79.538765,-0.8457951,-20.72944,-0.67520094,35.956795,0.23933654,0.06359091,0.3676202,-0.02065033,-0.9018931,0.897144,0.5778574,30.372734,0.30966562,13.596799,1.501584,-4.734721,-4.1352797,-15.025889,-0.84281045,-5.990042,22.639006,0.05627269,0.009127527,0.35997,3.8793104,3.524229,0.19999999,0.103198834,0.08166667,0.08706638,-13.634662,9,3-2,1,SPEAKER_00,60.366667,99.333333,60.366667,62.704718750000005,1,2.3380517500000053,2.3380625,engaged
36.654263,0.11272506,34.249096,38.058136,39.811184,5.562088,114.21978,74.935715,146.82513,214.1662,1.1625956,0.61235094,0.61680377,1.07277,1.5958145,0.9790107,18.1611,11.309819,12.094178,6.6351995,1.1857437,0.6931042,26.356344,0.32718086,3.6747377,4.0936565,-4.4714355,-3.120726,-14.259863,-1.0454332,0.05233318,1.6062877,1.5670683,0.67842686,6.8011193,0.5313661,1.3879411,8.469586,23.8616,0.47005403,775.60986,0.22384794,1328.7079,0.15121968,-67.01317,-1.2512349,1822.969,0.13597976,1117.0305,0.27665344,-69.01302,-1.070381,2899.37,0.09282262,868.56586,0.19637083,-74.166214,-0.9492608,-14.655414,-0.8412843,28.983831,0.29844996,0.055566203,0.41862804,-0.024889166,-0.7975415,1.2425432,0.5642216,27.991741,0.26247233,2.1931221,7.5249467,-5.4277525,-2.6483555,-17.568878,-0.737377,-12.927625,25.796799,0.02231181,0.0011291385,0.9305707,5.3691273,4.166667,0.16666666,0.18126102,0.066,0.045869377,-12.789931,9,3-2,3,SPEAKER_00,100.966667,115.7,113.43096875,115.7,3,1.509656249999992,1.5096875,engaged
36.607166,0.06737473,34.882133,36.846924,38.702328,3.8201942,76.2396,80.87021,44.625412,47.74863,1.1202009,0.5535921,0.5650922,1.0656377,1.6282704,1.0631782,18.672947,13.145183,9.785657,5.7100763,0.82920676,0.7924412,29.810457,0.4163039,7.423837,1.9032321,-5.7282376,-2.6800833,-14.922639,-0.76257396,0.022692384,2.0787253,1.1821148,0.6949,8.888979,0.42409772,9.489786,1.3236891,30.655796,0.3842672,778.01733,0.23879735,1353.8363,0.16700003,-36.74712,-1.7415996,1838.9918,0.1407233,1160.0784,0.28650331,-47.8519,-1.1622944,2929.376,0.08651802,1017.08777,0.2542474,-54.510193,-0.96253735,-17.954897,-0.61320996,32.488754,0.237394,0.066651635,0.29004616,-0.02350456,-0.7693071,0.8919354,0.70979196,31.63324,0.29339367,6.6807327,2.1999776,-6.6228395,-2.3522472,-16.066938,-0.6845236,-11.991844,20.771383,0.060769252,-0.0038508812,0.37612143,3.6446471,1.8475751,0.465,0.32419127,0.065714285,0.05703561,-12.4141,9,3-2,4,SPEAKER_00,115.733333,121.333333,115.733333,121.333333,4,4.40187499999999,4.401875,disengaged
36.397526,0.079915985,34.3455,36.20432,38.79166,4.4461594,123.52016,140.5799,40.71606,30.719975,0.9509671,0.7033279,0.36352733,0.73131865,1.6326314,1.2691041,15.587298,8.551529,9.9709425,8.182175,0.70812166,0.79378325,28.25713,0.56800634,9.030712,1.864083,-8.409791,-2.0176747,-9.643682,-1.6681405,0.02718806,1.6410489,1.3304405,0.7231502,8.161975,0.4576067,7.485467,1.5504588,33.501854,0.36277282,754.6352,0.27887595,1373.1515,0.17044483,-55.270382,-1.3763738,1811.6045,0.13465023,1234.9915,0.22311804,-65.12708,-1.0201454,2919.6973,0.0890273,1079.8752,0.24101754,-72.59144,-0.85650826,-17.611494,-0.681969,34.917618,0.25727654,0.060909595,0.3798377,-0.020065958,-0.8814837,0.8136305,0.6684251,32.179615,0.3641369,8.682703,1.8258638,-9.196009,-1.8364664,-12.274064,-1.2591168,-7.905011,20.26908,0.047107153,-0.00014490174,0.33471078,3.8034866,3.2051284,0.235,0.17794663,0.065882355,0.034309804,-14.377194,9,3-2,5,SPEAKER_00,121.366667,128.333333,121.366667,128.333333,2,6.325416000000004,6.3254375,engaged
36.55824,0.08796296,35.347443,36.27329,38.724335,3.376892,296.655,152.28465,8.016043,18.092428,0.7894254,0.6432883,0.31218752,0.75608176,1.2366165,0.92442894,12.748432,6.62835,8.62607,4.4964895,0.5710837,0.8491583,24.863857,0.6429294,10.988717,1.543745,-2.8443725,-5.8984184,-6.467749,-2.157316,0.014801518,0.8382175,1.253719,0.7148922,9.11332,0.47575048,8.676545,1.0577606,30.824537,0.3975824,760.4808,0.2732719,1384.178,0.16698378,-68.08062,-1.1973333,1823.972,0.13478222,1225.2925,0.21298893,-75.62521,-0.95188123,2901.4844,0.09763875,1108.7318,0.268343,-81.31536,-0.8363413,-18.204458,-0.7198373,34.44653,0.28564823,0.05532142,0.41498414,-0.01741098,-1.1380324,0.70637864,0.6693696,30.655914,0.37969986,10.612709,1.4829799,-3.446533,-4.775017,-10.652311,-1.144358,-7.6289873,17.00139,0.038799215,0.004569694,0.2372605,4.9627795,2.763819,0.25636363,0.1633887,0.085454546,0.07377651,-15.356315,9,3-2,6,SPEAKER_00,128.366667,134.166667,128.366667,134.166667,5,4.0449999999999875,4.045,disengaged
36.326546,0.054545976,34.49113,36.69047,38.285122,3.793991,70.91053,64.92187,27.682947,21.209803,1.022524,0.5341798,0.5837991,0.8894803,1.4773817,0.8935826,13.735631,5.737761,12.462506,7.449366,0.742231,0.7628382,31.494404,0.40625772,6.628461,2.3532238,-6.7451057,-2.3347173,-9.644386,-1.2698897,0.016899219,0.9670424,1.2545344,0.77255476,8.465277,0.47926915,10.908743,1.0536767,33.464584,0.38025573,763.59436,0.23779352,1426.8612,0.18033357,-39.16086,-1.5854477,1764.7557,0.13341735,1237.7313,0.24209918,-49.799343,-1.1036553,2896.4785,0.077127956,1042.2556,0.26942748,-60.087723,-0.8409642,-17.718834,-0.7223739,34.857018,0.20954981,0.057573013,0.33512884,-0.016688192,-1.1621431,0.8431336,0.6758256,34.69664,0.24337158,7.3907332,2.0404735,-6.566856,-2.4449592,-12.261567,-0.86194617,-6.2712746,20.756222,0.042059958,0.0088267885,0.19233976,5.142857,2.9411767,0.28399998,0.30097175,0.056666665,0.03858612,-14.889744,9,3-2,7,SPEAKER_00,134.2,135.966667,134.2,135.966667,1,1.7666670000000124,1.766625,engaged
