F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,participant,session,engagement_id,speaker,engagement_start_time,engagement_end_time,speaker_start_time,speaker_end_time,num_segments,speech_duration,merged_duration,label
37.084846,0.08641467,34.9972,36.967495,39.209225,4.2120247,155.10872,178.6511,32.12644,40.26737,0.39859363,0.5565655,0.21829051,0.36045265,0.5456916,0.3274011,4.3352237,2.6674242,3.0013828,2.4929607,0.1585881,0.9071547,26.002197,0.39725518,7.4978523,1.6227967,-8.843245,-1.3060904,-9.906866,-1.4606271,0.025037462,1.7282212,1.2043941,0.6774105,8.5669775,0.40617815,7.8575892,1.2254144,31.060183,0.2570413,758.5609,0.22028784,1378.9193,0.16404925,-93.109505,-0.9795965,1804.6624,0.12941155,1139.5299,0.24689153,-96.25664,-0.85444987,2920.3115,0.08581308,950.24506,0.28174862,-100.884186,-0.7773902,-16.736639,-0.4874856,28.759855,0.27055356,0.04787506,0.44663408,-0.022158235,-0.540519,0.20764016,0.77307224,30.515419,0.25133482,8.632287,1.5177526,-9.068504,-1.4286205,-16.901846,-0.66881466,-9.123367,19.375755,0.025910096,-0.0048819766,0.08707008,2.809482,2.4713151,0.2325,0.15851149,0.1630769,0.14968605,-28.60843,11,22-2,0,SPEAKER_01,0.0,15.466667,0.33471875,14.77971875,8,11.407499999999995,11.4075,engaged
34.745754,0.12464531,31.460262,34.014683,34.805325,3.3450623,2.9387157,0.0,74.75166,0.0,0.5285503,0.4226928,0.314766,0.45559123,0.8010242,0.4862582,7.8195925,5.448566,3.5829153,2.976243,0.24398443,0.58188725,23.51067,0.19868629,-2.3632553,-3.3589828,-13.017617,-1.025167,-10.9700165,-1.0122042,0.03092189,0.7635244,1.5198843,0.8849612,4.191499,0.65127516,0.21441786,26.624313,21.49396,0.23848297,763.2914,0.1914997,1355.1694,0.110651225,-108.351135,-0.9171422,1721.9332,0.09374257,1239.9598,0.12678415,-107.34574,-0.84960395,2773.1309,0.06390368,919.6874,0.111150466,-113.16005,-0.7510594,-1.8139493,-4.21648,24.349257,0.23655102,0.047707025,0.2698749,-0.010356513,-1.1704326,0.3398929,0.3502814,25.863293,0.15672056,-8.626207,-0.6199544,-25.551777,-0.32508942,-16.064926,-0.54443914,-10.132654,20.373657,0.008140072,-0.010708668,0.19169915,7.54717,4.166667,0.105,0.085,0.105,0.055,-28.383999,11,22-2,2,SPEAKER_01,16.3,17.033333,16.41659375,16.95659375,1,0.5399999999999991,0.54,engaged
40.29693,0.108321786,36.494724,39.369118,46.079983,9.5852585,228.58368,201.00769,42.05498,24.878042,0.5439603,0.60602796,0.27884978,0.41579032,0.7433639,0.46451414,6.0789185,1.6032729,4.039278,0.0,0.3059081,0.8713865,28.241032,0.19484144,6.8849316,1.7256025,-4.978826,-2.5848374,-11.895355,-0.86531156,0.024541821,0.42203522,1.4748626,0.7043863,8.343872,0.41187537,9.437414,0.42527568,31.038122,0.20233928,884.66046,0.12484252,1246.6189,0.13277884,-85.09178,-0.96672297,1920.2899,0.070804045,1059.3925,0.1445104,-92.0353,-0.8024189,2999.777,0.04960662,848.5638,0.22788192,-96.51736,-0.7329766,-17.441807,-0.4176812,30.32661,0.23700991,0.04601546,0.42325652,-0.022334928,-0.29406783,0.38798252,0.7959439,29.025736,0.15817551,4.855222,2.639442,-5.9195957,-2.4549727,-12.978042,-0.647826,-12.921564,22.072292,0.03041927,-0.019072542,0.1610999,1.6949153,5.6603775,0.103333324,0.036817867,0.053333335,0.020548046,-22.633923,11,22-2,3,SPEAKER_01,17.066667,24.933333,17.32784375,19.50471875,2,0.6075000000000017,0.6075,disengaged
39.639065,0.059469506,37.665916,39.466236,42.059914,4.393997,74.142,113.494316,28.122232,17.833925,0.5400188,0.7540958,0.21310371,0.36801147,0.9346986,0.72159487,5.7126455,3.4059849,4.00026,2.8865612,0.21490625,1.3354291,22.881115,0.30240533,-5.7275105,-1.6392087,-13.090041,-0.890177,-14.510562,-1.1581314,0.021642188,1.041122,1.1099528,0.6378479,7.236952,0.72734404,2.8945115,3.172781,24.563154,0.31098583,831.65985,0.18685089,1298.8905,0.16588916,-103.58191,-0.9371583,1827.5127,0.10170688,1068.3329,0.190725,-105.25571,-0.8529832,2866.208,0.0614485,857.079,0.32545203,-109.23058,-0.78767234,-9.296857,-0.75596505,22.47369,0.24396075,0.0443944,0.3582818,-0.020721596,-0.70434594,0.30622044,1.1643445,22.487387,0.26395273,-9.387085,-0.9849882,-17.61859,-0.7072397,-24.08052,-0.6744046,-8.957941,20.00783,0.026259037,-0.009999215,0.12670252,1.9396552,2.6143792,0.185,0.13859414,0.1775,0.18171062,-25.835724,11,22-2,3,SPEAKER_02,17.066667,24.933333,18.35721875,24.933333,4,4.6523642500000015,4.652375,disengaged
37.41455,0.023533998,36.469933,37.71199,38.23096,1.7610283,51.295063,47.56664,8.671074,13.635748,0.27579933,0.4315668,0.17570457,0.22300372,0.38979337,0.2140888,2.310195,1.6695415,1.6119455,0.751774,0.08581302,0.70871216,25.330845,0.24567868,3.408714,1.6809714,-8.154389,-0.8972114,-6.253255,-2.6417608,0.018346589,0.90181786,1.3636831,0.6048615,8.350789,0.32951412,6.2917075,1.3100123,32.736134,0.18344675,762.396,0.18796225,1402.3525,0.12923995,-104.624855,-0.8884868,1749.2783,0.06360602,1058.8165,0.13306022,-109.31813,-0.779274,2898.1355,0.050991796,823.4748,0.35439402,-114.09495,-0.7077232,-17.82043,-0.27391905,29.535063,0.1872267,0.05442133,0.39976412,-0.022491695,-0.65484583,0.11853597,0.56728274,28.23495,0.16692078,3.9470956,1.4943274,-7.49587,-1.0536319,-14.898058,-1.2346197,-10.260306,21.897348,0.02034923,-0.009005375,0.057495277,5.0632915,3.267974,0.146,0.152,0.14,0.038987175,-34.444977,11,22-2,4,SPEAKER_02,24.966667,46.1,24.966667,26.558468750000003,1,1.591801750000002,1.5918125,engaged
38.013702,0.072510764,36.938435,38.57865,39.520237,2.5818024,127.66934,182.64787,54.87154,70.6377,0.28526643,0.3995892,0.19448957,0.26080835,0.38511133,0.19062176,1.7326157,1.1888908,1.319191,0.8805371,0.07636682,0.6084123,21.801956,0.25584927,-1.1737887,-4.5738964,-4.068374,-2.6213164,-13.220833,-0.9344545,0.029026391,0.9536526,1.5068082,0.43947366,6.0280104,0.47574317,8.973054,1.0612139,23.270838,0.48095533,748.70795,0.27750885,1413.3777,0.15656494,-106.01845,-0.86735874,1754.5542,0.12927304,1165.0046,0.24384698,-96.5802,-0.8910188,2758.645,0.098908894,999.442,0.3601266,-98.883736,-0.851974,-12.126137,-0.3278885,21.901741,0.24521223,0.05280798,0.29727167,-0.018095164,-0.53060246,0.09424293,0.5260995,23.110586,0.16620214,-1.8229535,-3.3797145,-3.5248642,-3.2216382,-18.0616,-0.69813,-8.936624,19.36467,0.03526039,-0.0073201787,0.05678882,3.0588236,3.3333335,0.16071428,0.20015937,0.11066666,0.08028837,-36.586555,11,22-2,4,SPEAKER_00,24.966667,46.1,26.558468750000003,38.67471875,3,4.269374999999993,4.269375,engaged
36.105766,0.07371293,34.239304,36.21894,38.46454,4.225235,190.29088,182.82747,21.469955,13.398784,0.36368263,0.44889292,0.22013485,0.3308904,0.5166872,0.29655236,3.413152,1.7970824,2.8091416,2.7174184,0.12693106,0.7501468,25.763159,0.3208964,1.7976763,5.9949865,-13.901745,-0.7844867,-2.7904782,-4.2742558,0.023362977,1.7762059,1.1548686,0.4982492,7.306763,0.4975793,8.74293,1.2501447,29.971008,0.3600126,774.4717,0.22981091,1402.7703,0.18559311,-90.32307,-1.024439,1771.6886,0.13411486,1189.6218,0.2578078,-92.12651,-0.9270335,2881.5625,0.09491682,1011.0328,0.29467475,-98.35251,-0.81760335,-14.682494,-0.57334775,28.642807,0.27098188,0.05362326,0.31505418,-0.013426777,-1.0856488,0.16711032,0.5598894,29.84891,0.17543359,3.3525553,3.4424326,-12.552605,-0.92860824,-7.7758565,-1.4397489,-6.54735,19.67657,0.022723723,0.0015309444,0.06641296,3.2812502,2.2082021,0.26285714,0.22767232,0.18384615,0.13287002,-30.586142,11,22-2,4,SPEAKER_01,24.966667,46.1,39.21471875,46.1,2,6.412781250000002,6.4128125,engaged
35.744904,0.052502178,34.776123,35.388786,36.38629,1.6101685,25.269785,20.911165,93.61173,84.2031,0.39000213,0.41529492,0.2522245,0.35340187,0.5513894,0.2991649,3.7507765,2.4974468,3.3053513,2.0852432,0.14444886,0.6771223,27.812223,0.3981804,7.779855,1.5360807,-11.264344,-1.0995529,-8.110966,-1.3071721,0.019386228,0.90008444,1.1893598,0.6664774,7.506401,0.41558516,8.791779,1.1597914,33.061096,0.29146188,775.93463,0.19636542,1373.513,0.1541112,-80.08133,-1.0896215,1828.076,0.10559285,1084.2518,0.22074902,-85.00259,-0.94086474,2999.9893,0.06601302,1023.2779,0.33702612,-91.69785,-0.8185336,-17.48256,-0.49769816,28.741089,0.3309556,0.059385378,0.22319101,-0.019106815,-0.7134125,0.18329954,0.51163644,32.966743,0.18957892,7.8973308,1.6419464,-9.851629,-1.3349605,-10.966382,-0.93470263,-9.291361,18.813557,0.04092083,-0.0051529533,0.07928944,4.942966,3.1128407,0.19999999,0.15984367,0.10125,0.06546707,-30.003021,11,22-2,5,SPEAKER_01,46.133333,49.133333,46.133333,49.133333,2,2.6456249999999955,2.645625,disengaged
36.621967,0.067239605,35.39849,36.773777,38.335007,2.9365158,295.99936,158.87039,31.243082,30.138962,0.3306252,0.5011519,0.19577117,0.29507262,0.43025768,0.2344865,3.7521572,2.5733957,3.3393471,1.7214025,0.14419791,0.7669135,29.348122,0.30794024,3.9746366,2.5974011,-8.330505,-1.3995107,-6.3400826,-1.7400609,0.030904073,1.9806808,1.2132462,0.5817035,7.7352033,0.48923114,6.4930134,1.5986928,27.521559,0.97874033,775.84595,0.22646724,1373.4716,0.18829581,-101.10534,-0.87757915,1815.9597,0.13614607,1137.383,0.29654413,-102.63765,-0.8007559,2924.6465,0.100214675,1006.31555,0.25047952,-108.51936,-0.70995295,-17.907728,-0.4401429,29.732409,0.28839207,0.05417489,0.34738016,-0.01957543,-0.8616629,0.19259039,0.59399486,32.945744,0.16702732,6.0497103,1.7648104,-7.4409513,-1.7474289,-11.538957,-0.82483447,-11.22796,22.286512,0.036267355,-0.005579387,0.09245231,5.080214,3.5230353,0.14999999,0.10626527,0.113846146,0.08660596,-29.184282,11,22-2,6,SPEAKER_01,49.166667,68.4,49.166667,53.423468750000005,2,3.7505517500000067,3.7505625,engaged
44.083664,0.02127028,43.49593,43.941463,45.0601,1.5641708,14.346257,0.5061944,20.498701,0.0,0.44502515,0.4621625,0.16986842,0.5259799,0.61717516,0.44730675,4.222997,2.1452174,-1.0041511,1.735847,0.12687951,0.5408617,16.464355,0.42817187,4.468085,1.1170744,3.3355293,2.1546078,-24.758568,-0.5313699,0.019152699,0.62291867,0.85487074,0.74261767,11.797312,0.2233713,17.163902,0.3836293,16.355623,0.56535286,939.40936,0.09479573,1243.5524,0.086898245,-38.196815,-1.0250081,2051.3477,0.075521104,857.0529,0.20284145,-44.811634,-0.82944375,2944.2605,0.034450613,921.26117,0.36418173,-44.149887,-0.858435,-16.446827,-0.23624554,24.876644,0.17843008,0.06472896,0.24577396,-0.018409256,-0.3226081,0.14931278,0.3972585,15.559801,0.47939193,5.587843,0.836039,3.2450333,2.341419,-29.400837,-0.3269694,-10.293145,21.692688,0.044847075,-7.054055e-05,0.040656447,4.5454545,2.5641026,0.35,0.0,0.0,0.0,-27.932137,11,22-2,6,SPEAKER_02,49.166667,68.4,60.61221875,61.06784375,1,0.45562500000000483,0.455625,engaged
