F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,participant,session,engagement_id,speaker,engagement_start_time,engagement_end_time,speaker_start_time,speaker_end_time,num_segments,speech_duration,merged_duration,label
41.292458,0.20171589,33.2904,35.456295,50.539085,17.248684,109.81382,117.398544,169.50153,275.2793,1.9033203,0.43056825,1.3390207,1.5730257,2.4627705,1.1237497,5.8094015,3.4817472,7.703319,5.316092,0.9532306,0.6314508,16.959753,0.29410312,-3.5597715,-2.5179734,-7.522015,-1.3165596,-8.759763,-0.89984506,0.038757693,1.3991836,1.179917,0.43772253,4.9918847,0.6506203,7.6690207,1.2992388,19.930779,0.3473154,802.87103,0.25815073,1320.0947,0.24559702,-76.62074,-1.1564093,1803.6262,0.13520053,1134.1028,0.233843,-68.502205,-1.1990093,2796.7744,0.08545474,959.63153,0.30023134,-73.936584,-1.0611515,-5.396251,-1.1471181,19.699207,0.2676474,0.04965809,0.3664453,-0.011728584,-0.9627336,1.0657471,0.63334435,16.322485,0.29164982,-5.647813,-1.7272054,-9.850606,-1.0635601,-9.641825,-0.8522506,-8.2708845,17.679302,0.03588838,-0.014159856,0.7149085,1.9471488,2.9453018,0.22809523,0.3682858,0.096499994,0.08782225,-14.144227,7,6,0,SPEAKER_08,0.0,68.833333,2.71409375,31.75596875,11,7.205625000000005,7.205625,engaged
33.190823,0.009700759,33.075325,33.279976,33.371727,0.29640198,12.810317,1.2392479,4.117423,1.299686,1.521622,0.13710019,1.3122393,1.4988761,1.7503194,0.43808007,4.0078406,2.212923,3.5957663,2.8066914,0.6653187,0.20412761,20.718538,0.07028194,-0.86292464,-5.3254986,-1.3781449,-3.1422405,-6.0797014,-0.77362543,0.043549683,0.46706784,1.4630995,0.44288972,0.6651012,2.6930182,-0.7826504,-5.460877,14.621632,0.25901213,717.88544,0.26591572,1414.9602,0.17474107,-130.46112,-0.64674395,1639.5618,0.13798381,1344.6554,0.20374215,-129.03076,-0.633282,2616.76,0.075933576,984.7128,0.24424574,-131.69264,-0.5972119,-6.1084795,-0.4757319,17.041931,0.16880023,0.028797228,0.5195201,-0.012555609,-0.48662454,0.6445432,0.1639488,20.604563,0.070475996,-1.7936597,-2.4118059,-2.6395974,-1.3271717,-5.7193365,-0.7953973,-7.608424,17.694918,0.032966524,-0.015987266,0.69558656,6.5934067,5.142857,0.06555555,0.038618106,0.108888894,0.10671295,-19.62483,7,6,0,SPEAKER_01,0.0,68.833333,8.755343750000002,13.328468750000004,5,1.8393750000000093,1.839375,engaged
37.27255,0.13092816,35.156128,36.101723,37.664783,2.5086555,244.51303,593.27814,110.94694,93.87881,1.62108,0.23628676,1.393514,1.582019,1.7539041,0.36039007,5.290839,7.3298693,4.2157955,3.1537704,0.77841514,0.5994587,14.472351,0.2722256,-0.5498915,-7.8441253,-2.918447,-1.7543103,-7.337779,-0.7930042,0.040233836,1.0017229,1.3286062,0.42913756,3.4952402,0.78357816,6.7289824,1.5239062,16.896423,0.58398396,826.26404,0.24715114,1284.2382,0.16922222,-118.515465,-0.747307,1845.2435,0.13574155,1120.8857,0.23925357,-112.579895,-0.7600591,2781.0588,0.08527931,978.6615,0.37202302,-114.03642,-0.7359908,-7.4692984,-0.72232556,18.792948,0.20277293,0.048700154,0.33529657,-0.00978953,-0.95842594,0.829907,0.69767463,15.699919,0.25281644,-0.29262868,-17.725668,-3.507234,-1.7428349,-8.499392,-0.75504524,-5.8645215,15.354009,0.043796185,-0.006148899,0.735425,0.8035356,3.9049919,0.11360824,0.121605925,0.12731183,0.15985303,-17.27303,7,6,0,SPEAKER_07,0.0,68.833333,31.75596875,63.81846875,11,24.907500000000006,24.9075,engaged
26.246023,0.158034,22.157562,25.799568,28.693882,6.5363197,147.84903,194.9597,33.4276,31.55889,0.52596116,0.25631317,0.40627024,0.5252894,0.65824157,0.25197133,3.2935703,1.3250462,2.7061465,0.9401222,0.20612916,0.3871651,28.820786,0.25125882,2.0930731,3.7539127,7.300493,1.1845084,-10.782852,-1.3560754,0.01089996,1.1158059,1.2114167,0.5161141,4.6595926,0.53726774,-0.30196545,-34.768486,19.932278,0.42696235,693.6887,0.3221003,1363.3252,0.1411047,-107.26336,-0.88354474,1723.8884,0.14685276,1097.3728,0.35135534,-109.77688,-0.81201214,2722.316,0.11107846,897.18744,0.41591895,-112.04013,-0.7762602,-14.434581,-0.33568865,21.53696,0.30350626,0.036908153,0.5580155,-0.021416456,-0.80833155,0.21009757,0.31973,30.568941,0.13992384,0.9755759,6.777421,7.182,1.2923144,-11.309117,-1.4764988,-11.666276,19.19297,0.026944607,-0.016516676,0.20652765,5.123675,3.9215689,0.111363634,0.07430254,0.11782609,0.08586929,-28.563717,7,6,3,SPEAKER_08,78.7,98.266667,90.93659375,96.60659375,1,5.670000000000002,5.67,disengaged
33.083138,0.24794804,28.57425,29.00233,37.622032,9.047783,218.5467,203.7878,475.03616,610.7198,0.5277447,0.34238198,0.3451614,0.54764783,0.69223666,0.34707525,4.4022856,1.8755773,2.9296885,1.406456,0.18894774,0.496128,24.163109,0.37181804,-5.2225723,-2.3381603,0.57976633,22.945879,4.7500005,2.2582967,0.03524124,2.5615964,1.3870069,0.5596699,4.5719776,0.46337804,8.449221,1.4157534,15.778601,0.74371874,662.1118,0.38443163,1331.6996,0.15082636,-140.69829,-0.6125869,1617.8057,0.16843285,1115.2489,0.22151399,-133.88403,-0.6460798,2633.9866,0.123314686,949.86945,0.18063797,-136.113,-0.61237574,-7.4700203,-0.74398726,17.409916,0.37257442,0.020794474,1.1167818,-0.0041622072,-2.9870176,0.21234097,0.4053163,25.944643,0.26547495,-8.187448,-1.4671379,-2.1936076,-5.204569,3.4906933,3.205114,-7.361733,14.759856,0.016150985,-0.002811443,0.17781231,4.347826,3.6563072,0.08399999,0.07172169,0.18722221,0.1192013,-30.272738,7,6,4,SPEAKER_08,98.3,139.166667,101.58471875,119.21909375,7,5.535000000000025,5.535,engaged
36.608356,0.15878165,29.796295,37.869015,40.712315,10.916019,69.95428,36.325607,318.3458,326.0553,0.57578546,0.49800193,0.38510957,0.51921546,0.71866924,0.33355966,5.179273,4.4267755,3.338314,2.950599,0.20787579,0.80807763,21.027685,0.43626982,-2.7062871,-4.9216523,-2.4181108,-4.129179,-5.4526854,-2.023576,0.025163133,1.3600261,1.1962476,0.46642384,3.5957024,0.8376108,2.4919038,3.4158823,18.916111,0.41913202,677.7463,0.28893036,1354.8284,0.14106062,-136.3036,-0.63933194,1664.536,0.10018301,1074.3945,0.26392856,-130.67325,-0.6553167,2682.2166,0.098502986,1029.5607,0.45626965,-133.17459,-0.61905193,-7.799917,-0.7548109,16.742514,0.4646668,0.03502554,0.72088075,-0.0126298815,-0.99499065,0.26294306,0.89413446,22.831032,0.35485673,-7.3869634,-1.6298219,-3.0150447,-4.2112393,-8.129987,-1.2611755,-8.036898,15.380224,0.027301483,-0.011354319,0.17946386,1.9736842,4.0,0.08166667,0.06962199,0.14833333,0.10446955,-28.802574,7,6,4,SPEAKER_05,98.3,139.166667,104.43659375,115.57409375,9,4.57312499999999,4.573125,engaged
37.548306,0.0983976,35.68857,36.943523,39.223316,3.534748,198.37646,297.2364,52.044617,47.36045,0.8109088,0.35547113,0.58574754,0.77432144,0.9966956,0.41094804,4.9155474,2.356145,4.1530147,2.9670346,0.38407692,0.5392386,24.852854,0.35250238,0.6926627,15.910149,-1.0209168,-13.110109,-4.572167,-2.468305,0.026666079,0.99452215,1.2076259,0.45201114,6.9296737,0.5494365,10.913194,0.8988959,26.387415,0.4107525,750.8677,0.27458343,1371.5181,0.1680869,-98.75703,-0.89676076,1753.5042,0.11819443,1160.7208,0.2729659,-96.34275,-0.8565394,2820.947,0.10095887,1005.4908,0.36228773,-101.28585,-0.77540374,-12.895485,-0.691564,25.316555,0.35375163,0.04683633,0.48512143,-0.013254277,-0.9981985,0.45456365,0.46957186,27.588938,0.2901786,2.3765829,4.863009,-1.4106674,-9.941853,-5.7980924,-1.7877362,-7.380668,15.924763,0.03019835,-0.009077697,0.28353798,3.4254808,3.0778515,0.18176469,0.19448985,0.13276596,0.12707348,-21.765835,7,6,4,SPEAKER_06,98.3,139.166667,114.71346875,139.166667,11,16.656948250000042,16.6569375,engaged
32.97439,0.10671244,29.191216,31.81929,36.671444,7.4802284,29.164087,0.0,-0.27282333,27.019737,0.5895795,0.18072918,0.51559305,0.5637408,0.69526786,0.1796748,3.6179757,1.1139812,2.674498,1.401771,0.2128495,0.5223362,26.886621,0.31445804,9.714884,0.8194098,-2.2974484,-7.6545877,-20.698307,-0.24246754,0.052833628,1.2238603,0.86938965,0.30853462,2.9424036,0.9333836,0.33582583,19.046774,31.28381,0.22953874,682.94635,0.23514518,1466.8602,0.16618961,-74.05919,-1.1899228,1676.6542,0.14763398,1235.2527,0.24087031,-76.650635,-1.0596455,2800.2385,0.094940566,991.35144,0.19101591,-82.96104,-0.9205111,-13.900914,-0.38310915,23.964806,0.38433605,0.036091775,0.28857318,-0.025180457,-0.36766362,0.17249826,0.30963516,25.34612,0.41097435,13.801697,0.55223864,-12.761329,-1.1311774,-22.222767,-0.20652942,-13.649088,18.470642,0.021975743,-0.035780143,0.330198,7.8431373,4.3478265,0.145,0.125,0.065,0.044999998,-28.293905,7,6,4,SPEAKER_07,98.3,139.166667,133.39409375,133.91721875000002,1,0.5231250000000216,0.523125,engaged
37.333965,0.1146329,35.01696,36.55275,38.82178,3.804821,142.04462,179.33543,62.04134,93.09715,0.6093342,0.4282926,0.40294605,0.56340855,0.7955083,0.39256227,3.8664386,2.7947066,3.2337856,2.2372172,0.27453005,0.7508099,24.497791,0.42199424,6.4066806,1.4298607,-3.031043,-3.3517168,-1.7597815,-6.389403,0.023184637,1.5553839,1.1383288,0.5397599,8.6698675,0.43363598,13.426536,0.82708555,30.151588,0.3233121,743.0988,0.30157796,1435.3234,0.18761234,-89.31198,-0.98054254,1748.213,0.1323631,1210.1676,0.22105575,-88.78732,-0.8974096,2868.393,0.09486376,1029.2346,0.37228432,-94.28927,-0.8028807,-15.692337,-0.61418676,30.400328,0.31327942,0.043483056,0.52968764,-0.008924244,-1.436136,0.34359038,0.6117164,27.999918,0.31518465,7.82544,1.2071021,-2.7894359,-3.9592807,-4.0551953,-2.629165,-8.191696,19.44038,0.021639314,0.0023341381,0.15624991,2.4291499,2.6449645,0.23307692,0.16440496,0.1296,0.14058395,-21.73714,7,6,5,SPEAKER_06,139.2,149.866667,139.2,149.866667,3,9.890417000000042,9.890375,disengaged
36.174797,0.14420602,34.65122,36.254795,38.38971,3.738491,288.47714,462.3909,67.65428,72.227,0.56751204,0.6088124,0.33503366,0.49807334,0.7485944,0.41356075,6.114341,6.6490235,3.8667648,4.7020435,0.2870876,1.0431224,26.592707,0.37143356,7.9904437,1.3612016,-0.68377614,-16.682898,-0.033865318,-370.23007,0.027332436,1.6333355,1.19133,0.5850253,8.118527,0.43837142,12.823732,0.8591203,31.607452,0.36795506,737.17645,0.2756544,1419.3925,0.16633575,-103.87814,-0.85760057,1750.3099,0.1176856,1172.2107,0.23240985,-104.358894,-0.7881355,2892.454,0.085484326,972.82153,0.33449695,-109.63958,-0.70689183,-17.324898,-0.521791,31.305231,0.25313234,0.035747543,0.737685,-0.010802528,-1.3104635,0.34949327,0.8150632,30.583134,0.24093337,9.445283,1.2312369,-0.38073996,-33.730797,-4.683971,-2.525107,-10.62248,22.442577,0.010376323,-0.00038264034,0.21296188,1.6454287,3.0081704,0.17448558,0.15027559,0.14392242,0.1384603,-22.28561,7,6,6,SPEAKER_06,149.9,384.333333,149.9,375.34784375,33,80.84596874999988,80.8459375,engaged
