F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,participant,session,engagement_id,speaker,engagement_start_time,engagement_end_time,speaker_start_time,speaker_end_time,num_segments,speech_duration,label
42.58839,0.04977824,40.904114,41.707,44.397175,3.493061,29.889149,0.27553463,12.836572,11.960615,0.8062386,0.3332579,0.5306073,0.80446476,1.053484,0.5228767,6.661858,3.2472475,5.6697564,3.073317,0.43526915,0.49691087,24.353579,0.26029658,2.7872555,2.0004153,-4.8087134,-3.3633459,-30.497746,-0.45084652,0.033970196,1.0188386,1.2773709,0.39031824,6.4151864,0.41050366,5.082039,1.0346286,20.672138,0.3918332,828.984,0.10090731,1300.7643,0.28702006,-71.7846,-1.2373964,1960.565,0.13120688,789.9468,0.3742673,-77.16578,-1.0260788,2982.3965,0.05131401,819.5439,0.3441416,-77.63575,-1.0183094,-11.596401,-0.46776092,21.01325,0.33838233,0.03722963,0.64740914,-0.03546794,-0.203679,0.49429083,0.37040985,23.474796,0.24396697,0.5197175,6.3989596,0.08108237,195.53539,-36.768353,-0.21336353,-9.901441,27.329914,0.018407527,-0.026413202,0.38783666,8.450705,1.5151516,0.45,0.0,0.089999996,0.07,-23.862629,12,2-2,0,SPEAKER_00,0.0,11.733333,1.71846875,2.44409375,1,0.725625,disengaged
43.07664,0.060996063,41.88006,43.61027,44.662888,2.7828293,74.08091,12.337465,17.113897,31.361376,0.5320057,0.25173602,0.4333291,0.5438046,0.62911886,0.19578975,2.9973912,2.0727017,2.8788846,1.2573993,0.21041083,0.47374547,28.845612,0.13173118,3.9428852,1.4710351,-10.333163,-1.1134555,-26.530739,-0.40112683,0.027911799,1.0869541,1.0914631,0.43582928,8.421859,0.3053047,8.79145,0.6930874,29.428242,0.20147066,754.32104,0.21953087,1368.6353,0.17073096,-77.63565,-1.1337929,1757.9944,0.15955965,1175.9153,0.21127807,-75.54622,-0.99824363,2860.5405,0.052643172,825.5698,0.2541329,-80.94689,-0.8970109,-14.273473,-0.3396029,28.19502,0.13650554,0.025834814,0.45215097,-0.03014339,-0.24980329,0.21408354,0.42955387,29.65816,0.108519234,3.5674121,1.7757012,-8.570475,-1.1483811,-31.273333,-0.30344075,-11.142527,25.495432,0.013248555,-0.022131896,0.16978559,4.9382715,3.9473684,0.16666666,0.15107025,0.06,0.021602469,-28.305172,12,2-2,0,SPEAKER_00,0.0,11.733333,3.3553437500000003,4.1822187500000005,1,0.826875,disengaged
40.899734,0.118582964,38.870647,42.211403,43.78949,4.9188423,66.5018,40.354557,15.531135,0.0,0.4546605,0.42570743,0.24312563,0.4641796,0.6551301,0.41200447,3.7910903,1.8699944,3.1613116,0.2582116,0.16910045,0.609617,25.369396,0.22146812,-0.19206205,-56.165432,-8.735304,-1.286044,-15.115641,-0.907432,0.025755791,1.9018612,1.1378995,0.47111076,7.115142,0.47300354,-5.9595656,-1.653254,17.999283,0.50120676,748.9613,0.23987333,1338.6841,0.1347484,-109.06697,-0.87178206,1743.9688,0.14219558,1254.9609,0.22593512,-99.48044,-0.87804323,2792.5984,0.087911084,1002.63324,0.20122899,-104.96134,-0.7854431,-6.2405286,-1.063377,21.354475,0.3403124,0.02230499,0.671268,-0.015707005,-1.2003216,0.20168097,0.44771674,24.883587,0.20406054,-6.0879374,-1.3143088,-11.940721,-0.8998792,-19.584871,-0.7795265,-10.152025,23.051483,-0.0012938165,-0.013518921,0.12920004,3.448276,4.285714,0.114999995,0.054390565,0.08285714,0.04463,-30.376467,12,2-2,0,SPEAKER_00,0.0,11.733333,7.759718750000001,9.227843750000002,1,1.468125,disengaged
34.309803,0.13877513,33.402428,36.44084,37.179646,3.7772179,277.5939,0.0,71.529816,64.39603,0.39253533,0.2775105,0.27129573,0.41294453,0.49322268,0.22192696,2.3851326,0.94946873,1.114841,1.1119723,0.24759297,0.70947254,25.216295,0.3232074,17.64927,0.29334393,8.518092,0.56945103,-5.996684,-0.95903146,0.0696179,2.0106921,1.3295736,0.44891128,8.878046,0.2792086,8.834298,0.633221,30.77555,0.21721388,911.79254,0.058517307,1194.0872,0.076677635,-99.8318,-0.8000847,2053.606,0.04915798,1051.9635,0.11302288,-108.77486,-0.6710846,3039.0508,0.04834007,917.29376,0.25491884,-109.85602,-0.6550633,-23.101246,-0.1934321,35.26737,0.14338392,0.010069487,1.2297268,-0.019306658,-0.33901694,0.16710764,0.28717765,29.988464,0.1555249,19.92033,0.2790719,7.1136723,0.6742924,-8.132693,-0.80794334,-16.264866,24.523611,-0.015634522,-0.014392454,0.3103321,6.818182,5.1282053,0.099999994,0.02,0.065,0.015,-27.251562,12,2-2,0,SPEAKER_00,0.0,11.733333,9.51471875,9.97034375,1,0.455625,disengaged
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29812533,0.13230452,0.26976767,0.28149647,0.32312572,0.05335805,1.5485436,0.0,1.2993854,1.0641661,0.09180324,0.28878984,19.593037,0.22037537,4.8215117,0.7113402,-6.4295,-0.78766894,4.218797,0.45491433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.92863,28.357162,-0.011533843,-0.0037351672,0.1320404,10.000001,0.0,0.0,0.0,0.04,0.0,-36.74517,12,2-2,0,SPEAKER_00,0.0,11.733333,10.965968750000002,11.08409375,1,0.118125,disengaged
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18777189,0.13130821,0.17262441,0.17613725,0.19782716,0.025202751,0.83823377,0.7144912,0.4253132,0.40258294,0.043503683,0.2227241,22.005852,0.28949603,10.96838,0.16186437,1.2076602,1.9794213,-4.485668,-0.9388895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.42121,26.461548,-0.0044526295,-0.011299399,0.042947248,7.4074078,0.0,0.0,0.0,0.21,0.0,-43.786213,12,2-2,0,SPEAKER_01,0.0,11.733333,9.227843750000002,9.51471875,1,0.286875,disengaged
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25302553,0.25184307,0.19063008,0.23945212,0.32722235,0.13659227,1.9202102,0.0,0.24678925,0.5583156,0.072779775,0.5316088,14.47209,0.52542204,14.967277,0.17000449,4.52792,0.7681589,-5.0741496,-1.278856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.885623,22.610891,-0.021042028,-0.012797639,0.07853619,3.125,0.0,0.0,0.0,0.26,0.0,-39.887794,12,2-2,0,SPEAKER_01,0.0,11.733333,9.97034375,10.30784375,1,0.3375,disengaged
36.72665,0.011043051,36.641983,36.754814,36.949734,0.3077507,28.587341,0.0,-3.7237167,7.288505,0.52949107,0.46615312,0.44353667,0.51902974,0.795513,0.3519763,1.3127286,0.09606928,2.7839932,0.0,0.18829124,0.4832178,20.14354,0.3845662,-1.9454876,-3.1734812,-11.442469,-0.95211804,-5.525536,-1.622991,0.012895828,0.8703247,0.990849,0.3521054,5.546661,0.7020757,-7.029285,-0.58744025,-0.83224046,-57.022884,754.27026,0.19896719,1435.1356,0.123280935,-117.436066,-0.8042711,1649.9122,0.12630147,1410.1943,0.115542755,-117.97953,-0.74707407,2678.835,0.06897206,1017.3074,0.27349186,-122.85364,-0.6762541,-5.7014427,-0.79993653,23.887081,0.19637774,0.030199854,0.8894968,0.0058790464,3.7126195,0.21440528,0.40165055,22.367395,0.17265666,-6.1524034,-1.1639954,-19.709053,-0.3867835,-6.788646,-0.9223896,-9.351335,23.47473,0.018929616,0.006681235,0.2049925,1.5873016,5.263158,0.07666666,0.06649979,0.09333333,0.083399974,-29.151384,12,2-2,0,SPEAKER_01,0.0,11.733333,11.08409375,11.733333,1,0.64925,disengaged
33.244522,0.015706303,32.787807,33.04599,33.706245,0.91843796,2.1503448,0.0,21.71522,0.0,0.47540703,0.15280977,0.39315036,0.4996972,0.5444183,0.15126792,1.4007187,0.19952706,1.59737,0.0,0.1474961,0.39542615,22.520283,0.17046057,-5.9400144,-0.33617315,-15.2402525,-0.23414198,-10.08801,-0.41388035,0.016214881,0.14795838,1.3607639,0.33920738,2.2358372,0.24646816,11.6886425,0.7501381,22.034595,0.078505725,789.3781,0.18334547,1346.0007,0.07087745,-36.707424,-2.2132268,1798.0215,0.11843842,1192.2789,0.08538379,-49.6996,-1.4988701,2682.0571,0.06860896,1354.6,0.46783498,-53.747955,-1.3477662,-10.393549,-0.15064223,21.883091,0.1329704,0.028969532,0.32751817,-0.012422119,-0.3450698,0.20598735,0.19920294,25.177103,0.038016364,-7.6515875,-0.17851092,-17.667803,-0.15672207,-13.035109,-0.21530837,-9.272855,18.493559,0.032925613,-0.0110374475,0.11733818,5.555556,7.692308,0.089999996,0.0,0.02,0.0,-33.501945,12,2-2,1,SPEAKER_01,11.766667,17.933333,11.766667,11.961593750000002,1,0.1949375,engaged
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49686474,0.16526194,0.42176247,0.4976098,0.579204,0.15744156,2.5912218,0.0,-2.6435852,0.0,0.20015216,0.5340584,20.82914,0.12396582,-3.5756233,-0.3094188,-18.131271,-0.3737237,-14.957205,-0.6212397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.852241,14.510174,0.01962214,-0.008273671,0.12582417,7.142857,0.0,0.0,0.0,0.06,0.0,-31.630053,12,2-2,1,SPEAKER_01,11.766667,17.933333,11.97846875,12.130343750000002,1,0.151875,engaged
