F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,participant,session,engagement_id,speaker,engagement_start_time,engagement_end_time,speaker_start_time,speaker_end_time,num_segments,speech_duration,label
35.057175,0.026374495,34.119724,35.15371,35.894547,1.7748222,128.03175,111.685196,5.665102,4.758468,0.5067308,0.32334676,0.35382035,0.48180723,0.6370329,0.28321257,5.5141644,3.6759188,4.141601,1.51156,0.20446892,0.5279089,26.09544,0.27035263,-0.16669549,-47.474533,-14.280348,-0.6463952,-9.282822,-0.8732035,0.017225202,0.82440376,1.2325518,0.47003508,5.997892,0.47213462,4.2183814,2.972079,28.117006,0.4105691,856.50305,0.17689727,1197.5262,0.17297377,-115.89415,-0.8117925,1916.6559,0.13101968,994.754,0.2720434,-120.53702,-0.72502726,3018.5398,0.0954002,977.005,0.23777333,-125.11298,-0.65709895,-8.390585,-1.0045824,25.38071,0.26127025,0.056062497,0.2372111,-0.013525639,-1.1748452,0.22797984,0.37578955,29.823395,0.1619764,-1.5855957,-5.427599,-18.039991,-0.48988438,-12.424824,-0.67799896,-9.764235,21.32679,0.04616818,-0.013975342,0.19373313,6.034483,2.6431718,0.155,0.08220908,0.17285715,0.14409463,-29.53759,18,19,0,SPEAKER_00,0.0,5.033333,2.69721875,5.033333,1,2.336125,engaged
35.80493,0.016919851,35.502125,36.03551,36.244995,0.74287033,-9.55412,0.0,4.477387,0.0,0.49218675,0.3180902,0.31851602,0.47286668,0.6282865,0.30977046,1.7592064,0.98830163,0.64814687,1.1437169,0.15732129,0.52262235,26.477842,0.45212615,8.862099,0.93362546,-16.237505,-0.64954084,-9.33052,-1.1013476,0.015511841,0.90686494,0.9552969,0.52965087,8.356107,0.2639243,-0.23422216,-33.97383,33.19536,0.2074002,704.47986,0.22627103,1373.3645,0.13108586,-67.72162,-1.2280818,1771.56,0.16541147,1096.1971,0.1438066,-76.16339,-1.0150292,2918.1785,0.09364582,1063.5363,0.14755245,-85.52735,-0.82907355,-14.341823,-0.52461004,30.531961,0.134942,0.045331314,0.45611373,-0.026506018,-0.4392114,0.1979746,0.3502744,34.213108,0.089117214,8.982393,0.9919487,-14.699491,-0.75262487,-15.421992,-0.436941,-8.857699,17.30807,0.019535247,-0.011999015,0.10566751,4.0816326,2.2727273,0.29999998,0.0,0.055,0.005,-28.446112,18,19,1,SPEAKER_00,5.066667,5.566667,5.066667,5.566667,1,0.5,disengaged
34.618233,0.09262563,34.5379,35.280216,35.94656,1.4086609,14.775992,0.0,4.7833824,51.802776,0.45167467,0.3895868,0.29817486,0.40815285,0.6033629,0.30518806,4.06935,1.9142151,2.8724465,1.0096505,0.15683791,0.74094844,28.324303,0.28915343,4.119243,2.635312,-9.592047,-1.3433936,-12.511929,-0.80024505,0.01849222,1.6176776,1.1195507,0.6020627,7.5640717,0.51080257,8.713576,1.2574458,31.614859,0.34740078,723.13666,0.2697085,1417.2117,0.18740237,-50.677505,-1.5032685,1757.012,0.15205748,1226.3922,0.26534635,-58.796032,-1.1758609,2866.2358,0.10155006,1063.624,0.29577652,-66.15408,-0.9777931,-15.021327,-0.58753777,29.226418,0.22782888,0.0656765,0.31189212,-0.011278826,-1.2016622,0.18140742,0.6805369,31.164951,0.18579525,4.97817,2.3695037,-10.119648,-1.3847495,-12.587532,-0.67033005,-10.522398,18.529152,0.05264634,-0.010174346,0.08550361,3.4482758,3.0303032,0.25,0.16165808,0.07,0.04,-28.59864,18,19,2,SPEAKER_00,5.6,9.366667,5.6,7.64159375,1,2.0415625,engaged
35.89279,0.13357146,34.18029,36.307953,37.904476,3.724186,242.35754,70.60173,155.15439,246.06842,0.4996558,0.3139707,0.34417123,0.47991085,0.63536423,0.291193,3.2398376,2.3166769,1.4859293,1.3157642,0.234652,0.5340807,32.30224,0.16447721,13.003327,0.6952497,-7.198013,-1.5594782,-28.421837,-0.22125311,0.047446262,1.282193,1.5509025,0.48325154,5.739224,0.52398354,8.91123,1.6530486,33.091805,0.25690687,779.6451,0.20379458,1353.4341,0.2145862,-10.78377,-1.5320796,1859.4854,0.113847725,1178.4664,0.27394277,-28.179125,-0.5451573,2960.8855,0.06257101,865.81384,0.25562072,-33.07174,-0.4050872,-22.665619,-0.22325006,34.450623,0.1382584,0.096312046,0.1552573,-0.02819227,-0.38068503,0.23543197,0.53779846,32.198956,0.16678545,12.706714,0.7084895,-7.200968,-1.5846105,-28.242718,-0.22176558,-20.667988,39.678585,0.07000154,-0.028541278,0.26020694,4.081633,0.70422536,1.41,0.0,0.0,0.0,-25.893694,18,19,2,SPEAKER_00,5.6,9.366667,7.87784375,9.366667,1,1.4888125,engaged
37.550823,0.031277966,36.752266,38.18752,38.35404,1.6017723,0.0,0.0,-0.1486031,0.0,0.47128153,0.3082562,0.31460774,0.5192607,0.6169038,0.30229604,0.4252861,0.19816677,1.8557358,0.0,0.15121302,0.26325256,33.216946,0.17067003,23.889797,0.12183103,-2.249383,-2.04544,-36.435066,-0.11868971,0.026654815,0.6180452,0.7821143,0.40281615,9.216414,0.3640711,6.3143024,1.3832352,35.245144,0.06833441,819.8465,0.10777774,1173.2097,0.09905926,-17.322063,-0.11554098,1984.4559,0.084497064,1037.8944,0.1864704,-52.964417,-0.11916667,3063.976,0.046381503,808.2205,0.21393315,-47.80441,-0.11989038,-28.484634,-0.06577397,42.139267,0.08445575,0.08195322,0.22423483,-0.0360211,-0.116236694,0.17473662,0.13407837,37.08768,0.045266107,24.822874,0.06563047,-2.7103755,-1.3613693,-34.132538,-0.059954625,0.0,0.0,0.0,0.0,0.0,2.9411764,4.5454545,0.21,0.0,0.0,0.0,-22.142696,18,19,3,SPEAKER_00,9.4,11.266667,9.4,9.750968750000002,1,0.3509375,disengaged
35.617546,0.005223814,35.47824,35.59716,35.73284,0.25460052,0.06823845,0.0,0.0,0.0,0.6091884,0.3401963,0.45698518,0.6157592,0.8104999,0.35351473,2.7869105,2.460293,5.0715685,0.0,0.30264103,0.48093894,35.37762,0.10470343,3.8899255,1.6371216,-8.81697,-0.56125873,-15.739524,-0.5074586,0.026947653,0.70504844,0.9727285,0.103728466,5.452597,0.329438,-4.9201427,-0.32126245,24.95199,0.10218899,691.1279,0.19369961,1388.7184,0.06389292,-94.51462,-0.93014556,1720.885,0.10923766,1025.2274,0.09938256,-95.69845,-0.8649839,2766.9587,0.060636073,957.48737,0.27675974,-101.122574,-0.7803776,-14.071072,-0.23916769,23.032333,0.28026888,0.08156679,0.101026595,-0.03496321,-0.1584441,0.44507286,0.10685433,33.977936,0.110916525,0.9888791,6.6088715,-9.481905,-0.5506905,-24.001122,-0.21204334,-11.028396,26.384642,0.055124123,-0.013628319,0.20688201,4.3478265,5.882353,0.089999996,0.0,0.06,0.0,-25.323574,18,19,4,SPEAKER_00,11.3,13.066667,12.82221875,13.066667,1,0.2444375,engaged
36.003197,0.037620243,34.678825,35.69116,37.807957,3.1291313,23.896301,13.928758,14.443856,3.0437152,0.46924806,0.39818352,0.27981865,0.4936806,0.6367308,0.35691214,4.2342463,2.2399547,3.9402933,1.5612223,0.15655388,0.66054446,22.882957,0.5427881,3.2979712,2.324141,-7.313758,-1.6039298,-10.814179,-1.2765763,0.014459322,0.6754171,1.185519,0.5174087,7.8104773,0.31681255,11.871078,0.53282344,31.559195,0.22848403,736.8057,0.24569274,1383.1177,0.15800329,-98.58517,-0.9427734,1746.8561,0.12551314,1236.7,0.28401953,-96.91348,-0.8739883,2792.4668,0.08504775,956.4169,0.2962034,-100.84321,-0.8069539,-13.485432,-0.49790695,26.765692,0.28684086,0.070429854,0.25131366,-0.01882577,-0.57538307,0.20286393,0.4712689,29.39791,0.25735518,3.3379395,2.192906,-6.9683695,-1.9777225,-17.410622,-0.7597536,-6.5470276,14.425877,0.038970433,-0.0028539894,0.102432355,4.945055,2.259887,0.24749999,0.12132086,0.138,0.08908423,-29.012886,18,19,5,SPEAKER_00,13.1,15.266667,13.1,14.93159375,1,1.8315625,disengaged
37.87328,0.13460697,35.028572,36.454857,38.26506,3.2364883,148.4222,60.253296,26.811495,31.139664,0.46675053,0.43874013,0.3036498,0.43165004,0.6447947,0.3411449,4.781447,2.6121447,2.9800498,1.7218846,0.19149666,0.7341057,28.66474,0.39518774,9.20694,1.0519282,-15.807199,-0.72626626,-17.01118,-0.79574114,0.023215903,1.1540889,1.1144108,0.6126208,8.420052,0.48841572,12.246329,0.93349457,35.399216,0.2473394,803.1823,0.21642324,1336.8099,0.1711051,-52.856087,-1.4439464,1843.8839,0.124943726,1128.0645,0.23668407,-62.185055,-1.1002861,3014.7158,0.07438885,996.4679,0.27858633,-70.86393,-0.8984909,-18.773344,-0.4111442,34.029133,0.19414929,0.08566102,0.21178941,-0.020429147,-0.6090468,0.22248828,0.6102622,31.792755,0.27616462,9.267987,1.0773054,-15.639065,-0.80335,-21.617418,-0.4310246,-9.7871275,19.942783,0.03791573,-0.005325337,0.08752796,3.4883723,1.775148,0.4383333,0.24327053,0.105,0.067019895,-26.65836,18,19,6,SPEAKER_00,15.3,20.233333,15.35346875,18.812843750000003,1,3.459375,engaged
37.56456,0.058174755,35.52202,37.44741,40.324764,4.802746,23.624865,26.561161,24.20758,7.534072,0.4707883,0.4647949,0.31515816,0.43070897,0.67517924,0.36002108,4.1530614,3.1796172,4.2354746,2.2615047,0.25466737,0.68611693,28.00013,0.28795543,8.2912855,1.46204,-17.35988,-0.8921592,-14.302088,-0.689261,0.033009287,1.0105323,1.3753574,0.47102875,7.159447,0.29261872,3.968228,2.2063653,26.842701,0.33095428,816.0152,0.20250006,1387.7098,0.15485413,-90.78905,-0.9685292,1828.857,0.12731372,1191.6703,0.19235998,-95.06473,-0.85714936,2965.9382,0.06685058,944.4855,0.3267271,-100.631744,-0.76056004,-16.08705,-0.64277816,31.664883,0.20154865,0.063932136,0.22061945,-0.018054966,-0.7967324,0.32406732,0.58948493,30.270008,0.1922199,8.462755,1.6679559,-13.150449,-1.3575871,-15.672838,-0.6962275,-11.4762125,24.924791,0.06787894,-0.020383185,0.15169446,5.607477,2.9411764,0.19666666,0.032998316,0.089999996,0.08093207,-25.490242,18,19,6,SPEAKER_00,15.3,20.233333,19.15034375,20.233333,1,1.083,engaged
35.45809,0.060171943,34.529156,35.540733,36.797035,2.2678795,234.13074,167.65504,26.256317,6.8936167,0.63110286,0.4374819,0.43517035,0.59535843,0.7957382,0.36056787,4.197656,1.2787408,3.394436,1.6056917,0.3391854,1.0296847,33.323963,0.2093271,5.1340804,1.6122779,-13.527409,-0.64564914,-19.000685,-0.41712666,0.017918015,0.917066,1.052068,0.6307209,7.7712765,0.53791946,8.228784,0.9910506,36.930305,0.25872755,832.1783,0.21372989,1320.1925,0.17811768,-85.39706,-1.0559467,1892.5249,0.13998593,1224.526,0.20236684,-92.9988,-0.8550405,3027.6917,0.09512856,1050.319,0.24392265,-98.53315,-0.7654702,-16.406633,-0.43185154,34.21671,0.20138809,0.0730698,0.2119003,-0.020527046,-0.5532317,0.27840415,1.0578067,35.989704,0.13657154,7.7484984,1.0774565,-13.320095,-0.61182994,-18.205414,-0.44539222,-12.423711,28.53283,0.081504546,-0.021779435,0.45284343,2.366864,3.0487804,0.19399999,0.17001174,0.11399999,0.077356316,-24.051353,18,19,7,SPEAKER_00,20.266667,25.1,20.266667,21.96846875,1,1.7018125,disengaged
