F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,participant,session,engagement_id,speaker,engagement_start_time,engagement_end_time,speaker_start_time,speaker_end_time,num_segments,speech_duration,merged_duration,label
37.78684,0.1261915,34.98874,37.01646,39.52408,4.5353394,190.02592,209.57132,77.93089,84.10868,0.30062208,0.8050071,0.101540424,0.25985587,0.4659636,0.3644232,5.1814847,3.7397454,3.4427633,2.3065858,0.11633313,1.0683113,21.475958,0.9448754,9.3031435,1.5977795,-6.156718,-2.6467834,-12.718818,-1.2904221,0.023733476,1.2828313,1.2257738,0.884529,8.990594,0.50899434,8.700522,1.2930344,31.967876,0.35021037,748.0244,0.23677395,1354.7312,0.16718933,-83.52337,-1.0597516,1824.866,0.1323641,1125.9843,0.25169346,-87.48912,-0.89367807,2924.3623,0.091073684,988.0046,0.2985109,-91.5789,-0.81555676,-17.328579,-0.7157773,29.445185,0.43564317,0.06543733,0.30012462,-0.019055234,-0.89337456,0.15320872,0.8623239,29.378925,0.5423585,9.011858,1.7715315,-6.5471835,-2.5652726,-18.932236,-0.73907846,-6.8207355,16.570429,0.042519026,0.008117842,0.045428842,3.1606674,2.7360988,0.23193547,0.17788032,0.12535714,0.11635788,-29.944204,11,22-2,0,SPEAKER_01,0.0,15.466667,0.33471875,14.77971875,8,11.407499999999995,11.4075,engaged
33.77966,0.07068876,31.456192,34.013252,35.07841,3.622219,41.046936,25.269476,74.55463,3.6269264,0.26417252,1.0983664,0.017734874,0.09127408,0.5204866,0.5027517,8.149005,5.3789845,1.586958,0.7323178,0.118428275,1.3213013,15.751085,1.0486127,2.854815,4.248588,-17.046797,-0.6994197,-8.07016,-1.4643773,0.042600337,0.91156316,2.30917,0.7441308,4.0473285,0.70418656,0.23031045,33.934647,23.821312,0.3249931,789.5706,0.2451145,1364.4525,0.12785348,-93.57818,-1.0911787,1769.9009,0.12978052,1256.5409,0.13262284,-99.71471,-0.94429517,2845.1667,0.08687763,1081.2213,0.15945269,-107.37066,-0.8083599,-0.8545323,-8.512047,26.050192,0.32239187,0.061591677,0.17132479,-0.0028348553,-5.21359,0.24000944,0.63907653,26.11183,0.37562573,-7.0320454,-1.3930879,-25.413225,-0.45499977,-17.425903,-0.5195574,-2.7288196,12.265736,0.033859942,0.014242957,0.011888551,1.8867925,2.0833335,0.24,0.0,0.105,0.024999999,-30.733757,11,22-2,2,SPEAKER_01,16.3,17.033333,16.41659375,16.95659375,1,0.5399999999999991,0.54,engaged
40.620514,0.11680048,35.862736,39.441868,46.58845,10.725716,54.64778,24.267504,45.66623,32.43717,0.40764314,0.8974203,0.107171744,0.268648,0.69394976,0.58677804,5.795784,3.2808967,7.5015473,4.8423104,0.25554448,1.0454472,24.711754,0.57292074,7.024789,2.446391,-3.9343312,-4.748372,-14.409403,-0.9934649,0.034917496,0.8791091,1.6114783,0.626091,9.061146,0.37235984,11.258693,0.50658256,31.81513,0.24100012,863.7471,0.15723185,1424.386,0.23057945,-46.692097,-1.3293033,1896.1631,0.082977384,1127.7441,0.144857,-58.997543,-0.87563795,2971.783,0.06233813,970.639,0.24149254,-64.21238,-0.7620272,-19.687283,-0.5252947,30.667614,0.37534794,0.064630575,0.3333877,-0.017241992,-0.6070115,0.2916325,0.9755429,26.97241,0.42905524,5.61227,3.3530257,-6.006956,-3.4105315,-15.7750635,-0.81612325,-3.7885916,13.003983,0.041399244,0.024364937,0.022619037,3.3898306,3.773585,0.22,0.14,0.04,0.0,-23.116896,11,22-2,3,SPEAKER_01,17.066667,24.933333,17.32784375,19.50471875,2,0.6075000000000017,0.6075,disengaged
39.59786,0.06725061,37.27919,39.57142,41.980515,4.7013245,114.7865,101.62683,112.61721,210.54701,0.40820062,1.0920997,0.03838382,0.21595848,0.88473815,0.8463543,6.2103887,3.6344502,4.1121993,2.9695394,0.1623057,1.7382623,16.569426,0.7755917,-1.0451932,-13.881641,-10.16124,-1.5383481,-16.419153,-1.2396066,0.01977217,1.0053283,1.0988195,0.84134793,8.422244,0.6312664,5.9823813,1.6969459,25.9608,0.2927729,818.0954,0.19153444,1275.6296,0.13975985,-95.48394,-0.9973769,1868.3931,0.09942149,1057.1571,0.20584702,-99.60034,-0.878677,2866.4053,0.0619725,960.4558,0.49826172,-102.56469,-0.8269252,-12.257029,-0.7274675,24.019484,0.32270736,0.065297864,0.31806573,-0.022124005,-0.7410181,0.26171374,1.3041422,21.914875,0.42717054,-6.7760873,-2.02161,-13.735967,-1.2822866,-29.707489,-0.56026864,-7.1602707,17.460495,0.040102426,0.009617299,0.040800825,2.1551726,2.1786494,0.24299999,0.17053151,0.192,0.14857994,-26.46254,11,22-2,3,SPEAKER_02,17.066667,24.933333,18.35721875,24.933333,4,4.6523642500000015,4.652375,disengaged
37.374504,0.024741208,36.397953,37.678745,38.154263,1.7563095,17.282597,5.5328074,20.61701,10.639056,0.17859037,0.8546126,0.05213201,0.10714056,0.316458,0.26432598,2.164912,0.97855836,2.14686,1.1041132,0.064209044,1.0577275,23.701538,0.6780849,15.2601595,0.7888147,-6.9327364,-1.8135091,-15.174478,-1.4024328,0.016146543,0.77231437,1.2978662,0.71618015,9.783247,0.28522393,11.174095,0.9420798,39.423756,0.15449715,769.8262,0.15834428,1344.074,0.11667374,-68.026276,-1.2241046,1882.457,0.08552385,1215.6143,0.25608945,-80.060425,-0.8763193,2946.6848,0.06287337,975.4598,0.27791166,-83.88535,-0.8094478,-24.733488,-0.3352586,35.81098,0.26231334,0.08270371,0.29785442,-0.026051778,-0.68682784,0.087774925,0.79320276,29.79103,0.3292182,15.225072,0.8537121,-5.0519886,-2.5473998,-21.05306,-1.0646826,-10.477436,21.273039,0.05980723,-0.0012574767,0.011833406,3.1645572,3.267974,0.212,0.1641219,0.074,0.027276363,-34.867283,11,22-2,4,SPEAKER_02,24.966667,46.1,24.966667,26.558468750000003,1,1.591801750000002,1.5918125,engaged
38.396927,0.03992799,36.891598,38.57386,39.76074,2.8691406,46.72664,87.75719,18.024986,7.3238664,0.12589596,0.8432144,0.029962376,0.104086906,0.1992269,0.16926453,1.9976839,1.468741,1.3220096,0.6434692,0.03741629,1.0562304,20.650654,0.66388726,8.050612,1.2988307,2.930891,6.480828,-16.041887,-0.9416693,0.019206684,0.8190518,1.2919248,0.6846493,9.125929,0.43335703,15.490171,0.6867673,29.25108,0.39345506,707.9014,0.27351505,1435.0168,0.15695511,-92.78389,-0.92705905,1838.6188,0.11036514,1019.41754,0.3193265,-90.325806,-0.86065376,2880.046,0.08318731,1043.6786,0.3104095,-90.97875,-0.8496837,-18.779675,-0.45154446,28.556932,0.3528663,0.0749859,0.26156595,-0.020907143,-0.7081432,0.05098083,0.7924246,26.762064,0.36060727,7.9996185,1.3833688,7.0023184,2.938925,-22.119488,-0.5922013,-8.454223,18.129745,0.05384577,0.0098667545,0.013940299,4.470588,2.8639617,0.21583334,0.17385137,0.12090909,0.10370014,-40.21741,11,22-2,4,SPEAKER_00,24.966667,46.1,26.558468750000003,38.67471875,3,4.269374999999993,4.269375,engaged
36.240112,0.07659645,34.348923,36.297714,38.61404,4.2651176,67.97205,44.56821,92.932274,157.2662,0.25846937,0.77687263,0.07761409,0.21013504,0.45832828,0.38071418,4.227939,2.0650024,2.810233,2.1758287,0.10371602,0.96374077,24.495255,0.8407702,9.062215,1.8974946,-8.754867,-1.8646944,-7.535075,-2.0064783,0.01904058,1.1672419,1.1884992,0.7250408,8.409278,0.5005113,10.155877,1.2330157,35.070305,0.38552684,746.79865,0.24657695,1415.7814,0.16368811,-76.673615,-1.1417234,1814.5011,0.14315714,1255.1642,0.2472689,-83.0102,-0.9485713,2928.6277,0.09587784,1086.3608,0.20771493,-89.17284,-0.8322252,-19.459208,-0.65956444,34.451614,0.34067667,0.07446091,0.24567406,-0.015267446,-1.2778298,0.14009862,0.71352744,33.90077,0.2888933,7.979966,2.2049916,-7.8328648,-2.1543045,-13.301583,-0.9860444,-5.88895,18.310188,0.037611037,0.018854901,0.026696354,3.5937502,2.0504732,0.3223077,0.31090817,0.188,0.17168576,-30.987146,11,22-2,4,SPEAKER_01,24.966667,46.1,39.21471875,46.1,2,6.412781250000002,6.4128125,engaged
36.5663,0.14651664,34.817333,35.427902,36.43236,1.6150284,443.99066,686.9907,171.77596,83.254005,0.3236205,0.58124083,0.1569748,0.29513678,0.5028045,0.34582973,4.2798934,2.353067,3.3746424,2.2760131,0.12982681,0.7681316,25.517633,0.74230903,15.0782585,1.0628369,-3.7722878,-4.5079165,-9.80224,-1.4392314,0.024051787,1.2846181,1.2778989,0.790422,7.1446757,0.5970804,9.415946,1.2308441,33.27081,0.39260292,720.0322,0.2218686,1379.6473,0.19474384,-55.99202,-1.4075072,1829.0082,0.1147755,1124.1588,0.27215552,-65.4499,-1.035303,2969.2432,0.08082361,1066.5737,0.2659876,-70.09888,-0.9107452,-18.431864,-0.692407,28.889704,0.48788592,0.0740383,0.21768804,-0.018837499,-0.9959407,0.15656567,0.6192538,29.999495,0.54201347,13.811154,1.2223628,-5.5099587,-3.0693543,-12.869708,-0.97915727,-12.553552,20.752388,0.04240321,0.008017116,0.046181176,5.323194,3.5019457,0.21333334,0.17480145,0.06714286,0.06340668,-30.338062,11,22-2,5,SPEAKER_01,46.133333,49.133333,46.133333,49.133333,2,2.6456249999999955,2.645625,disengaged
36.30166,0.07349938,35.228592,36.670513,38.26737,3.0387764,124.826096,111.02189,14.465432,10.795404,0.23752597,0.796435,0.0797497,0.19646734,0.35794586,0.27819616,4.8233886,4.116943,3.5485392,1.613583,0.116655454,0.9496823,27.376547,0.61730576,13.320121,1.0878717,-0.38284957,-44.511604,-7.265084,-1.8896756,0.02583063,1.6959997,1.3676828,0.75300366,8.513692,0.43517235,9.765279,1.2127796,33.095177,0.3769608,760.2751,0.23610698,1393.5023,0.21046014,-78.92311,-1.0440555,1852.9932,0.12370329,1147.661,0.30687046,-84.14879,-0.8681333,2938.092,0.08043103,1072.1698,0.26896396,-89.370865,-0.7744463,-21.742432,-0.52405953,33.40024,0.36226615,0.0635101,0.2899125,-0.018703906,-0.89704627,0.14979486,0.76221555,32.481014,0.32329965,12.755323,1.1619639,0.15517077,112.578804,-12.152222,-1.0252681,-13.236371,22.35272,0.04382112,0.0032678908,0.04904683,4.2780747,3.794038,0.17214285,0.20511942,0.096,0.08039901,-29.656096,11,22-2,6,SPEAKER_01,49.166667,68.4,49.166667,53.423468750000005,2,3.7505517500000067,3.7505625,engaged
43.99254,0.023318855,43.38695,43.80348,45.064537,1.6775856,14.970394,1.6220778,20.976004,0.0,0.39905986,0.5580567,0.11423885,0.4858629,0.58945775,0.4752189,5.410768,2.2230742,-1.1068149,1.670862,0.117858104,0.5787483,12.427645,0.6884752,7.1241293,0.7516472,6.849234,1.4294243,-30.008226,-0.5333112,0.016950555,0.7401843,1.10254,1.023502,12.422321,0.19623646,19.850548,0.28314874,15.994067,0.62334293,900.1615,0.13037433,1292.341,0.18097503,-31.116827,-0.73149514,2023.5194,0.0868783,775.81,0.32675081,-38.31789,-0.5236908,2913.2136,0.04303485,956.5605,0.4002368,-36.056328,-0.57781494,-16.99333,-0.25338876,24.9164,0.20280954,0.07980876,0.29741147,-0.016936291,-0.86567944,0.13450949,0.45097694,12.23178,0.73444355,7.358184,0.76615953,5.689818,1.6788698,-33.93459,-0.41806895,0.37810308,5.325719,0.066950634,0.04828056,0.0,4.5454545,2.631579,0.35999998,0.0,0.0,0.0,-28.055212,11,22-2,6,SPEAKER_02,49.166667,68.4,60.61221875,61.06784375,1,0.45562500000000483,0.455625,engaged
