F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,participant,session,clip_id,speaker,engagement_start_time,engagement_end_time,speaker_start_time,speaker_end_time,num_segments,speech_duration,label
37.187702,0.10129786,34.91262,36.979588,39.260582,4.3479614,131.80435,229.27554,141.10854,251.43272,0.30717692,0.9735295,0.085009396,0.21972844,0.48009562,0.39508623,6.078591,4.811672,4.4360294,4.366141,0.14350148,1.1315086,21.284576,0.7307352,14.335928,0.8496795,4.5210853,2.944105,-13.838394,-1.0714276,0.02541861,1.2912703,1.5616654,0.688417,7.9279943,0.38503677,10.812648,1.1989362,30.731388,0.4144259,695.0848,0.2913208,1429.51,0.15175298,-119.02291,-0.7604446,1786.0697,0.13034873,1184.4452,0.308405,-117.22703,-0.7067053,2844.176,0.08709836,1020.141,0.35051206,-118.93515,-0.68196845,-18.278732,-0.4273544,29.80362,0.32702562,0.05061453,0.36860555,-0.022249177,-0.603087,0.2162094,0.7943108,27.290245,0.37227306,8.935964,1.3240308,4.3012104,3.9055521,-21.967346,-0.6707259,-13.759011,22.292124,0.03669595,-0.0020823665,0.07730581,2.591334,3.2793868,0.13584416,0.11504205,0.16749999,0.14569686,-28.608517,12,3,0,SPEAKER_01,0.0,38.366667,1.66784375,38.366667,16,23.55319824999999,disengaged
38.32327,0.061674863,36.738228,38.82633,39.572838,2.83461,76.86565,93.22777,96.25964,107.15793,0.6894833,0.72146565,0.20518097,0.62591136,1.0729376,0.8677566,11.02982,4.2156186,11.006534,5.233651,0.32144752,0.785206,23.1503,0.35730395,2.1905093,6.5157776,4.3484955,3.6434171,-22.966446,-0.61019397,0.027253695,2.020367,1.3460443,0.57666653,7.71246,0.388412,10.116571,1.2017244,21.102118,0.5198828,723.83826,0.26536733,1433.177,0.1888852,-49.466846,-1.5803131,1807.7463,0.11521884,1060.2886,0.338787,-50.57538,-1.3255764,2832.178,0.07422479,992.1428,0.45664614,-51.431023,-1.3014876,-12.191616,-0.66035813,22.55786,0.36482334,0.05066679,0.38846946,-0.024205243,-0.60103345,0.37352052,0.664764,23.547876,0.33715412,-1.2715886,-10.184017,5.1872935,3.2871947,-27.073301,-0.437327,-15.907014,26.605503,0.029797535,-0.0070012743,0.12467009,5.2173915,1.7777778,0.4525,0.26166534,0.07,0.03577709,-23.833809,12,3,1,SPEAKER_01,38.4,42.633333,38.4,41.76284375,2,2.3165937500000098,engaged
33.192608,0.047784403,32.5113,33.099743,33.457466,0.946167,106.92115,118.66386,22.62302,24.758053,0.419437,0.44503742,0.25803453,0.38698047,0.6193149,0.36128038,4.7519555,2.6740355,3.753895,0.99404275,0.20196977,0.5481598,24.911226,0.6992028,15.058813,0.7935601,5.034868,2.2027762,-10.55524,-0.9038052,0.03017243,1.1459339,1.7677133,0.57770205,6.539248,0.32678366,6.1483984,1.269504,33.497364,0.1521075,599.15625,0.28290984,1463.8782,0.11769386,-64.36089,-1.2968003,1691.5587,0.11986083,1213.9257,0.18807194,-74.49408,-1.0030898,2714.1733,0.07817616,1110.2089,0.23051912,-78.73853,-0.9135916,-17.513437,-0.45861295,28.99516,0.33413917,0.038482424,0.43538812,-0.026009114,-0.48618844,0.23377864,0.46870005,29.158424,0.48199618,11.395916,0.9620462,3.7110546,3.284615,-12.875629,-0.72395587,-15.157941,22.572147,0.02423512,-0.015237961,0.1582355,4.929578,3.7313435,0.17999999,0.086717926,0.055,0.029860789,-27.902666,12,3,2,SPEAKER_00,42.666667,47.6,46.16721875,47.6,1,1.432781249999998,disengaged
37.13527,0.047133002,36.0259,37.14806,38.061855,2.0359535,28.495987,19.045124,18.771568,13.562827,0.4543248,0.8818393,0.124269396,0.32844734,0.7974527,0.6731833,7.585245,3.9242368,7.51568,4.578005,0.2060687,0.9929893,22.150627,0.6383234,9.533658,1.5088145,2.7723095,6.1128006,-16.713459,-0.95129454,0.019507313,0.8587664,1.5052814,0.6451891,8.321723,0.32172436,5.011455,2.5279,26.454983,0.31358528,695.98315,0.2830031,1437.9543,0.14362592,-105.75016,-0.8824135,1752.1871,0.15026404,1244.6261,0.30389556,-103.257355,-0.82772183,2787.7947,0.08620444,1050.0662,0.33567885,-106.495735,-0.7730214,-14.677136,-0.5051562,27.623804,0.28303382,0.04381902,0.475416,-0.022147808,-0.52813935,0.30040386,0.7206085,28.210785,0.25845662,2.79218,4.4019337,-0.110039435,-174.42816,-25.379583,-0.58235997,-11.7278185,20.312178,0.025722163,-0.003549944,0.09621591,4.193971,2.6385224,0.19749999,0.14515078,0.16049999,0.14891188,-25.682667,12,3,3,SPEAKER_01,47.633333,58.166667,47.63534375,57.33846875,2,7.644375000000004,engaged
36.407845,0.080814995,34.751854,36.101006,37.806107,3.0542526,60.86289,65.919205,47.73419,65.57206,0.38124847,0.865548,0.10080677,0.29068944,0.63582474,0.53501797,7.124849,5.0667753,5.7149863,4.249074,0.19433938,0.9431193,25.791882,0.55022764,10.398735,1.2782723,3.2014124,4.6495037,-13.387595,-0.9820213,0.024803383,0.9428189,1.4827291,0.60725266,7.830805,0.3878304,4.1821995,3.2376053,28.341656,0.4546728,699.9884,0.26884803,1446.5494,0.15218952,-98.50458,-0.9212464,1774.9407,0.13134302,1167.4426,0.24695985,-100.545815,-0.8230742,2858.1963,0.08385868,1062.7865,0.3291415,-104.13549,-0.7627802,-18.292639,-0.4670169,31.778856,0.2756112,0.043055557,0.42887542,-0.022634948,-0.5087719,0.27897215,0.6628879,31.4962,0.2688442,5.2947493,2.5692804,1.54583,11.430349,-19.203518,-0.6637549,-14.161102,23.466413,0.026958542,-0.0038754053,0.08270154,3.3766234,3.6553526,0.14571428,0.11769902,0.1186842,0.15086018,-26.215902,12,3,5,SPEAKER_01,58.733333,70.633333,58.733333,70.633333,3,11.562499999999986,engaged
37.382442,0.028468901,36.23705,37.09036,38.568005,2.3309555,43.634182,16.811953,7.40831,5.0446362,0.2121607,1.0856332,0.011768332,0.1427737,0.40538186,0.39361352,2.5764523,1.6224432,3.7993655,1.7252189,0.1201856,1.0874088,21.789293,0.74352586,12.702901,0.63132983,0.8571685,11.964693,-11.792688,-0.93677837,0.017550357,0.605027,1.5603448,0.8705435,9.735621,0.18642345,3.669984,4.4718447,32.722084,0.22217563,768.47046,0.28849506,1454.4955,0.10297681,-130.42935,-0.6448746,1865.2603,0.16788526,1235.3741,0.14043945,-130.21176,-0.605642,2971.7764,0.09903244,1160.9089,0.19684283,-133.68222,-0.55966395,-24.498032,-0.23738472,39.4949,0.09306898,0.0348469,0.567416,-0.024728578,-0.44020516,0.23685989,0.49666542,35.16423,0.13618246,13.040982,0.79661137,0.55413496,25.901741,-17.37191,-0.80223197,-8.602518,16.174593,0.03505457,0.009426121,0.036691308,2.7210886,2.8169014,0.14,0.046368092,0.19,0.2143595,-29.258186,12,3,7,SPEAKER_01,71.6,73.366667,71.6,73.08284375000001,1,1.482843750000015,engaged
41.72923,0.06006781,39.787018,42.04321,44.20425,4.4172325,136.90121,120.41388,12.551004,10.133128,0.42523962,0.713154,0.14376304,0.36271682,0.68114567,0.5373826,8.221487,3.433095,5.24377,3.2177346,0.16807222,0.656668,21.587421,0.7037337,6.7189245,2.2961211,3.5731754,3.3857985,-19.070868,-0.86149585,0.02320451,1.968762,1.4089171,0.8370884,7.896334,0.25957465,7.591985,1.3184131,22.112047,0.4816002,741.21576,0.24260533,1360.7911,0.17314969,-97.65213,-0.9193531,1823.6447,0.15850952,1074.7739,0.29539305,-91.823906,-0.8746227,2823.682,0.07753082,1047.909,0.36619025,-93.35024,-0.84713197,-12.811512,-0.75657207,24.537754,0.45259506,0.038244803,0.3826906,-0.017172758,-0.90740913,0.21559104,0.46542343,25.293325,0.35518518,0.7831145,18.321424,1.8464612,6.953971,-25.838652,-0.58035266,-12.06033,21.4841,0.022612425,-0.0046846066,0.09025653,3.3816426,4.477612,0.12777777,0.0632065,0.08625,0.08153795,-29.92071,12,3,9,SPEAKER_01,74.066667,77.5,74.31471875000001,77.5,3,2.0884062499999914,engaged
41.011074,0.07909945,36.31449,42.31897,43.231052,6.916561,80.91502,87.24021,50.426502,28.571957,0.30048224,0.71350086,0.07862925,0.26782918,0.52456087,0.4459316,5.499508,2.392591,4.0879407,1.0102365,0.12605263,0.91632146,14.962065,1.1436719,17.379856,0.455892,10.467136,1.1766659,-16.902245,-0.9567321,0.028566537,0.79960847,1.5378541,0.5680139,7.3996787,0.35706344,10.324882,0.73564535,19.974514,0.5735799,786.0251,0.22870682,1216.23,0.23903768,-140.64813,-0.5897066,1942.7468,0.08616285,917.89264,0.33138806,-140.92218,-0.54725826,2937.131,0.054140083,882.735,0.4226014,-139.86832,-0.5602869,-11.281635,-0.8981061,17.661354,0.6474285,0.041006584,0.32082602,-0.023531575,-0.7466359,0.1659409,0.49572685,11.188545,1.2559592,15.983418,0.53282267,7.999272,1.5995231,-29.081152,-0.4832071,-14.787004,23.78639,0.024285417,-0.009017737,0.10894604,4.2944784,3.1645572,0.099999994,0.034058772,0.16166666,0.1292822,-32.640324,12,3,11,SPEAKER_01,77.966667,79.9,77.966667,79.61346875000001,1,1.6468017500000087,engaged
38.69192,0.1488613,34.771366,36.483624,45.423088,10.651722,174.67204,135.24397,62.41401,49.206104,0.39039856,0.7087023,0.1181324,0.35124108,0.6851592,0.5670268,7.715015,4.395287,4.342175,4.1451793,0.15655981,0.73748046,28.20358,0.39934224,8.164706,1.4766985,-5.6319847,-2.3767035,-21.654327,-0.7352825,0.023392512,0.7292569,1.5675001,0.7686042,8.102988,0.52136976,6.91044,2.596263,26.3657,0.40591842,709.18396,0.23805368,1368.505,0.20662405,-93.9316,-0.9653182,1780.1344,0.15675026,1114.8485,0.2576729,-96.98759,-0.84265953,2868.3093,0.06586337,1000.43176,0.41730767,-101.76324,-0.7631579,-17.089668,-0.40859485,32.902866,0.22260706,0.04902665,0.5661713,-0.024282388,-0.40857506,0.20686758,0.5462269,30.527578,0.29454765,4.356411,2.6934323,-8.595033,-1.4936192,-29.242596,-0.5496219,-14.538093,28.316172,0.020840103,-0.011258361,0.08509409,4.30622,3.9408867,0.13875,0.11362631,0.095,0.06284902,-27.083641,12,3,13,SPEAKER_01,80.6,88.566667,81.18284375,88.566667,3,2.1019482499999924,engaged
37.831757,0.122752264,34.18838,35.554344,44.535866,10.347485,15.073287,7.840575,33.386543,15.655092,0.39198238,0.85344315,0.12268931,0.26139346,0.716143,0.5934537,4.8591366,2.7791579,5.778775,2.202395,0.16136245,0.7281268,29.610025,0.18191077,5.336102,2.7814515,0.4518492,32.266407,-15.608393,-1.0711746,0.02060343,1.2173601,1.3879349,0.60089576,8.1257305,0.28651,-7.384332,-1.1384099,23.178932,0.3267739,657.2038,0.2955546,1393.2195,0.15690543,-98.9123,-0.92332095,1710.8286,0.15341295,1202.4741,0.2392876,-95.11273,-0.9056675,2765.2993,0.08617605,997.5774,0.35949698,-99.99041,-0.81489,-13.583348,-0.8888132,29.689945,0.17392969,0.042355638,0.40519828,-0.01981015,-1.1293546,0.20816366,0.5907037,29.571861,0.21062624,-0.82796276,-19.178932,-5.972763,-2.3972094,-21.678293,-0.78665245,-18.461006,28.236984,0.03083556,-0.01522101,0.116305135,4.0,5.0000005,0.103333324,0.04887626,0.089999996,0.0501996,-28.266064,12,3,15,SPEAKER_01,89.5,92.266667,89.5,91.79721875,2,1.2678437499999973,engaged
