F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,participant,session,engagement_id,speaker,engagement_start_time,engagement_end_time,speaker_start_time,speaker_end_time,num_segments,speech_duration,merged_duration,label
48.79255,0.11982504,40.975517,50.156757,54.382282,13.406765,21.121162,0.0,-110.52081,0.0,0.3315836,1.2546175,0.013621671,0.025706261,0.88146585,0.86784416,2.4933114,3.5468326,4.6360106,2.6271467,0.1792937,1.5849128,9.710431,1.1050301,0.8862683,16.058153,-3.4984295,-3.7901063,-10.653847,-2.0447085,0.024966294,1.0374151,0.8003317,0.915245,12.647938,0.297736,8.030532,0.80557454,23.529318,0.46473405,924.462,0.21573034,1160.3085,0.1531685,-151.73796,-0.5328033,1875.8107,0.08865683,1086.6213,0.3462671,-139.66216,-0.58811426,2949.2532,0.05071577,927.5397,0.40642726,-142.87747,-0.54432845,-13.329461,-0.40721577,25.7304,0.37718695,0.07347362,0.3925754,-0.021057379,-0.9021469,0.4605711,0.62956583,16.857492,0.48172712,-12.58666,-1.0699723,-17.52251,-0.7870838,-32.568687,-0.37507382,-7.9585986,15.769074,0.009321184,0.025512442,0.03496414,2.6548672,1.869159,0.175,0.085,0.34,0.32,-25.0996,9,3-1,0,SPEAKER_01,0.0,2.166667,1.0265937500000002,2.166667,1,1.1400732499999997,1.1400625,disengaged
40.007553,0.17819273,34.97622,35.746227,45.822365,10.846146,25.167974,0.0,160.50133,0.0,0.21266855,1.2890351,0.009593596,0.08866298,0.33328032,0.32368672,5.2247524,4.221614,2.1738067,2.5083835,0.1157167,1.8386973,7.4146886,2.5332456,7.4404616,0.84604657,-1.8994144,-3.5877519,-11.524569,-1.7157596,0.027854009,0.39151317,1.4433491,0.5314062,4.233133,0.7443322,1.5735841,6.241652,18.361023,0.32964158,747.5383,0.26733753,1179.6549,0.123174086,-165.61395,-0.44942722,1935.8446,0.1373445,723.2866,0.38025308,-159.55191,-0.4533705,2879.68,0.07987834,1019.62335,0.25310746,-159.97227,-0.44918662,-12.635938,-0.5332063,17.76386,0.37506115,0.059877325,0.35251904,-0.038655642,-0.6521279,0.39652646,0.79335725,16.027378,0.7212095,2.0332694,2.6563673,-3.447044,-1.7217716,-34.98227,-0.3941758,-8.511598,17.176731,0.018477052,0.008350382,0.041783977,4.494382,2.3809524,0.085,0.055,0.20666665,0.12391753,-31.47401,9,3-1,1,SPEAKER_01,2.2,6.266667,2.2,3.3553437500000003,2,0.9022187500000003,0.9021875,engaged
45.917362,0.014850789,45.075455,46.249954,46.500755,1.4253006,20.766258,0.0,3.2662966,0.0,0.23013091,1.7973393,0.011332307,0.018293187,0.31206262,0.30073032,5.552238,5.464189,3.9397993,3.3251877,0.10131349,1.821931,7.450608,1.1859425,2.1608598,7.808264,-2.40053,-4.846951,-0.40266615,-21.437866,0.027998926,0.76025,1.9411359,0.8057775,6.9009933,0.407229,1.5023782,2.8442369,19.649075,0.06087662,709.7282,0.39249417,1344.3817,0.13972186,-171.85416,-0.41121635,1697.9076,0.14048679,1195.7406,0.24711356,-155.61131,-0.52213585,2727.8818,0.10467163,978.6087,0.21299875,-159.33269,-0.46858954,-4.3182974,-1.573909,21.531063,0.2271175,0.052878883,0.6818845,0.0113674,0.5408643,0.4040728,0.53659266,16.30021,0.41144538,-19.284199,-0.9917617,-15.76149,-0.9764067,-5.5767684,-1.8197924,-7.441311,17.174995,0.0166792,0.016171869,0.031202937,3.0303032,1.6393442,0.13,0.0,0.45999998,0.0,-30.930664,9,3-1,2,SPEAKER_01,6.3,7.5,6.544718750000001,7.21971875,1,0.6749999999999989,0.675,disengaged
36.33252,0.037126355,34.860214,36.388783,37.286533,2.4263191,27.15691,5.3687778,12.229469,5.6007576,0.2600577,0.76597464,0.07449002,0.22487931,0.45735234,0.38286233,3.8576233,1.3649707,4.394394,2.298041,0.10634459,0.95557255,26.100204,0.43118978,5.877723,2.4210641,0.78978604,20.302519,-6.3295765,-1.9516087,0.020003432,1.2901125,1.2480894,0.7986769,9.932363,0.22146848,11.753561,0.93707484,35.096436,0.3603702,707.5904,0.2735965,1445.3777,0.16889678,-84.54774,-1.051016,1831.331,0.10894373,1190.2589,0.21789826,-91.4785,-0.8619978,2893.6436,0.08078546,1277.2407,0.37652877,-96.14088,-0.78446925,-21.101185,-0.43454865,30.454102,0.37735263,0.06820795,0.32463196,-0.01634738,-0.7529435,0.15555814,0.67732227,32.60469,0.22476548,7.9372134,1.9297005,1.6585227,8.820038,-9.773881,-1.3884349,-12.619878,22.449095,0.038645197,0.0037941588,0.030752879,4.1237116,3.2608697,0.18333334,0.023570227,0.074999996,0.03905125,-30.936377,9,3-1,3,SPEAKER_03,7.533333,8.9,7.91159375,8.9,1,0.9884062500000006,0.9884375,engaged
36.569992,0.041758735,35.552193,36.713196,38.27695,2.7247581,13.882709,14.026207,11.698301,2.7885838,0.5011903,0.7427252,0.115920916,0.5031719,0.7947012,0.6787803,4.5257616,2.6918612,6.160655,2.7059746,0.24643168,0.95108587,30.020065,0.41320124,7.43078,2.0607927,-0.9279011,-18.600443,-12.2487135,-0.99542516,0.011647706,0.7877798,0.8044306,0.7740575,11.231792,0.26455525,9.499317,1.1870873,33.49568,0.23953475,814.51746,0.21755834,1362.2699,0.17374356,-68.60566,-1.1957057,1914.1099,0.12370727,1198.3356,0.203396,-80.633026,-0.8817559,2981.7954,0.06963104,1025.766,0.23921864,-84.62837,-0.8114047,-22.209133,-0.38561216,36.807774,0.21232566,0.056190867,0.47211638,-0.02120343,-0.57244927,0.32663608,0.7143035,35.103107,0.1417188,10.780395,1.1776263,-0.7979979,-24.2519,-15.658233,-0.7843595,-3.5861754,19.60724,0.029207835,0.006424456,0.060146093,3.5714285,2.8301888,0.24666665,0.23697165,0.13499999,0.095,-21.04331,9,3-1,4,SPEAKER_03,8.933333,10.066667,8.933333,10.066667,1,1.1333340000000014,1.1333125,disengaged
35.280743,0.06951708,34.04998,35.413555,36.968124,2.9181442,169.07292,112.34345,37.649956,57.063637,0.4776409,0.78612727,0.13381074,0.40396893,0.82933843,0.6955277,8.112829,6.203224,6.199572,4.2612877,0.28254142,1.2436261,29.480604,0.61653346,12.227166,1.0138708,-3.8493986,-3.513009,-8.2906,-1.8053542,0.024039565,2.607183,1.0889167,0.91342497,9.52921,0.31951198,9.62038,0.9055539,40.07385,0.20176837,780.7499,0.22934265,1409.92,0.14855315,-74.98225,-1.1441138,1855.9492,0.12421275,1224.3334,0.19620667,-83.77697,-0.9043154,3008.46,0.08159127,1061.9098,0.2592201,-90.88408,-0.7799991,-20.083742,-0.44641253,36.195625,0.25377968,0.062525615,0.3014176,-0.021411978,-0.71071726,0.37673795,1.0144167,37.5179,0.27254632,11.213031,1.1720397,-6.1498046,-2.4348657,-13.499081,-0.9820821,-9.2512045,17.447014,0.028851938,0.0074233506,0.079581745,3.1707318,1.980198,0.34,0.28084692,0.145,0.120726965,-21.967129,9,3-1,5,SPEAKER_03,10.1,14.666667,10.1,14.666667,2,4.111042000000005,4.111,engaged
37.682846,0.105381235,35.530415,36.47798,41.134323,5.6039085,96.53353,11.814137,51.8947,15.643034,0.45933273,0.86936545,0.12764154,0.30812898,0.83153355,0.703892,12.598397,7.907802,4.8993993,4.5171022,0.26263395,1.0132252,21.300802,0.7942259,13.090676,1.0538416,-12.31841,-1.2823156,-11.742445,-1.4013029,0.033160053,1.6379563,1.5906539,0.90417165,7.9989367,0.46575648,5.3238897,1.953202,34.419823,0.3072388,852.4188,0.17448057,1421.2898,0.18161671,-99.264175,-0.9223718,1839.3888,0.12974153,1294.3635,0.40526897,-104.521,-0.7888218,2973.6296,0.07172656,1047.2849,0.30805528,-110.69814,-0.69473517,-14.005154,-0.7090034,32.452164,0.36015978,0.06336146,0.3779056,-0.017315693,-1.0491985,0.40424415,0.7108603,29.162607,0.4560286,6.9300694,1.8364816,-19.554306,-0.7535731,-18.894632,-0.9054826,-12.20278,20.741951,0.045057893,-0.0017928965,0.09322799,4.285714,3.007519,0.175,0.103077635,0.1325,0.077257685,-23.895844,9,3-1,6,SPEAKER_03,14.7,16.5,14.7,16.5,2,1.4118749999999967,1.411875,disengaged
37.628456,0.08187943,35.96396,37.99179,40.234535,4.2705765,270.7433,202.37044,67.66888,65.313675,0.51915693,0.4590665,0.3081419,0.51583034,0.77460223,0.46646035,8.761385,1.6517433,5.5905604,2.6278908,0.5193521,0.6345512,35.07617,0.2577385,16.479153,0.39482716,3.1171944,3.4609523,-12.289657,-0.83735734,0.060022417,2.203012,1.7064408,0.5706366,9.385845,0.2574462,10.354183,0.5670014,34.10793,0.36442712,895.07135,0.15773106,1391.7498,0.09971397,-36.095524,-0.8669599,1976.4465,0.078694314,1200.4551,0.14761424,-49.425156,-0.5156169,3093.1216,0.049669627,1021.69385,0.21736461,-55.176567,-0.4185878,-27.502468,-0.18799953,39.758804,0.16070704,0.05244173,0.49925905,-0.021842869,-0.6410848,0.5476428,0.6216963,34.417778,0.2593107,17.425894,0.31042418,4.210447,2.3230205,-13.014683,-0.8215457,-24.785099,36.504074,0.033988923,-0.0093082255,0.3561788,5.0632915,2.7027028,0.35,0.11,0.0,0.0,-19.19248,9,3-1,7,SPEAKER_03,16.533333,17.333333,16.533333,17.333333,1,0.8000000000000007,0.8,engaged
34.1524,0.06094725,32.672504,33.94557,35.63088,2.958374,201.27144,98.57751,14.196538,6.964232,0.25985503,0.8323552,0.113076806,0.17629246,0.37043753,0.25736073,8.351517,4.4624505,-1.6915675,3.2320926,0.14685097,1.1641783,16.523033,1.5700763,23.111828,0.45905897,1.1275018,10.66174,-4.481087,-3.640286,0.026212431,0.9395756,1.7737536,0.7502049,8.315525,0.29111215,15.872344,0.31304896,43.539387,0.22615436,711.57587,0.25939915,1487.1761,0.12159021,-121.27009,-0.7066388,1848.2015,0.12473173,1401.5977,0.32020822,-126.69192,-0.58855253,2925.057,0.077264756,1264.3148,0.25981495,-128.91856,-0.5608073,-27.623789,-0.262243,39.411007,0.22617817,0.049059987,0.5117107,-0.023780407,-0.68225265,0.21191527,0.7256274,36.515747,0.25461403,22.918398,0.2795924,6.1978045,1.5816996,-12.188822,-1.4146241,-2.3602371,7.7414193,0.023754513,0.009187375,0.046104696,3.3112583,4.195804,0.099999994,0.05627314,0.118333325,0.065425955,-28.156017,9,3-1,8,SPEAKER_03,17.366667,19.266667,17.366667,19.266667,2,1.5287500000000023,1.52875,disengaged
36.265484,0.10600909,34.678955,36.481857,37.948948,3.2699928,373.1111,505.9752,50.615,45.69735,0.5108145,0.7321883,0.1739928,0.4134289,0.83703834,0.6630455,9.279571,4.5063825,5.2940397,2.534753,0.33464175,0.9990235,24.31085,0.8265187,11.483382,1.3579906,-2.3532286,-7.4781265,-8.636962,-1.9382563,0.026352156,2.1052747,1.3345623,0.70026785,7.951285,0.4445819,10.047941,1.0773864,33.72497,0.32732296,724.0475,0.2569334,1421.3612,0.17458601,-81.69861,-1.0642843,1788.8593,0.13479407,1195.1608,0.2803149,-85.61605,-0.9013417,2901.6443,0.08664259,1053.1973,0.24533856,-91.5379,-0.7946219,-18.148514,-0.59268075,32.674686,0.3114414,0.06245774,0.3966667,-0.015632162,-1.2499894,0.4389863,0.792549,31.684826,0.4030905,9.597119,1.5600095,-3.278222,-5.7259912,-14.4046135,-1.0526996,-8.568779,18.823765,0.028150966,0.008972916,0.13601673,3.3842795,3.2967036,0.192,0.17945102,0.09714285,0.08597579,-21.541452,9,3-1,9,SPEAKER_03,19.3,33.6,19.3,33.6,7,9.170000000000002,9.17,engaged
