F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,participant,session,clip_id,speaker,engagement_start_time,engagement_end_time,speaker_start_time,speaker_end_time,num_segments,speech_duration,label
38.41561,0.1737444,34.809807,36.726532,40.84315,6.0333443,514.59216,703.9042,163.86179,302.86682,0.42868093,0.53387094,0.2275525,0.3904447,0.6104971,0.3829446,4.4095798,2.9034822,2.9105225,1.5095875,0.16748196,0.87994033,26.206093,0.42175683,3.8054261,3.1066341,-15.505699,-0.8883112,-15.451344,-0.9796483,0.024463309,1.6158879,1.1318924,0.64866614,8.353327,0.4642633,7.8661838,1.5068525,30.757214,0.3846175,775.5535,0.21948844,1288.3895,0.19188263,-58.84587,-1.385063,1822.4893,0.13494283,1133.7073,0.27387583,-66.06493,-1.0738715,2923.5725,0.09499863,973.33875,0.32983375,-72.28656,-0.92082316,-16.107388,-0.5223717,29.978525,0.24741378,0.06454117,0.380946,-0.016872218,-0.99911547,0.18732211,0.801031,28.867691,0.3178019,4.2523513,2.8149264,-16.063133,-0.8843249,-18.53699,-0.79469734,-9.556469,20.694326,0.038940694,-0.002171372,0.106604196,2.881449,3.2453244,0.22516948,0.23398441,0.07815217,0.057746243,-26.968704,17,5,0,SPEAKER_02,0.0,139.166667,5.61659375,112.97534375,16,36.45000000000004,engaged
43.966045,0.14077951,39.782196,42.534702,48.14407,8.361874,100.14511,108.611244,175.89885,173.80754,0.46348745,0.4916347,0.26329532,0.4282532,0.6357945,0.3724992,2.281606,1.4698349,3.3175745,3.0472062,0.14502619,1.142657,24.248875,0.31488165,0.4053379,25.774858,-25.743256,-0.40603614,-32.780605,-0.53710985,0.022554241,1.8182021,0.8721757,0.7329057,11.054362,0.3955515,10.689138,1.0163862,31.481535,0.35928982,824.83325,0.16804068,1187.3556,0.18645488,-20.087753,-2.4054081,1859.3553,0.110459745,1143.687,0.28166956,-38.949005,-1.0204861,2945.6243,0.06269373,790.97003,0.3629919,-45.6593,-0.79005694,-17.304966,-0.34768274,31.880663,0.17876899,0.061338246,0.46926904,-0.017815296,-0.9794668,0.14892136,1.1395866,24.533756,0.3082195,0.72395676,14.480175,-25.688702,-0.412778,-33.975304,-0.512389,-10.786862,28.094261,0.041833814,-0.0025461786,0.099455036,2.1409457,1.4336917,0.645625,0.5311775,0.039166667,0.023614377,-25.517574,17,5,0,SPEAKER_04,0.0,139.166667,32.970968750000004,78.95534375000001,12,11.221875000000026,engaged
40.26635,0.24577782,32.942932,37.57228,47.3155,14.372566,167.97957,151.14038,355.65085,497.94577,0.3877556,0.42996982,0.20928887,0.37931657,0.5543662,0.3450773,4.1690707,1.9252388,3.1014688,1.2851659,0.1463424,0.7302717,26.99602,0.26956335,0.47755715,19.839535,-14.777305,-0.98919344,-11.9730425,-0.90885246,0.05857642,1.9712689,1.3234797,0.5460556,7.7112803,0.5004237,8.832786,1.4840604,24.327509,0.5375681,793.2334,0.19026473,1223.152,0.20963003,-54.136253,-1.4303416,1812.5118,0.11303197,1014.63873,0.27982432,-61.24862,-1.109627,2893.7937,0.07139607,850.1984,0.3915947,-66.35353,-0.950532,-16.04599,-0.30107862,29.397354,0.16696435,0.06874969,0.42228523,-0.00842251,-1.7779518,0.13808183,0.7430365,26.755896,0.28665638,0.84624285,11.495037,-14.619884,-1.0285764,-10.986785,-1.0168378,-14.558056,27.721682,0.06106835,-0.015200129,0.17934546,4.107425,3.6682615,0.20608695,0.22044893,0.059411764,0.05373908,-29.342087,17,5,0,SPEAKER_00,0.0,139.166667,40.10909375,59.97096875,6,6.344999999999992,engaged
46.81659,0.20326188,40.189575,45.893986,59.39577,19.206196,171.33456,144.76894,225.04825,308.95306,0.6078077,0.62453747,0.30427894,0.46678668,1.0105999,0.7063209,6.328082,5.2944536,4.2315245,3.9788353,0.2163607,1.2766953,13.507116,1.1433308,-4.110304,-3.141657,-26.901833,-0.5564588,-24.636995,-0.6583741,0.037016507,2.2910237,1.2295913,0.64918464,7.939773,0.88433975,7.962888,1.6258944,24.444183,0.7067508,777.80457,0.2554113,1242.3134,0.21170695,-58.1043,-1.527131,1790.3005,0.12195522,1092.2354,0.23937306,-59.917713,-1.1764802,2881.995,0.088011876,797.7884,0.41880748,-63.602016,-1.0225439,-11.283423,-0.7021161,25.268215,0.3441247,0.056963764,0.48008668,-0.012064768,-1.4739031,0.23217164,1.275001,12.438814,1.2595257,-5.2650566,-2.5556095,-29.692568,-0.47127104,-27.443768,-0.6052523,-9.796208,23.660357,0.05553172,-0.003897733,0.16953202,2.398524,3.171642,0.24,0.27053323,0.06266667,0.0444922,-23.802288,17,5,0,SPEAKER_03,0.0,139.166667,43.619093750000005,124.97346875,6,5.433749999999996,engaged
36.743652,0.22803557,30.768518,35.525963,41.803284,11.034765,302.45718,644.7177,288.8654,610.2293,0.427099,0.47745645,0.22944742,0.400622,0.60614157,0.37669414,4.7869368,2.602306,3.0862896,1.8735325,0.16714908,0.737537,29.648167,0.25880036,5.832057,1.7191643,-9.989868,-1.2761793,-16.723778,-0.7845555,0.04154699,1.8076957,1.2585446,0.5932848,7.25875,0.4828274,8.037723,1.4313736,29.627108,0.43260947,800.5272,0.19107342,1257.015,0.17160997,-49.04676,-1.5668803,1853.9435,0.11926878,1097.318,0.30129358,-59.244205,-1.1277648,2922.907,0.074454896,879.77374,0.4163664,-63.15859,-1.0144033,-18.4914,-0.29892236,31.036415,0.20363319,0.0660726,0.37811545,-0.020630822,-0.85560554,0.17874952,0.70434546,29.96409,0.24893227,6.91283,1.4378517,-8.7931,-1.482695,-18.256613,-0.7294628,-13.644016,28.217272,0.046798725,-0.010509826,0.12625591,3.1459172,3.2236402,0.23729165,0.2325828,0.0602439,0.044529397,-27.353422,17,5,0,SPEAKER_01,0.0,139.166667,59.97096875,138.08534375000002,12,14.951250000000044,engaged
41.004528,0.081745625,38.35085,41.67489,43.741493,5.390644,119.614494,136.42094,173.74648,247.05437,0.6187876,0.71447235,0.2785038,0.49817348,0.86274415,0.5842403,5.396058,4.106607,3.861283,2.246301,0.20089862,1.251509,25.118805,0.36052954,1.4383665,7.0123663,-21.509726,-0.49458602,-35.414093,-0.47514558,0.01756244,1.9007654,0.7813576,1.0085673,11.57562,0.38677472,8.304721,1.6074445,33.13938,0.35640025,793.9627,0.17344649,1226.9252,0.16299705,-30.928465,-2.115264,1846.8363,0.11000708,1075.3701,0.26105994,-44.830242,-1.240502,2951.7244,0.06845548,805.17444,0.43561023,-50.92945,-1.046999,-18.819931,-0.30852914,30.24044,0.2377739,0.060472503,0.35503793,-0.028295865,-0.5819959,0.21695927,1.2199765,25.189507,0.38034174,2.672267,3.7115445,-21.579792,-0.47608727,-38.282585,-0.39781585,-10.916265,25.002304,0.042257573,-0.009258621,0.10507838,2.0618558,1.9064125,0.45,0.31182745,0.059,0.034770675,-20.579721,17,5,0,SPEAKER_05,0.0,139.166667,83.35971875,137.56221875,6,5.838750000000033,engaged
40.78106,0.23299068,33.07663,39.964226,47.614914,14.538284,422.5372,635.3682,165.3475,77.18039,0.31501678,0.4562588,0.18163143,0.27130404,0.4636814,0.28204995,3.269877,1.1025867,2.6983345,1.032271,0.13152044,0.8459837,25.681362,0.25995544,4.981935,1.4560955,-13.792394,-0.87033594,-28.54274,-0.7562748,0.03143589,1.3732364,1.6791846,0.54106563,8.225876,0.48280594,9.702496,1.27701,22.264978,0.53777874,811.0419,0.16984725,1093.7534,0.15260248,-68.743034,-1.2504973,1889.1707,0.10963121,1028.1661,0.1517538,-81.809975,-0.8825585,2933.8506,0.049871698,740.0655,0.46186244,-78.89081,-0.9158618,-17.958054,-0.30542195,29.42029,0.2185531,0.05826338,0.63435835,-0.015079678,-1.2416375,0.11797079,0.6860146,25.435043,0.25003,6.271383,1.033624,-13.479791,-0.8303305,-32.53169,-0.6843629,-15.067963,30.041029,0.036649734,-0.009115403,0.14933462,5.645161,5.932204,0.10714286,0.060877927,0.046666663,0.024944382,-30.027025,17,5,1,SPEAKER_02,139.2,142.566667,140.26221875000002,142.566667,3,1.2581982499999924,disengaged
37.616394,0.20541319,35.213898,37.193226,38.18437,2.9704704,481.94403,671.90985,69.71115,55.86631,0.37445202,0.4556284,0.21221101,0.3476569,0.51748955,0.30527854,3.4356506,1.259076,2.50348,1.6715713,0.11585415,0.885786,27.403427,0.3604832,4.41122,2.1014097,-16.529465,-0.5080826,-16.744831,-1.0843914,0.024287831,2.2165382,1.00277,0.7880846,9.148477,0.44098976,3.49866,3.2910361,32.214603,0.3108858,749.87726,0.20818435,1259.4547,0.14577979,-73.89048,-1.2350061,1816.983,0.12431609,1144.6023,0.2664646,-79.09561,-0.99484265,2929.593,0.08808294,915.4143,0.30565262,-85.19577,-0.8686047,-16.831785,-0.46346635,30.92268,0.18992308,0.06051386,0.40901375,-0.025965478,-0.75146157,0.13318495,0.82512754,31.220648,0.21374014,6.0856347,1.5554106,-17.013361,-0.5232202,-22.657364,-0.8050691,-9.308327,20.18608,0.029911425,-0.009398947,0.084853575,2.631579,2.6833632,0.24599999,0.22688617,0.10666667,0.07734482,-30.01601,17,5,2,SPEAKER_02,142.6,150.533333,142.6,150.18471875,3,5.71159375000002,engaged
39.594646,0.1596895,35.30936,36.54349,46.145477,10.836117,146.6758,118.36312,93.280014,47.588554,0.55633235,0.4213049,0.35393184,0.51589173,0.78718036,0.43324852,4.066609,2.4406567,3.194499,1.7135589,0.20153537,0.64468265,27.90839,0.3337924,1.4870378,6.9565005,-20.327116,-0.58150834,-16.249231,-0.74239236,0.032782823,1.5394983,1.1366657,0.54759276,8.053434,0.45676506,8.223091,1.4947426,31.506496,0.36898503,793.88135,0.19874428,1286.1671,0.1864508,-31.755527,-2.0953932,1847.1747,0.12511696,1107.8446,0.23564708,-43.457733,-1.2992744,2970.2302,0.08494222,952.8096,0.25911066,-52.55215,-1.0047723,-15.869127,-0.46285132,30.281109,0.19396475,0.06803043,0.25686288,-0.01831457,-0.76523405,0.22042492,0.5819238,29.804714,0.2268571,1.5205159,7.091132,-20.447178,-0.59221774,-18.235956,-0.5769873,-7.8998227,18.912647,0.040274784,0.00070752663,0.07999725,3.8155804,1.6051364,0.534,0.3276034,0.08125,0.062337287,-25.410835,17,5,3,SPEAKER_02,150.566667,157.533333,150.65721875,157.533333,2,6.302364250000011,disengaged
41.159046,0.10647848,38.68082,40.60758,45.970688,7.2898674,41.861504,9.255584,38.287395,83.737274,0.66730154,0.47285488,0.33438504,0.65855336,0.9508697,0.61648464,5.4635077,2.7373421,3.8405967,1.8922337,0.29228553,0.7489977,26.580599,0.25268498,-1.3081968,-9.519148,-22.86413,-0.65976506,-21.406378,-0.6807997,0.03188676,1.399739,0.9511908,0.71146995,8.918809,0.5561721,6.8771214,1.6052345,32.431866,0.2663733,820.84753,0.19736479,1263.1686,0.15362246,-45.907314,-1.7254921,1829.959,0.13128386,1050.0028,0.1948002,-55.786983,-1.2426991,2964.9688,0.0842395,882.36145,0.32765496,-65.06156,-0.98764986,-13.814343,-0.7230575,30.136095,0.22662432,0.064892806,0.33311018,-0.01923479,-0.89116126,0.33786738,0.6532233,26.530533,0.25621003,-1.589844,-8.21727,-24.488087,-0.6294269,-24.11928,-0.54136413,-10.44481,22.713701,0.034521777,-0.013942362,0.12317681,5.0387597,1.984127,0.39599997,0.41964749,0.1125,0.07395099,-22.2147,17,5,4,SPEAKER_02,157.566667,198.866667,157.566667,161.62596875,3,2.5911767499999883,engaged
