F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,participant,session,engagement_id,speaker,engagement_start_time,engagement_end_time,speaker_start_time,speaker_end_time,num_segments,speech_duration,merged_duration,label
40.714417,0.12703007,36.61201,38.76535,44.598236,7.986225,110.14299,96.15675,85.52501,146.43596,0.33920896,0.36705828,0.23121387,0.3201003,0.46295863,0.23174477,3.2268808,1.8688351,2.0214136,1.2240086,0.11834894,0.73287874,18.246122,0.35976827,0.33391574,30.45511,-9.485681,-1.5306073,-15.492702,-0.7380511,0.032639276,1.2961282,1.5697372,0.51159716,7.1495914,0.39394504,10.691382,0.83423424,27.17743,0.27941328,857.45374,0.1659296,1253.3813,0.15757804,-47.09986,-1.5554327,1888.6665,0.108360715,1109.2196,0.31971577,-57.3318,-1.1348709,2890.5808,0.07182411,871.7901,0.24509723,-61.012566,-1.0361354,-11.324933,-0.6250915,23.412083,0.2816712,0.057619214,0.3288327,-0.0142952725,-0.89540297,0.13382623,0.6705372,18.482887,0.33819172,-0.646184,-16.922518,-11.1772175,-1.4115219,-18.455235,-0.5799789,-8.694133,18.327875,0.027224682,-0.0040207077,0.058780823,5.978261,3.3519554,0.22999999,0.2575526,0.055999998,0.010198039,-34.317924,18,12,0,SPEAKER_02,0.0,5.8,0.73971875,2.5959687500000004,1,1.8562500000000004,1.85625,engaged
35.478664,0.1038231,33.6415,35.766926,37.87621,4.2347107,57.03245,45.549923,28.175255,23.068256,0.57226026,0.40848514,0.36534095,0.52102065,0.83225834,0.4669174,3.6639373,2.1049445,3.550855,2.079406,0.21308021,0.6999117,22.684181,0.41753405,3.7531319,2.7786562,-13.338998,-0.901251,-19.122528,-0.5356419,0.020109082,2.572562,1.0526295,0.7505639,8.83938,0.35953853,5.739207,1.8903732,31.681946,0.2669217,816.2944,0.18797684,1261.6859,0.15250179,-68.703735,-1.268174,1896.951,0.11164997,1100.7341,0.27042037,-74.939476,-1.038832,2960.3567,0.06481041,959.8107,0.40641013,-79.27847,-0.9430993,-16.576687,-0.51378405,30.750494,0.18783237,0.063437045,0.2896253,-0.022469625,-0.639472,0.258161,0.57096165,26.908394,0.26210165,6.8966484,1.4657727,-13.0491705,-1.0393533,-22.585573,-0.4182587,-5.578005,15.163253,0.028692013,-0.008939641,0.10308948,3.211009,1.8779343,0.37,0.15182225,0.1425,0.15722197,-24.28224,18,12,0,SPEAKER_01,0.0,5.8,3.37221875,5.8,2,2.1915312499999997,2.1915625,engaged
36.687626,0.12498554,35.177288,36.16181,36.8146,1.6373138,942.70013,1134.9309,26.097239,14.306169,0.4683619,0.32375747,0.33794826,0.43678993,0.6095209,0.27157265,4.0422,2.665443,2.941852,1.742146,0.17042056,0.69930667,18.46114,0.82438064,4.562008,2.3520656,-10.825288,-0.9303741,-13.219657,-0.74838185,0.013598391,0.75163674,1.1236099,0.4392909,7.912036,0.39933613,5.8895736,1.8353751,28.17967,0.46649426,778.40656,0.22035547,1372.4186,0.19150431,-86.270706,-1.0575788,1841.5099,0.11965271,1180.0327,0.25882798,-91.95636,-0.8889351,2917.0261,0.08935429,1006.1045,0.46504337,-95.02774,-0.8289075,-16.724136,-0.49838927,29.804667,0.25244617,0.061853357,0.33739397,-0.017927123,-0.8142108,0.22444159,0.5134884,26.700056,0.42003223,8.79515,1.1588016,-8.617708,-1.3137454,-15.1713705,-0.70534194,-4.3320017,13.502276,0.03986159,-0.00016577356,0.08121048,4.5,2.5773196,0.23200001,0.13804346,0.136,0.13850631,-27.855602,18,12,1,SPEAKER_01,5.833333,8.033333,5.833333,8.033333,2,2.014375000000001,2.014375,disengaged
37.44054,0.1072459,35.009037,36.35641,38.576797,3.5677605,454.37482,517.308,29.543936,37.20017,0.53419286,0.5018394,0.3212093,0.5002601,0.7080867,0.38687742,6.10699,6.4904237,5.4515953,5.1286817,0.23517893,1.1972371,23.137457,0.50224626,8.533139,1.3789431,-11.417256,-0.97804815,-17.154306,-0.6345714,0.0217893,1.2487104,1.1401364,0.55649596,7.972285,0.41531327,6.204781,1.712889,29.562658,0.3613501,788.15295,0.22821124,1315.3575,0.21493174,-73.39275,-1.1743288,1845.0173,0.14933065,1121.0397,0.27504483,-79.25852,-0.96857333,2913.728,0.089401916,930.3512,0.36334798,-83.542885,-0.8792442,-15.268935,-0.586673,28.456852,0.30082124,0.06731014,0.28559873,-0.021655606,-0.64151007,0.22689246,0.58632267,26.159906,0.3802281,9.545498,1.2744598,-11.80055,-1.0643793,-20.625046,-0.49767292,-9.875544,19.756517,0.04570944,-0.01291998,0.25644392,3.3101046,3.1690142,0.20833333,0.22169171,0.103999995,0.102228485,-25.135798,18,12,2,SPEAKER_01,8.066667,17.466667,8.066667,17.466667,2,5.755000000000001,5.755,engaged
36.237362,0.0183318,35.77033,36.017803,36.79989,1.0295601,11.585096,2.6050053,12.541774,12.403959,0.5789123,0.19343276,0.5004325,0.5519529,0.68593013,0.18549764,3.6037333,1.4267153,0.8218869,1.7574143,0.25767103,0.36435014,33.952583,0.07394135,12.849305,0.62403536,-11.478641,-0.8359382,-17.7606,-0.40165514,0.02271595,0.69823927,1.2062213,0.47485647,6.3970485,0.562015,10.672341,0.97933006,37.983692,0.15468271,851.7726,0.11351831,1232.8253,0.13951164,-11.244322,-0.9997405,1960.0598,0.073013805,1066.9009,0.1361444,-32.33903,-0.23411629,3096.819,0.053180758,960.3271,0.19239192,-40.432426,-0.1855292,-21.52548,-0.19941267,34.71359,0.14869346,0.07970887,0.1305643,-0.024716187,-0.30081978,0.27148658,0.33898672,34.129562,0.07515149,12.382462,0.6764028,-11.933463,-0.8418319,-17.554184,-0.42053697,0.0,0.0,0.0,0.0,0.0,7.272727,2.0408163,0.48,0.0,0.0,0.0,-24.317806,18,12,3,SPEAKER_01,17.5,18.066667,17.5,18.066667,1,0.5666669999999989,0.566625,disengaged
37.99248,0.13169147,35.88936,36.95932,38.58404,2.694683,193.89183,165.20566,64.92856,92.321785,0.47576147,0.47616467,0.2794901,0.40915278,0.6468281,0.367338,4.8888845,2.3464098,3.533726,2.8874023,0.19747852,0.69704056,22.121267,0.5085209,7.5972676,1.3215792,-15.201412,-0.7653633,-15.668344,-0.64279306,0.025552034,1.2852043,1.3112451,0.5114041,7.485103,0.46843514,4.033089,2.3989189,28.922203,0.32279,785.61017,0.18957217,1267.2493,0.18055877,-77.29018,-1.0957121,1840.4397,0.12955494,1112.471,0.30279848,-82.29001,-0.9105304,2927.7131,0.097173944,915.00854,0.27405488,-86.63996,-0.8216453,-15.8749075,-0.44902635,28.5237,0.25679475,0.0644212,0.32552928,-0.021546483,-0.5765158,0.23531614,0.6039445,25.08566,0.38500786,6.957146,1.4330505,-16.850245,-0.7646872,-18.265934,-0.54541534,-10.855273,20.277796,0.05034411,-0.011934654,0.11441055,4.7808766,4.897959,0.12833333,0.086778775,0.065,0.03138471,-26.070625,18,12,4,SPEAKER_01,18.1,21.3,18.1,21.3,2,2.525000000000002,2.525,engaged
37.568897,0.01730974,36.78544,37.94055,38.148373,1.3629341,0.0,0.0,-0.15759811,0.0,0.4667569,0.25599718,0.3520738,0.44392845,0.5913934,0.23931962,3.7891467,1.0972083,3.4782493,1.0209243,0.26048106,0.612131,20.981789,0.7316293,14.331148,0.40936106,-11.499679,-0.6751803,-14.106854,-0.5264663,0.023764841,0.5144654,1.4667567,0.72937155,7.2003183,0.23092295,5.4070053,0.8935594,27.77261,0.1292993,874.23376,0.020948943,1107.5883,0.08325942,-84.83778,-0.9310488,1949.1156,0.05377491,1034.35,0.21422704,-97.118004,-0.7210173,3006.045,0.06109939,896.1424,0.16882849,-99.887146,-0.67708594,-20.8813,-0.2712257,30.098104,0.2534221,0.07710704,0.111579254,-0.029015325,-0.4358215,0.35659027,0.5328455,26.51859,0.34869194,13.04318,0.53152245,-9.978931,-0.66967833,-19.67471,-0.3184077,-7.8188043,13.876528,0.052799925,-0.014370563,0.18054353,9.090909,12.5,0.04,0.01,0.049999997,0.0,-27.748917,18,12,5,SPEAKER_01,21.333333,21.966667,21.333333,21.56346875,1,0.23013574999999875,0.230125,disengaged
39.910538,0.17381112,36.44674,39.40515,41.040028,4.5932884,300.0546,303.59827,535.557,670.2748,0.60052294,0.5182726,0.32512504,0.49802005,0.9447267,0.61960167,6.212785,3.17033,2.7375324,3.462814,0.26820445,0.8335117,16.218294,0.56306374,-4.1073513,-2.2553768,-18.166338,-0.38569775,-32.51057,-0.37046608,0.06273775,1.3182769,1.6540837,0.5126923,4.0037303,0.9431165,-0.2591848,-37.073456,20.865078,0.43479124,879.10706,0.1567442,1205.871,0.111270934,-80.39883,-1.1788269,2016.5624,0.12042095,1021.627,0.20871301,-87.78692,-0.9385932,2989.5305,0.06632463,976.3199,0.24817812,-90.41277,-0.8903092,-7.762235,-1.0058379,23.384148,0.27008525,0.054189652,0.27313474,-0.029619494,-0.55712736,0.36534414,0.66688985,18.45205,0.40938002,-7.3552194,-1.3832284,-20.502022,-0.36955684,-36.933464,-0.2956685,-9.220061,18.08218,0.044695918,-0.02591386,0.14348622,6.25,5.6603775,0.09833333,0.05398045,0.072,0.035440087,-26.7597,18,12,6,SPEAKER_00,22.0,24.133333,22.0,23.72346875,3,1.1328437500000028,1.1328125,engaged
42.195713,0.046858996,40.7819,42.845963,43.399372,2.6174736,117.98956,87.148834,-38.5896,33.37911,0.7264475,0.3518927,0.44667262,0.7325611,0.9504882,0.5038156,6.552893,1.0758919,5.6056986,0.50429606,0.27856314,0.39866963,17.891747,0.41310304,6.8580055,1.1367658,-11.818819,-1.1959825,-38.89804,-0.43802804,0.029199941,1.255152,1.0828868,0.530241,9.040769,0.4963427,13.773867,0.6278281,20.04518,0.38635603,842.809,0.11446493,1137.5709,0.13712265,-37.465134,-1.2778232,2031.9236,0.10359677,935.17706,0.30269337,-51.992302,-0.8117945,2926.844,0.043017484,734.3853,0.2846188,-46.29094,-0.9506901,-13.773459,-0.4563915,22.624542,0.39655557,0.05995948,0.35115522,-0.0264286,-0.36203387,0.26622647,0.41411328,17.556738,0.45624676,8.757423,0.864356,-7.2212257,-1.3860167,-42.6043,-0.40763038,-15.897136,27.560585,0.03342438,-0.02095962,0.47785515,4.651163,5.4054055,0.155,0.065,0.02,0.0,-23.915861,18,12,6,SPEAKER_01,22.0,24.133333,23.31846875,24.133333,2,0.44361424999999954,0.443625,engaged
39.90179,0.20499267,34.803963,36.62162,47.151115,12.347153,752.6868,386.04086,48.959866,35.984543,0.6050935,0.472236,0.36620557,0.5761638,0.7716863,0.40548074,5.3735595,2.4528928,2.4556942,6.211942,0.29757118,0.93467087,21.647114,0.5139456,2.2257953,3.7876024,-15.933703,-0.6612249,-20.07275,-0.4516871,0.03885568,1.636545,1.3028883,0.64147854,6.3794804,0.59347713,10.112211,1.2547779,24.553696,1.3104074,760.60944,0.2130605,1259.1488,0.19481556,-105.08241,-0.90965766,1821.2998,0.13191345,1048.118,0.28993198,-106.5488,-0.7991305,2903.3857,0.08039714,926.24817,0.22195718,-110.394844,-0.7362797,-15.747832,-0.40881512,26.259018,0.23534225,0.07717211,0.25257018,-0.020341363,-0.8759996,0.27301022,0.49575445,23.403927,0.4209271,5.1761494,1.7760276,-16.037287,-0.78864163,-22.646984,-0.37521765,-9.716452,21.308182,0.057615057,-0.016817288,0.31013486,2.811245,2.8688524,0.17714284,0.106330246,0.13125,0.1831282,-25.169884,18,12,7,SPEAKER_01,24.166667,27.133333,24.166667,27.01409375,2,2.509926749999998,2.5099375,disengaged
