F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,participant,session,engagement_id,speaker,engagement_start_time,engagement_end_time,speaker_start_time,speaker_end_time,num_segments,speech_duration,merged_duration,label
42.073097,0.05642296,39.70074,43.344723,44.000656,4.2999153,5.5111356,0.0,-53.697475,0.0,0.57626164,0.21413836,0.47647077,0.6035796,0.6778654,0.20139462,2.6969366,1.9583035,2.1763663,1.293862,0.22877179,0.36203417,28.196112,0.18353574,-5.0243773,-0.89128935,-13.771013,-0.59940165,-16.331482,-0.76578826,0.032291602,0.94937295,1.5070637,0.77256435,7.773404,0.43673357,10.942808,0.30300415,34.191494,0.20344281,799.3198,0.19288518,1399.4309,0.14310119,-76.15254,-1.1515573,1790.8579,0.08647494,1259.0515,0.16255677,-74.84102,-1.0546045,2881.9355,0.04741109,1062.9304,0.34961385,-84.31249,-0.86417824,-11.773262,-0.21139759,26.996004,0.19898951,0.048014715,0.31622317,-0.011649583,-1.019738,0.26637024,0.2909105,27.14341,0.23301113,-3.5206845,-1.4391352,-17.625011,-0.47156224,-23.293375,-0.4874089,-7.4971313,16.160885,0.037284266,-0.014523218,0.21208148,5.1282053,2.9411764,0.22999999,0.0,0.089999996,0.0,-28.49816,9,3-2,0,SPEAKER_03,0.0,60.333333,0.11534375,27.63846875,2,0.40500000000000086,0.405,disengaged
42.86995,0.07089488,40.310535,43.118805,44.97772,4.667183,32.818874,21.040674,152.2967,295.10083,0.83814245,0.4717263,0.4771782,0.7751476,1.2231469,0.7459687,6.49237,3.7505913,3.8761766,1.6234949,0.34369496,0.80791664,15.788694,0.61614233,4.471004,2.0134454,-7.117797,-1.5286855,-26.002369,-0.6426064,0.015143676,1.27016,0.7739408,0.6072896,10.655206,0.32170773,13.439831,0.65719837,23.911203,0.27595663,782.46796,0.19956075,1258.688,0.16109134,-87.52269,-1.0251076,1864.5247,0.12702315,1005.79956,0.28388196,-88.77336,-0.8908245,2860.2502,0.07371282,818.73975,0.42676264,-88.8596,-0.8891512,-14.918144,-0.36639756,22.648006,0.2765353,0.048012022,0.49707586,-0.02575417,-0.60017306,0.38986862,0.6429904,19.455833,0.34561872,3.2103727,2.5445898,-5.8570757,-1.8072557,-34.355007,-0.38216275,-7.8109565,15.45717,0.032830216,-0.013146023,0.25942704,2.9333334,2.7027028,0.22899999,0.18981306,0.13333333,0.08299933,-21.36605,9,3-2,0,SPEAKER_04,0.0,60.333333,0.21659375,10.122218750000002,5,3.7631250000000005,3.763125,disengaged
37.15895,0.0053895637,37.021103,37.07124,37.28724,0.26613617,1.8137932,0.0,15.515709,0.0,0.66746825,0.20263734,0.5712856,0.73983496,0.7802995,0.20901388,3.134627,0.0,-6.161595,0.0,0.18045385,0.30214998,21.093096,0.15954916,15.209955,0.31952435,-15.550987,-0.26995552,-34.178944,-0.29156244,0.008384028,0.42393473,0.62569517,0.7337088,9.65192,0.05459035,1.4709194,1.7564782,21.507994,0.12613651,620.6125,0.34995836,1374.3823,0.11787602,3.5495434,0.120333746,1702.4185,0.17615701,1046.0815,0.09193882,-14.504342,-0.59758216,2845.4736,0.030260704,585.9708,0.22090887,-17.452745,-0.1856538,-14.946063,-0.2986771,22.228136,0.173331,0.03807479,0.20391202,-0.035381064,-0.26667216,0.2251441,0.33118314,23.028961,0.08605535,16.130701,0.3612235,-18.341005,-0.11849806,-41.06121,-0.06980158,0.0,0.0,0.0,0.0,0.0,6.666667,11.111112,0.08,0.0,0.0,0.0,-27.543104,9,3-2,0,SPEAKER_02,0.0,60.333333,1.80284375,1.9715937500000005,1,0.1687500000000004,0.16875,disengaged
36.54347,0.09863817,34.62588,36.454906,38.272003,3.646122,242.81586,399.71997,45.985725,68.635735,1.2569122,0.50819284,0.7242177,1.0904762,1.785675,1.0614574,14.510581,8.698243,8.883743,5.761079,0.8776459,0.7078672,26.10496,0.3883045,4.8163586,2.4042504,-11.987269,-0.9660644,-13.419229,-0.8717323,0.02358807,1.7650819,1.180943,0.5934029,7.867219,0.4758349,4.9166145,2.2264283,28.9595,0.43634084,768.1824,0.23404276,1363.2086,0.1706889,-75.10733,-1.169346,1793.548,0.13630155,1198.0109,0.2338436,-79.55076,-0.9897999,2892.592,0.0856757,998.4506,0.28982735,-85.79267,-0.8673885,-15.306015,-0.5334316,30.55354,0.23203403,0.05713294,0.39956278,-0.021753285,-0.63735896,1.06925,0.5681193,29.326456,0.2705389,4.954511,2.383083,-12.404014,-0.98117113,-16.316572,-0.67915154,-9.53527,20.746738,0.03480704,-0.010622932,0.4841353,3.176131,2.7951808,0.23439655,0.19730638,0.11314285,0.09579057,-13.525464,9,3-2,0,SPEAKER_00,0.0,60.333333,10.122218750000002,60.333333,12,41.57111425000001,41.571125,disengaged
36.16042,0.043778684,34.94817,36.270645,37.843655,2.895485,57.274498,44.312683,4.3955903,6.1403856,1.2130738,0.55355376,0.6198921,1.0766163,1.6119103,0.9920182,10.844958,7.215344,7.9337025,1.6805017,0.841506,0.6709348,26.948776,0.33897522,5.0054865,2.8644946,-13.929498,-0.952131,-10.41417,-1.14041,0.016673855,0.7717466,1.1801845,0.6817213,8.239854,0.4808008,8.240812,1.3714082,30.951265,0.332191,779.54126,0.23760279,1388.3197,0.15730634,-71.82785,-1.159358,1810.4047,0.15536784,1259.3898,0.21530086,-77.555305,-0.98247004,2906.9744,0.107749104,1045.2925,0.23055422,-84.5264,-0.8422503,-15.951866,-0.72358215,32.769733,0.21667962,0.059528243,0.34481883,-0.019062432,-0.75230974,1.0420007,0.506506,29.644083,0.24100861,6.0370035,2.4506674,-12.589825,-1.1308254,-15.467595,-0.5520708,-7.9932923,24.259398,0.042784896,-0.0046186955,0.46004358,3.8793104,3.9647577,0.16555555,0.10904749,0.07375,0.07712611,-12.960194,9,3-2,1,SPEAKER_00,60.366667,99.333333,60.366667,62.704718750000005,1,2.3380517500000053,2.3380625,engaged
36.93573,0.10572932,34.52916,38.095108,39.855576,5.326416,175.101,146.51936,79.03836,74.22479,1.4116682,0.54126155,0.90323836,1.3169864,1.887182,0.98394364,15.595503,16.01643,13.237064,8.464442,1.4078124,0.6570432,26.923244,0.30782774,-1.4756795,-7.7920647,-9.079239,-1.1602789,-13.443139,-0.80766433,0.044060368,1.6951818,1.4323941,0.6273094,6.6836157,0.5460092,0.64607763,17.101416,21.23802,0.8199224,809.6885,0.22448295,1302.0319,0.15767048,-62.878323,-1.2798687,1829.7089,0.13465813,1063.3079,0.17715481,-64.33725,-1.1011609,2942.26,0.09520701,878.79565,0.17089981,-70.690056,-0.95138884,-12.685547,-0.82994735,28.367851,0.29753742,0.056521337,0.40329635,-0.020638071,-0.8914253,1.5386095,0.5448929,28.48334,0.20812424,-1.66545,-7.5864115,-9.257879,-1.1627498,-14.974959,-0.6877951,-9.498312,25.740755,0.05074648,0.0020496577,1.1349192,5.3691273,4.861111,0.14571428,0.1550905,0.055999998,0.026532998,-11.508988,9,3-2,3,SPEAKER_00,100.966667,115.7,113.43096875,115.7,3,1.509656249999992,1.5096875,engaged
36.46891,0.076376095,34.89856,36.83374,38.69957,3.8010101,111.04748,81.24051,21.280846,13.581278,1.2392315,0.4985394,0.68980014,1.1716374,1.7156963,1.0258962,16.343107,11.185922,8.644209,5.1997504,0.8981979,0.759321,30.088724,0.2898354,5.7587714,2.2225883,-8.257991,-1.5804772,-13.394206,-0.8072839,0.024445312,2.0396366,1.1453776,0.65116245,8.802897,0.4276315,8.685284,1.3966463,30.189018,0.35940307,792.67224,0.23734732,1354.2288,0.17169441,-41.63242,-1.6406049,1840.6752,0.13695048,1175.7325,0.24827448,-51.482864,-1.1570243,2932.4277,0.08475321,1038.9205,0.36895406,-58.11017,-0.9734161,-17.15004,-0.6002718,31.919935,0.22557068,0.060072493,0.3505533,-0.02274656,-0.67387104,0.9851727,0.6627349,31.507652,0.22904427,6.062364,2.2331464,-8.133297,-1.6915493,-14.596179,-0.73649526,-8.171654,20.083828,0.032348987,-0.008115167,0.3934737,3.4168565,2.0737329,0.4011111,0.2742847,0.07,0.05567764,-11.8285475,9,3-2,4,SPEAKER_00,115.733333,121.333333,115.733333,121.333333,4,4.40187499999999,4.401875,disengaged
36.865467,0.07316456,34.8905,36.53029,38.849495,3.9589958,143.27107,141.73692,39.50891,36.825497,1.2139446,0.5220124,0.7015684,0.9902609,1.8371143,1.135546,13.574184,5.872487,8.154523,5.2801666,0.85174453,0.7490049,25.831629,0.39761713,4.029307,2.8994915,-15.423395,-0.7846908,-10.485991,-1.0920777,0.027233608,1.665543,1.2103186,0.6536626,7.9523535,0.43881586,5.4147635,1.9116032,29.395273,0.5753781,798.8309,0.22867382,1337.985,0.16814426,-72.694275,-1.1861193,1811.1049,0.13494298,1237.3198,0.24170788,-78.85235,-0.9823156,2924.2168,0.08836809,1027.8127,0.2695067,-85.825096,-0.84731936,-13.245144,-0.6623158,31.594168,0.1993293,0.055188242,0.44463217,-0.019088965,-0.7623822,1.0521643,0.59297353,29.210873,0.25786006,3.835548,2.9981678,-16.5795,-0.73541224,-13.374092,-0.8092441,-8.389327,21.645653,0.034231514,-0.008639344,0.45093387,3.3280509,3.2051284,0.205,0.1684488,0.091578946,0.05392618,-13.481393,9,3-2,5,SPEAKER_00,121.366667,128.333333,121.366667,128.333333,2,6.325416000000004,6.3254375,engaged
36.83141,0.08537619,35.813053,36.42013,38.77193,2.9588776,438.38147,545.2365,24.998363,20.129116,1.282164,0.5142759,0.7303401,1.0712901,1.8229108,1.0925707,11.445451,6.975931,7.576329,3.220422,0.8715709,0.70636123,26.507881,0.3296459,2.0944598,6.7044535,-14.08655,-0.8671189,-11.906436,-0.76966953,0.015971225,0.8115545,1.2323217,0.64047885,8.119696,0.4953832,4.1684017,2.3976817,28.531397,0.37273628,778.15454,0.2505626,1330.5286,0.17983614,-73.140366,-1.2049826,1796.7607,0.13609912,1222.4144,0.23700957,-79.05835,-1.0121584,2906.66,0.09710909,1047.9326,0.30316928,-86.42999,-0.86413336,-12.350848,-0.88883406,31.448746,0.20732756,0.06016611,0.3746072,-0.01866151,-0.8369013,1.0940216,0.557875,29.195501,0.2658474,3.5972013,4.0720344,-15.506466,-0.801718,-13.369683,-0.6775225,-7.7255344,20.017399,0.042277507,-0.013617638,0.43858078,3.2258067,2.5125628,0.262,0.23142168,0.116000004,0.07227724,-13.249174,9,3-2,6,SPEAKER_00,128.366667,134.166667,128.366667,134.166667,5,4.0449999999999875,4.045,disengaged
36.34282,0.05265123,34.46965,36.739704,38.19632,3.7266693,77.36898,61.27221,15.916558,17.863434,1.3614498,0.42972675,0.86456776,1.1914924,1.8273509,0.9627831,15.68023,7.605719,11.020605,6.642461,0.9531336,0.663017,30.526295,0.27792203,0.34392196,36.35378,-15.313293,-0.7228294,-9.515312,-0.911772,0.016764063,1.1029884,1.1407791,0.5967822,7.4628286,0.5026117,8.217438,1.294487,30.86197,0.3521062,728.6519,0.26620972,1392.3068,0.1655371,-41.745373,-1.637498,1719.6467,0.1463686,1243.6957,0.35083157,-48.92664,-1.2519712,2873.6875,0.09941758,987.95544,0.20931323,-60.42048,-0.9285376,-12.908778,-0.8151654,31.376318,0.16765611,0.060477175,0.31227726,-0.015118264,-1.0897592,1.0977961,0.5688782,33.082027,0.17263617,1.1250305,11.33349,-14.835769,-0.7445179,-11.40578,-0.67957723,-3.6815026,20.146591,0.031570494,0.0025253256,0.30677912,4.571429,2.95858,0.274,0.29655352,0.055,0.035,-13.629043,9,3-2,7,SPEAKER_00,134.2,135.966667,134.2,135.966667,1,1.7666670000000124,1.766625,engaged
