F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,participant,session,clip_id,speaker,engagement_start_time,engagement_end_time,speaker_start_time,speaker_end_time,num_segments,speech_duration,label
36.569992,0.041758735,35.552193,36.713196,38.27695,2.7247581,13.882709,14.026207,11.698301,2.7885838,0.5011903,0.7427252,0.115920916,0.5031719,0.7947012,0.6787803,4.5257616,2.6918612,6.160655,2.7059746,0.24643168,0.95108587,30.020065,0.41320124,7.43078,2.0607927,-0.9279011,-18.600443,-12.2487135,-0.99542516,0.011647706,0.7877798,0.8044306,0.7740575,11.231792,0.26455525,9.499317,1.1870873,33.49568,0.23953475,814.51746,0.21755834,1362.2699,0.17374356,-68.60566,-1.1957057,1914.1099,0.12370727,1198.3356,0.203396,-80.633026,-0.8817559,2981.7954,0.06963104,1025.766,0.23921864,-84.62837,-0.8114047,-22.209133,-0.38561216,36.807774,0.21232566,0.056190867,0.47211638,-0.02120343,-0.57244927,0.32663608,0.7143035,35.103107,0.1417188,10.780395,1.1776263,-0.7979979,-24.2519,-15.658233,-0.7843595,-3.5861754,19.60724,0.029207835,0.006424456,0.060146093,3.5714285,2.8301888,0.24666665,0.23697165,0.13499999,0.095,-21.04331,9,3-1,4,SPEAKER_02,8.933333,10.066667,8.933333,10.066667,1,1.1333340000000014,disengaged
35.372105,0.065573625,34.117393,35.436016,36.98827,2.8708763,187.94896,145.95047,36.253395,57.74698,0.5202926,0.7030775,0.19109058,0.44643974,0.8529769,0.66188633,8.995268,6.1214585,5.081119,4.1837416,0.30429474,1.1395172,31.655254,0.54467314,12.616035,1.0090083,-4.43801,-3.1446414,-9.513324,-1.5828578,0.027318206,3.432594,1.0743787,0.877149,9.665438,0.29324588,9.338557,0.9387912,40.20306,0.20209163,783.8726,0.23878893,1391.8711,0.13529511,-64.53743,-1.2529746,1853.2229,0.12765339,1229.772,0.18766753,-74.558205,-0.9370137,3010.9202,0.07961896,1068.7361,0.25359598,-82.1249,-0.79652613,-20.115295,-0.4397284,36.306206,0.24275698,0.06363621,0.30894315,-0.02177537,-0.7061804,0.37443048,0.9940423,37.62858,0.2571978,11.026364,1.1904382,-6.2830815,-2.3828669,-13.86494,-0.9703342,-11.496847,20.251455,0.033671625,0.0020792612,0.10545775,3.475936,2.4456522,0.29666665,0.18773504,0.11571428,0.054734983,-21.568867,9,3-1,5,SPEAKER_02,10.1,14.666667,10.1,14.666667,3,3.7566669999999966,engaged
37.77131,0.10972891,35.51432,36.474285,41.2237,5.709381,94.70078,9.178627,52.542522,15.350956,0.4966067,0.79878384,0.16037387,0.3483032,0.9447232,0.7843493,12.519557,6.6205173,4.6553874,4.3661556,0.2835124,0.90480405,21.69948,0.80520433,13.8362,0.99678534,-13.206888,-1.1782621,-12.800982,-1.294365,0.060479637,1.7757347,1.6289812,0.81084114,7.8976645,0.4775823,5.2734275,1.9639736,34.209812,0.31764132,834.21295,0.17034508,1399.0709,0.17393537,-89.74907,-0.99116707,1852.9193,0.12315113,1188.4213,0.2602254,-93.822975,-0.85001314,2988.042,0.075868495,981.40497,0.25238895,-100.13054,-0.7477398,-13.962687,-0.7162562,32.325775,0.36135423,0.0645598,0.37099403,-0.017453667,-1.0056854,0.39747018,0.67838633,29.149355,0.4550478,7.1592484,1.7856331,-19.825315,-0.74596053,-18.860674,-0.9033931,-12.650081,20.494759,0.048041187,-0.0056653605,0.10752325,4.6875,3.3057854,0.1775,0.1035314,0.099999994,0.047434162,-23.506943,9,3-1,6,SPEAKER_02,14.7,16.5,14.7,16.5,2,1.2937500000000046,disengaged
34.358845,0.06562285,32.68765,33.965237,36.08793,3.40028,201.27026,98.57724,16.888382,4.72458,0.25036255,0.86597115,0.1040861,0.17222631,0.36302388,0.25893778,8.299037,4.3738933,-1.1089869,2.6542816,0.13914111,1.1887554,16.627422,1.5269573,23.256464,0.45031795,1.8368258,6.644877,-3.9042306,-4.0978284,0.026133226,0.88933533,1.7570342,0.743418,8.448573,0.28852767,15.806731,0.30315384,42.373962,0.26198456,700.94434,0.2525193,1495.4966,0.12066467,-122.35539,-0.6981498,1841.2296,0.12055768,1392.679,0.31689692,-126.97233,-0.5886808,2921.326,0.07328874,1250.1134,0.26317686,-129.33052,-0.55940205,-27.907455,-0.25836295,39.658882,0.22166078,0.04664537,0.57644176,-0.022826511,-0.72235537,0.20717125,0.7327853,36.158726,0.25560674,23.282476,0.27899194,6.954937,1.4699534,-11.186744,-1.5645565,-3.0072162,8.451752,0.023878966,0.009064461,0.03976285,3.1645572,4.0,0.105,0.051881272,0.125,0.061032776,-28.345713,9,3-1,8,SPEAKER_02,17.366667,19.266667,17.366667,19.266667,2,1.5962500000000048,disengaged
36.376995,0.11230837,34.73858,36.50125,38.003845,3.2652664,246.84654,179.96616,30.758802,19.200308,0.4688986,0.80915534,0.121850654,0.36129206,0.7958929,0.6740422,8.907446,4.3792667,5.0861363,2.8117728,0.3048115,1.1253204,21.362595,1.0167093,11.371355,1.3260857,-2.9196253,-5.8091407,-6.8866434,-2.4916952,0.025610335,1.7091309,1.4405456,0.73752624,7.8678513,0.4591782,10.10483,1.080012,33.4641,0.32949257,726.6979,0.27221045,1437.7615,0.15728958,-94.439995,-0.9514908,1784.1826,0.1439089,1215.0093,0.26738852,-96.04361,-0.84733576,2882.3047,0.08610074,1080.4175,0.2661741,-101.3902,-0.7545901,-18.029394,-0.60392517,32.791912,0.30631396,0.06261357,0.3864368,-0.015519225,-1.2930889,0.44297296,0.81917083,31.748116,0.3931863,9.279696,1.6348311,-3.578582,-5.1953278,-14.372247,-1.0633004,-6.9540715,16.802254,0.021848887,0.0135328695,0.096859,3.168317,2.9880478,0.19266666,0.17751871,0.13923076,0.1535709,-21.965395,9,3-1,9,SPEAKER_02,19.3,33.6,19.3,33.6,4,10.114999999999998,engaged
36.802032,0.13065904,35.094604,36.27354,37.944702,2.8500977,177.6854,96.87304,61.587933,49.475098,0.5779485,0.7563893,0.1686134,0.44523036,0.92479706,0.7561836,7.557384,4.1691804,4.925798,2.5524855,0.35483912,0.80975384,24.659525,0.7447378,14.9285,0.8903539,-6.789404,-2.55294,-14.867894,-0.9270379,0.03126138,1.3725367,1.3195693,0.75106627,8.0975275,0.4313192,9.627797,1.2413304,36.02184,0.31731734,720.1645,0.27826533,1487.8337,0.23799177,-65.0716,-1.2383815,1775.4578,0.14104135,1273.7028,0.21605551,-72.67968,-0.9524534,2898.1042,0.082597665,1101.4022,0.2763936,-76.93282,-0.833905,-18.300802,-0.6866938,32.224693,0.41961697,0.06552022,0.31009033,-0.020886933,-0.7969237,0.44504443,0.6238243,29.132168,0.56977564,13.324001,1.0391365,-10.2519,-1.8344772,-19.636942,-0.63585806,-12.53764,20.938368,0.05017945,-0.0029368384,0.15170138,4.285714,3.7037036,0.19399999,0.11706408,0.0625,0.040850338,-21.388075,9,3-1,11,SPEAKER_02,34.3,36.0,34.3,36.0,2,1.4131250000000009,engaged
37.552383,0.15390347,34.328896,36.701084,39.080788,4.751892,103.145905,104.53311,429.3507,736.46924,0.5701168,0.7327442,0.21498272,0.43251562,0.89306056,0.6780778,9.428644,4.0361567,6.6715007,4.690316,0.39986685,0.95707226,24.50603,0.7927953,14.4520035,0.97247046,1.3722452,12.493289,-11.364359,-1.4766979,0.02563194,1.4016914,1.2470247,0.69476277,8.44568,0.50746936,10.640609,1.1866277,31.640675,0.54337823,776.9011,0.26563185,1360.3662,0.15880516,-66.8352,-1.1639013,1863.0708,0.13200164,1202.5122,0.22758678,-75.18642,-0.8939108,2944.5073,0.07410793,1001.683,0.24500692,-78.41938,-0.82661176,-20.882423,-0.6092748,33.669514,0.4222982,0.05417596,0.48315805,-0.017436678,-0.9331055,0.48518768,0.82547265,29.881893,0.52558357,14.142529,1.0069357,1.6688013,10.435977,-13.977822,-1.1856047,-8.942151,17.530106,0.036753073,0.00106491,0.14940162,4.4198895,3.1657357,0.22941177,0.19255161,0.09083333,0.0586598,-18.366695,9,3-1,12,SPEAKER_02,36.033333,42.166667,36.033333,42.166667,3,5.441458999999995,disengaged
36.96348,0.053771127,35.586685,37.076115,38.540375,2.9536896,51.45202,32.94478,24.406284,15.263169,0.63966405,0.6165774,0.27567133,0.59027535,0.9666616,0.6909902,12.578178,6.7688403,4.7384353,2.7893348,0.44544166,0.76850724,29.270573,0.6666386,9.548226,1.673484,-6.111614,-1.9094023,-15.833271,-0.9018356,0.031126862,1.2164186,1.414069,0.75616586,8.372093,0.54709715,7.6423163,1.4120739,33.616055,0.3787822,764.9152,0.22645363,1413.0254,0.16297421,-68.22179,-1.1552757,1853.4592,0.12391039,1260.9763,0.24335861,-78.35659,-0.89408237,2986.8103,0.07040693,1074.152,0.29383266,-84.567825,-0.7829619,-22.678305,-0.45436355,38.16973,0.32024124,0.055566676,0.29834774,-0.023034897,-0.49429125,0.5500458,0.62533575,36.14791,0.24163823,10.414818,1.6102463,-2.374578,-4.2438664,-17.677496,-0.6520922,-6.4458,19.24906,0.055013724,-0.0026242754,0.21759693,2.95858,2.4390244,0.295,0.10452272,0.095,0.06538348,-16.931284,9,3-1,13,SPEAKER_02,42.2,74.9,42.2,43.90596875,1,1.7059687499999967,engaged
37.31911,0.08935569,36.494507,37.73031,39.943703,3.4491959,172.11594,242.61894,34.98065,18.090399,0.9417427,0.53959894,0.49592996,0.890596,1.3494768,0.85354686,14.304379,9.434253,8.087533,3.0914063,0.9179755,0.6879402,33.000572,0.16972457,8.082273,1.726775,-2.1363745,-7.05223,-14.713525,-1.196206,0.030464688,1.1591752,1.5318624,0.6469642,8.028418,0.43812555,4.3300447,2.6396012,30.036303,0.2769636,794.5883,0.19063692,1358.5765,0.22242844,-67.83244,-1.1557997,1874.3954,0.12553945,1100.6113,0.25796422,-72.71212,-0.9537738,2986.7305,0.08007923,1064.779,0.27733672,-79.413185,-0.8179343,-20.26822,-0.60334885,33.688778,0.26779693,0.053313605,0.38902372,-0.02673572,-0.71075886,1.0509253,0.5985237,34.385532,0.15053928,7.080655,2.1847858,-2.6398647,-5.612044,-15.395136,-1.0729301,-19.47653,32.386078,0.03797148,-0.015786976,0.49578056,5.960265,4.109589,0.17166665,0.100235835,0.06,0.02828427,-14.403313,9,3-1,16,SPEAKER_02,81.066667,82.9,81.066667,82.9,2,1.5295830000000024,disengaged
38.0379,0.11004855,34.72743,37.697174,41.16394,6.436512,57.897655,30.793402,83.75778,83.991455,0.6670243,0.7364979,0.22256029,0.54879636,1.1329882,0.9104279,11.817244,11.494434,7.6679,8.637884,0.44646803,1.0324756,20.65302,0.9018409,10.214732,1.3715883,-1.7626997,-8.333668,-11.895759,-1.6192354,0.02756831,1.9190725,1.4147326,0.83472633,8.754655,0.44992417,14.150183,0.7186623,29.710197,0.32770208,784.3734,0.22921658,1361.3164,0.18674867,-73.97613,-1.1516464,1904.6337,0.12589194,1169.8457,0.32638335,-82.969055,-0.8989307,2912.033,0.08333873,1038.0056,0.378937,-85.31394,-0.8544083,-19.319555,-0.55026525,30.794952,0.31843397,0.052116908,0.40715718,-0.02217822,-0.79836744,0.57322216,0.7850703,29.109669,0.34337953,7.8975377,1.8708639,-0.8020693,-19.861567,-17.783733,-0.9533078,-6.674044,13.7649,0.030672587,0.006517119,0.16631469,3.8543897,3.0368762,0.21857142,0.18589003,0.10583333,0.08901857,-16.762627,9,3-1,18,SPEAKER_02,83.6,89.5,83.6,89.5,3,4.685000000000002,disengaged
