F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,participant,session,clip_id,speaker,engagement_start_time,engagement_end_time,speaker_start_time,speaker_end_time,num_segments,speech_duration,label
36.97136,0.06636927,34.716133,37.055954,39.204964,4.4888306,134.13019,231.02359,40.638996,72.03541,0.3051658,0.75742024,0.113729514,0.24962619,0.4744111,0.3606816,6.2642293,4.1478047,4.2357078,2.8969584,0.1414245,0.91926247,28.56599,0.4644431,10.878691,1.0658814,-0.42294604,-31.540588,-13.90589,-0.9556477,0.023063615,1.0136188,1.5005603,0.7596345,8.688662,0.36673528,13.315714,0.697821,35.290234,0.24328326,752.80115,0.23491068,1410.3042,0.18335043,-62.683308,-1.2398552,1858.0479,0.12192759,1169.961,0.27385336,-71.09198,-0.9511575,2915.3623,0.09002934,1084.8126,0.2555415,-75.20586,-0.86873305,-19.638165,-0.41518918,33.07603,0.2812384,0.059674907,0.33471045,-0.022485333,-0.70039,0.17076525,0.78828424,32.85536,0.2700196,9.58943,1.1481528,-0.87403417,-16.782955,-17.256248,-0.7404466,-12.053526,21.811007,0.049467724,-0.00023165395,0.04663442,3.7102475,3.0357144,0.24235293,0.15058823,0.08461538,0.056106407,-29.326927,11,16-2,0,SPEAKER_01,0.0,7.133333,0.03096875,7.050968750000001,6,5.67,disengaged
37.44453,0.06374915,35.652405,37.167294,39.37712,3.7247162,119.93892,148.83955,29.111034,20.803307,0.3092412,0.80796474,0.085332096,0.25101185,0.5125057,0.4271736,5.323163,2.3299491,4.056903,2.4655485,0.13945407,1.1068201,23.666307,0.7843923,12.989694,1.0675663,-6.3558593,-2.507909,-15.541095,-1.0286442,0.01956022,1.3982297,1.1939251,0.7323509,9.475075,0.3849121,10.204924,1.1677598,36.810875,0.2588079,732.753,0.21518546,1406.9147,0.14714122,-79.70389,-1.0803703,1825.3306,0.11461638,1126.293,0.27086684,-85.95031,-0.8784485,2959.816,0.06834057,995.184,0.2898592,-92.19274,-0.7680031,-20.400558,-0.47683585,34.17397,0.29398385,0.060996797,0.28060532,-0.024871837,-0.6507887,0.18205395,0.9059573,30.695602,0.3828339,11.633476,1.1670935,-5.6631775,-3.0357914,-20.39394,-0.7261525,-8.855349,17.725622,0.046041433,-0.0013973862,0.056968134,3.5714288,3.6124797,0.1759091,0.13489589,0.09666667,0.08647414,-27.434471,11,16-2,1,SPEAKER_01,7.166667,23.2,8.265968750000003,17.20971875,4,6.176249999999998,engaged
36.972107,0.084376246,34.621887,35.78288,40.15848,5.5365944,32.457127,16.213032,23.423132,11.763184,0.592389,0.53262115,0.29604995,0.557173,0.7918699,0.49581993,4.688035,1.4976798,5.436289,3.6734128,0.25490892,0.8162054,29.618507,0.259926,4.5870924,2.6891367,-7.8845363,-1.402595,-32.1435,-0.4178393,0.02641442,1.0360489,1.0541933,0.67269063,7.1324577,0.5988585,2.0326474,4.352335,29.691637,0.35866094,745.8327,0.22286901,1303.3225,0.15849154,-19.250654,-2.673197,1839.1705,0.13630675,1152.3989,0.31293964,-40.33568,-1.121278,2915.254,0.065623514,850.6098,0.21702407,-44.07262,-1.0038508,-18.190443,-0.36278164,29.773909,0.27386132,0.0603121,0.21317396,-0.031745646,-0.38489464,0.2736416,0.7833821,29.371197,0.22694549,4.1527457,3.1241663,-8.175649,-1.4019316,-33.107708,-0.39884704,-16.64655,23.688131,0.05266404,-0.03358983,0.16931742,2.5641026,1.8018018,0.5,0.01,0.035,0.015,-24.311167,11,16-2,1,SPEAKER_02,7.166667,23.2,20.58471875,21.765968750000003,1,1.1812500000000021,engaged
40.22444,0.0383028,39.010067,40.20846,41.64588,2.6358147,142.96414,166.7007,10.860824,1.990354,0.47042173,0.5373305,0.19129983,0.51306134,0.670463,0.4791632,5.910605,2.3337944,3.919442,0.61002386,0.15911756,0.75902236,23.855858,0.33221298,16.867027,0.68575245,-1.3401661,-9.54497,-34.979576,-0.6324686,0.017187973,1.8119314,0.85839254,0.82035637,12.077226,0.20280267,14.956273,0.30825326,32.580837,0.24098471,766.66583,0.16121133,1314.8239,0.13279131,-31.053606,-1.4708856,1957.5186,0.11859602,1074.6272,0.20911136,-46.150963,-0.8484143,2955.0679,0.064617164,871.42566,0.32498977,-45.92684,-0.84576535,-22.1858,-0.23378222,30.020494,0.25452152,0.053869277,0.2789244,-0.039905112,-0.29374745,0.17482252,0.6867056,25.402243,0.27848014,15.560569,0.6452503,-0.5245285,-24.703884,-40.121998,-0.44465727,-19.005156,26.809322,0.02841339,-0.0035367562,0.064708866,2.8037386,1.9607843,0.465,0.145,0.04,0.0,-24.729006,11,16-2,2,SPEAKER_02,23.233333,28.666667,26.28846875,27.36846875,1,1.0800000000000018,disengaged
41.740505,0.0723962,39.322582,41.98836,43.711693,4.3891106,48.518223,31.738129,26.811773,40.554775,0.581206,0.74176645,0.11005371,0.5701811,0.9570559,0.8470022,8.719995,3.7506948,5.5457745,2.9169066,0.23395115,0.88825655,17.858164,0.61632705,2.3034604,6.4717913,-14.79125,-0.95113593,-31.779478,-0.58586186,0.018445699,1.6319283,0.9419486,1.0838617,10.984455,0.36255935,10.902308,0.9205061,29.887232,0.28678542,755.697,0.21857592,1354.1154,0.1553495,-68.31634,-1.3018017,1808.1832,0.122100085,1099.1031,0.25263655,-71.87996,-1.0608726,2878.5654,0.071274586,829.3742,0.36625424,-75.91939,-0.96932805,-14.805272,-0.56038386,25.78161,0.36979705,0.06402486,0.2863013,-0.02565929,-0.69192857,0.29083028,0.7069747,19.446682,0.4790722,-0.67600155,-22.661274,-17.804024,-0.75288326,-38.05514,-0.42909083,-10.863566,19.993938,0.04937285,-0.010217008,0.09006511,3.5353537,2.5445294,0.2745,0.26669222,0.104210526,0.095218085,-24.028425,11,16-2,3,SPEAKER_01,28.7,50.266667,33.08909375,49.407218750000006,6,7.931250000000006,engaged
41.02483,0.09170396,38.274406,40.55868,44.375942,6.101536,32.313423,18.765541,26.731413,14.557539,0.5793581,0.6055241,0.23433872,0.52908707,0.8918245,0.6574858,7.1222982,3.203987,4.436975,2.0880508,0.20858009,0.77320373,20.739407,0.423229,8.003702,1.8037213,-6.8061705,-1.6712928,-36.118053,-0.59991586,0.017730813,1.5669088,0.7843927,0.9243851,11.910807,0.26486206,14.517138,0.6582856,29.837637,0.2752161,788.6812,0.19020012,1363.727,0.23115851,-30.100103,-1.7855152,1898.0338,0.122801736,1099.6154,0.3426405,-42.569355,-1.0783759,2914.597,0.060244944,864.7897,0.30898172,-45.631714,-0.97388554,-18.449816,-0.4967243,28.400097,0.36099982,0.0688889,0.3445457,-0.02468546,-0.6181689,0.21871386,0.7304103,20.953674,0.39216033,7.511048,1.9936885,-7.6579237,-1.4329066,-36.3983,-0.5971639,-11.185029,16.290203,0.07141447,-0.02087507,0.14926022,4.0358744,0.92165905,0.98999995,0.53,0.14999999,0.0,-23.743944,11,16-2,5,SPEAKER_01,51.466667,61.933333,51.837218750000005,54.45284375000001,2,2.244375000000005,engaged
32.659027,0.08899247,32.089317,33.417904,34.17435,2.0850334,11.038061,18.014042,21.22782,0.0,0.38705987,0.7241022,0.11940898,0.34033522,0.69891465,0.5795057,4.211846,2.1195512,4.623517,1.1627041,0.114620864,0.7609353,22.484121,0.9280091,10.501913,1.0140203,8.465257,1.5448091,-10.102059,-0.977453,0.0344635,2.258998,1.2388362,1.0949866,8.962425,0.35604137,4.07991,1.5421978,34.23873,0.21446812,732.98175,0.16663684,1379.8257,0.1349708,-65.20819,-1.2853136,1823.1503,0.077983566,1041.4077,0.22790541,-75.80144,-1.0217506,2908.3262,0.051478826,971.20154,0.24080047,-81.70594,-0.8944681,-18.687502,-0.48532927,27.730389,0.39976314,0.05723563,0.22408141,-0.0319605,-0.45551777,0.14994106,0.5274024,33.228725,0.36522353,6.964124,1.4909171,5.6286926,1.9807584,-14.542965,-0.41906667,-3.4315414,9.228102,0.032206,0.0045090234,0.049836773,3.809524,3.0,0.22333333,0.098432146,0.086666666,0.04189935,-27.496395,11,16-2,5,SPEAKER_02,51.466667,61.933333,56.52846875,57.59159375,1,1.0631249999999994,engaged
39.08555,0.11685957,35.268356,38.207584,42.257523,6.9891663,198.34474,225.58713,26.642553,25.39137,0.37358877,0.951176,0.08089375,0.23413384,0.65681857,0.5759248,6.6851897,4.555408,3.8386452,2.461632,0.16163747,1.2092371,18.535124,1.034219,10.472064,1.4834639,-7.888206,-2.066175,-17.825071,-1.1167598,0.023085734,2.689016,1.2074858,0.8596148,9.764758,0.44211397,8.547394,1.4096823,31.818232,0.3130642,779.64905,0.20698246,1335.9121,0.17397381,-78.75206,-1.1134077,1870.7703,0.11729471,1132.9534,0.25796446,-86.31734,-0.889474,2940.8289,0.07328333,958.40485,0.31779248,-89.45369,-0.8265884,-18.699795,-0.58035576,30.382917,0.3989432,0.059147883,0.36592236,-0.02380186,-0.78146976,0.22035035,0.9349843,25.622522,0.55261827,8.111357,1.9524786,-8.90781,-1.9313229,-25.476187,-0.71805423,-6.3201814,14.364316,0.040921204,0.004837078,0.04258706,3.0705395,3.0025022,0.21138889,0.1480644,0.11387096,0.10921057,-25.494505,11,16-2,7,SPEAKER_01,63.566667,88.8,64.02096875000001,85.46909375,7,12.065624999999997,engaged
44.033463,0.11358685,40.323505,42.88447,47.887943,7.564438,32.044743,16.335003,54.769184,16.667452,0.46109018,0.64876693,0.14433227,0.4260134,0.81560826,0.671276,5.226755,2.685819,5.165209,3.4333308,0.20523497,1.0971886,17.293703,0.9940645,1.7247086,6.2376866,-13.207495,-1.0366307,-33.06657,-0.657813,0.028175713,1.4716592,0.9451544,1.0008758,11.575074,0.314944,7.8568783,0.9523606,24.791147,0.49547526,850.1583,0.17048232,1305.0845,0.2148053,-53.9267,-1.3476659,1903.2928,0.1228078,1156.3369,0.2771908,-61.679813,-0.96842885,2933.8767,0.067816064,893.2466,0.31257468,-65.02394,-0.88770425,-16.419735,-0.4229012,28.86873,0.26537526,0.06644798,0.3668337,-0.024833968,-0.6453072,0.24617274,0.9487591,22.39691,0.3830344,1.5945803,7.1711984,-15.385064,-0.85015655,-38.745045,-0.5119152,3.2335827,8.948288,0.04952349,0.011095157,0.044950083,3.6697247,2.347418,0.344,0.16230835,0.09333333,0.07586537,-25.1398,11,16-2,10,SPEAKER_01,92.266667,101.166667,95.03721875,100.26846875,3,2.1937500000000085,disengaged
37.398796,0.09281271,34.63956,36.33229,41.11268,6.473118,176.83865,200.874,64.202866,101.3376,0.34019065,0.86411333,0.06860189,0.2610848,0.58974504,0.52114314,4.6499634,3.5473268,3.4994912,2.3764968,0.11318764,1.0811988,20.707664,0.8409602,8.154017,1.8546839,-3.9052153,-4.0684605,-17.705921,-1.2010883,0.022395238,2.158812,1.0871776,0.9321281,9.440861,0.43113387,5.856011,1.9794153,29.150705,0.3713226,766.16394,0.23297378,1358.9115,0.18385908,-72.96812,-1.2081617,1851.2196,0.13929299,1159.0087,0.29846522,-81.420105,-0.96139467,2900.8718,0.0828023,972.48145,0.32064858,-85.11524,-0.8885855,-17.177504,-0.60662353,29.646282,0.371779,0.05362268,0.3421333,-0.021624422,-0.8724731,0.14877918,0.84851027,27.87421,0.4123684,5.3935757,2.7884638,-4.953084,-3.3773253,-24.98015,-0.81470966,-7.3275566,16.48624,0.037896577,0.01046503,0.03589277,2.98103,2.3369565,0.2832558,0.2634981,0.1302439,0.11026547,-29.079327,11,16-2,13,SPEAKER_01,105.5,163.333333,108.04784375,146.11784375000002,16,18.461250000000064,engaged
