F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,participant,session,clip_id,speaker,engagement_start_time,engagement_end_time,speaker_start_time,speaker_end_time,num_segments,speech_duration,label
37.074146,0.08149626,35.643536,36.839924,38.346687,2.7031517,250.49359,341.3399,78.05643,253.37537,0.32834312,0.68053025,0.12428372,0.2943629,0.5163386,0.39205486,5.116207,2.79957,3.0213215,1.52723,0.14249988,0.8316028,25.328596,0.7146679,10.621131,1.5166782,-3.2904403,-5.398944,-11.5456915,-1.6092339,0.020720795,1.617464,1.2056671,0.71553516,8.671517,0.46741042,10.81541,0.9677571,33.577217,0.36594054,756.8354,0.22933705,1360.3918,0.18156953,-64.260025,-1.2447572,1855.2786,0.12015288,1098.2117,0.26377887,-72.2807,-0.9741775,2939.4832,0.07622795,1018.45276,0.30471766,-77.29141,-0.86656153,-19.606066,-0.5741119,31.86189,0.35970703,0.07227932,0.3024065,-0.021351486,-0.8630331,0.17538127,0.64804727,31.600794,0.39407063,9.726213,1.6505374,-2.5807068,-7.15835,-16.398748,-1.0399063,-8.072977,17.424055,0.039945133,0.0075850696,0.0436486,3.5849056,2.5330813,0.28746268,0.24232295,0.1061111,0.08976134,-28.741772,5,10,9,SPEAKER_00,26.355,109.105,37.22346875,108.35159375,16,26.510625000000054,engaged
36.369186,0.11187176,34.301655,36.163914,39.181744,4.880089,62.34696,62.687588,38.492928,60.019127,0.282299,0.9231313,0.073236346,0.22515897,0.43609452,0.36285818,4.283889,2.9719255,3.0645444,2.221092,0.087024525,1.39587,21.665136,0.76096165,13.543878,0.85864043,4.008942,3.9554288,-23.308048,-0.83674175,0.016658874,1.5752923,1.0179858,0.94581217,9.749765,0.3718636,5.4653883,1.6312128,30.26458,0.43217775,768.86194,0.197288,1295.1061,0.17759934,-70.569664,-1.2318008,1909.3208,0.1087626,971.0328,0.35093528,-81.63397,-0.92102104,2952.2473,0.06546004,900.0682,0.38292837,-82.35166,-0.90573746,-19.640383,-0.45243022,28.65748,0.3840721,0.0727947,0.3115127,-0.03293958,-0.51272494,0.112661324,1.1825899,27.083345,0.4810023,13.320093,0.9153091,2.5194964,6.838678,-30.2295,-0.5312975,-10.47345,18.099697,0.035104737,0.00028407993,0.028721444,2.5591502,2.276029,0.29638296,0.29547963,0.12666667,0.17427945,-29.61997,5,10,9,SPEAKER_01,26.355,109.105,27.16596875,97.65284375,9,20.722499999999968,engaged
33.05698,0.11539549,29.684624,32.871796,35.56079,5.8761673,115.188576,162.50768,56.584705,27.313465,0.45089298,0.8517315,0.12148151,0.373288,0.69745433,0.5759728,6.4921107,2.3198671,4.020338,1.880464,0.2484988,0.9659958,24.188627,0.6623748,16.715189,0.8513301,11.679954,1.4982858,-14.108253,-1.1791523,0.025377156,1.2915205,1.4812918,0.6383718,7.437225,0.36257586,9.586812,1.2302041,32.257988,0.31806457,624.03326,0.33813718,1421.4308,0.17018749,-75.00233,-1.1972691,1759.0962,0.13954689,1115.5172,0.31809372,-83.259476,-0.94573593,2813.0398,0.08841148,1016.02905,0.35475248,-84.97011,-0.9113975,-21.217066,-0.3928147,29.972992,0.32881263,0.07167784,0.3307951,-0.027746093,-0.57267815,0.2869927,0.6826098,28.37458,0.42544612,15.851343,0.7887686,13.111165,1.4105706,-18.419378,-0.8947114,-13.294308,20.584114,0.04936591,-0.0076954328,0.17384249,3.3195024,2.606882,0.24799998,0.17083324,0.1290909,0.08327988,-24.47353,5,10,9,SPEAKER_03,26.355,109.105,73.72409375000001,100.90971875,9,9.65249999999999,engaged
37.303204,0.088014744,35.742664,36.855545,38.59521,2.8525467,333.0395,639.6057,51.50488,111.47894,0.3743667,0.86675245,0.13504854,0.30857778,0.5507791,0.41573057,6.6922865,5.8108273,3.5158937,3.4131372,0.1598101,1.0903993,22.363855,0.8506944,10.109696,1.6301367,-3.0283713,-5.90374,-13.039292,-1.4013122,0.018501343,1.5609896,1.1195594,0.69324046,8.962179,0.4326791,11.246301,1.0783608,31.801144,0.38909402,752.66406,0.24007574,1366.2992,0.1810905,-63.41595,-1.277421,1853.1436,0.13043547,1114.1497,0.31279597,-70.81206,-1.0107582,2929.8242,0.084915936,1005.221,0.2805781,-75.19185,-0.91015726,-18.496891,-0.61629075,30.553892,0.37315667,0.074355885,0.26397687,-0.02026509,-0.8794411,0.19661085,0.9007642,29.1767,0.43509898,9.835045,1.7205737,-2.6572263,-7.0687284,-18.198133,-0.8898795,-4.4108777,13.7234,0.043608196,0.013779578,0.048210703,1.932634,2.1288362,0.34441558,0.30113843,0.12492063,0.15035275,-26.744434,5,10,11,SPEAKER_00,111.554,227.528,112.31721875,226.72971875,15,36.230624999999975,engaged
31.586014,0.15934885,27.903675,30.517418,34.325638,6.4219627,248.44037,578.01416,130.87802,134.95985,0.35368347,0.7856068,0.10708481,0.29354417,0.5923288,0.48524398,6.2322593,3.6539505,3.9714086,2.4666963,0.15523952,0.90479606,24.308289,0.60825145,10.463958,1.322951,2.3444328,7.2573447,-12.791703,-1.1359067,0.031978186,1.599366,1.3571635,0.6406619,5.0460715,0.6733287,2.4115708,3.603379,27.283878,0.35913768,617.7195,0.32474107,1413.3086,0.15983006,-85.40581,-1.0966362,1669.4899,0.15276349,1116.3352,0.2503139,-89.89296,-0.9481796,2766.4995,0.07843651,935.7155,0.2692861,-94.29757,-0.86629987,-16.69019,-0.4912406,27.555025,0.32194233,0.061522733,0.34649098,-0.02051353,-0.9301379,0.17120777,0.66989297,28.933651,0.33401504,9.798083,1.4561081,3.229068,5.265613,-14.452733,-0.98231035,-11.017841,21.482304,0.048192926,-0.004200054,0.13436307,3.5511365,2.718169,0.21210524,0.16700391,0.1265,0.09778932,-29.727512,5,10,11,SPEAKER_03,111.554,227.528,113.95409375,213.82034375,8,7.053750000000008,engaged
39.551598,0.07590966,37.145504,39.30469,41.928753,4.783249,37.093056,39.149006,45.48874,53.343403,0.46946657,0.72347385,0.16507968,0.40674245,0.76718223,0.6021025,6.9574685,4.256964,4.9937706,3.11387,0.18433444,1.061264,17.891006,0.83229077,6.1355815,2.0838008,-4.29014,-3.3264139,-31.15732,-0.6579486,0.017008344,1.4071023,0.994337,0.9123541,10.267539,0.409245,10.409783,1.0685474,28.149412,0.33452687,779.50946,0.17244545,1246.7284,0.15616342,-63.511467,-1.3164458,1922.7828,0.105023265,952.2849,0.3304529,-73.72616,-0.98192734,2931.8464,0.06518725,807.9746,0.36974284,-73.98437,-0.9749887,-17.982887,-0.43433055,25.783756,0.3345067,0.074667454,0.24031596,-0.033350162,-0.50284624,0.22583665,0.90693974,22.51237,0.45442092,6.2293696,2.087953,-4.926295,-2.84462,-37.783882,-0.47178075,-5.9191747,14.508257,0.054371245,-0.0038796307,0.072458826,3.3694346,2.415459,0.29375,0.28676373,0.105405405,0.07431105,-24.85352,5,10,11,SPEAKER_01,111.554,227.528,115.96221875,219.45659375,21,16.638750000000115,engaged
30.312252,0.12684801,27.622166,28.866379,33.777813,6.1556473,91.60238,122.05477,76.184555,95.62117,0.22988515,0.7748058,0.08277769,0.17711928,0.37309265,0.29031497,3.5103953,2.2544284,3.0483942,2.8010073,0.09353905,1.1110927,23.341473,0.66290987,16.765606,0.75356674,10.105162,1.6543472,-4.653921,-2.990711,0.025253246,1.0668297,1.3329605,0.55608165,6.104518,0.47991875,4.0104017,2.8886487,28.626373,0.31672433,601.1168,0.34571272,1379.7493,0.1578037,-85.65996,-1.0535543,1672.1898,0.15624332,1159.3323,0.34166518,-92.258385,-0.8759479,2742.9023,0.082847685,995.9499,0.31877345,-95.398,-0.82088006,-17.753117,-0.43570912,28.275238,0.28683797,0.051171012,0.49723977,-0.0153599195,-1.1407598,0.11128999,0.8852379,28.590912,0.38499722,15.762263,0.8129496,10.997904,1.5458529,-7.8047047,-1.6303389,-13.292498,22.39309,0.03448534,-0.0003948453,0.06806721,3.2738097,3.4482758,0.16695651,0.13046521,0.10904762,0.08863541,-32.717556,5,10,11,SPEAKER_02,111.554,227.528,137.56221875,221.14409375,9,6.733124999999944,engaged
37.672157,0.098253384,36.10873,36.966568,38.397892,2.2891617,851.8938,1078.2798,2.0242767,19.011862,0.30252403,0.6755882,0.13113232,0.25646088,0.4375271,0.30639476,3.6883376,2.2514057,3.1974754,1.2684336,0.13411061,0.7186438,26.120691,0.6685867,13.317149,1.1913525,-0.20127831,-96.033516,-13.458112,-1.0183054,0.019941084,0.89541537,1.2107689,0.56153876,8.519853,0.4320499,11.277768,1.2145044,32.09185,0.41793057,749.2435,0.24986775,1315.4406,0.1974193,-56.171104,-1.3024923,1852.4745,0.13466223,1124.8406,0.31194112,-62.601494,-1.0136907,2933.9072,0.0870712,1048.223,0.30442232,-68.24281,-0.8801238,-19.920433,-0.58621514,31.462019,0.41120672,0.07601127,0.26705635,-0.021138385,-0.7817558,0.15680006,0.58404255,31.04159,0.43061855,11.213891,1.44045,-0.92189234,-21.518446,-17.05241,-0.7001731,-12.924059,19.426628,0.05933518,0.0048146416,0.053362,3.5369775,2.6143792,0.29999998,0.34186983,0.06,0.036742344,-29.956429,5,10,12,SPEAKER_00,227.528,234.78,231.21846875000003,234.34034375,1,3.12187499999996,disengaged
39.24473,0.039913002,37.78889,38.951374,40.916927,3.1280365,28.807634,24.667822,23.619476,14.808855,0.3244474,0.7658266,0.0798473,0.26898322,0.566698,0.4868507,3.1331205,1.1187878,2.160035,1.0798731,0.0779783,0.8477092,8.548316,2.010984,9.495028,1.3172044,2.2356782,5.3994675,-25.281109,-0.93259525,0.018593848,1.0838258,1.0187591,0.8205411,9.228237,0.49693567,10.635287,0.78214854,22.256115,0.48974475,786.2434,0.31509903,1290.176,0.23173907,-93.74257,-0.9719701,1936.5378,0.15446223,1057.723,0.36057168,-93.33756,-0.86854076,2846.3523,0.08613634,871.952,0.34919927,-90.64993,-0.9156342,-15.26857,-0.51381356,22.016235,0.4367102,0.07028494,0.27831677,-0.027610188,-0.56083596,0.11223079,0.5323387,16.500225,0.7904065,11.282551,1.1230586,1.6712489,6.641182,-34.72047,-0.635006,1.5207052,4.7402034,0.037092436,0.009637868,0.024057806,2.8070176,2.1505377,0.28,0.13428824,0.19999999,0.12016655,-31.618484,5,10,13,SPEAKER_01,234.78,247.44,239.26784375000005,245.34284375,4,2.868749999999892,engaged
39.119247,0.06022319,36.301914,40.548534,41.331944,5.0300293,9.149041,6.485336,11.66574,1.75284,0.43918598,0.58362794,0.13224743,0.45795026,0.6899186,0.5576711,3.313523,1.8568796,3.48323,3.642074,0.11301077,0.6239228,20.953562,0.36524725,13.680012,0.8954389,-4.8515935,-3.534378,-43.116253,-0.4530261,0.014477039,1.1043819,0.7069111,0.72230893,11.034588,0.32389224,8.734736,0.8995522,28.763502,0.3202709,769.99896,0.24666879,1331.3677,0.16222708,-33.017982,-1.7413068,1925.6991,0.14242274,1158.352,0.33353683,-48.65229,-0.9796139,2926.5085,0.06914538,832.7663,0.45274192,-46.626747,-1.0327897,-17.502125,-0.33567291,25.438969,0.2947177,0.067901924,0.33476382,-0.028498156,-0.43348795,0.11857788,0.6065185,21.826899,0.32517222,12.859387,0.9645661,-6.606898,-2.6494286,-44.5143,-0.40673935,-12.286253,17.767345,0.06374358,-0.013644423,0.10695565,4.6728973,2.9411764,0.29333332,0.2671246,0.026666667,0.0094280895,-28.491343,5,10,14,SPEAKER_01,247.447,256.462,247.90784375,250.50659375,2,1.079999999999984,engaged
