F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,participant,session,clip_id,speaker,engagement_start_time,engagement_end_time,speaker_start_time,speaker_end_time,num_segments,speech_duration,label
41.061127,0.07480475,38.176407,41.183884,43.71447,5.538063,39.356983,16.830381,42.929836,42.618984,0.28761315,0.86990327,0.015561935,0.26344,0.49177837,0.47621644,4.9480586,2.730012,3.6122262,1.5279002,0.12290971,1.0971948,19.022274,0.7549464,5.021101,2.401492,-3.9794478,-4.056998,-20.485123,-1.0471439,0.026511928,1.2142518,0.9526405,0.9147268,10.518975,0.2901722,6.7719245,1.3556504,27.120987,0.35127598,810.10516,0.21457136,1246.1403,0.16436164,-99.87034,-0.8959669,1902.2322,0.15011016,1033.3365,0.291742,-100.33397,-0.8090659,2918.121,0.07301097,980.1328,0.39552042,-102.620384,-0.7693441,-16.121485,-0.6331391,28.791397,0.37012365,0.055686906,0.35964808,-0.02003009,-0.9708611,0.1737432,0.766133,25.744347,0.37884247,3.2979162,4.0024457,-5.2148676,-3.5198982,-31.500639,-0.6252127,-7.9912825,18.870071,0.036639847,0.015252223,0.053923894,4.1899443,2.266289,0.25,0.18493243,0.17,0.21459262,-29.847448,12,2-2,0,SPEAKER_00,0.0,11.733333,1.71846875,11.08409375,5,3.5943749999999977,disengaged
35.282196,0.15701425,33.763912,37.80103,38.22969,4.4657784,576.6129,721.9969,336.33,505.86087,0.22069089,0.83615214,0.05463047,0.17725012,0.35136667,0.2967362,3.2240005,0.8187485,3.0051365,1.5823618,0.09491963,1.0099261,18.98578,0.96498144,17.850525,0.8450966,-1.6589372,-9.434957,-6.324417,-3.3808467,0.039114557,1.7971181,1.39814,0.854099,8.449098,0.52884245,4.575359,3.0748231,28.377508,0.48073822,835.952,0.19005387,1356.1687,0.18707775,-77.38968,-1.0691779,1933.6772,0.06697743,1122.7013,0.19275758,-87.21114,-0.8327207,2993.9458,0.057486773,970.035,0.34406048,-89.24208,-0.7983673,-23.824547,-0.4134266,35.712463,0.3218179,0.05768109,0.42708653,-0.018804584,-1.1075598,0.12943882,0.7623502,26.670902,0.5346084,17.359858,0.9649974,-0.9281583,-17.748232,-12.803927,-1.6028811,-10.192061,19.031883,0.03393322,0.014762854,0.034767836,3.2258065,4.972376,0.12444445,0.08207193,0.061249997,0.05325352,-29.631533,12,2-2,1,SPEAKER_01,11.766667,17.933333,11.97846875,14.05409375,2,1.873125,engaged
37.364098,0.08686373,35.409492,37.403824,39.085445,3.675953,389.28732,430.7661,50.64143,52.983078,0.2729763,0.76432663,0.075466655,0.23493615,0.45169467,0.376228,4.52141,2.2982974,3.410594,1.8958677,0.1357135,0.9522851,22.903837,0.7838867,13.938054,1.1330208,-1.9135128,-8.730782,-12.857933,-1.3998808,0.021374693,1.2980845,1.3834778,0.7833182,9.244229,0.39806798,8.993588,1.4166435,33.549145,0.3146852,803.48267,0.21897002,1374.2919,0.19151832,-85.17063,-0.9985712,1898.1462,0.11392436,1144.3625,0.24067034,-91.61681,-0.81600046,2977.674,0.07233187,1019.8562,0.28553402,-94.74947,-0.7631044,-21.6709,-0.52154994,34.165646,0.3293445,0.0645025,0.2979025,-0.020706115,-0.99052554,0.18126291,0.71085703,30.518534,0.39209175,11.978158,1.3414074,-1.8988558,-9.349749,-18.135475,-1.0103003,-10.661777,19.248064,0.041479133,0.0058873384,0.052866478,4.021938,3.213958,0.19457144,0.18711863,0.1175,0.120197006,-26.422966,12,2-2,2,SPEAKER_01,17.966667,34.5,19.42034375,34.135343750000004,5,10.951875000000008,disengaged
37.286987,0.07729204,35.1865,37.3741,39.242935,4.0564346,120.41572,286.03983,49.167793,98.704796,0.27535206,0.8724235,0.057495043,0.22698979,0.46574503,0.40824997,5.5701923,2.9825146,3.7313673,2.4093637,0.10104734,1.1248384,19.87657,0.9667017,9.173423,1.4096404,-4.0018945,-4.1617274,-15.28966,-1.1293628,0.019792348,1.4850878,1.1945133,0.8329777,9.70588,0.36245856,4.920247,2.3373797,28.961864,0.30306542,735.12885,0.27218863,1401.5509,0.1686849,-77.52318,-1.1115363,1786.946,0.15172713,1165.6791,0.2772995,-82.57248,-0.9372024,2885.488,0.08141271,1013.54834,0.3774566,-87.64398,-0.83828634,-17.874523,-0.53067744,32.157597,0.29691055,0.063040465,0.32898447,-0.016703477,-1.0459187,0.1365896,0.8381029,29.014088,0.36291036,8.700138,1.5433607,-4.6608047,-3.9013934,-22.210005,-0.670272,-3.3018668,13.516214,0.03651575,0.023632511,0.02503674,3.3962264,2.269289,0.29283333,0.22509326,0.13854545,0.15183027,-30.819216,12,2-2,7,SPEAKER_02,42.533333,85.0,43.46721875,82.14471875000001,12,26.51062500000001,engaged
40.03147,0.0279693,39.13101,40.342316,40.8918,1.7607918,22.522703,8.231735,12.460795,6.268279,0.18181042,0.57557786,0.116491735,0.1640101,0.25272498,0.13623324,3.3494148,2.4016774,0.8763178,1.3743459,0.046914484,0.82246995,29.164087,0.28991723,14.00739,0.6468002,2.3733082,5.3835855,-23.516607,-0.62168753,0.016448712,1.1259556,0.7122432,1.1191336,13.004687,0.29581556,14.940731,0.6912728,32.98601,0.13179836,882.9273,0.105378754,1344.8644,0.13584018,-66.40217,-1.0120047,2011.8197,0.08663289,1096.9878,0.23688512,-75.419815,-0.80968875,3036.6646,0.045452677,976.3464,0.29654703,-78.71649,-0.7566117,-25.966427,-0.28192234,38.309628,0.24817534,0.05820587,0.28306693,-0.020780886,-0.7539854,0.047014322,0.8681222,30.218855,0.18500605,14.028325,0.56979924,4.026359,2.74229,-25.590826,-0.5451531,-16.45995,30.2842,0.052804466,-0.0141968625,0.052596334,3.125,3.2786884,0.22999999,0.2747726,0.07666666,0.012472191,-36.798298,12,2-2,7,SPEAKER_00,42.533333,85.0,71.02409375,72.32346875,1,1.2993749999999977,engaged
38.051083,0.12605542,36.429897,38.009777,40.40886,3.978962,77.5194,65.03202,218.5265,200.52689,0.43670514,0.47001228,0.2525848,0.4159051,0.6131679,0.3605831,5.9456973,4.975809,3.586467,2.2249615,0.2865264,0.7822507,24.16141,0.4255807,4.4763756,4.2678404,4.052754,5.475634,-10.243901,-1.0159845,0.041212328,1.1919509,1.4019274,0.61925024,7.9366946,0.5217199,2.9091523,4.581029,22.210987,0.46668223,835.1139,0.22111496,1364.4761,0.19884615,-55.41598,-1.2478864,1918.3258,0.098286286,1143.8469,0.27692336,-60.233944,-1.0325087,2947.2148,0.07844445,1085.8899,0.29049334,-63.597095,-0.94526684,-19.694408,-0.7498269,29.129173,0.44097728,0.054362744,0.32967395,-0.014663374,-1.4583251,0.33981898,0.66964066,26.234133,0.3393593,6.155731,3.2387223,7.67691,2.6302078,-10.664807,-0.9302545,-5.287866,20.412987,0.047478244,0.0015251134,0.1353454,5.1282053,2.7027028,0.29666665,0.14839886,0.085,0.055,-21.224333,12,2-2,7,SPEAKER_01,42.533333,85.0,83.69721875,84.87846875000001,1,1.1812500000000057,engaged
36.66952,0.08850094,34.34252,36.167114,39.1927,4.850178,226.10616,470.8344,87.40671,151.69963,0.31627595,0.8618097,0.07115924,0.25210428,0.524262,0.45310277,6.5518346,3.216348,3.8450747,2.262609,0.11898428,0.9906259,19.145302,0.94881254,5.958088,2.4824774,-2.4277437,-7.567705,-17.306704,-0.8900025,0.02470448,1.3779306,1.3208125,0.80839384,8.21439,0.46510887,1.2463133,10.118904,24.247908,0.425137,712.1106,0.25352368,1388.0133,0.15679634,-84.19494,-1.0503553,1765.06,0.13983893,1096.2333,0.29122892,-87.75646,-0.92532706,2850.8525,0.085671544,931.5119,0.38480964,-92.62742,-0.83378184,-15.039207,-0.5907152,28.41591,0.33996618,0.061419927,0.3403031,-0.018844964,-0.9154593,0.16418089,0.7247233,27.193665,0.37252602,3.4757369,4.2091885,-3.6240177,-5.4517045,-23.281199,-0.58574796,-5.3797894,14.780348,0.0404119,0.009882149,0.041312005,4.01811,3.1782067,0.19053571,0.173683,0.11333333,0.09076293,-30.594284,12,2-2,15,SPEAKER_02,97.933333,160.9,97.93971875,158.72346875000002,15,17.685000000000002,engaged
39.543434,0.07486312,37.79832,39.484863,41.3537,3.555378,39.807526,20.636389,25.66479,36.604923,0.32067084,0.8839603,0.06012557,0.22189787,0.59658897,0.5364634,5.8169827,3.39307,2.894589,1.8792553,0.11598875,1.100722,19.46143,1.0166401,11.681741,1.0602565,-1.4737632,-9.016481,-26.040703,-0.7173503,0.017757993,1.5332735,1.0276804,0.99199826,10.846079,0.3697468,9.307132,1.0902174,31.280352,0.3165672,805.508,0.1922546,1296.5643,0.19831975,-82.83837,-1.0427111,1938.8306,0.12084792,1096.9159,0.33810654,-91.683266,-0.8174232,2948.1782,0.06495317,958.4165,0.33092213,-92.79655,-0.7941032,-20.019958,-0.5170066,30.51465,0.39115715,0.07089859,0.2788184,-0.027284821,-0.7216869,0.15685411,0.8273608,26.917969,0.45896313,10.516335,1.2730453,-3.6656628,-3.807364,-34.16908,-0.44211584,-6.8912177,15.781824,0.049166888,0.007401575,0.03892233,2.777778,2.8636022,0.22,0.15899354,0.11771428,0.08828802,-28.870344,12,2-2,15,SPEAKER_00,97.933333,160.9,98.00721875,156.63096875000002,15,13.331249999999969,engaged
36.75646,0.08273979,33.927315,37.543762,39.67375,5.746437,226.46042,180.9713,37.786224,47.450993,0.21578468,0.7883994,0.049043,0.18930164,0.3710289,0.3219859,3.9301786,1.5989158,3.1578033,1.5193073,0.09542097,1.02371,22.285797,0.7150138,9.761837,1.328942,4.8917184,3.2444644,-16.786356,-1.0466942,0.019013118,0.80651766,1.5365554,0.8079981,9.162394,0.38119015,6.389612,1.8907259,28.175034,0.3595831,753.55475,0.26374283,1424.2301,0.19203165,-101.26837,-0.8461353,1837.2156,0.15443632,1056.7391,0.26366928,-104.16794,-0.7547526,2892.9077,0.09671185,1031.0598,0.34637013,-106.76662,-0.7101327,-19.76482,-0.5280117,31.755322,0.3331154,0.055104855,0.42376843,-0.018532014,-1.0357124,0.12921822,0.70158887,29.77312,0.39276424,9.542417,1.3142573,3.8312116,4.570757,-20.288189,-0.8418171,-10.2579155,18.549074,0.043937415,0.0041037714,0.053004935,4.347826,4.1564794,0.12705882,0.08962435,0.0975,0.08656645,-31.787699,12,2-2,15,SPEAKER_01,97.933333,160.9,100.03221875,160.73159375,4,4.15124999999999,engaged
39.747242,0.19610855,33.621193,35.145813,49.567383,15.94619,115.25167,112.18668,74.08311,62.597637,0.31600842,0.65933126,0.11653239,0.26219016,0.5698728,0.4533404,3.6007302,2.2430794,2.6738992,0.7109406,0.11690991,0.90183854,18.200365,1.1071639,9.784113,1.0560067,-1.9558498,-9.202954,-21.842722,-1.1995443,0.024402129,1.4717045,0.9881455,0.7041518,9.834635,0.32929787,8.259691,1.0440673,25.738321,0.8622039,892.8946,0.19501482,1381.3484,0.12811631,-70.18933,-1.228518,1965.1925,0.087416284,1086.7079,0.29585963,-78.454254,-0.9521741,3028.0981,0.05835922,973.50037,0.16746783,-79.52437,-0.92797285,-18.852724,-0.42764828,31.13152,0.35661715,0.0852781,0.2937859,-0.024622926,-0.79202926,0.15274788,0.7137813,22.955362,0.78402334,6.6938763,1.2912159,-4.957987,-3.4051824,-30.410273,-0.8203105,-7.6933727,11.754614,0.05687391,-0.0028971485,0.050587233,3.960396,2.0833335,0.33499998,0.085,0.125,0.065,-28.432438,12,2-2,16,SPEAKER_01,160.933333,162.966667,161.00159375,162.03096875,1,1.0293749999999875,disengaged
