F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,participant,session,clip_id,speaker,engagement_start_time,engagement_end_time,speaker_start_time,speaker_end_time,num_segments,speech_duration,label
36.87088,0.11033971,34.986595,36.3145,38.397396,3.410801,172.04399,204.93561,129.54247,185.94414,0.3232974,1.0117607,0.09614829,0.27566782,0.48964,0.39349172,6.1563816,4.617803,2.9381974,2.9877694,0.14232065,1.7688733,21.996067,0.8970256,12.775163,1.1271836,-6.1618943,-2.347063,-13.623054,-1.2733685,0.024822153,1.9325098,1.1412523,0.9209072,9.341685,0.4094302,9.7324915,1.2739372,34.791344,0.33185372,755.9865,0.24868676,1354.9974,0.1789605,-79.297165,-1.1063892,1846.3961,0.13884537,1150.7537,0.26302212,-86.79159,-0.8845066,2948.975,0.086748116,1033.3525,0.3018133,-90.93917,-0.807102,-19.729385,-0.5663602,32.378468,0.3536916,0.077104345,0.25651646,-0.020324918,-0.9018907,0.19024545,1.526232,30.579453,0.40974158,12.438426,1.2326375,-6.922774,-2.2381182,-19.64987,-0.78347063,-7.2698393,14.957645,0.049398415,0.0052856645,0.04697071,1.6481547,2.6202443,0.24465753,0.2104534,0.119571425,0.10498211,-26.308002,17,2,0,SPEAKER_00,0.0,146.9,0.03096875,146.01659375,22,27.928125000000012,engaged
37.58351,0.16162787,32.21755,37.054398,42.76868,10.551132,222.26851,442.92355,135.62303,287.5702,0.34045473,0.82389116,0.093223326,0.2903032,0.53473663,0.4415133,5.5541306,3.9844034,3.2529895,2.1906302,0.1218682,1.3232476,22.763323,0.6856962,6.0029883,1.9954879,-9.860614,-1.8080971,-17.408846,-1.0171242,0.02380986,2.0286176,0.9895882,1.0774359,10.119997,0.47103247,10.310896,0.93276274,31.573849,0.34635064,805.49445,0.22606015,1335.5052,0.18547636,-73.08389,-1.1994576,1834.9854,0.124501385,1109.2117,0.3253818,-79.25039,-0.99226934,2959.542,0.078290075,891.24097,0.37138045,-84.86594,-0.87809753,-17.135136,-0.46978307,30.832302,0.29125616,0.076943845,0.2800637,-0.01823981,-0.92123115,0.14805475,1.1226625,28.36268,0.32228726,3.9360607,3.0401592,-11.26461,-1.6783602,-21.231287,-0.8028428,-9.146104,19.228144,0.049811263,0.0004552843,0.065308616,2.69179,2.752647,0.23867132,0.25791317,0.107883215,0.07765195,-26.89652,17,2,0,SPEAKER_01,0.0,146.9,9.66659375,136.58346875,34,52.02562500000002,engaged
27.687662,0.10992561,24.636414,26.9836,31.242447,6.6060333,51.605732,23.97464,28.696554,14.572911,0.23524335,0.70607406,0.076316684,0.21426113,0.3676168,0.29130012,4.108385,2.3325593,2.236028,1.4258302,0.11132606,1.0273257,25.749968,0.5912274,11.494442,0.8816413,-4.108206,-3.0096543,-13.739741,-1.0667586,0.019616285,0.89090455,1.4725167,0.58867174,4.691379,0.5638365,-6.76816,-1.0349123,27.418964,0.2837316,692.9128,0.25298926,1467.3444,0.13652217,-66.84201,-1.3493186,1762.2802,0.11750481,1220.0817,0.23631124,-78.61923,-1.0370998,2885.805,0.07942292,1024.113,0.27508464,-83.263306,-0.9404345,-21.639675,-0.2534865,32.61249,0.19972588,0.07393478,0.26410267,-0.03183767,-0.49888268,0.1439209,0.7683256,33.037537,0.23611416,13.26619,0.7401791,-5.884724,-2.1530738,-17.045025,-0.86651427,-9.490751,17.406378,0.055937078,0.0024396798,0.04847857,3.6866362,3.030303,0.21,0.12890066,0.10583333,0.043293253,-31.979036,17,2,0,SPEAKER_02,0.0,146.9,21.71534375,143.62034375000002,8,4.353750000000026,engaged
31.811749,0.08608122,29.150251,31.675303,35.476177,6.325926,54.677826,38.21287,53.507603,36.887066,0.270351,0.91139656,0.058015857,0.19926745,0.43760008,0.37958422,5.4654126,1.3003765,1.2890036,1.8359311,0.13873157,1.1429303,27.53479,0.44568557,8.246419,0.7710263,0.27259058,54.20796,-8.917338,-1.5652182,0.017889366,1.6892436,1.5300728,0.5483572,7.041116,0.43798953,-0.85410774,-14.108688,32.13759,0.29184645,654.7877,0.28885812,1458.476,0.13035668,-79.35741,-1.1410166,1707.7626,0.13000052,1027.6824,0.2382976,-83.54657,-0.99472415,2835.2827,0.09164851,1166.5583,0.3756719,-90.31468,-0.8640701,-18.968735,-0.22924891,29.168919,0.2333559,0.08138488,0.21145816,-0.026390593,-0.57946604,0.20875143,0.7958021,33.469185,0.15656504,8.503852,0.6145078,-0.15958938,-99.25355,-12.713737,-1.0760992,-12.4657755,21.597742,0.044077184,0.009184467,0.026203543,4.5454545,3.809524,0.1575,0.101581246,0.085,0.08381527,-28.351086,17,2,0,SPEAKER_03,0.0,146.9,55.414718750000006,57.03471875,2,1.113749999999996,engaged
37.823013,0.10466654,35.92766,37.69499,39.013268,3.0856056,1142.4666,1549.1482,29.920027,23.68606,0.36153483,0.49214613,0.18986744,0.33761021,0.5275011,0.33763367,3.5019922,1.2224348,3.9553502,1.9641804,0.15727511,0.55937415,25.721273,0.5677685,18.051517,0.6909855,-5.795647,-2.6731293,-12.751036,-0.99746764,0.024703333,1.4563773,1.1400566,0.7344024,9.502483,0.3560669,9.486443,1.382303,32.782623,0.35719377,761.8983,0.25911856,1397.9448,0.16757247,-45.53986,-1.2925956,1785.353,0.15267462,1143.8591,0.22618517,-54.734024,-0.90710574,2924.8992,0.08620956,949.4358,0.27871755,-61.971153,-0.73774636,-20.312296,-0.46718183,34.602585,0.2572177,0.06419679,0.35012746,-0.018744936,-0.6416988,0.17202193,0.4818487,29.33595,0.35249445,16.4688,0.7828709,-6.861627,-2.291244,-15.021778,-0.74348396,-12.378123,19.065685,0.059498575,-0.0030694816,0.09807204,4.790419,3.726708,0.225,0.15489243,0.04,0.02828427,-28.208775,17,2,1,SPEAKER_01,146.933333,160.0,157.01909375,159.04409375,2,1.6875000000000284,disengaged
38.335663,0.1433273,33.7193,37.391468,43.495926,9.776627,109.17642,154.08565,86.614395,119.24372,0.29954395,0.83063227,0.08045226,0.2767713,0.44134527,0.360893,4.619952,2.8277476,2.8231685,1.6172986,0.099469624,1.3730754,21.723946,0.77040714,7.1375675,1.8465736,-6.9901285,-2.3638685,-15.086574,-1.163215,0.019670617,1.7923293,0.9098978,1.0426971,10.655894,0.42652908,12.480165,0.8669637,30.71166,0.34057772,812.84924,0.21166924,1320.6871,0.20149608,-71.195694,-1.1784023,1841.6349,0.11845398,1099.3584,0.31265783,-78.55695,-0.9640513,2947.907,0.07090157,892.50134,0.4343907,-83.570694,-0.8645708,-18.027868,-0.5782246,31.18362,0.32601723,0.0741501,0.28060862,-0.015206081,-1.0963268,0.123222046,1.1803436,27.70503,0.40158942,6.2782607,2.1974106,-7.915574,-2.1659284,-19.584314,-0.81412095,-6.9834757,17.354214,0.04352438,0.008816977,0.043532334,2.454283,2.508442,0.27057692,0.26603508,0.11520833,0.09185563,-28.657389,17,2,4,SPEAKER_01,164.0,209.866667,165.08534375000002,205.95659375,10,20.789999999999992,engaged
36.12924,0.1099395,34.2827,37.070347,38.361156,4.078457,229.24393,271.19086,162.77243,158.66513,0.35876852,0.6795484,0.10856453,0.35866284,0.55092174,0.4423572,5.576268,3.4695182,3.271679,1.4024763,0.17427766,0.9510213,27.447134,0.47912523,9.672463,1.4840171,-3.3902678,-4.68057,-10.729797,-1.5388738,0.03597396,1.7284173,1.2134691,0.65260816,8.370605,0.39592263,5.9176235,2.1072433,31.909746,0.3234603,717.39435,0.29842722,1345.1947,0.14532657,-63.23826,-1.2901833,1783.9294,0.15647113,1133.8438,0.3033504,-70.46392,-1.0091947,2893.3127,0.10332467,1020.79565,0.26418254,-76.46967,-0.8777031,-18.330711,-0.550112,31.547235,0.28408432,0.07545193,0.29893166,-0.016200645,-1.2257023,0.20840093,0.8178949,31.734446,0.2727873,8.480779,1.7966455,-5.849704,-2.8116667,-14.708109,-0.9762696,-13.778105,22.960268,0.04142535,0.008575203,0.086952895,3.2786887,3.3240998,0.21583334,0.32011607,0.07,0.07096734,-27.274265,17,2,4,SPEAKER_00,164.0,209.866667,195.84846875,199.78034375,2,3.678750000000008,engaged
36.44853,0.0591167,34.805687,36.75294,38.161465,3.3557777,89.65694,56.85477,9.789568,8.485249,0.3473142,0.65127206,0.11908462,0.34895816,0.5366491,0.41756448,4.4891505,2.168534,3.8405778,1.590047,0.14116094,0.87440705,25.83287,0.7176551,8.29288,2.0277104,-11.1367,-1.3998486,-11.833711,-1.1275166,0.01298622,0.80045545,0.94855696,0.7295259,9.565271,0.33790812,7.536445,2.0386708,36.160046,0.32360587,730.28937,0.25947532,1368.642,0.18256432,-61.67043,-1.3155793,1744.1147,0.14918484,1167.711,0.30502716,-69.10238,-1.0545254,2944.4062,0.07065781,984.5944,0.20919836,-79.118645,-0.84005404,-19.021358,-0.66613144,35.382484,0.2501044,0.081579275,0.19873649,-0.013194003,-1.5015509,0.17810212,0.68320036,33.606834,0.25916418,9.713081,1.8623041,-12.7386875,-1.3365399,-16.508728,-0.5991074,-4.000571,15.084539,0.060120843,0.012469816,0.046449237,4.347826,1.923077,0.38333333,0.32499573,0.085,0.03354102,-28.78824,17,2,6,SPEAKER_00,212.733333,231.233333,216.40221875,218.69721875,2,1.6200000000000045,engaged
35.237,0.1168563,32.118675,36.21396,38.338036,6.2193604,109.366905,102.784355,137.10445,271.68546,0.21913594,0.8613547,0.056571454,0.16597468,0.38143373,0.32486227,5.8507547,2.9867146,3.5830905,2.4679823,0.0797605,1.0048525,24.270199,0.7079126,10.149189,1.2753558,-2.5742588,-5.25506,-4.2337766,-2.2293122,0.03435894,2.5179489,1.3849263,0.83585733,8.096192,0.44982347,9.462646,1.1032221,32.918106,0.29600796,769.9468,0.2216833,1389.5626,0.15542537,-100.696175,-0.88517004,1778.8579,0.1010285,1073.1794,0.27756095,-104.5105,-0.7923438,2933.4492,0.07302143,858.91693,0.3115043,-109.994385,-0.70741564,-17.093224,-0.54243946,30.197712,0.37509716,0.07068034,0.29317516,-0.013565254,-1.0471228,0.11574964,0.73911643,30.565985,0.38591626,7.815515,1.5845863,-4.3272653,-3.190518,-6.923394,-1.3082833,-12.732237,24.209816,0.044059765,0.005474869,0.038543586,4.588394,4.076087,0.122999996,0.103735246,0.109642856,0.09409274,-34.05997,17,2,6,SPEAKER_01,212.733333,231.233333,217.97159375,227.13471875,4,7.4249999999999545,engaged
38.6422,0.101823635,35.522766,39.140305,42.120148,6.5973816,235.50526,235.0921,65.34618,76.30643,0.33273903,0.83471227,0.09586311,0.23426962,0.5966978,0.5008347,6.8584375,3.462498,4.325601,2.6079319,0.123496346,1.0455991,23.84539,0.52344126,5.027164,2.5858307,-7.0540576,-2.1121154,-15.21535,-0.88655823,0.021365367,1.5568471,1.1536571,0.8898682,9.765042,0.41152632,9.436824,1.0158559,29.057333,0.3744834,788.8454,0.1972357,1354.2104,0.17889678,-75.645515,-1.1157347,1799.0962,0.10940657,1046.3848,0.28969172,-79.37468,-0.966871,2933.5708,0.07143637,852.4503,0.45620126,-85.488754,-0.8495269,-16.650705,-0.5051321,28.70386,0.33593062,0.06743876,0.27812263,-0.014884456,-0.9876975,0.15091,0.85575384,27.136225,0.35507387,3.6476736,3.5229197,-7.005095,-2.2542472,-18.427458,-0.71035284,-11.082381,22.50401,0.052255962,0.00057498243,0.06456873,3.6144578,3.3039649,0.19899999,0.1325481,0.09423076,0.07281024,-29.425777,17,2,7,SPEAKER_01,231.266667,258.633333,231.48846875,255.14721875,11,9.146249999999924,disengaged
