F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,participant,session,clip_id,speaker,engagement_start_time,engagement_end_time,speaker_start_time,speaker_end_time,num_segments,speech_duration,label
48.14756,0.096581124,44.97754,49.34054,51.401,6.423462,33.99779,8.974338,-44.43283,52.339893,0.78375894,0.4717398,0.3567086,0.8915563,1.1172757,0.7605671,7.6608396,4.5614114,5.531777,3.1399593,0.47229567,0.76870644,19.98004,0.2985666,-3.3475556,-2.5080907,-10.418049,-1.0113004,-21.089993,-0.74082905,0.030937249,1.186923,0.9571502,0.74267066,11.590721,0.3211587,10.001169,0.8064685,22.809105,0.44436124,946.8371,0.14605443,1184.8717,0.14659569,-88.831825,-0.9820006,1967.7855,0.08208152,1108.2782,0.33459076,-92.65694,-0.8501453,2965.611,0.049242288,879.0963,0.24369763,-95.46243,-0.8020312,-13.768024,-0.55145323,25.940685,0.34672228,0.053885445,0.5398896,-0.02400563,-0.6374056,0.5987558,0.4735016,20.102354,0.28348058,-5.2718115,-1.6216462,-14.399294,-0.7790166,-28.267258,-0.46096689,-8.912168,20.266851,0.020370426,-0.008920347,0.30821913,4.424779,3.738318,0.1575,0.060981553,0.11666667,0.08956686,-19.383217,9,3-1,0,SPEAKER_01,0.0,2.166667,1.0265937500000002,2.166667,1,1.1400732499999997,disengaged
36.79612,0.0380449,35.626205,36.9003,38.34796,2.721756,36.448,30.466642,11.648139,2.480464,0.8255424,0.47993058,0.35333788,0.8620496,1.0778774,0.7245395,4.515202,1.556137,6.7050767,2.5505543,0.46869513,0.75506747,31.282866,0.16126421,0.664652,12.838224,-8.619711,-1.3395343,-12.1181345,-0.80564386,0.021090915,1.0609769,1.0561152,0.57685304,8.495088,0.51670355,4.4002137,1.7327574,28.001001,0.2721666,759.7906,0.27178788,1379.5763,0.21444915,-87.517395,-1.0389117,1783.1692,0.16746318,1147.2521,0.2150944,-88.189514,-0.922771,2889.3848,0.09112023,922.25995,0.15170462,-93.880295,-0.8231478,-17.151688,-0.28785142,31.327019,0.1451053,0.05327882,0.381448,-0.025352942,-0.24276108,0.63558686,0.5192774,33.473698,0.06849978,3.3014145,2.3537188,-9.180111,-1.3571898,-16.75271,-0.40051946,-6.5939817,21.325663,0.00945295,-0.010433018,0.21610762,3.5714285,2.8301888,0.21666665,0.22395435,0.17999999,0.12,-18.860868,9,3-1,4,SPEAKER_03,8.933333,10.066667,8.933333,10.066667,1,1.1333340000000014,disengaged
35.834892,0.04968584,34.44968,35.76769,37.31718,2.8675003,104.89279,144.34265,12.172473,8.347959,0.78538495,0.47882986,0.48268577,0.7519716,1.0965016,0.6138158,10.214467,6.593484,4.8017583,3.2888107,0.42431387,0.8894008,27.008,0.34777734,3.0984967,3.2025557,-7.4216943,-1.4824501,-8.664098,-1.525903,0.018395897,1.3951367,1.1730686,0.5178741,8.07756,0.32082832,6.7018228,1.3746686,31.28817,0.22901194,796.3927,0.22097553,1415.9187,0.14213797,-82.95908,-1.0952857,1808.016,0.12814406,1229.9977,0.20186114,-86.52515,-0.9405644,2923.2646,0.092387125,982.45056,0.33576393,-92.28212,-0.83673036,-15.246063,-0.39944386,29.615183,0.2288926,0.047415458,0.3979507,-0.021065067,-0.58081627,0.5414715,0.75308794,31.565222,0.17343725,4.791543,1.9896693,-9.078413,-1.2429395,-14.0578,-0.7609016,-6.7806163,18.608501,0.019288778,-0.0031314895,0.22997704,3.1707318,2.469136,0.251,0.18381783,0.14777777,0.124255806,-20.19427,9,3-1,5,SPEAKER_03,10.1,14.666667,10.1,14.666667,2,4.111042000000005,engaged
40.255276,0.15574601,35.705208,36.723343,49.61138,13.906174,595.9551,695.4332,20.776068,18.133127,1.0508761,0.41845685,0.6680063,0.9606956,1.3945646,0.7265583,11.461711,6.835219,3.6630101,2.572178,0.5787868,0.74945825,20.82018,0.4785527,-0.5065515,-19.96687,-14.09333,-0.7608543,-12.261801,-0.9770555,0.020107174,1.1967818,1.3266948,0.51465815,6.4242125,0.35942268,6.646076,1.79416,28.839426,0.37003422,821.8203,0.19184072,1288.9634,0.17945719,-89.91061,-1.0451679,1800.4906,0.12955782,1206.2151,0.32259965,-86.05728,-0.986778,2862.5928,0.092462696,1160.79,0.58790404,-92.66661,-0.86664015,-8.003053,-0.69964534,23.658445,0.4131164,0.04112497,0.55922306,-0.015998399,-1.0723672,0.57851815,0.5655865,23.697863,0.42192838,-1.8334999,-4.3772783,-16.680246,-0.595418,-15.354033,-0.8140522,-9.188669,20.552252,0.024103463,-0.012041169,0.3793754,3.5714285,4.6153846,0.12166667,0.06121456,0.074999996,0.023629079,-19.878195,9,3-1,6,SPEAKER_03,14.7,16.5,14.7,16.5,2,1.4118749999999967,disengaged
35.746952,0.1031141,33.151234,34.81608,36.584583,3.4333496,238.67172,142.78677,59.691227,53.942917,0.7544297,0.446097,0.5331196,0.6717586,0.8809099,0.3477903,6.7925506,4.0139093,-0.09402784,3.450888,0.3977669,0.55947393,18.095886,0.44751933,8.69376,1.7332202,-2.219251,-4.4108257,-4.3151145,-3.2663195,0.04745479,1.2519801,1.5388887,0.3715764,5.0502815,0.81384045,10.438568,0.87579155,27.248121,0.42418912,726.5013,0.24386616,1418.8245,0.10896583,-149.11067,-0.54359317,1795.1293,0.14006995,1299.5848,0.114524625,-147.2222,-0.5409676,2766.6594,0.08673307,997.7806,0.25094387,-148.76851,-0.5169304,-10.66577,-1.1102135,24.958433,0.23268038,0.021738192,0.8646336,-0.0116917305,-1.8623675,0.5423979,0.4885487,22.614151,0.2370979,5.004372,3.9311826,-4.495916,-2.999488,-12.206038,-1.1608359,-10.1298275,19.551367,-0.021843495,-0.007517591,0.32282242,3.97351,2.7972028,0.095,0.03774917,0.24249999,0.09337424,-23.583902,9,3-1,8,SPEAKER_03,17.366667,19.266667,17.366667,19.266667,2,1.5287500000000023,disengaged
36.380535,0.06854446,35.16539,36.482693,37.852722,2.6873322,109.09121,188.89198,23.31612,22.184158,0.81649923,0.41637787,0.5317955,0.73366344,1.1214286,0.5896331,9.120291,5.3671665,4.929207,2.3119445,0.4652558,0.75818616,24.150393,0.40811422,2.2103748,4.6215,-11.427736,-1.1286031,-10.69502,-1.0518765,0.025645617,1.6841959,1.2907636,0.50944656,7.1066756,0.4491646,7.281075,1.2965827,29.239784,0.27223426,762.28076,0.23733127,1356.896,0.14843965,-99.20015,-0.92580044,1785.254,0.1505547,1141.2561,0.22698548,-98.48144,-0.85451245,2875.6428,0.093689434,1016.7347,0.36642078,-104.212425,-0.76037955,-13.5417595,-0.5607225,28.424728,0.24092019,0.049403615,0.43073967,-0.017097509,-0.80830085,0.614849,0.6018811,28.936375,0.22529002,3.0228596,3.254489,-10.790804,-1.291696,-15.435986,-0.68674845,-8.013315,19.815926,0.01964796,-0.004907516,0.2755459,3.49345,3.4065936,0.1567742,0.11638054,0.12033334,0.1407476,-20.192034,9,3-1,9,SPEAKER_03,19.3,33.6,19.3,33.6,7,9.170000000000002,engaged
36.523197,0.03400212,35.64526,36.54635,37.84038,2.1951218,119.50332,143.26738,23.005476,1.7812915,0.85191965,0.5075008,0.5176915,0.7596695,1.196792,0.6791005,6.153476,3.015632,6.681168,3.428815,0.47190198,0.694254,24.90267,0.39715922,3.2289793,3.569385,-13.8086605,-1.041789,-13.519226,-0.6275344,0.027357835,0.9910632,1.515901,0.65625125,7.089338,0.4552403,6.296037,1.601556,30.274643,0.26682207,751.6422,0.25372082,1352.1818,0.10555482,-92.18668,-0.9768362,1740.836,0.16373695,1210.0626,0.19545072,-94.89548,-0.87982684,2850.6714,0.10394674,1011.74994,0.24442086,-100.9377,-0.77380353,-13.393503,-0.52803147,29.35345,0.24545766,0.050800703,0.34467834,-0.019002024,-0.67460704,0.62867355,0.48009568,27.696304,0.26969874,4.053402,2.7525256,-18.970835,-0.7852881,-17.337288,-0.50278544,-7.61716,17.865036,0.012282782,-0.010723285,0.2638916,3.521127,4.379562,0.12333333,0.09944289,0.085,0.07762087,-20.006844,9,3-1,11,SPEAKER_03,34.3,36.0,34.3,35.924093750000004,2,1.4384687500000126,engaged
36.68577,0.07622966,35.167183,36.89128,38.717793,3.5506096,65.90993,45.108227,23.049374,7.6303825,0.85585177,0.48772037,0.50869685,0.75789124,1.1646589,0.65596205,8.126966,4.4103866,5.2429667,2.5224059,0.51208204,0.78277445,23.17767,0.4581578,4.6887164,2.365468,-8.867389,-1.4624201,-11.390534,-0.93946207,0.026618768,1.7630454,1.1830623,0.61172765,8.110374,0.4597732,7.2839236,1.380141,29.786745,0.29966396,833.14325,0.19169267,1334.1085,0.17217536,-102.61504,-0.87464243,1866.2045,0.12530047,1196.9622,0.2784917,-105.31281,-0.77927,2937.6064,0.07848398,973.1128,0.24968839,-109.70547,-0.71050936,-16.121065,-0.5156592,31.425596,0.2350474,0.047499914,0.5204061,-0.017527856,-0.6842443,0.71295744,0.59238213,28.350727,0.23727773,7.1968517,1.5470079,-10.047214,-1.3990177,-13.356377,-0.76237065,-8.112942,18.651762,0.027245956,-0.008416281,0.27862173,3.4764826,3.5196688,0.14529411,0.17361613,0.14214286,0.13607657,-16.590279,9,3-1,12,SPEAKER_03,36.033333,42.166667,36.63284375,42.166667,2,4.909448249999997,disengaged
37.04529,0.04566053,35.888664,37.17569,38.520542,2.631878,44.82368,23.483835,2.7670307,11.8974695,0.88467854,0.47222784,0.5884365,0.7797933,1.2147279,0.6262914,10.574624,7.554187,5.6165175,3.3510551,0.54604864,0.6641167,26.196733,0.35248274,7.2769217,1.4020706,-4.442852,-2.115523,-16.556595,-0.6288964,0.028485885,1.0755103,1.3419596,0.67382634,8.424633,0.537329,6.7632866,1.3748744,27.900925,0.37747285,807.08844,0.22660376,1371.7124,0.15469983,-89.72825,-0.93570143,1872.3169,0.15199152,1264.8688,0.25155187,-96.25752,-0.7978356,2937.3682,0.07789982,1002.81665,0.31934854,-99.948395,-0.7392786,-19.14631,-0.47665548,31.621763,0.37475964,0.038285367,0.4106589,-0.0220019,-0.4834451,0.71070874,0.51415217,29.230886,0.28317985,8.379782,1.336753,-0.50134957,-14.455434,-18.075521,-0.46277702,-11.130782,21.332193,0.030688113,-0.015293328,0.3334187,3.6144578,4.347826,0.13142857,0.08096358,0.106,0.06711185,-15.988399,9,3-1,13,SPEAKER_03,42.2,74.9,42.2,43.87221875,1,1.672218749999999,engaged
30.172619,0.117875464,26.151043,32.003872,32.955795,6.8047523,9.547758,3.698605,25.049646,0.0,0.34402758,0.48712787,0.23574992,0.29454947,0.40543672,0.16968681,2.474706,2.087092,1.1758392,0.798957,0.09569426,0.59910834,23.10534,0.26210335,-1.1578505,-4.6121254,-6.6996436,-0.75371385,-6.5383334,-1.1223178,0.021165555,0.6623078,1.370014,0.45499521,2.1874573,0.49307126,1.0992417,6.0388494,19.056644,0.35017192,670.59283,0.2200768,1387.3865,0.1121128,-155.8089,-0.5108047,1613.8118,0.11208384,1268.0157,0.16254957,-157.94926,-0.47428468,2610.5615,0.1026028,1068.768,0.34392378,-159.42831,-0.45392162,-11.155455,-0.20578788,22.07088,0.18176025,0.009891322,1.6222894,-0.01751064,-0.53209305,0.09825295,0.22619475,26.758389,0.09853062,-1.0296571,-5.9888725,-4.863886,-1.2132877,-12.394492,-0.5288221,-8.660293,20.16435,0.0044339546,-0.005906396,0.09635554,1.7730497,2.166065,0.095,0.060484156,0.2957143,0.23045652,-37.113026,9,3-1,13,SPEAKER_06,42.2,74.9,44.49659375,49.086593750000006,5,2.835000000000008,engaged
