F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,participant,session,clip_id,speaker,engagement_start_time,engagement_end_time,speaker_start_time,speaker_end_time,num_segments,speech_duration,label
40.805122,0.09649517,36.954666,40.792408,43.820515,6.8658485,69.44508,93.00482,118.52372,195.05028,0.34501186,0.70568925,0.10208551,0.32690388,0.58029395,0.47820845,6.0738573,2.964767,3.053622,1.4836786,0.14815842,0.8899822,23.296238,0.53011787,4.3054147,3.0334175,-6.195298,-2.8729858,-24.722996,-0.85090494,0.024668053,1.2425659,0.93676484,0.8318682,10.329426,0.30242467,4.790568,2.1921291,25.27146,0.4126014,789.97253,0.22309014,1297.4021,0.17088091,-76.973885,-1.0930914,1878.7275,0.1438356,1100.9971,0.37670758,-79.19542,-0.93229765,2907.8774,0.08467209,935.35406,0.29014024,-82.49551,-0.8657246,-15.866605,-0.6386312,29.413464,0.35415927,0.05653195,0.37909135,-0.019495714,-1.0367482,0.17707774,0.7352385,26.159313,0.387544,2.3507571,5.7361083,-5.9910936,-3.0838356,-30.996536,-0.65187395,-11.795735,24.24034,0.03543566,0.00020271065,0.07600168,4.7477746,3.0120482,0.227,0.16595481,0.09555555,0.061302733,-29.062584,12,2-2,0,SPEAKER_01,0.0,11.733333,1.7353437500000002,11.733333,5,3.3829892500000023,disengaged
35.697197,0.11835008,33.828365,36.70712,38.100204,4.271839,130.26358,93.021034,342.8416,552.6901,0.25413525,0.691007,0.08561001,0.23480797,0.4073142,0.3217042,3.9083908,1.6362212,2.300792,1.162253,0.11905179,0.87732893,27.78179,0.5364512,15.320047,0.7529875,-0.5341065,-27.393074,-12.093322,-1.5282247,0.031375255,1.8095609,1.3327937,0.75969934,8.882764,0.45741692,3.8069706,4.079299,31.195412,0.46902707,800.1615,0.1980813,1365.8976,0.20724076,-71.14473,-1.1588314,1913.8253,0.09948323,1142.1554,0.27268744,-81.923164,-0.87250453,2999.8809,0.061605852,1037.9084,0.25204372,-85.96755,-0.8041139,-24.619326,-0.33548525,36.660297,0.25591534,0.06451925,0.32447866,-0.023407407,-0.7159246,0.14676961,0.723552,32.534523,0.32942677,15.308432,0.81229967,-0.87514126,-17.620823,-16.520693,-0.98153645,-14.422037,23.580156,0.04811632,0.0040630847,0.04977667,3.4220533,3.4548943,0.19666666,0.18342422,0.07647059,0.059797816,-28.95762,12,2-2,1,SPEAKER_01,11.766667,17.933333,11.766667,17.933333,3,5.272291000000001,engaged
37.38184,0.09027437,35.291813,37.532814,39.61986,4.3280487,361.429,374.90213,35.465466,49.541344,0.2780764,0.73376244,0.08598587,0.24056017,0.44975814,0.36377227,4.3300433,2.2477276,3.344804,1.7870463,0.13200936,0.94182837,24.585016,0.7122796,13.089817,1.1774155,-3.0857513,-5.4978113,-13.525791,-1.3366601,0.020940652,1.2514808,1.2930568,0.80650413,9.544944,0.3800324,8.923143,1.3925573,33.9821,0.32482728,803.32666,0.21563788,1365.9612,0.17672677,-79.32309,-1.0578222,1891.2598,0.11592195,1191.1228,0.28780815,-87.26387,-0.84140974,2966.0698,0.077739105,1049.5929,0.31709275,-90.8711,-0.7779033,-21.474873,-0.5206451,35.17803,0.29885012,0.06471879,0.3043975,-0.019440493,-1.0493267,0.17018546,0.7382079,31.460815,0.36620936,11.586244,1.3172259,-3.493398,-5.131931,-17.801756,-1.0049475,-10.770959,19.67387,0.045303617,0.0034942084,0.053838857,4.059329,3.2131662,0.20219512,0.18693304,0.10818182,0.08368246,-26.759329,12,2-2,2,SPEAKER_01,17.966667,34.5,17.966667,34.18596875,8,12.827426749999997,disengaged
37.030453,0.099290915,35.33278,37.134052,38.347435,3.014656,377.02744,548.2337,527.441,1093.636,0.3231487,0.7271593,0.09514654,0.28729188,0.5481818,0.45303524,5.374606,2.8642719,3.7705848,2.8083518,0.17097922,0.8281,22.159182,0.9033985,13.295434,0.9864154,-1.1034713,-14.839777,-9.729341,-1.8760959,0.02278563,1.5126901,1.2884612,0.8412942,9.03016,0.48062095,6.803366,1.8474401,29.63945,0.36755887,790.8206,0.23217244,1360.8416,0.1921014,-86.358185,-1.0017734,1857.2394,0.13387956,1138.0317,0.3043228,-92.57908,-0.83233005,2939.6016,0.0780111,991.65424,0.24866273,-95.66758,-0.7699739,-21.832489,-0.522325,34.25387,0.35085818,0.05580196,0.36296627,-0.017572407,-1.0753696,0.23068278,0.56763405,29.886286,0.41062582,12.400702,1.0841384,-0.15715402,-111.67521,-16.7106,-0.9119747,-8.529402,18.86387,0.041637857,0.01587464,0.06188055,4.130435,3.0837004,0.19928572,0.15988675,0.13090909,0.10680947,-25.968113,12,2-2,3,SPEAKER_01,34.533333,39.566667,34.533333,39.566667,2,4.611458999999996,engaged
39.933037,0.0554393,38.318016,39.64506,41.479767,3.1617508,18.17191,3.7426443,32.54849,13.165288,0.60355216,0.854267,0.19318254,0.3388946,1.0266622,0.8334797,6.5828543,6.595512,11.25093,2.695004,0.2833666,1.162749,19.662642,0.86322606,3.24485,4.2452083,-11.768109,-1.1793008,-26.844439,-0.6373863,0.018501474,0.9078566,1.1848878,0.8138877,9.256967,0.49363336,3.1429417,2.5524552,24.884123,0.48747277,772.5293,0.20637316,1298.1184,0.13426907,-36.07755,-1.8144084,1789.8547,0.13189143,1122.43,0.1772289,-47.223362,-1.2555538,2868.8271,0.07944534,793.209,0.3015172,-52.28899,-1.0742638,-13.364859,-0.7841559,27.693184,0.40770411,0.058945395,0.26257843,-0.019349385,-0.8159827,0.33407646,1.026168,23.776846,0.532106,1.2288694,11.278068,-14.291519,-0.9568172,-30.326824,-0.54601306,3.1337547,2.3710487,0.036290847,0.019616097,0.009613913,2.6086957,1.8348624,0.465,0.125,0.13,0.0,-23.51395,12,2-2,6,SPEAKER_01,41.333333,42.5,41.333333,42.5,1,1.1666669999999968,disengaged
37.496735,0.07656905,35.336365,37.69427,39.515827,4.1794624,126.19488,285.80344,34.179184,40.459724,0.28771943,0.8236197,0.07703569,0.23885804,0.47184348,0.3948078,5.599842,3.1128078,3.7298727,2.4352648,0.11087477,1.1258938,21.187798,0.8622295,9.467049,1.4125242,-3.2700765,-5.2514305,-16.147701,-1.0617373,0.019424655,1.6723644,1.1976649,0.8469927,9.8166895,0.3635576,5.7459397,2.0393665,28.76429,0.30217975,752.5237,0.25919938,1388.306,0.15078123,-72.137085,-1.1467682,1825.8507,0.14626646,1150.7683,0.25913203,-78.38154,-0.94690967,2906.0173,0.08147932,1014.9474,0.36770153,-83.1685,-0.849834,-18.437174,-0.5333285,32.112892,0.30828917,0.06230716,0.33932978,-0.017257562,-1.0130467,0.14245689,0.8863866,28.671099,0.3638428,9.197238,1.4834887,-3.1259053,-5.8898993,-21.978535,-0.6854403,-4.3301044,14.968791,0.040098693,0.01961494,0.032946665,3.5334477,2.4398627,0.28394365,0.22628962,0.113181815,0.1176945,-29.5044,12,2-2,7,SPEAKER_01,42.533333,85.0,42.533333,84.89534375000001,17,29.16576075000004,engaged
37.363815,0.06437321,35.04093,37.611607,38.677708,3.636776,112.0888,139.74168,59.991405,61.31165,0.3096052,0.6278342,0.09455374,0.3076647,0.48881978,0.39426604,4.226151,2.8099601,2.935672,1.2597609,0.14997281,0.932848,23.376865,0.71726465,13.920695,0.8991526,4.06377,3.9352744,-13.482472,-1.0408452,0.021205736,1.4583492,1.0681816,0.766039,10.4281645,0.34151173,8.426965,1.4070631,28.997684,0.33094528,807.4362,0.20948562,1377.8048,0.17969501,-70.07811,-1.1234528,1922.4946,0.10909731,1087.6404,0.28581464,-77.92717,-0.91510266,3021.6223,0.07639993,1028.1691,0.32926625,-81.07709,-0.85009027,-23.389711,-0.40145758,34.365993,0.29807433,0.06335627,0.3756001,-0.023768375,-0.6607759,0.18790923,0.7309315,30.0444,0.3345432,15.6883955,0.81851345,3.4846125,4.918122,-17.458914,-0.76219654,-6.7659974,13.644955,0.039912503,0.008940589,0.052399077,4.3750005,1.5873016,0.45599997,0.49657226,0.12666667,0.12957193,-25.900438,12,2-2,8,SPEAKER_01,85.033333,88.333333,85.11471875000001,88.333333,1,3.2186142499999875,disengaged
37.83514,0.06229627,36.081154,38.150913,40.130707,4.049553,64.4212,65.20541,33.238514,18.938093,0.40003026,0.67801446,0.1345967,0.3417732,0.6653466,0.5307499,4.9467025,0.70165575,3.5418537,1.122717,0.17310113,0.64623374,30.9392,0.34284484,6.447551,2.5729976,-12.672419,-1.3522433,-10.791941,-1.1380014,0.022440705,0.7364526,1.1895103,0.9387224,9.049832,0.40422624,5.854735,1.8347366,33.90469,0.28597865,769.3252,0.24039987,1380.6876,0.1616883,-55.377857,-1.2176379,1792.9141,0.13599564,1171.5209,0.19939284,-61.410896,-1.0082626,2931.6807,0.0846476,1048.9758,0.2367196,-72.71354,-0.76611817,-17.91808,-0.7041252,37.50738,0.21664459,0.053727012,0.33964372,-0.0122599555,-1.4025872,0.19690587,0.54491967,32.880608,0.25414217,6.1375594,2.6768286,-13.681605,-1.2948672,-12.492935,-0.89958644,-14.504003,26.099962,0.04226642,0.0003553305,0.06885427,3.787879,3.1496062,0.25,0.125499,0.0475,0.017853571,-27.578932,12,2-2,10,SPEAKER_01,89.666667,91.0,89.666667,91.0,1,1.333332999999996,disengaged
36.140026,0.093153544,35.205433,35.9434,37.928852,2.7234192,194.04732,90.34208,17.330194,9.96659,0.34202197,0.63276535,0.13282378,0.30577254,0.54649734,0.41367358,4.044431,2.6473043,2.8826008,1.9520367,0.13853,0.79982644,21.621826,0.91964823,8.936986,2.157635,-5.831454,-3.2254853,-15.514151,-1.1299635,0.017838016,1.0521239,1.109273,0.66169184,8.344702,0.48145407,2.1910458,7.9905214,23.85833,0.7502984,840.6888,0.24046655,1375.6434,0.1944807,-75.112595,-1.1584135,1881.2214,0.12516484,1162.7998,0.27401704,-82.07945,-0.9512407,2951.3308,0.07504782,1008.91644,0.42511937,-85.033005,-0.88726914,-17.9849,-0.7231588,32.882423,0.31279352,0.06617075,0.33164677,-0.01276032,-1.3795682,0.1796507,0.6135658,28.904257,0.3583775,7.081222,2.874362,-2.923135,-7.089131,-18.988142,-0.8991664,-4.3489156,14.8946295,0.061644796,0.010812871,0.052775864,5.031447,3.2051284,0.202,0.18432578,0.1125,0.10021851,-25.576174,12,2-2,11,SPEAKER_01,91.033333,94.5,91.033333,94.5,2,3.196667000000005,engaged
35.563057,0.060270254,34.00278,34.677788,37.898167,3.8953857,177.97353,130.03891,9.479033,0.0,0.31700933,0.5184384,0.16379848,0.25126767,0.51151955,0.34772107,4.0036993,4.8062096,1.5487453,1.3342973,0.13198549,0.84588116,26.420717,0.5665711,8.170978,2.3707678,-9.490574,-2.215652,-6.2856264,-2.0457149,0.01524803,0.6534169,1.1106627,0.68043983,8.423543,0.54024345,11.237546,0.8231889,31.59232,0.29218724,736.27637,0.2287957,1473.5668,0.16552782,-64.15125,-1.2073499,1802.8418,0.13129024,1123.3168,0.27391422,-72.21044,-0.9804049,2931.03,0.08767638,1093.1375,0.30719948,-77.916115,-0.8557782,-21.40336,-0.52734095,33.55179,0.2999923,0.05594884,0.34196532,-0.01412256,-0.997381,0.16199711,0.7744858,29.475925,0.38453543,11.783311,1.5386853,0.04947367,384.39938,-7.148037,-1.9078887,-2.3498323,20.699278,0.038347352,0.01515184,0.0713624,5.882353,3.3707867,0.21333334,0.1575507,0.06333333,0.061282586,-25.634968,12,2-2,13,SPEAKER_01,95.1,96.2,95.1,96.13409375,1,1.034093750000011,engaged
