F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,participant,session,engagement_id,speaker,engagement_start_time,engagement_end_time,speaker_start_time,speaker_end_time,num_segments,speech_duration,merged_duration,label
41.17044,0.111501865,38.741592,41.977352,43.880486,5.138893,167.95035,181.03297,79.685326,98.007065,0.52826786,0.45118672,0.3054442,0.5025885,0.6941273,0.3886831,5.1293263,2.9016805,4.0208387,2.5061793,0.23920667,0.7182069,25.774487,0.23517069,3.9046364,2.5122094,-6.0141196,-2.1718824,-19.052681,-0.7851745,0.032690577,1.9831086,1.1673925,0.5068293,7.478763,0.40890932,2.2331858,4.463977,23.253141,0.4181007,796.3004,0.20821403,1304.4283,0.18165825,-103.38738,-0.89745724,1852.1144,0.15186444,1095.875,0.3199992,-100.09127,-0.84379286,2890.7427,0.074583136,898.68585,0.33618405,-103.431,-0.78912795,-11.589561,-0.6715673,24.831982,0.31554267,0.024472842,0.76089936,-0.02458442,-0.6254886,0.2711207,0.6266423,26.483936,0.20696914,1.0958738,9.266672,-6.1185718,-2.1534462,-25.569523,-0.578305,-11.884817,24.61469,0.000994382,-0.017413331,0.2050413,4.469274,3.3994334,0.15416667,0.12632355,0.118333325,0.07851043,-27.52982,12,2-2,0,SPEAKER_00,0.0,11.733333,1.71846875,11.08409375,5,3.5943749999999977,3.594375,disengaged
36.590218,0.011047803,36.44671,36.731895,36.88461,0.43790054,4.3574333,2.0782778,10.236566,6.5831347,0.3828349,0.6131175,0.17613725,0.32390225,0.5690083,0.39287102,1.1558706,0.39976034,1.9870162,0.73334897,0.13047193,0.7091468,18.892338,0.41647288,5.2891893,1.6576715,-4.3448505,-2.448517,-5.2757306,-1.4353831,0.014928362,0.8716595,1.0704051,0.4291804,5.1906333,0.7487214,-8.245107,-0.5662786,-6.551728,-8.716355,813.1444,0.16320118,1494.881,0.12079414,-156.18669,-0.52860993,1728.9954,0.12778239,1387.4371,0.09496595,-159.22887,-0.4854497,2755.9036,0.055911053,1137.5461,0.3752459,-161.36674,-0.4529505,-7.139027,-0.68907326,25.383667,0.14235449,0.02731205,1.0960335,0.0038839045,6.6064534,0.24092057,0.3408773,23.155947,0.11648968,-4.8786764,-1.5328854,-20.803347,-0.30028287,-9.427773,-0.7544457,-11.296785,21.793758,-0.0018637328,-0.00436101,0.104709946,1.5873016,1.6528927,0.13499999,0.095,0.45,0.39999998,-31.79082,12,2-2,0,SPEAKER_01,0.0,11.733333,9.227843750000002,11.733333,3,1.2736142499999996,1.273625,disengaged
35.93248,0.1282219,33.763863,36.68055,38.11538,4.3515167,165.75563,101.288956,94.32844,71.265144,0.43765053,0.3242688,0.31230626,0.42033556,0.5599902,0.24768397,2.9280124,2.0168495,2.2341506,1.4095886,0.1665639,0.5636584,28.352324,0.26976603,2.9598434,2.3928297,-9.00678,-0.9315969,-8.129119,-1.2474245,0.030600715,1.4088703,1.3061562,0.61770564,7.453264,0.4915168,3.4704518,2.8362799,27.593811,0.28794643,814.5423,0.17531471,1272.3231,0.1545888,-106.5997,-0.8509739,1859.5496,0.1165107,1118.1093,0.24152648,-111.80645,-0.740131,2938.3594,0.08033201,988.6666,0.27058756,-115.674286,-0.68380266,-17.216593,-0.28387168,30.587294,0.19510686,0.030373666,0.50343394,-0.02088088,-0.5341066,0.20589565,0.5137628,32.120163,0.17194103,5.7051,1.233309,-7.2927213,-1.2203912,-11.296001,-0.86223114,-9.105191,21.93118,0.012029699,-0.011698954,0.1277483,3.0852995,3.4798534,0.13578947,0.11846898,0.14588235,0.11581217,-28.487701,12,2-2,1,SPEAKER_01,11.766667,17.933333,11.766667,17.933333,4,5.525416000000003,5.5254375,engaged
37.196487,0.13156365,34.76332,37.02137,39.201874,4.438553,410.91406,463.30093,90.915,77.602104,0.48065272,0.38367304,0.3242545,0.44189087,0.6527137,0.3284592,4.508368,2.630392,2.909424,1.502803,0.20999111,0.7142942,24.455935,0.34987903,8.050181,1.355252,-6.541833,-1.6744754,-11.48862,-1.1135727,0.028342625,1.9053603,1.1988417,0.54177576,7.5249896,0.47475386,5.485814,2.4108407,28.470955,0.40901163,791.36176,0.21532166,1330.5728,0.16864343,-108.228424,-0.84082705,1836.3915,0.13710897,1158.7051,0.24553004,-109.56625,-0.76277035,2910.2292,0.085164905,946.20856,0.2706567,-112.978004,-0.70965254,-16.174633,-0.53730935,29.207577,0.3076832,0.032835543,0.61079305,-0.019945055,-0.80434084,0.25632334,0.55288756,28.030264,0.24826185,8.129878,1.4719709,-7.4768877,-1.6724702,-15.772576,-0.8338487,-11.071097,21.709913,0.014200249,-0.012948169,0.16457689,3.9834025,3.6666667,0.13022727,0.1243618,0.1302439,0.092906654,-25.506878,12,2-2,2,SPEAKER_01,17.966667,34.5,17.966667,34.5,7,12.061458000000005,12.0615,disengaged
40.86533,0.10896441,38.611748,42.97454,43.548923,4.9371758,213.6436,156.31621,-2.685134,20.54734,0.33413222,0.3396181,0.23265138,0.32022277,0.42363173,0.19098035,2.4857717,0.86401886,2.0377164,1.2525187,0.10018647,0.51234406,30.005981,0.15292321,3.7688332,1.6606344,-10.499133,-0.94262433,-13.8288765,-0.7956376,0.031694133,1.9420614,1.0803282,0.42724258,7.687469,0.42056134,-1.5485306,-8.003344,28.029394,0.21180649,834.3343,0.14126866,1278.0605,0.11015742,-84.37768,-1.042411,1784.216,0.10043489,1286.9202,0.27080777,-89.56106,-0.9102268,2917.7002,0.0661807,888.49896,0.37111145,-97.49292,-0.770152,-9.33069,-0.98509985,32.131187,0.13129956,0.016528012,0.80557376,-0.011231043,-1.2056748,0.10862405,0.5186226,31.720043,0.12233242,3.9017315,1.7692963,-12.213549,-0.94860375,-11.542423,-0.905705,-9.971794,24.949257,0.013613439,-0.017896967,0.091535494,4.2105265,3.3333335,0.17666666,0.10402991,0.09666667,0.044969123,-33.921803,12,2-2,2,SPEAKER_00,17.966667,34.5,28.65096875,30.70971875,3,0.9618750000000027,0.961875,disengaged
37.128986,0.07124096,35.3668,37.158817,38.06098,2.6941833,153.99875,106.6626,64.10243,75.26736,0.45133454,0.38019037,0.2912837,0.42740592,0.6359673,0.34468362,3.3713098,1.5789394,2.304828,1.0771904,0.19752266,0.6458848,27.259165,0.31349647,4.6121964,1.689404,-10.484275,-0.98072517,-4.6906953,-2.5370765,0.022759963,0.9325572,1.295575,0.6228704,8.143246,0.4659788,5.754796,1.8894901,23.79169,1.1484404,829.54254,0.2067597,1223.468,0.16524881,-116.31503,-0.7559909,1870.4298,0.15151326,1176.053,0.41334516,-120.45015,-0.67219406,2933.1787,0.09124467,973.5069,0.28098673,-124.65162,-0.6141216,-17.862251,-0.4075128,32.46281,0.24238536,0.027814992,0.7275104,-0.012555421,-1.2206707,0.2789988,0.4177912,31.683739,0.16361375,7.18687,1.0848072,-7.6823716,-1.5033978,-10.133484,-0.9802419,-9.675162,24.71379,0.010346411,0.0017910487,0.13058247,4.884319,3.6553526,0.11857142,0.07414822,0.13499999,0.13151588,-25.8439,12,2-2,3,SPEAKER_01,34.533333,39.566667,34.533333,39.566667,3,3.9027090000000015,3.9026875,engaged
38.07279,0.06233291,36.790005,37.4206,37.7757,0.9856949,15.571976,0.0,73.20048,39.271824,0.43609062,0.23699006,0.34201333,0.4111735,0.5257387,0.18372539,5.0309725,3.8497949,0.23519135,1.306776,0.27745864,0.5688286,30.947958,0.17327389,13.279132,0.43040594,-1.8416183,-4.0178685,-0.6111455,-14.462745,0.047213413,1.8260458,1.0034748,0.48017612,9.054464,0.35348967,17.502256,0.35229373,32.441498,0.10219616,899.48126,0.11657994,1360.5393,0.19011234,-144.21672,-0.5317938,2027.5323,0.09078902,1210.2861,0.20652951,-147.75085,-0.47664118,3122.3567,0.04683982,1026.33,0.19551358,-148.64275,-0.46663496,-25.280945,-0.16133556,39.811165,0.092501774,0.031581912,0.57187533,-0.017315771,-0.29443544,0.36530453,0.46215093,35.12097,0.04272536,18.303062,0.18123977,2.7140024,1.3540679,-8.419283,-0.4859111,-17.447819,31.507607,0.0011911415,-0.0076437886,0.25358233,5.633803,3.0303032,0.099999994,0.049999997,0.19999999,0.02,-25.279926,12,2-2,4,SPEAKER_01,39.6,40.566667,39.6,40.32846875,1,0.7284687499999976,0.7284375,disengaged
42.88646,0.024527296,41.809875,42.97163,44.018005,2.20813,0.0,0.0,-0.17283249,0.0,0.38977632,0.07719821,0.36409938,0.3874512,0.41007575,0.04597637,1.3134646,0.4983971,1.5462631,0.71169436,0.09127751,0.26261845,24.9407,0.27120745,2.3111646,1.4466287,-7.19283,-0.48410383,-19.76937,-0.299619,0.03630973,0.3541555,1.4406649,0.37557876,6.947509,0.31710097,7.682706,0.6881358,25.524927,0.20121276,915.72144,0.019397259,1137.8176,0.033518825,-41.703903,-1.3873181,1883.4556,0.016204631,1138.0232,0.045671713,-52.872173,-1.0095038,2956.1802,0.026869811,635.00073,0.20033483,-57.091763,-0.90800977,-13.743345,-0.18273693,28.895891,0.10783151,0.016739385,0.6095642,-0.007973216,-0.71588933,0.08655346,0.22945136,27.292576,0.0811318,2.2838023,1.6491206,-7.8114142,-0.32829955,-17.743809,-0.34075397,0.43443814,5.1580734,-0.0049753087,-0.0018793492,0.16365057,10.714286,4.5454545,0.17999999,0.0,0.02,0.0,-33.99713,12,2-2,6,SPEAKER_01,41.333333,42.5,41.333333,41.62784375,1,0.2945107499999935,0.2945,disengaged
38.195103,0.061423965,37.200317,38.433056,39.56111,2.360794,95.25487,125.01007,36.160732,8.954278,0.8110714,0.5971025,0.33519813,0.7772585,1.2113786,0.8761804,6.311669,5.0096397,10.531206,2.478715,0.3980586,0.9214627,25.168062,0.28315032,-2.0433037,-5.1816707,-16.75236,-0.46518257,-14.69557,-0.98008496,0.019512022,0.7102187,1.2526398,0.7368986,6.7141504,0.50923216,-0.8391806,-9.79357,22.943539,0.5668472,720.9748,0.22156034,1372.1626,0.112809435,-77.764244,-1.1816173,1625.9808,0.08314492,1191.3682,0.16758083,-78.21516,-1.0719918,2775.2642,0.10385923,870.3414,0.4930427,-85.6134,-0.91971827,-9.442804,-0.6849526,26.902946,0.2320082,0.03260579,0.5367297,-0.017625153,-0.85490644,0.5601629,0.63569283,26.783966,0.2681736,-3.6289802,-3.4015932,-19.993473,-0.3324685,-19.318003,-0.8073178,-7.29211,22.535692,0.004722388,-0.0012443829,0.15470397,3.4883723,3.7500002,0.15666667,0.060184903,0.12,0.06,-22.174026,12,2-2,6,SPEAKER_02,41.333333,42.5,41.62784375,42.5,1,0.8721562500000033,0.8721875,disengaged
36.97733,0.08148461,35.10089,36.995575,38.896175,3.7952843,131.67368,246.91695,44.520218,66.998856,0.3867374,0.50985825,0.23198526,0.33109242,0.5202392,0.2882539,4.667534,2.4180322,2.9264855,2.0143526,0.13965455,0.7954945,28.843378,0.23660822,5.582627,1.6099062,-8.198327,-1.2817442,-11.679532,-0.97565746,0.02322591,1.4714476,1.2408491,0.49690652,7.3566637,0.41463745,2.4255922,4.164188,26.692772,0.40689948,732.70026,0.24662189,1402.8638,0.15020014,-108.27104,-0.84716004,1726.755,0.14808893,1227.865,0.26112506,-110.246765,-0.7782345,2836.3984,0.07970282,968.6375,0.36130634,-115.15498,-0.70294076,-14.708326,-0.40804052,29.879597,0.21147467,0.025923952,0.69953734,-0.017294774,-0.7046366,0.18720007,0.6130191,31.55323,0.16162506,4.9662857,1.8712913,-7.906267,-1.5801231,-17.729464,-0.5850577,-11.543629,26.38657,0.0034894156,-0.0062893317,0.09295869,2.8771672,2.623799,0.18309858,0.1501135,0.17985713,0.16271354,-30.255892,12,2-2,7,SPEAKER_02,42.533333,85.0,42.533333,82.14471875000001,13,27.123885750000014,27.123875,engaged
