F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,participant,session,engagement_id,speaker,engagement_start_time,engagement_end_time,speaker_start_time,speaker_end_time,num_segments,speech_duration,merged_duration,label
35.81681,0.033540428,34.940254,35.941284,36.63083,1.6905746,50.82264,29.7081,12.45147,11.275262,0.43258867,0.2937013,0.31828466,0.41991264,0.50933397,0.19104931,4.2613153,2.249621,2.3541918,1.4587965,0.17082213,0.55835336,27.539143,0.2312449,1.164287,10.709281,-10.258297,-1.0841649,-3.1583343,-3.5169964,0.02104862,0.8427467,1.5454296,0.47848034,6.5137258,0.49740344,3.2440033,4.909182,23.706125,0.67211294,701.1581,0.25650015,1379.6951,0.15105562,-92.57331,-0.94315755,1712.0919,0.13395539,1188.4261,0.24697393,-93.704155,-0.8764505,2816.7783,0.09688475,1011.7104,0.27834716,-99.38656,-0.78018415,-12.951717,-0.76621795,25.107042,0.36549553,0.02416755,0.8638881,-0.010481202,-2.1190176,0.19865152,0.6451808,28.585356,0.1832955,2.0546086,6.500782,-8.091023,-1.24556,-2.9529598,-4.441342,-11.947896,25.538588,0.024543108,-0.010119052,0.13777943,5.172414,5.4545455,0.09833333,0.042979326,0.0975,0.07854138,-30.48173,5,7,0,SPEAKER_00,4.346,11.555,7.74284375,11.555,3,1.1796562500000016,1.1796875,engaged
35.407562,0.0,35.407562,35.407562,35.407562,0.0,0.0,0.0,0.0,0.0,0.34115484,0.12586579,0.30329895,0.33428958,0.37716815,0.0738692,0.015214794,0.0,0.0,0.0,0.18497036,0.26640692,37.747562,0.014623835,20.483866,0.15902524,14.757726,0.11990787,4.4844913,0.21705596,0.043604925,0.08345352,1.4658265,0.058233596,9.793789,0.22101142,15.345943,0.1539324,35.36455,0.054212216,944.4638,0.2341136,2751.475,0.3327604,-33.775764,-0.16435358,1980.884,0.16423734,1238.606,0.030821873,-49.689217,-0.08145736,3247.4985,0.100600645,1234.9541,0.06252654,-51.078064,-0.032538332,-28.041264,-0.05968304,41.83557,0.051606845,0.02802661,0.3624362,-0.014681069,-0.41182065,0.21716532,0.15611222,37.692738,0.01905247,17.55988,0.13072564,13.488749,0.16738412,4.2131214,0.2729898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.498508,5,7,0,SPEAKER_01,4.346,11.555,7.759718750000001,7.86096875,1,0.10124999999999851,0.10125,engaged
35.090252,0.0866722,34.336678,35.108276,35.830635,1.4939575,267.233,174.39662,81.90496,65.46525,0.412722,0.5092651,0.19507141,0.39898628,0.615056,0.41998458,2.8182466,1.9974437,4.666413,2.7502196,0.15533583,0.7820691,21.793116,0.4348566,3.676825,3.2767832,-6.544127,-2.0628183,-3.6390085,-3.1208146,0.029844763,1.4049101,1.3833346,0.47536454,6.152142,0.49733153,2.0504453,5.8533382,19.717846,1.5415504,713.85266,0.257445,1444.5814,0.115432106,-112.33179,-0.8209141,1724.509,0.1198084,1212.2886,0.34608173,-110.032074,-0.7987172,2793.7336,0.09112525,1034.1743,0.28563592,-113.983536,-0.73485965,-14.780192,-0.55432814,25.409203,0.28921193,0.036989365,0.41847965,-0.016286438,-1.2021807,0.23254424,0.52093416,26.76865,0.16080222,4.6202064,2.7530634,-7.282655,-2.2152274,-9.908147,-0.95249665,-8.123213,16.500292,0.013904217,-0.0038661072,0.084872395,2.4271846,2.9850748,0.15833333,0.11275588,0.15666667,0.17726314,-30.3231,5,7,1,SPEAKER_00,11.555,13.676,11.555,13.63221875,1,2.07721875,2.0771875,disengaged
32.67616,0.09744005,30.69645,31.641596,34.97524,4.2787895,21.855413,11.149866,52.000774,27.776293,0.43735874,0.48280832,0.24960725,0.3899523,0.6076567,0.35804945,6.0815887,3.95387,3.8548932,1.9031893,0.20256218,0.7258194,25.755302,0.23560698,6.5491605,1.1511632,1.2850231,7.424143,-16.71344,-0.80471,0.028541844,1.0248604,1.7214619,0.41754586,5.5446105,0.50053185,3.65901,3.1966228,26.433609,0.27259114,651.245,0.32447624,1444.7716,0.095447466,-104.81288,-0.8802311,1690.7228,0.15416369,1169.037,0.16551897,-104.35124,-0.8138441,2741.1409,0.10937691,1001.39105,0.29994744,-106.267685,-0.78505963,-15.61489,-0.29578254,23.029263,0.3151467,0.041426443,0.39882487,-0.027060471,-0.44669878,0.25661677,0.5689523,25.467163,0.19275819,8.4551935,0.81937695,3.808083,2.6584873,-22.28763,-0.56878006,-13.547923,22.46034,0.025294758,-0.017939288,0.15146999,5.109489,4.4609666,0.107499994,0.11490031,0.09666667,0.13780017,-28.32599,5,7,2,SPEAKER_02,13.676,26.648,17.59784375,23.04846875,5,2.750624999999996,2.750625,engaged
41.468063,0.024182219,40.736286,41.09891,41.948627,1.2123413,18.467545,6.4246287,8.342765,2.794721,0.52119184,0.42111856,0.34559634,0.45491266,0.6376219,0.29202554,4.297381,3.2599852,4.896764,2.622906,0.18093254,0.92581934,27.771204,0.12353902,9.829726,0.5785855,-6.7225285,-1.5156283,-30.381723,-0.46661153,0.009534473,0.9955379,0.5204428,0.8677149,14.363963,0.12680395,14.377742,0.5608858,33.46802,0.17569803,828.7004,0.14483348,1258.0941,0.12827648,-23.231255,-1.4025512,1968.2849,0.10333374,1013.63837,0.26313534,-40.31895,-0.6891068,3062.3367,0.06369269,971.5007,0.2683068,-45.17075,-0.5955367,-24.937376,-0.14201827,33.44717,0.17124465,0.02174949,0.58733255,-0.030193744,-0.3540907,0.17555462,0.96218055,28.083912,0.106289506,10.139373,0.58373153,-5.117639,-1.8140677,-31.174242,-0.4201623,-12.88434,20.324818,0.000790204,0.0037602957,0.019082425,3.0769231,1.6949153,0.56,0.0,0.0,0.0,-23.769957,5,7,2,SPEAKER_01,13.676,26.648,25.984718750000003,26.648,1,0.6632812499999972,0.6633125,engaged
42.101658,0.026138254,41.087982,42.48195,42.82695,1.7389679,16.039022,0.0,-8.22463,9.062078,0.48464355,0.50634795,0.18827131,0.5059936,0.72271353,0.5344422,6.4763126,3.8210986,3.175111,0.34464356,0.1934273,0.85645956,28.967417,0.10117152,2.5850594,2.5273695,-15.582307,-0.60516876,-24.086634,-0.79633546,0.010597545,0.98609215,0.7490719,0.7699475,12.785462,0.23850626,8.218033,0.89807504,35.461666,0.19994625,810.9514,0.107530534,1267.7922,0.17144535,-55.016876,-1.4358692,1858.2883,0.08231148,1074.4303,0.16743486,-67.71537,-1.0272998,2991.195,0.050000526,885.9545,0.40935796,-75.24602,-0.8691584,-18.860765,-0.32621238,33.406933,0.15074871,0.031166099,0.45171678,-0.03342864,-0.40091008,0.25019175,0.7166447,29.149786,0.09223762,3.2139606,2.1519465,-19.700315,-0.38824844,-33.520367,-0.36529866,-12.867301,23.80208,-0.0016405397,-0.011301302,0.05181216,4.054054,2.8985507,0.255,0.13499999,0.07,0.04,-24.846119,5,7,3,SPEAKER_01,26.648,27.4,26.648,27.4,1,0.7519999999999989,0.752,disengaged
38.148777,0.07525803,35.761143,36.811417,41.271633,5.5104904,10.108063,4.6319237,17.170103,8.361216,0.60213864,0.5769127,0.32891712,0.52139425,0.9382248,0.60930765,7.107504,3.4809558,8.066014,5.306599,0.25853345,0.96843016,26.786093,0.31316334,13.56459,0.5173285,4.4578953,1.8068458,-30.922161,-0.734183,0.01526305,1.0554765,0.7104058,0.70451486,11.186612,0.26435497,15.00222,0.37777752,31.492758,0.17295001,706.1646,0.2165416,1379.2743,0.17539814,-19.602882,-1.8316561,1919.5742,0.1328339,1082.0674,0.2858944,-37.744785,-0.72803396,2916.0273,0.07028535,955.40216,0.35634077,-37.098,-0.76595616,-22.173498,-0.14939477,29.323118,0.18187603,0.04757823,0.417622,-0.032368172,-0.45124316,0.2650356,0.97191864,28.18395,0.23596953,13.887666,0.4848518,4.964689,1.6338536,-31.936113,-0.715766,-11.790766,20.477526,-0.0064969687,-0.007825661,0.24877244,4.0983605,1.724138,0.55,0.17999999,0.03,0.0,-21.549667,5,7,4,SPEAKER_01,27.497,36.292,27.497,36.292,2,1.2349999999999994,1.235,engaged
31.808773,0.2336277,28.328188,28.900385,33.261776,4.933588,101.75333,6.260165,99.6795,54.09813,0.29447126,0.45637986,0.17988996,0.26554203,0.3856769,0.20578693,2.7968674,2.0521188,1.8836774,0.89129543,0.124601,0.8097248,25.941153,0.26432243,7.2795477,0.90408915,4.232908,2.53035,-7.4097776,-1.2268478,0.024974335,0.67253786,1.6859317,0.42103758,5.2408648,0.40571183,2.3634942,3.766762,26.794497,0.31106633,652.4702,0.28312367,1504.3843,0.10926486,-131.63515,-0.6905008,1738.0361,0.110830724,1201.3837,0.28016666,-132.43965,-0.6329692,2752.2341,0.08235983,1053.1875,0.23965935,-133.72177,-0.61530817,-19.368217,-0.23073949,27.664055,0.21906601,0.03815935,0.41053152,-0.028278684,-0.4918335,0.1907442,0.57855356,29.106699,0.20786344,9.500538,0.62958837,5.9205036,2.2893991,-12.364684,-0.66698414,-14.088066,21.968714,0.02026949,-0.013845785,0.08734559,4.391892,2.749141,0.13,0.10246951,0.24285714,0.12600616,-32.153652,5,7,4,SPEAKER_02,27.497,36.292,28.39784375,32.59971875,2,2.9700000000000024,2.97,engaged
37.40023,0.031076312,36.10972,37.2848,38.726982,2.6172638,0.7133484,0.0,18.88697,0.0,0.32139236,0.22666258,0.27262756,0.30021027,0.3680168,0.09538925,0.91822445,1.1496154,1.4806955,0.12096012,0.099474005,0.34095624,28.837801,0.23702292,16.93699,0.26175714,-2.1627486,-4.3381467,-29.852694,-0.44920805,0.010306189,0.40803546,0.71202415,0.27934214,10.128878,0.11607484,3.7676408,1.6344153,31.790676,0.17920639,775.12714,0.16158493,1256.1326,0.14891908,-70.40412,-1.2050105,1876.9791,0.09520798,1088.8347,0.20376721,-79.66591,-0.88613313,2943.1143,0.04629097,663.61957,0.19516695,-78.81798,-0.89972717,-20.62606,-0.24226232,31.670048,0.25840852,0.042319793,0.19939043,-0.036306884,-0.11367802,0.116011895,0.29078674,33.406834,0.13547781,17.30156,0.21808921,-4.000042,-2.7939515,-37.433388,-0.12664564,-16.705967,22.154783,0.036808796,-0.032026514,0.09389844,2.777778,3.3333335,0.21,0.0,0.07,0.0,-33.093693,5,7,5,SPEAKER_01,36.497,37.284,36.497,36.869093750000005,1,0.3720937500000048,0.3720625,disengaged
28.644682,0.021418339,27.976618,28.926352,29.162655,1.1860371,24.515621,2.231721,9.281683,3.9692085,0.26831025,0.20348051,0.22448364,0.27336335,0.31749967,0.09301603,1.5084018,0.59244144,-0.081370264,0.639369,0.07043228,0.23636378,32.68839,0.14476185,14.009066,0.27095583,1.5921853,2.4899914,-1.8399079,-4.217691,0.0150417285,0.7045303,0.855906,0.41204712,6.118176,0.41040745,7.4275517,0.30023023,33.411304,0.12570378,712.3015,0.12827243,1461.0826,0.07691628,-50.41761,-1.5230956,1742.5387,0.09611486,1208.9175,0.14334711,-63.958435,-1.0875531,2836.5535,0.083736844,971.8001,0.22719516,-68.921234,-0.97501165,-18.256039,-0.09231773,28.469004,0.10638775,0.01103007,0.6706627,-0.02661818,-0.24509098,0.069858015,0.16631323,33.05949,0.15784855,14.979374,0.19326916,0.039732922,92.435684,-5.889379,-0.74165297,-22.255173,34.22614,-0.011386082,-0.021496488,0.09187429,4.7619047,2.7027028,0.28,0.0,0.07,0.0,-35.654858,5,7,6,SPEAKER_03,37.285,55.15,37.493468750000005,37.93221875,1,0.43874999999999176,0.43875,engaged
